	CosteaPI_2017__SID713A063-11-90-0__bin.5	BackhedF_2015__SID635_M__bin.31	FengQ_2015__SID31685__bin.17	ZellerG_2014__CCIS59132091ST-4-0__bin.21	KarlssonFH_2013__S561__bin.6	ZeeviD_2015__PNP_Main_240__bin.47	FengQ_2015__SID530018__bin.43	FengQ_2015__SID530558__bin.38	NielsenHB_2014__O2_UC55_0__bin.28	BackhedF_2015__SID45_12M__bin.3	BackhedF_2015__SID383_12M__bin.21	IjazUZ_2017__S151_a_WGS__bin.11	LiJ_2014__V1.FI15__bin.17	BackhedF_2015__SID9_M__bin.4	BackhedF_2015__SID45_M__bin.28	KarlssonFH_2013__S424__bin.12	LiJ_2014__V1.CD48-0__bin.25	XieH_2016__YSZC12003_35519__bin.24	LiJ_2014__V1.CD52-0__bin.49	BackhedF_2015__SID570_12M__bin.15	XieH_2016__YSZC12003_36390__bin.48	KarlssonFH_2013__S526__bin.31	XieH_2016__YSZC12003_37138__bin.93	XieH_2016__YSZC12003_35712__bin.2	QinJ_2012__DLF013__bin.9	ZellerG_2014__CCIS07648107ST-4-0__bin.39	FengQ_2015__SID530026__bin.55	FengQ_2015__SID31428__bin.14	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.49	FengQ_2015__SID530348__bin.7	FengQ_2015__SID31446__bin.29	LiJ_2014__V1.FI29__bin.19	ZeeviD_2015__PNP_Main_194__bin.53
BackhedF_2015__SID383_12M__bin.21	1188872.0	1511198.0	1482429.0	1233039.0	1052622.0	1383387.0	1262759.0	1512919.0	819181.0	1472003.0	1914904.0	1433053.0	1509680.0	1510754.0	942603.0	1077281.0	1252485.0	1469580.0	1487767.0	1041091.0	1427358.0	1492668.0	1457421.0	1052381.0	926148.0	874106.0	867241.0	608022.0	1513627.0	944078.0	1452531.0	1478804.0	1549899.0
IjazUZ_2017__S151_a_WGS__bin.11	1713848.0	2556010.0	2488251.0	2044635.0	1937806.0	2290735.0	2037094.0	2547996.0	1200418.0	2458419.0	1433053.0	3480283.0	2563459.0	2545479.0	1346000.0	1735083.0	1977319.0	2487445.0	2486485.0	1497868.0	2313615.0	2485266.0	2495604.0	1725638.0	1394460.0	1591092.0	1495401.0	1236778.0	2314376.0	1761284.0	2351560.0	2465618.0	2441004.0
LiJ_2014__V1.FI15__bin.17	1843633.0	2717473.0	2798106.0	2259212.0	2092834.0	2456361.0	2184677.0	2726729.0	1274994.0	2643598.0	1509680.0	2563459.0	4455742.0	2719110.0	1383714.0	1762969.0	2107517.0	2662248.0	2704439.0	1565672.0	2482253.0	2627912.0	2632349.0	1863385.0	1421149.0	1727327.0	1614004.0	1299187.0	2507065.0	1924838.0	2538419.0	2792215.0	2705475.0
BackhedF_2015__SID9_M__bin.4	1803535.0	2710807.0	2682407.0	2257497.0	2102306.0	2420543.0	2248340.0	2699433.0	1239036.0	2678243.0	1510754.0	2545479.0	2719110.0	3217053.0	1392740.0	1731668.0	2100180.0	2624659.0	2657633.0	1588663.0	2467653.0	2620462.0	2644900.0	1877881.0	1411855.0	1726372.0	1602898.0	1297971.0	2498516.0	1952059.0	2556495.0	2651143.0	2604988.0
BackhedF_2015__SID45_M__bin.28	1128741.0	1402558.0	1369337.0	1163189.0	996827.0	1264986.0	1148996.0	1398928.0	756338.0	1385395.0	942603.0	1346000.0	1383714.0	1392740.0	1689774.0	982159.0	1155640.0	1374008.0	1385509.0	953076.0	1341575.0	1392389.0	1331297.0	976072.0	952165.0	855599.0	836214.0	570980.0	1338312.0	925662.0	1345273.0	1358378.0	1357646.0
KarlssonFH_2013__S424__bin.12	1450492.0	1772482.0	1731537.0	1375154.0	1164946.0	1744945.0	1452590.0	1805558.0	955876.0	1724816.0	1077281.0	1735083.0	1762969.0	1731668.0	982159.0	3295669.0	1545400.0	1750358.0	1836630.0	1111275.0	1854203.0	1772050.0	1677911.0	1247883.0	1064570.0	1017235.0	1056675.0	699595.0	1756980.0	1050564.0	1740053.0	1710352.0	1752634.0
LiJ_2014__V1.CD48-0__bin.25	1580459.0	2071447.0	2108582.0	1694166.0	1440018.0	1846390.0	1740934.0	2143499.0	1055248.0	2143880.0	1252485.0	1977319.0	2107517.0	2100180.0	1155640.0	1545400.0	3114943.0	2018477.0	2097099.0	1300417.0	1966311.0	2054991.0	2008401.0	1429001.0	1180924.0	1213331.0	1088452.0	696377.0	1932804.0	1338003.0	1991693.0	2181465.0	1989891.0
XieH_2016__YSZC12003_35519__bin.24	1787130.0	2803986.0	2623420.0	2174685.0	2090224.0	2412099.0	2147662.0	2652656.0	1241168.0	2654801.0	1469580.0	2487445.0	2662248.0	2624659.0	1374008.0	1750358.0	2018477.0	3378158.0	2751059.0	1537424.0	2451790.0	2704347.0	2592888.0	1826246.0	1398633.0	1691820.0	1587163.0	1306922.0	2437829.0	1905859.0	2487976.0	2557103.0	2588320.0
LiJ_2014__V1.CD52-0__bin.49	1809486.0	2758580.0	2630965.0	2211902.0	2116404.0	2425505.0	2173315.0	2655529.0	1308146.0	2656572.0	1487767.0	2486485.0	2704439.0	2657633.0	1385509.0	1836630.0	2097099.0	2751059.0	4228041.0	1529607.0	2565424.0	2606808.0	2551656.0	1843790.0	1368001.0	1867297.0	1710739.0	1301196.0	2636272.0	1970823.0	2543129.0	2659030.0	2618286.0
BackhedF_2015__SID570_12M__bin.15	1174294.0	1621856.0	1556985.0	1284782.0	1092348.0	1404637.0	1284422.0	1588671.0	868288.0	1571888.0	1041091.0	1497868.0	1565672.0	1588663.0	953076.0	1111275.0	1300417.0	1537424.0	1529607.0	2147645.0	1440928.0	1534472.0	1513116.0	1077945.0	970410.0	897836.0	849149.0	638870.0	1480508.0	975974.0	1460814.0	1515037.0	1560334.0
XieH_2016__YSZC12003_36390__bin.48	1845095.0	2516260.0	2463966.0	2034511.0	1954272.0	2459798.0	2038993.0	2485137.0	1157271.0	2484813.0	1427358.0	2313615.0	2482253.0	2467653.0	1341575.0	1854203.0	1966311.0	2451790.0	2565424.0	1440928.0	3545159.0	2444333.0	2418521.0	1874545.0	1331494.0	1693596.0	1767052.0	1302621.0	2495533.0	1793728.0	2555189.0	2496062.0	2497419.0
KarlssonFH_2013__S526__bin.31	1802631.0	2828891.0	2626317.0	2192130.0	2124358.0	2372787.0	2169239.0	2736236.0	1250533.0	2677251.0	1492668.0	2485266.0	2627912.0	2620462.0	1392389.0	1772050.0	2054991.0	2704347.0	2606808.0	1534472.0	2444333.0	3342765.0	2591395.0	1785640.0	1423398.0	1719264.0	1614153.0	1272697.0	2459675.0	1954004.0	2440886.0	2536575.0	2595870.0
XieH_2016__YSZC12003_37138__bin.93	1735602.0	2702681.0	2611527.0	2165602.0	2106259.0	2383145.0	2154009.0	2631573.0	1181835.0	2632817.0	1457421.0	2495604.0	2632349.0	2644900.0	1331297.0	1677911.0	2008401.0	2592888.0	2551656.0	1513116.0	2418521.0	2591395.0	3097000.0	1830751.0	1382415.0	1714668.0	1628168.0	1343310.0	2390537.0	1959762.0	2468671.0	2583839.0	2551197.0
XieH_2016__YSZC12003_35712__bin.2	1319855.0	1860809.0	1844537.0	1762567.0	1476934.0	1887414.0	1737561.0	1844497.0	840365.0	1795063.0	1052381.0	1725638.0	1863385.0	1877881.0	976072.0	1247883.0	1429001.0	1826246.0	1843790.0	1077945.0	1874545.0	1785640.0	1830751.0	3602392.0	972478.0	1232663.0	1296314.0	996867.0	1804948.0	1356541.0	2046203.0	1855541.0	1872501.0
QinJ_2012__DLF013__bin.9	1128672.0	1418430.0	1399648.0	1206206.0	981844.0	1304033.0	1198433.0	1441290.0	825057.0	1375291.0	926148.0	1394460.0	1421149.0	1411855.0	952165.0	1064570.0	1180924.0	1398633.0	1368001.0	970410.0	1331494.0	1423398.0	1382415.0	972478.0	1571664.0	818047.0	789954.0	582635.0	1356045.0	877352.0	1349104.0	1378829.0	1404774.0
ZellerG_2014__CCIS07648107ST-4-0__bin.39	1001638.0	1768426.0	1709200.0	1530462.0	1738483.0	1569040.0	1465010.0	1802857.0	748601.0	1707228.0	874106.0	1591092.0	1727327.0	1726372.0	855599.0	1017235.0	1213331.0	1691820.0	1867297.0	897836.0	1693596.0	1719264.0	1714668.0	1232663.0	818047.0	2005839.0	1635482.0	1208621.0	1767150.0	1715482.0	1575235.0	1693222.0	1684576.0
FengQ_2015__SID530026__bin.55	1061665.0	1643912.0	1606557.0	1390687.0	1621157.0	1661652.0	1375884.0	1616089.0	718316.0	1545425.0	867241.0	1495401.0	1614004.0	1602898.0	836214.0	1056675.0	1088452.0	1587163.0	1710739.0	849149.0	1767052.0	1614153.0	1628168.0	1296314.0	789954.0	1635482.0	2164000.0	1157725.0	1701890.0	1554276.0	1668842.0	1632677.0	1640407.0
FengQ_2015__SID31428__bin.14	688069.0	1340707.0	1289292.0	1167786.0	1288776.0	1271301.0	1078703.0	1318428.0	496524.0	1264048.0	608022.0	1236778.0	1299187.0	1297971.0	570980.0	699595.0	696377.0	1306922.0	1301196.0	638870.0	1302621.0	1272697.0	1343310.0	996867.0	582635.0	1208621.0	1157725.0	2057681.0	1198516.0	1297511.0	1211742.0	1308614.0	1315349.0
VogtmannE_2016__MMRS44197125ST-27-0-0__bin.49	1750950.0	2516822.0	2458491.0	2065120.0	1933038.0	2300736.0	2087838.0	2488040.0	1204176.0	2436263.0	1513627.0	2314376.0	2507065.0	2498516.0	1338312.0	1756980.0	1932804.0	2437829.0	2636272.0	1480508.0	2495533.0	2459675.0	2390537.0	1804948.0	1356045.0	1767150.0	1701890.0	1198516.0	3561856.0	1763292.0	2409025.0	2449533.0	2588736.0
FengQ_2015__SID530348__bin.7	1134967.0	2038212.0	1923728.0	1639271.0	2008132.0	1750905.0	1556682.0	1926949.0	783295.0	1986654.0	944078.0	1761284.0	1924838.0	1952059.0	925662.0	1050564.0	1338003.0	1905859.0	1970823.0	975974.0	1793728.0	1954004.0	1959762.0	1356541.0	877352.0	1715482.0	1554276.0	1297511.0	1763292.0	2561113.0	1825464.0	1926692.0	1849490.0
FengQ_2015__SID31446__bin.29	1851525.0	2541942.0	2522745.0	2086820.0	1936480.0	2481809.0	2088623.0	2516968.0	1203247.0	2491836.0	1452531.0	2351560.0	2538419.0	2556495.0	1345273.0	1740053.0	1991693.0	2487976.0	2543129.0	1460814.0	2555189.0	2440886.0	2468671.0	2046203.0	1349104.0	1575235.0	1668842.0	1211742.0	2409025.0	1825464.0	3551698.0	2543358.0	2498201.0
LiJ_2014__V1.FI29__bin.19	1800831.0	2622066.0	2624967.0	2180524.0	2061916.0	2384420.0	2132551.0	2637571.0	1212167.0	2631886.0	1478804.0	2465618.0	2792215.0	2651143.0	1358378.0	1710352.0	2181465.0	2557103.0	2659030.0	1515037.0	2496062.0	2536575.0	2583839.0	1855541.0	1378829.0	1693222.0	1632677.0	1308614.0	2449533.0	1926692.0	2543358.0	4008872.0	2583545.0
ZeeviD_2015__PNP_Main_194__bin.53	1832564.0	2792420.0	2607378.0	2164609.0	2011000.0	2439436.0	2163380.0	2635602.0	1219643.0	2568281.0	1549899.0	2441004.0	2705475.0	2604988.0	1357646.0	1752634.0	1989891.0	2588320.0	2618286.0	1560334.0	2497419.0	2595870.0	2551197.0	1872501.0	1404774.0	1684576.0	1640407.0	1315349.0	2588736.0	1849490.0	2498201.0	2583545.0	4266488.0
