	LiuW_2016__SRR3993059__bin.115	CosteaPI_2017__SID713B051-11-90-0__bin.29	SchirmerM_2016__G88966__bin.18	CosteaPI_2017__SID713B072-11-90-0__bin.79	Obregon-TitoAJ_2015__SM32__bin.9	ZeeviD_2015__PNP_Validation_49__bin.69	FengQ_2015__SID530600__bin.53	ZeeviD_2015__PNP_Main_683__bin.7	ZeeviD_2015__PNP_Main_203__bin.19	CosteaPI_2017__SID713A051-11-0-0__bin.6	BritoIL_2016__WL.28.ST__bin.7	BritoIL_2016__M2.36.ST__bin.4	LeChatelierE_2013__MH0224__bin.50	LiJ_2014__MH0303__bin.6	Obregon-TitoAJ_2015__SM28__bin.49	NielsenHB_2014__MH0118__bin.18	LeChatelierE_2013__MH0096__bin.55	ZeeviD_2015__PNP_Main_338__bin.24	RampelliS_2015__H17__bin.86	CosteaPI_2017__SID713B051-11-0-0__bin.64	LeChatelierE_2013__MH0053__bin.24	RampelliS_2015__H14__bin.54	BritoIL_2016__M2.44.ST__bin.6	LiuW_2016__SRR3992958__bin.90	Obregon-TitoAJ_2015__SM23__bin.21	ZeeviD_2015__PNP_Validation_47__bin.8	XieH_2016__YSZC12003_36795__bin.4	NielsenHB_2014__MH0096__bin.26	XieH_2016__YSZC12003_37100__bin.138	CosteaPI_2017__SID713A038-11-90-0__bin.25	CosteaPI_2017__SID713A004-11-90-0__bin.51	LiuW_2016__SRR3992978__bin.105	ZeeviD_2015__PNP_Main_27__bin.15	LiJ_2014__O2.UC44-1__bin.23	ZeeviD_2015__PNP_Main_325__bin.44	CM_madagascar__A94_03_1FE__bin.9	BritoIL_2016__M2.41.ST__bin.36	LeChatelierE_2013__MH0118__bin.24	NielsenHB_2014__MH0053__bin.13	ZeeviD_2015__PNP_Main_559__bin.27	CosteaPI_2017__SID713B066-11-90-0__bin.38	BritoIL_2016__M1.38.ST__bin.60	CosteaPI_2017__SID713B066-11-0-0__bin.23	BritoIL_2016__M2.37.ST__bin.35	Obregon-TitoAJ_2015__SM39__bin.43	CM_madagascar__A39_02_1FE__bin.34	YuJ_2015__SZAXPI015264-87__bin.34	RampelliS_2015__H13__bin.36	Obregon-TitoAJ_2015__SM18__bin.27
RampelliS_2015__H17__bin.86	1347817.0	1324351.0	869498.0	1374876.0	1087513.0	1335886.0	1364712.0	955474.0	1090766.0	1373612.0	1304242.0	1282069.0	1086106.0	1364886.0	1375750.0	1376659.0	1265864.0	766353.0	1468357.0	1380684.0	1373355.0	1388884.0	1374975.0	985035.0	1137829.0	1338303.0	1380658.0	1266293.0	1327878.0	1370659.0	1379151.0	978846.0	1099841.0	1022347.0	1261424.0	885768.0	1261996.0	1008424.0	1375500.0	845572.0	1309081.0	995528.0	1299851.0	1214828.0	1372921.0	792043.0	1349346.0	1392377.0	1383587.0
CosteaPI_2017__SID713B051-11-0-0__bin.64	2004212.0	2021728.0	1221740.0	2060828.0	1595991.0	2004617.0	2050573.0	1397241.0	1661900.0	2074106.0	1933429.0	1966931.0	1577893.0	2157900.0	2063026.0	2045993.0	1913487.0	1189228.0	1380684.0	2252369.0	2045397.0	2065336.0	2106089.0	1180141.0	1690504.0	2028733.0	2141349.0	1865310.0	1947185.0	2025798.0	2071864.0	1211633.0	1652713.0	1425214.0	1853314.0	1178497.0	1897892.0	1485036.0	2038288.0	1286798.0	1977531.0	1380721.0	1784402.0	1775069.0	2039927.0	1103181.0	2027252.0	2045944.0	2073803.0
LeChatelierE_2013__MH0053__bin.24	1976295.0	1903509.0	1240191.0	2030024.0	1548482.0	1961794.0	2024156.0	1360051.0	1637115.0	2024915.0	1884719.0	1893541.0	1556648.0	2013996.0	2025558.0	2049192.0	1884782.0	1110798.0	1373355.0	2045397.0	2247196.0	2067317.0	2031477.0	1164253.0	1641371.0	1967755.0	2063923.0	1824900.0	1914811.0	1972455.0	2041797.0	1191605.0	1627706.0	1401364.0	1836562.0	1176420.0	1826421.0	1496380.0	2179567.0	1260517.0	1919334.0	1360542.0	1740964.0	1717293.0	2004951.0	1088426.0	1991764.0	2050070.0	2034100.0
RampelliS_2015__H14__bin.54	1977271.0	1925224.0	1229513.0	2036367.0	1609638.0	1954096.0	2030150.0	1383728.0	1653691.0	2041973.0	1931903.0	1906410.0	1562193.0	2035593.0	2047934.0	2068322.0	1894632.0	1121471.0	1388884.0	2065336.0	2067317.0	2345344.0	2057051.0	1168641.0	1707091.0	1993365.0	2074683.0	1831802.0	1928313.0	1978459.0	2050826.0	1191446.0	1637044.0	1402306.0	1840549.0	1165767.0	1864974.0	1473017.0	2077886.0	1299036.0	1931838.0	1375059.0	1780416.0	1756310.0	2088967.0	1101461.0	1987024.0	2255409.0	2104220.0
BritoIL_2016__M2.44.ST__bin.6	1980159.0	1953763.0	1210345.0	2107328.0	1560283.0	1987431.0	2034005.0	1384569.0	1652478.0	2045785.0	1914149.0	2055209.0	1567570.0	2050422.0	2046899.0	2030543.0	1881537.0	1158648.0	1374975.0	2106089.0	2031477.0	2057051.0	2272278.0	1178897.0	1650546.0	2006200.0	2100291.0	1840321.0	1924064.0	1992329.0	2059371.0	1207434.0	1645864.0	1422516.0	1844855.0	1171214.0	1951914.0	1478054.0	2022286.0	1270793.0	1938387.0	1381698.0	1772132.0	1805387.0	2021972.0	1095087.0	2009892.0	2040612.0	2031433.0
LiuW_2016__SRR3992958__bin.90	1157584.0	1141154.0	772638.0	1175996.0	922654.0	1147011.0	1169946.0	800540.0	905826.0	1170088.0	1107228.0	1105679.0	948562.0	1171290.0	1170259.0	1165575.0	1065850.0	637815.0	985035.0	1180141.0	1164253.0	1168641.0	1178897.0	1226477.0	969262.0	1152803.0	1179099.0	1096865.0	1136804.0	1174120.0	1184199.0	932485.0	935775.0	908140.0	1072046.0	822647.0	1074818.0	869753.0	1157005.0	696231.0	1120150.0	835184.0	1131720.0	1045361.0	1160867.0	714297.0	1157814.0	1167926.0	1169400.0
Obregon-TitoAJ_2015__SM23__bin.21	1590280.0	1566660.0	965552.0	1634394.0	1767231.0	1653000.0	1633769.0	1058737.0	1290912.0	1653584.0	1519604.0	1507258.0	1217754.0	1689166.0	1681880.0	1652894.0	1490905.0	856037.0	1137829.0	1690504.0	1641371.0	1707091.0	1650546.0	969262.0	1905821.0	1667174.0	1676065.0	1606442.0	1558679.0	1614335.0	1662808.0	980641.0	1291972.0	1132663.0	1471431.0	972105.0	1460196.0	1457248.0	1631986.0	903320.0	1617348.0	1082759.0	1445126.0	1399376.0	1730937.0	868601.0	1604849.0	1704228.0	1871968.0
ZeeviD_2015__PNP_Validation_47__bin.8	1945697.0	1904935.0	1174115.0	1972950.0	1567779.0	2153673.0	1996815.0	1365552.0	1600489.0	2015730.0	1911454.0	1859083.0	1534419.0	2006680.0	2000299.0	1995415.0	1867231.0	1086853.0	1338303.0	2028733.0	1967755.0	1993365.0	2006200.0	1152803.0	1667174.0	2261437.0	2049646.0	1821477.0	1889949.0	1958353.0	2030698.0	1186828.0	1621626.0	1388699.0	1809358.0	1150225.0	1818992.0	1481154.0	1975044.0	1236122.0	1956112.0	1339902.0	1735675.0	1699461.0	1970027.0	1075073.0	1969516.0	1963458.0	1988928.0
XieH_2016__YSZC12003_36795__bin.4	2012124.0	1973602.0	1222331.0	2061169.0	1578894.0	2027824.0	2053040.0	1391841.0	1677667.0	2088559.0	1928405.0	1951092.0	1590580.0	2099246.0	2057219.0	2054604.0	1911420.0	1161209.0	1380658.0	2141349.0	2063923.0	2074683.0	2100291.0	1179099.0	1676065.0	2049646.0	2381362.0	1865994.0	1952525.0	2013421.0	2113759.0	1209060.0	1671007.0	1422904.0	1854604.0	1175770.0	1893144.0	1493130.0	2060906.0	1285118.0	1985360.0	1379012.0	1790665.0	1768176.0	2052717.0	1112094.0	2022205.0	2061982.0	2064286.0
NielsenHB_2014__MH0096__bin.26	1842726.0	1746456.0	1092652.0	1862848.0	1525531.0	1812481.0	1838787.0	1246387.0	1448120.0	1860568.0	1732316.0	1698445.0	1424684.0	1860152.0	1844459.0	1843383.0	1823144.0	1012810.0	1266293.0	1865310.0	1824900.0	1831802.0	1840321.0	1096865.0	1606442.0	1821477.0	1865994.0	1976757.0	1765367.0	1822933.0	1877996.0	1114446.0	1485725.0	1294243.0	1679806.0	1090011.0	1646896.0	1436321.0	1818838.0	1101967.0	1754429.0	1244604.0	1637397.0	1568387.0	1820836.0	979092.0	1824328.0	1812565.0	1857368.0
XieH_2016__YSZC12003_37100__bin.138	1886039.0	1834060.0	1174164.0	1930460.0	1468135.0	1876141.0	1933025.0	1333639.0	1572539.0	1944356.0	1824161.0	1775426.0	1502419.0	1927417.0	1970584.0	1915106.0	1828486.0	1076455.0	1327878.0	1947185.0	1914811.0	1928313.0	1924064.0	1136804.0	1558679.0	1889949.0	1952525.0	1765367.0	2169803.0	1881046.0	1945205.0	1168421.0	1588588.0	1368195.0	1794736.0	1136915.0	1767824.0	1376372.0	1905911.0	1214968.0	1830885.0	1335275.0	1679230.0	1644151.0	1926519.0	1048337.0	1899263.0	1904463.0	1958897.0
CosteaPI_2017__SID713A038-11-90-0__bin.25	1953184.0	1892112.0	1209188.0	1982300.0	1525474.0	1941200.0	1985780.0	1361256.0	1603338.0	1998405.0	1870107.0	1846524.0	1554107.0	1986805.0	1996754.0	1991315.0	1846390.0	1100666.0	1370659.0	2025798.0	1972455.0	1978459.0	1992329.0	1174120.0	1614335.0	1958353.0	2013421.0	1822933.0	1881046.0	2101882.0	2018400.0	1207940.0	1608033.0	1402619.0	1817315.0	1162569.0	1804529.0	1454481.0	1977897.0	1255819.0	1894418.0	1364146.0	1758785.0	1702290.0	1964524.0	1081069.0	1963067.0	1960810.0	1967643.0
CosteaPI_2017__SID713A004-11-90-0__bin.51	2037773.0	1923717.0	1235533.0	2049114.0	1566780.0	2007771.0	2087876.0	1411700.0	1651924.0	2063202.0	1946804.0	1911615.0	1589855.0	2044932.0	2051102.0	2052487.0	1933721.0	1126596.0	1379151.0	2071864.0	2041797.0	2050826.0	2059371.0	1184199.0	1662808.0	2030698.0	2113759.0	1877996.0	1945205.0	2018400.0	2236523.0	1214566.0	1670379.0	1435424.0	1856398.0	1173412.0	1852251.0	1483870.0	2040844.0	1297974.0	1946754.0	1379816.0	1772986.0	1741195.0	2045866.0	1096465.0	2030344.0	2033401.0	2051234.0
LiuW_2016__SRR3992978__bin.105	1196245.0	1175248.0	767603.0	1202740.0	943631.0	1181360.0	1200610.0	831959.0	949303.0	1193771.0	1145899.0	1137050.0	973239.0	1200220.0	1199193.0	1189851.0	1106524.0	668516.0	978846.0	1211633.0	1191605.0	1191446.0	1207434.0	932485.0	980641.0	1186828.0	1209060.0	1114446.0	1168421.0	1207940.0	1214566.0	1283371.0	969928.0	926528.0	1103657.0	822411.0	1109072.0	879377.0	1195236.0	712550.0	1144015.0	872327.0	1155579.0	1065211.0	1193467.0	715943.0	1189633.0	1192571.0	1189582.0
ZeeviD_2015__PNP_Main_27__bin.15	1607827.0	1557007.0	987732.0	1624349.0	1207370.0	1607176.0	1641618.0	1158064.0	1384028.0	1660882.0	1572532.0	1517816.0	1299719.0	1632185.0	1638914.0	1655259.0	1534131.0	950782.0	1099841.0	1652713.0	1627706.0	1637044.0	1645864.0	935775.0	1291972.0	1621626.0	1671007.0	1485725.0	1588588.0	1608033.0	1670379.0	969928.0	1865980.0	1178773.0	1548309.0	924945.0	1495084.0	1153655.0	1630326.0	1072096.0	1563660.0	1142255.0	1416576.0	1395809.0	1623743.0	885899.0	1615006.0	1621472.0	1627667.0
LiJ_2014__O2.UC44-1__bin.23	1403542.0	1361333.0	888766.0	1404720.0	1069621.0	1382453.0	1411901.0	1005865.0	1145315.0	1421459.0	1361257.0	1307435.0	1164456.0	1401832.0	1415392.0	1408621.0	1310898.0	801063.0	1022347.0	1425214.0	1401364.0	1402306.0	1422516.0	908140.0	1132663.0	1388699.0	1422904.0	1294243.0	1368195.0	1402619.0	1435424.0	926528.0	1178773.0	1515266.0	1329757.0	876297.0	1298157.0	1010137.0	1397501.0	907197.0	1346666.0	1013003.0	1275757.0	1246464.0	1411014.0	797343.0	1430192.0	1391388.0	1397864.0
ZeeviD_2015__PNP_Main_325__bin.44	1811225.0	1743940.0	1117628.0	1818285.0	1394366.0	1798742.0	1841428.0	1278596.0	1518514.0	1858251.0	1741279.0	1709131.0	1445364.0	1822127.0	1862049.0	1848109.0	1726929.0	1037780.0	1261424.0	1853314.0	1836562.0	1840549.0	1844855.0	1072046.0	1471431.0	1809358.0	1854604.0	1679806.0	1794736.0	1817315.0	1856398.0	1103657.0	1548309.0	1329757.0	1993337.0	1085480.0	1689801.0	1334365.0	1829312.0	1176687.0	1756193.0	1281253.0	1609735.0	1592138.0	1831041.0	982564.0	1815456.0	1824005.0	1828969.0
CM_madagascar__A94_03_1FE__bin.9	1148043.0	1137372.0	762744.0	1179985.0	928173.0	1149326.0	1177853.0	796400.0	927283.0	1166991.0	1094071.0	1097307.0	930977.0	1168040.0	1178675.0	1166467.0	1075137.0	648928.0	885768.0	1178497.0	1176420.0	1165767.0	1171214.0	822647.0	972105.0	1150225.0	1175770.0	1090011.0	1136915.0	1162569.0	1173412.0	822411.0	924945.0	876297.0	1085480.0	1320202.0	1079001.0	876041.0	1168149.0	697389.0	1116273.0	836565.0	1068437.0	1029402.0	1157554.0	707132.0	1147657.0	1157905.0	1163549.0
BritoIL_2016__M2.41.ST__bin.36	1776109.0	1803049.0	1118443.0	1887528.0	1374757.0	1778206.0	1830777.0	1290221.0	1507765.0	1849328.0	1753020.0	1801907.0	1452927.0	1847549.0	1837342.0	1831801.0	1703514.0	1074364.0	1261996.0	1897892.0	1826421.0	1864974.0	1951914.0	1074818.0	1460196.0	1818992.0	1893144.0	1646896.0	1767824.0	1804529.0	1852251.0	1109072.0	1495084.0	1298157.0	1689801.0	1079001.0	2028125.0	1291129.0	1839982.0	1169229.0	1749069.0	1269975.0	1611253.0	1661394.0	1816229.0	1010998.0	1811035.0	1830376.0	1829212.0
