	LiuW_2016__SRR3993059__bin.115	CosteaPI_2017__SID713B051-11-90-0__bin.29	SchirmerM_2016__G88966__bin.18	CosteaPI_2017__SID713B072-11-90-0__bin.79	Obregon-TitoAJ_2015__SM32__bin.9	ZeeviD_2015__PNP_Validation_49__bin.69	FengQ_2015__SID530600__bin.53	ZeeviD_2015__PNP_Main_683__bin.7	ZeeviD_2015__PNP_Main_203__bin.19	CosteaPI_2017__SID713A051-11-0-0__bin.6	BritoIL_2016__WL.28.ST__bin.7	BritoIL_2016__M2.36.ST__bin.4	LeChatelierE_2013__MH0224__bin.50	LiJ_2014__MH0303__bin.6	Obregon-TitoAJ_2015__SM28__bin.49	NielsenHB_2014__MH0118__bin.18	LeChatelierE_2013__MH0096__bin.55	ZeeviD_2015__PNP_Main_338__bin.24	RampelliS_2015__H17__bin.86	CosteaPI_2017__SID713B051-11-0-0__bin.64	LeChatelierE_2013__MH0053__bin.24	RampelliS_2015__H14__bin.54	BritoIL_2016__M2.44.ST__bin.6	LiuW_2016__SRR3992958__bin.90	Obregon-TitoAJ_2015__SM23__bin.21	ZeeviD_2015__PNP_Validation_47__bin.8	XieH_2016__YSZC12003_36795__bin.4	NielsenHB_2014__MH0096__bin.26	XieH_2016__YSZC12003_37100__bin.138	CosteaPI_2017__SID713A038-11-90-0__bin.25	CosteaPI_2017__SID713A004-11-90-0__bin.51	LiuW_2016__SRR3992978__bin.105	ZeeviD_2015__PNP_Main_27__bin.15	LiJ_2014__O2.UC44-1__bin.23	ZeeviD_2015__PNP_Main_325__bin.44	CM_madagascar__A94_03_1FE__bin.9	BritoIL_2016__M2.41.ST__bin.36	LeChatelierE_2013__MH0118__bin.24	NielsenHB_2014__MH0053__bin.13	ZeeviD_2015__PNP_Main_559__bin.27	CosteaPI_2017__SID713B066-11-90-0__bin.38	BritoIL_2016__M1.38.ST__bin.60	CosteaPI_2017__SID713B066-11-0-0__bin.23	BritoIL_2016__M2.37.ST__bin.35	Obregon-TitoAJ_2015__SM39__bin.43	CM_madagascar__A39_02_1FE__bin.34	YuJ_2015__SZAXPI015264-87__bin.34	RampelliS_2015__H13__bin.36	Obregon-TitoAJ_2015__SM18__bin.27
BritoIL_2016__WL.28.ST__bin.7	20422.0	19910.0	12035.0	19552.0	25530.0	18588.0	23384.0	9301.0	18431.0	19770.0	0.0	18430.0	16373.0	20258.0	27446.0	21063.0	19582.0	11822.0	16328.0	20882.0	21656.0	27169.0	19936.0	10783.0	27669.0	19609.0	21478.0	18823.0	25019.0	19603.0	19872.0	11607.0	17187.0	14774.0	19695.0	14606.0	18568.0	14784.0	22303.0	14120.0	19079.0	13075.0	17386.0	17049.0	31665.0	13878.0	19626.0	26493.0	32841.0
BritoIL_2016__M2.36.ST__bin.4	19125.0	19367.0	11542.0	10395.0	25740.0	20079.0	25609.0	14753.0	18583.0	20109.0	18430.0	0.0	16220.0	19162.0	27074.0	21081.0	18959.0	11888.0	16611.0	20852.0	22488.0	26735.0	1085.0	10940.0	27703.0	20706.0	21988.0	18828.0	23832.0	19648.0	20005.0	11715.0	17420.0	14244.0	20746.0	14713.0	1179.0	15304.0	22785.0	12841.0	18585.0	13932.0	16917.0	287.0	31679.0	13957.0	19859.0	26456.0	33056.0
LeChatelierE_2013__MH0224__bin.50	17926.0	16724.0	11163.0	17076.0	20990.0	16684.0	20624.0	13208.0	15125.0	17408.0	16373.0	16220.0	0.0	17199.0	23194.0	18423.0	16590.0	9936.0	14279.0	17546.0	18827.0	22574.0	17168.0	9261.0	22896.0	16940.0	18866.0	16415.0	20998.0	17078.0	17937.0	10964.0	15166.0	8108.0	17708.0	13637.0	15970.0	13239.0	19018.0	11758.0	16887.0	12456.0	15524.0	15074.0	26433.0	12501.0	10235.0	22352.0	28042.0
LiJ_2014__MH0303__bin.6	21796.0	5732.0	12273.0	19576.0	28795.0	20219.0	24863.0	15042.0	19297.0	21291.0	20258.0	19162.0	17199.0	0.0	29562.0	22549.0	20779.0	3002.0	17373.0	5710.0	23439.0	28384.0	20235.0	11459.0	31264.0	20792.0	23132.0	20312.0	27022.0	21125.0	21226.0	12214.0	17815.0	15177.0	21468.0	15909.0	18597.0	16448.0	23876.0	14344.0	20169.0	14232.0	18108.0	17267.0	33907.0	14448.0	20588.0	27958.0	36614.0
Obregon-TitoAJ_2015__SM28__bin.49	29119.0	27246.0	16400.0	29343.0	28569.0	27830.0	30969.0	20071.0	23449.0	28823.0	27446.0	27074.0	23194.0	29562.0	0.0	29244.0	27653.0	15760.0	20738.0	29964.0	29872.0	32481.0	30239.0	15475.0	31161.0	28234.0	29989.0	26892.0	29787.0	28569.0	29660.0	16050.0	23456.0	20760.0	27259.0	17264.0	26404.0	21690.0	30202.0	17634.0	27624.0	18937.0	24333.0	24163.0	34852.0	15931.0	28863.0	32309.0	36590.0
NielsenHB_2014__MH0118__bin.18	22683.0	20854.0	12494.0	22226.0	27729.0	22642.0	25262.0	16054.0	19332.0	22281.0	21063.0	21081.0	18423.0	22549.0	29244.0	0.0	22431.0	12542.0	17138.0	22792.0	22336.0	28703.0	22822.0	11988.0	30602.0	22997.0	24541.0	21215.0	25842.0	21919.0	22258.0	12354.0	19155.0	15604.0	21417.0	15969.0	20631.0	94.0	23014.0	14671.0	21945.0	14224.0	19098.0	18852.0	34523.0	14701.0	22072.0	28174.0	36044.0
LeChatelierE_2013__MH0096__bin.55	21036.0	19473.0	12315.0	20844.0	25283.0	20366.0	24745.0	14934.0	18772.0	19918.0	19582.0	18959.0	16590.0	20779.0	27653.0	22431.0	0.0	11671.0	16882.0	20815.0	23751.0	27580.0	20195.0	10773.0	27387.0	20625.0	22524.0	317.0	26210.0	19792.0	21423.0	11367.0	17339.0	14741.0	20769.0	15076.0	18121.0	15234.0	23317.0	13497.0	19476.0	13794.0	17107.0	17307.0	31657.0	13677.0	19931.0	26479.0	34606.0
ZeeviD_2015__PNP_Main_338__bin.24	12213.0	2807.0	7422.0	11795.0	14581.0	11136.0	13507.0	9063.0	11644.0	11714.0	11822.0	11888.0	9936.0	3002.0	15760.0	12542.0	11671.0	0.0	9631.0	2934.0	12985.0	16009.0	12897.0	6510.0	15781.0	11538.0	13541.0	11540.0	14579.0	11820.0	12169.0	7322.0	10469.0	8967.0	12204.0	9157.0	11659.0	8593.0	12968.0	8400.0	10989.0	8870.0	10608.0	10633.0	18323.0	8849.0	11797.0	15704.0	19734.0
RampelliS_2015__H17__bin.86	17145.0	16845.0	10563.0	17526.0	18887.0	16996.0	18051.0	12861.0	13363.0	17184.0	16328.0	16611.0	14279.0	17373.0	20738.0	17138.0	16882.0	9631.0	0.0	17554.0	16804.0	14150.0	17577.0	12771.0	20260.0	16978.0	18264.0	16999.0	19420.0	17580.0	17430.0	11842.0	13504.0	13241.0	15750.0	13369.0	16163.0	12924.0	16967.0	9722.0	16551.0	12553.0	16646.0	15360.0	22839.0	11550.0	16636.0	14261.0	23701.0
CosteaPI_2017__SID713B051-11-0-0__bin.64	22052.0	454.0	12483.0	20981.0	28856.0	20921.0	25625.0	15458.0	20089.0	21508.0	20882.0	20852.0	17546.0	5710.0	29964.0	22792.0	20815.0	2934.0	17554.0	0.0	24338.0	28847.0	22161.0	11665.0	31055.0	21519.0	24070.0	20264.0	27058.0	21286.0	21528.0	12265.0	17950.0	15009.0	22046.0	16376.0	20003.0	16822.0	24537.0	14445.0	20248.0	14930.0	18321.0	18334.0	34185.0	15198.0	20535.0	28424.0	36432.0
LeChatelierE_2013__MH0053__bin.24	24205.0	22748.0	14493.0	24636.0	28645.0	22348.0	25999.0	16447.0	19380.0	23223.0	21656.0	22488.0	18827.0	23439.0	29872.0	22336.0	23751.0	12985.0	16804.0	24338.0	0.0	29103.0	24372.0	12750.0	30797.0	22750.0	26725.0	22270.0	26651.0	22709.0	24219.0	13299.0	18824.0	16434.0	20914.0	17043.0	21612.0	16444.0	608.0	12466.0	22316.0	14958.0	19531.0	20003.0	33887.0	15378.0	23181.0	29055.0	36833.0
RampelliS_2015__H14__bin.54	28746.0	26860.0	17030.0	28936.0	27948.0	26879.0	30070.0	19818.0	22542.0	28445.0	27169.0	26735.0	22574.0	28384.0	32481.0	28703.0	27580.0	16009.0	14150.0	28847.0	29103.0	0.0	28476.0	15267.0	30238.0	27954.0	29708.0	25811.0	30030.0	27337.0	29609.0	15499.0	23012.0	19001.0	25217.0	17703.0	25976.0	20368.0	29967.0	16685.0	26031.0	18189.0	23641.0	24030.0	35090.0	17346.0	26655.0	296.0	36525.0
BritoIL_2016__M2.44.ST__bin.6	21416.0	20723.0	12627.0	11205.0	28023.0	21411.0	27219.0	15898.0	20102.0	21310.0	19936.0	1085.0	17168.0	20235.0	30239.0	22822.0	20195.0	12897.0	17577.0	22161.0	24372.0	28476.0	0.0	11908.0	29912.0	21983.0	23364.0	20101.0	26158.0	20998.0	21530.0	12688.0	18801.0	15415.0	22301.0	15969.0	323.0	16613.0	24154.0	14201.0	19940.0	14973.0	18044.0	1347.0	33886.0	14457.0	21466.0	28354.0	35246.0
LiuW_2016__SRR3992958__bin.90	11369.0	11562.0	7721.0	11655.0	14997.0	11246.0	13286.0	8701.0	9899.0	11037.0	10783.0	10940.0	9261.0	11459.0	15475.0	11988.0	10773.0	6510.0	12771.0	11665.0	12750.0	15267.0	11908.0	0.0	16123.0	11370.0	12156.0	10799.0	14878.0	11591.0	11624.0	9245.0	9907.0	9315.0	11622.0	10875.0	10788.0	9025.0	12722.0	7433.0	10889.0	8355.0	11097.0	10432.0	17421.0	9051.0	10373.0	15296.0	18947.0
Obregon-TitoAJ_2015__SM23__bin.21	29462.0	28313.0	16775.0	29757.0	297.0	30356.0	30821.0	19550.0	23535.0	30089.0	27669.0	27703.0	22896.0	31264.0	31161.0	30602.0	27387.0	15781.0	20260.0	31055.0	30797.0	30238.0	29912.0	16123.0	0.0	30633.0	31209.0	28935.0	30778.0	28720.0	30560.0	16719.0	23412.0	20631.0	26701.0	18342.0	26527.0	26365.0	30867.0	16413.0	29756.0	18717.0	25085.0	24512.0	28856.0	16888.0	29003.0	29996.0	200.0
ZeeviD_2015__PNP_Validation_47__bin.8	21492.0	20335.0	12134.0	20601.0	28499.0	205.0	25488.0	14881.0	18186.0	20615.0	19609.0	20706.0	16940.0	20792.0	28234.0	22997.0	20625.0	11538.0	16978.0	21519.0	22750.0	27954.0	21983.0	11370.0	30633.0	0.0	23252.0	20267.0	25664.0	19515.0	20537.0	12301.0	17308.0	15153.0	20630.0	15752.0	20445.0	17003.0	23014.0	13845.0	21128.0	13677.0	18142.0	18225.0	32469.0	14443.0	20074.0	27391.0	34852.0
XieH_2016__YSZC12003_36795__bin.4	24019.0	22089.0	13787.0	23130.0	28684.0	22653.0	26835.0	16309.0	21424.0	23491.0	21478.0	21988.0	18866.0	23132.0	29989.0	24541.0	22524.0	13541.0	18264.0	24070.0	26725.0	29708.0	23364.0	12156.0	31209.0	23252.0	0.0	22074.0	28343.0	22948.0	24958.0	13060.0	20235.0	16272.0	22816.0	17078.0	20936.0	18214.0	26943.0	14990.0	22297.0	15624.0	19322.0	19079.0	35689.0	16395.0	22481.0	29339.0	37108.0
NielsenHB_2014__MH0096__bin.26	20326.0	19083.0	11632.0	20160.0	26893.0	20131.0	23625.0	14394.0	17735.0	19793.0	18823.0	18828.0	16415.0	20312.0	26892.0	21215.0	317.0	11540.0	16999.0	20264.0	22270.0	25811.0	20101.0	10799.0	28935.0	20267.0	22074.0	0.0	25388.0	19596.0	20288.0	11504.0	16893.0	14628.0	20217.0	14924.0	17811.0	16196.0	21899.0	12647.0	19330.0	13163.0	17366.0	17059.0	31055.0	13111.0	19649.0	25445.0	33737.0
XieH_2016__YSZC12003_37100__bin.138	26671.0	25349.0	15281.0	27614.0	28505.0	25327.0	27207.0	18178.0	21881.0	26376.0	25019.0	23832.0	20998.0	27022.0	29787.0	25842.0	26210.0	14579.0	19420.0	27058.0	26651.0	30030.0	26158.0	14878.0	30778.0	25664.0	28343.0	25388.0	0.0	25966.0	27135.0	15349.0	22150.0	18827.0	24441.0	13281.0	24080.0	18795.0	26794.0	15689.0	25256.0	17718.0	22183.0	21914.0	35480.0	11952.0	25552.0	29738.0	38133.0
CosteaPI_2017__SID713A038-11-90-0__bin.25	20854.0	19933.0	12255.0	20879.0	26619.0	19122.0	23939.0	14978.0	18301.0	20525.0	19603.0	19648.0	17078.0	21125.0	28569.0	21919.0	19792.0	11820.0	17580.0	21286.0	22709.0	27337.0	20998.0	11591.0	28720.0	19515.0	22948.0	19596.0	25966.0	0.0	19791.0	12343.0	17388.0	14934.0	20974.0	15744.0	18988.0	16077.0	23148.0	13854.0	19701.0	13476.0	17566.0	17349.0	32262.0	14679.0	19774.0	27099.0	33727.0
CosteaPI_2017__SID713A004-11-90-0__bin.51	22815.0	19982.0	12891.0	21850.0	27868.0	19893.0	26323.0	14788.0	18798.0	20179.0	19872.0	20005.0	17937.0	21226.0	29660.0	22258.0	21423.0	12169.0	17430.0	21528.0	24219.0	29609.0	21530.0	11624.0	30560.0	20537.0	24958.0	20288.0	27135.0	19791.0	0.0	12466.0	18238.0	15378.0	21315.0	15855.0	18856.0	16284.0	24242.0	14856.0	19713.0	14152.0	17340.0	17747.0	34345.0	15457.0	20609.0	28969.0	36734.0
LiuW_2016__SRR3992978__bin.105	12107.0	11928.0	7738.0	12486.0	15534.0	12083.0	14080.0	9100.0	10858.0	11723.0	11607.0	11715.0	10964.0	12214.0	16050.0	12354.0	11367.0	7322.0	11842.0	12265.0	13299.0	15499.0	12688.0	9245.0	16719.0	12301.0	13060.0	11504.0	15349.0	12343.0	12466.0	0.0	10163.0	10119.0	12175.0	11363.0	11320.0	9213.0	13308.0	7374.0	12243.0	9264.0	11833.0	10608.0	18329.0	9317.0	12501.0	15635.0	19458.0
ZeeviD_2015__PNP_Main_27__bin.15	18793.0	16678.0	10542.0	18368.0	21690.0	17020.0	21242.0	13480.0	16563.0	18520.0	17187.0	17420.0	15166.0	17815.0	23456.0	19155.0	17339.0	10469.0	13504.0	17950.0	18824.0	23012.0	18801.0	9907.0	23412.0	17308.0	20235.0	16893.0	22150.0	17388.0	18238.0	10163.0	0.0	12900.0	17628.0	12821.0	16966.0	13094.0	19184.0	12266.0	17940.0	11834.0	15468.0	15671.0	26915.0	12118.0	17373.0	22919.0	28697.0
LiJ_2014__O2.UC44-1__bin.23	15916.0	14659.0	9792.0	15020.0	18979.0	15037.0	18286.0	11405.0	13280.0	15244.0	14774.0	14244.0	8108.0	15177.0	20760.0	15604.0	14741.0	8967.0	13241.0	15009.0	16434.0	19001.0	15415.0	9315.0	20631.0	15153.0	16272.0	14628.0	18827.0	14934.0	15378.0	10119.0	12900.0	0.0	15682.0	12694.0	13919.0	11452.0	16502.0	10213.0	14781.0	11492.0	14145.0	13386.0	23582.0	10905.0	3850.0	18870.0	24619.0
ZeeviD_2015__PNP_Main_325__bin.44	21885.0	20264.0	12381.0	21727.0	24863.0	20342.0	23042.0	15394.0	17216.0	21695.0	19695.0	20746.0	17708.0	21468.0	27259.0	21417.0	20769.0	12204.0	15750.0	22046.0	20914.0	25217.0	22301.0	11622.0	26701.0	20630.0	22816.0	20217.0	24441.0	20974.0	21315.0	12175.0	17628.0	15682.0	0.0	14977.0	20242.0	15614.0	20756.0	12826.0	20602.0	13614.0	18378.0	18983.0	30933.0	13156.0	20919.0	25005.0	31934.0
CM_madagascar__A94_03_1FE__bin.9	15861.0	15885.0	10375.0	16775.0	17352.0	15787.0	16310.0	10975.0	13163.0	15801.0	14606.0	14713.0	13637.0	15909.0	17264.0	15969.0	15076.0	9157.0	13369.0	16376.0	17043.0	17703.0	15969.0	10875.0	18342.0	15752.0	17078.0	14924.0	13281.0	15744.0	15855.0	11363.0	12821.0	12694.0	14977.0	0.0	14737.0	12244.0	16634.0	9097.0	14969.0	12080.0	14136.0	13597.0	20233.0	7619.0	15897.0	17625.0	21445.0
BritoIL_2016__M2.41.ST__bin.36	19229.0	18957.0	12019.0	9863.0	24824.0	19063.0	24176.0	14743.0	18477.0	19027.0	18568.0	1179.0	15970.0	18597.0	26404.0	20631.0	18121.0	11659.0	16163.0	20003.0	21612.0	25976.0	323.0	10788.0	26527.0	20445.0	20936.0	17811.0	24080.0	18988.0	18856.0	11320.0	16966.0	13919.0	20242.0	14737.0	0.0	14755.0	22084.0	13106.0	17601.0	13766.0	16321.0	1291.0	30228.0	13640.0	18893.0	25085.0	31533.0
LeChatelierE_2013__MH0118__bin.24	16526.0	15528.0	9365.0	16133.0	25813.0	16916.0	18166.0	10981.0	13514.0	16408.0	14784.0	15304.0	13239.0	16448.0	21690.0	94.0	15234.0	8593.0	12924.0	16822.0	16444.0	20368.0	16613.0	9025.0	26365.0	17003.0	18214.0	16196.0	18795.0	16077.0	16284.0	9213.0	13094.0	11452.0	15614.0	12244.0	14755.0	0.0	16506.0	7890.0	16178.0	10119.0	14314.0	13724.0	25129.0	10467.0	16051.0	20450.0	26357.0
NielsenHB_2014__MH0053__bin.13	24232.0	23307.0	14444.0	24369.0	28577.0	21994.0	26279.0	16732.0	19767.0	23110.0	22303.0	22785.0	19018.0	23876.0	30202.0	23014.0	23317.0	12968.0	16967.0	24537.0	608.0	29967.0	24154.0	12722.0	30867.0	23014.0	26943.0	21899.0	26794.0	23148.0	24242.0	13308.0	19184.0	16502.0	20756.0	16634.0	22084.0	16506.0	0.0	13167.0	21749.0	15103.0	20012.0	20550.0	34670.0	15449.0	23262.0	29216.0	36661.0
ZeeviD_2015__PNP_Main_559__bin.27	14513.0	12884.0	7981.0	13914.0	13961.0	13439.0	15279.0	10441.0	12106.0	14007.0	14120.0	12841.0	11758.0	14344.0	17634.0	14671.0	13497.0	8400.0	9722.0	14445.0	12466.0	16685.0	14201.0	7433.0	16413.0	13845.0	14990.0	12647.0	15689.0	13854.0	14856.0	7374.0	12266.0	10213.0	12826.0	9097.0	13106.0	7890.0	13167.0	0.0	13751.0	9239.0	11723.0	12070.0	21078.0	8948.0	14046.0	16367.0	21858.0
CosteaPI_2017__SID713B066-11-90-0__bin.38	20849.0	18728.0	11678.0	19521.0	27461.0	20787.0	24421.0	14574.0	17722.0	20548.0	19079.0	18585.0	16887.0	20169.0	27624.0	21945.0	19476.0	10989.0	16551.0	20248.0	22316.0	26031.0	19940.0	10889.0	29756.0	21128.0	22297.0	19330.0	25256.0	19701.0	19713.0	12243.0	17940.0	14781.0	20602.0	14969.0	17601.0	16178.0	21749.0	13751.0	0.0	13467.0	627.0	16495.0	31382.0	13629.0	19640.0	25946.0	33927.0
BritoIL_2016__M1.38.ST__bin.60	14930.0	14548.0	8272.0	15968.0	17372.0	13358.0	15242.0	10042.0	12712.0	13384.0	13075.0	13932.0	12456.0	14232.0	18937.0	14224.0	13794.0	8870.0	12553.0	14930.0	14958.0	18189.0	14973.0	8355.0	18717.0	13677.0	15624.0	13163.0	17718.0	13476.0	14152.0	9264.0	11834.0	11492.0	13614.0	12080.0	13766.0	10119.0	15103.0	9239.0	13467.0	0.0	12595.0	12899.0	22223.0	10398.0	14295.0	18017.0	22826.0
CosteaPI_2017__SID713B066-11-0-0__bin.23	18580.0	17777.0	11482.0	17574.0	23652.0	17580.0	21130.0	13436.0	15454.0	17770.0	17386.0	16917.0	15524.0	18108.0	24333.0	19098.0	17107.0	10608.0	16646.0	18321.0	19531.0	23641.0	18044.0	11097.0	25085.0	18142.0	19322.0	17366.0	22183.0	17566.0	17340.0	11833.0	15468.0	14145.0	18378.0	14136.0	16321.0	14314.0	20012.0	11723.0	627.0	12595.0	0.0	15644.0	28014.0	12984.0	17776.0	23432.0	29642.0
BritoIL_2016__M2.37.ST__bin.35	18119.0	17353.0	11212.0	9175.0	23066.0	17557.0	21783.0	13907.0	16651.0	17596.0	17049.0	287.0	15074.0	17267.0	24163.0	18852.0	17307.0	10633.0	15360.0	18334.0	20003.0	24030.0	1347.0	10432.0	24512.0	18225.0	19079.0	17059.0	21914.0	17349.0	17747.0	10608.0	15671.0	13386.0	18983.0	13597.0	1291.0	13724.0	20550.0	12070.0	16495.0	12899.0	15644.0	0.0	27542.0	12580.0	17435.0	22838.0	28979.0
