	NielsenHB_2014__V1_UC55_0__bin.91	FengQ_2015__SID530394__bin.80	ZellerG_2014__CCMD12232071ST-21-0__bin.13	LouisS_2016__AS61_18__bin.24	NielsenHB_2014__V1_CD31_0__bin.12	QinJ_2012__T2D-026__bin.19	XieH_2016__YSZC12003_35583__bin.19	HMP_2012__SRS015217__bin.13	ZeeviD_2015__PNP_Main_228__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.87	XieH_2016__YSZC12003_37348__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.93	ZellerG_2014__CCIS78318719ST-4-0__bin.1	ZeeviD_2015__PNP_Main_18__bin.14	Obregon-TitoAJ_2015__NO19__bin.42	LiuW_2016__SRR3993056__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.27	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.128	ZeeviD_2015__PNP_Main_268__bin.27	LiuW_2016__SRR3992993__bin.68	FengQ_2015__SID31537__bin.39	ZeeviD_2015__PNP_DietIntervention_45__bin.18	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.53	FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.20	LiSS_2016__FAT_008-22-42-0__bin.16	LouisS_2016__AS56_12__bin.15	KarlssonFH_2013__S456__bin.1	LiJ_2014__O2.UC29-1__bin.66	LiuW_2016__SRR3993019__bin.10	FengQ_2015__SID31881__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.54	LiSS_2016__FAT_008-22-2-0__bin.9	ZellerG_2014__CCIS00146684ST-4-0__bin.96	HMP_2012__SRS049995__bin.29	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.30	YuJ_2015__SZAXPI003409-8__bin.96	FengQ_2015__SID530743__bin.43	FengQ_2015__SID31750__bin.98	VogtmannE_2016__MMRS18295921ST-27-0-0__bin.25	CosteaPI_2017__SID713A009-11-0-0__bin.31	ZeeviD_2015__PNP_Main_723__bin.51	FengQ_2015__SID31328__bin.32	LiJ_2014__MH0373__bin.11	LiJ_2014__O2.CD3-0-PT__bin.71	LiSS_2016__FAT_008-22-84-0__bin.42	YuJ_2015__SZAXPI017466-84__bin.45	ZeeviD_2015__PNP_Main_15__bin.30
XieH_2016__YSZC12003_37348__bin.22	2155359.0	1098078.0	2105051.0	2165478.0	1550199.0	1923702.0	1397409.0	1849131.0	2156731.0	2136871.0	2343127.0	2117913.0	2253195.0	2101667.0	2211712.0	2177452.0	1425656.0	1620814.0	2200461.0	2152735.0	2039192.0	1400642.0	1004936.0	2147290.0	2236860.0	2202476.0	1825264.0	2198771.0	1545494.0	824688.0	2092459.0	1880527.0	1351318.0	2113666.0	2148013.0	2268626.0	2104995.0	1969185.0	2034569.0	1962120.0	2173061.0	2160687.0	2233984.0	2043505.0	1991059.0	2218637.0	2143682.0	2126567.0
Bengtsson-PalmeJ_2015__TRAVELRES60__bin.93	2274864.0	1133262.0	2183313.0	2272951.0	1646372.0	2032774.0	1426768.0	1927972.0	2226839.0	2187381.0	2117913.0	2519753.0	2422972.0	2160868.0	2326092.0	2282148.0	1461962.0	1689357.0	2306950.0	2223865.0	2077651.0	1438960.0	1017950.0	2292908.0	2347714.0	2307177.0	1929556.0	2263494.0	1675291.0	790852.0	2173693.0	1967671.0	1375198.0	2187027.0	2270547.0	2459418.0	2361668.0	2042586.0	2104591.0	2064422.0	2249150.0	2294876.0	2363192.0	2141152.0	2091923.0	2295530.0	2229335.0	2209108.0
ZellerG_2014__CCIS78318719ST-4-0__bin.1	2410426.0	1186667.0	2325600.0	2441635.0	1699389.0	2114518.0	1522426.0	2032717.0	2383620.0	2374330.0	2253195.0	2422972.0	2829499.0	2302284.0	2441581.0	2390659.0	1543153.0	1776223.0	2471172.0	2349718.0	2212877.0	1521102.0	1093118.0	2403410.0	2463565.0	2414985.0	1980992.0	2422468.0	1722587.0	902280.0	2283716.0	2067428.0	1439766.0	2306257.0	2403683.0	2556135.0	2359558.0	2146409.0	2220926.0	2179998.0	2371669.0	2463293.0	2473343.0	2288072.0	2197499.0	2436035.0	2367875.0	2351661.0
ZeeviD_2015__PNP_Main_18__bin.14	2227163.0	1132938.0	2270336.0	2254866.0	1635061.0	2050260.0	1408538.0	1887223.0	2365615.0	2356684.0	2101667.0	2160868.0	2302284.0	2524625.0	2380355.0	2351627.0	1429854.0	1650322.0	2292574.0	2333637.0	2089114.0	1419333.0	1020440.0	2157399.0	2433306.0	2370805.0	1917069.0	2251531.0	1647519.0	877452.0	2224486.0	1916672.0	1382634.0	2196279.0	2226302.0	2293642.0	2113275.0	2078042.0	2168441.0	1967055.0	2328016.0	2186738.0	2208538.0	2111594.0	2081343.0	2423212.0	2177365.0	2303994.0
Obregon-TitoAJ_2015__NO19__bin.42	2389961.0	1250606.0	2436481.0	2397650.0	1801946.0	2261340.0	1521061.0	2053375.0	2439806.0	2409922.0	2211712.0	2326092.0	2441581.0	2380355.0	2765869.0	2540086.0	1557576.0	1787983.0	2477091.0	2512215.0	2219926.0	1518192.0	1099548.0	2317416.0	2621160.0	2555927.0	2116116.0	2418641.0	1837795.0	909905.0	2399475.0	2094296.0	1488185.0	2324225.0	2402289.0	2451684.0	2263162.0	2231469.0	2336868.0	2116816.0	2510014.0	2330796.0	2376126.0	2283215.0	2276100.0	2563183.0	2357447.0	2431021.0
LiuW_2016__SRR3993056__bin.84	2344168.0	1217058.0	2345478.0	2419952.0	1747935.0	2212244.0	1507499.0	1995644.0	2378400.0	2344744.0	2177452.0	2282148.0	2390659.0	2351627.0	2540086.0	2723004.0	1547241.0	1755781.0	2426196.0	2436587.0	2207703.0	1507305.0	1088964.0	2260456.0	2599121.0	2496250.0	2073583.0	2374097.0	1798592.0	912668.0	2367523.0	2054147.0	1475046.0	2286993.0	2360692.0	2413507.0	2219688.0	2187162.0	2301550.0	2079949.0	2453315.0	2281518.0	2331705.0	2237800.0	2227844.0	2523667.0	2324836.0	2376704.0
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.27	1504176.0	833178.0	1489044.0	1535957.0	1122239.0	1382124.0	1056987.0	1338552.0	1498564.0	1472008.0	1425656.0	1461962.0	1543153.0	1429854.0	1557576.0	1547241.0	1795018.0	1190578.0	1560359.0	1502619.0	1465129.0	1011330.0	760484.0	1503056.0	1575212.0	1545499.0	1319214.0	1529230.0	1113061.0	621115.0	1482712.0	1383343.0	986403.0	1494393.0	1548102.0	1543062.0	1415954.0	1401173.0	1455177.0	1366474.0	1529101.0	1482219.0	1517814.0	1464203.0	1435534.0	1539877.0	1519176.0	1498164.0
VogtmannE_2016__MMRS90191266ST-27-0-0__bin.38	1707470.0	895118.0	1703225.0	1742810.0	1318053.0	1605504.0	1144194.0	1615853.0	1713888.0	1695687.0	1620814.0	1689357.0	1776223.0	1650322.0	1787983.0	1755781.0	1190578.0	1947896.0	1756368.0	1750877.0	1619739.0	1146578.0	814495.0	1712873.0	1818854.0	1766582.0	1531120.0	1739133.0	1363642.0	639549.0	1712900.0	1554519.0	1097931.0	1680189.0	1751228.0	1763262.0	1647516.0	1609359.0	1666342.0	1578555.0	1760223.0	1700276.0	1739423.0	1656150.0	1650759.0	1772111.0	1709330.0	1705052.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.128	2423043.0	1207392.0	2348525.0	2404094.0	1722683.0	2143052.0	1512863.0	2018423.0	2408335.0	2361510.0	2200461.0	2306950.0	2471172.0	2292574.0	2477091.0	2426196.0	1560359.0	1756368.0	2687131.0	2377007.0	2239441.0	1550938.0	1097380.0	2305542.0	2491108.0	2429528.0	2006120.0	2466393.0	1736728.0	899229.0	2306735.0	2080398.0	1450574.0	2412682.0	2408131.0	2447025.0	2262243.0	2153867.0	2236021.0	2113261.0	2392313.0	2338720.0	2375970.0	2336701.0	2221450.0	2442225.0	2405219.0	2394742.0
ZeeviD_2015__PNP_Main_268__bin.27	2294059.0	1199756.0	2358842.0	2320037.0	1737529.0	2180691.0	1480225.0	1981760.0	2406921.0	2371398.0	2152735.0	2223865.0	2349718.0	2333637.0	2512215.0	2436587.0	1502619.0	1750877.0	2377007.0	2631265.0	2160065.0	1469159.0	1069778.0	2239154.0	2559370.0	2493967.0	2035532.0	2329683.0	1767857.0	888767.0	2337624.0	2009945.0	1447747.0	2258804.0	2316126.0	2365629.0	2198300.0	2150715.0	2291930.0	2050203.0	2479928.0	2259463.0	2302620.0	2185074.0	2198485.0	2482812.0	2290730.0	2392910.0
LiuW_2016__SRR3992993__bin.68	2185541.0	1116983.0	2091212.0	2182154.0	1554995.0	1913126.0	1425636.0	1842604.0	2174296.0	2129904.0	2039192.0	2077651.0	2212877.0	2089114.0	2219926.0	2207703.0	1465129.0	1619739.0	2239441.0	2160065.0	2465098.0	1440735.0	1026960.0	2114445.0	2245800.0	2208687.0	1834652.0	2237229.0	1515301.0	891976.0	2091893.0	1885019.0	1366817.0	2141342.0	2138907.0	2218354.0	2031981.0	1965655.0	2052322.0	1929334.0	2180001.0	2119659.0	2159495.0	2078391.0	1999053.0	2213434.0	2186622.0	2134586.0
FengQ_2015__SID31537__bin.39	1519415.0	768751.0	1467197.0	1491756.0	1155898.0	1360476.0	983469.0	1310291.0	1466407.0	1440435.0	1400642.0	1438960.0	1521102.0	1419333.0	1518192.0	1507305.0	1011330.0	1146578.0	1550938.0	1469159.0	1440735.0	1659852.0	692316.0	1469447.0	1533697.0	1501263.0	1290254.0	1543818.0	1144469.0	525361.0	1444988.0	1334240.0	952109.0	1490143.0	1471623.0	1510690.0	1401237.0	1379112.0	1411014.0	1351154.0	1478127.0	1467015.0	1483556.0	1487339.0	1404768.0	1510033.0	1535181.0	1436564.0
ZeeviD_2015__PNP_DietIntervention_45__bin.18	1054508.0	600980.0	1070467.0	1064166.0	797501.0	955299.0	752335.0	902251.0	1086935.0	1078809.0	1004936.0	1017950.0	1093118.0	1020440.0	1099548.0	1088964.0	760484.0	814495.0	1097380.0	1069778.0	1026960.0	692316.0	1162881.0	1034258.0	1109826.0	1092416.0	921090.0	1075631.0	765235.0	448376.0	1048798.0	957834.0	707365.0	1037128.0	1051637.0	1070789.0	1002084.0	993405.0	1029368.0	965979.0	1081203.0	1039787.0	1058642.0	991022.0	1005080.0	1092079.0	1048281.0	1087025.0
VogtmannE_2016__MMRS73787048ST-27-0-0__bin.53	2240382.0	1157085.0	2197225.0	2272065.0	1649686.0	2011168.0	1474702.0	1951103.0	2241547.0	2190056.0	2147290.0	2292908.0	2403410.0	2157399.0	2317416.0	2260456.0	1503056.0	1712873.0	2305542.0	2239154.0	2114445.0	1469447.0	1034258.0	2550157.0	2335632.0	2285512.0	1915722.0	2274902.0	1664756.0	848326.0	2170067.0	1997157.0	1402393.0	2199792.0	2273885.0	2405708.0	2240423.0	2052468.0	2117326.0	2126168.0	2255517.0	2327904.0	2349110.0	2165424.0	2093007.0	2290887.0	2251385.0	2227379.0
FerrettiP_2018__CA_C10043MS2742FE_t0M16__bin.20	2395430.0	1258673.0	2444229.0	2462208.0	1816700.0	2295982.0	1532966.0	2071625.0	2478421.0	2455504.0	2236860.0	2347714.0	2463565.0	2433306.0	2621160.0	2599121.0	1575212.0	1818854.0	2491108.0	2559370.0	2245800.0	1533697.0	1109826.0	2335632.0	2817286.0	2590520.0	2128461.0	2438119.0	1887316.0	916216.0	2445983.0	2092735.0	1497618.0	2346430.0	2418465.0	2485439.0	2307219.0	2246451.0	2361269.0	2145121.0	2570224.0	2355629.0	2404251.0	2287638.0	2298778.0	2627369.0	2381035.0	2467863.0
LiSS_2016__FAT_008-22-42-0__bin.16	2357784.0	1238015.0	2396011.0	2372750.0	1770770.0	2218056.0	1515860.0	2009171.0	2434364.0	2403469.0	2202476.0	2307177.0	2414985.0	2370805.0	2555927.0	2496250.0	1545499.0	1766582.0	2429528.0	2493967.0	2208687.0	1501263.0	1092416.0	2285512.0	2590520.0	2681150.0	2085138.0	2383371.0	1813119.0	906883.0	2383543.0	2055395.0	1489781.0	2297300.0	2358559.0	2444227.0	2251615.0	2188924.0	2321195.0	2093732.0	2513702.0	2308761.0	2356858.0	2243159.0	2238216.0	2540041.0	2318944.0	2415794.0
LouisS_2016__AS56_12__bin.15	1941457.0	1044271.0	1976209.0	1988887.0	1559324.0	1904701.0	1270862.0	1731752.0	1981326.0	1957376.0	1825264.0	1929556.0	1980992.0	1917069.0	2116116.0	2073583.0	1319214.0	1531120.0	2006120.0	2035532.0	1834652.0	1290254.0	921090.0	1915722.0	2128461.0	2085138.0	2920421.0	1989739.0	1632818.0	698306.0	1999261.0	1737451.0	1260012.0	1911826.0	1968140.0	1989059.0	1889611.0	1861238.0	1931303.0	1768633.0	2057344.0	1907198.0	1949316.0	1891987.0	1919948.0	2068451.0	1944545.0	1984179.0
KarlssonFH_2013__S456__bin.1	2442675.0	1186541.0	2291883.0	2356329.0	1687428.0	2083899.0	1492579.0	1998143.0	2347621.0	2295080.0	2198771.0	2263494.0	2422468.0	2251531.0	2418641.0	2374097.0	1529230.0	1739133.0	2466393.0	2329683.0	2237229.0	1543818.0	1075631.0	2274902.0	2438119.0	2383371.0	1989739.0	2640153.0	1707740.0	892604.0	2266219.0	2050754.0	1437967.0	2340645.0	2357118.0	2406355.0	2235450.0	2133627.0	2206256.0	2091812.0	2353243.0	2325656.0	2350143.0	2327477.0	2182738.0	2409175.0	2425181.0	2307975.0
LiJ_2014__O2.UC29-1__bin.66	1673009.0	869636.0	1740630.0	1700705.0	1474978.0	1759603.0	1036183.0	1536623.0	1706654.0	1690080.0	1545494.0	1675291.0	1722587.0	1647519.0	1837795.0	1798592.0	1113061.0	1363642.0	1736728.0	1767857.0	1515301.0	1144469.0	765235.0	1664756.0	1887316.0	1813119.0	1632818.0	1707740.0	2055933.0	480408.0	1782284.0	1497618.0	1055721.0	1641391.0	1714724.0	1713414.0	1652976.0	1640751.0	1669851.0	1531865.0	1782921.0	1666338.0	1686047.0	1664968.0	1715717.0	1802613.0	1668766.0	1707030.0
LiuW_2016__SRR3993019__bin.10	876750.0	530299.0	850474.0	898798.0	532497.0	725309.0	640866.0	734319.0	904895.0	887582.0	824688.0	790852.0	902280.0	877452.0	909905.0	912668.0	621115.0	639549.0	899229.0	888767.0	891976.0	525361.0	448376.0	848326.0	916216.0	906883.0	698306.0	892604.0	480408.0	963186.0	843821.0	763887.0	588358.0	871716.0	875724.0	906417.0	768282.0	790692.0	870407.0	781001.0	891213.0	864107.0	881846.0	811054.0	773522.0	913289.0	874738.0	887593.0
FengQ_2015__SID31881__bin.16	2233661.0	1193487.0	2255365.0	2246229.0	1710632.0	2111662.0	1433060.0	1931253.0	2285335.0	2264032.0	2092459.0	2173693.0	2283716.0	2224486.0	2399475.0	2367523.0	1482712.0	1712900.0	2306735.0	2337624.0	2091893.0	1444988.0	1048798.0	2170067.0	2445983.0	2383543.0	1999261.0	2266219.0	1782284.0	843821.0	2552621.0	1955731.0	1408423.0	2188156.0	2257398.0	2287466.0	2145794.0	2114640.0	2210561.0	2007828.0	2352882.0	2194510.0	2239023.0	2147459.0	2161955.0	2373698.0	2208336.0	2273338.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.54	1997691.0	1035238.0	1964617.0	2127666.0	1508650.0	1828313.0	1413403.0	1761513.0	1996477.0	1961275.0	1880527.0	1967671.0	2067428.0	1916672.0	2094296.0	2054147.0	1383343.0	1554519.0	2080398.0	2009945.0	1885019.0	1334240.0	957834.0	1997157.0	2092735.0	2055395.0	1737451.0	2050754.0	1497618.0	763887.0	1955731.0	2372688.0	1253297.0	1994061.0	2156865.0	2065528.0	1914157.0	1858812.0	1898161.0	1824647.0	2038486.0	1990595.0	2026741.0	1939603.0	1879620.0	2059678.0	2024288.0	1985010.0
LiSS_2016__FAT_008-22-2-0__bin.9	1417200.0	787584.0	1420441.0	1442941.0	1058870.0	1295027.0	956099.0	1239207.0	1430384.0	1399810.0	1351318.0	1375198.0	1439766.0	1382634.0	1488185.0	1475046.0	986403.0	1097931.0	1450574.0	1447747.0	1366817.0	952109.0	707365.0	1402393.0	1497618.0	1489781.0	1260012.0	1437967.0	1055721.0	588358.0	1408423.0	1253297.0	1563824.0	1400261.0	1427757.0	1455024.0	1343665.0	1325880.0	1391251.0	1288235.0	1456900.0	1394705.0	1415240.0	1356311.0	1344539.0	1471370.0	1411479.0	1437646.0
ZellerG_2014__CCIS00146684ST-4-0__bin.96	2301079.0	1150352.0	2204385.0	2265018.0	1639175.0	2015765.0	1466658.0	1926152.0	2271511.0	2264216.0	2113666.0	2187027.0	2306257.0	2196279.0	2324225.0	2286993.0	1494393.0	1680189.0	2412682.0	2258804.0	2141342.0	1490143.0	1037128.0	2199792.0	2346430.0	2297300.0	1911826.0	2340645.0	1641391.0	871716.0	2188156.0	1994061.0	1400261.0	2483923.0	2271308.0	2310144.0	2127733.0	2046689.0	2125341.0	2001884.0	2259585.0	2202143.0	2245914.0	2185399.0	2068528.0	2300827.0	2292450.0	2225764.0
HMP_2012__SRS049995__bin.29	2314678.0	1180928.0	2253577.0	2464031.0	1696688.0	2087007.0	1559760.0	2008780.0	2289125.0	2258340.0	2148013.0	2270547.0	2403683.0	2226302.0	2402289.0	2360692.0	1548102.0	1751228.0	2408131.0	2316126.0	2138907.0	1471623.0	1051637.0	2273885.0	2418465.0	2358559.0	1968140.0	2357118.0	1714724.0	875724.0	2257398.0	2156865.0	1427757.0	2271308.0	2710577.0	2395870.0	2203141.0	2121322.0	2181955.0	2080856.0	2329721.0	2306710.0	2327622.0	2250619.0	2154085.0	2365247.0	2312933.0	2272153.0
Bengtsson-PalmeJ_2015__TRAVELRES59__bin.30	2409800.0	1195417.0	2296918.0	2399258.0	1699333.0	2105794.0	1523063.0	2025450.0	2372217.0	2329522.0	2268626.0	2459418.0	2556135.0	2293642.0	2451684.0	2413507.0	1543062.0	1763262.0	2447025.0	2365629.0	2218354.0	1510690.0	1070789.0	2405708.0	2485439.0	2444227.0	1989059.0	2406355.0	1713414.0	906417.0	2287466.0	2065528.0	1455024.0	2310144.0	2395870.0	2660484.0	2422034.0	2136699.0	2229754.0	2183412.0	2371110.0	2433005.0	2527945.0	2262713.0	2179583.0	2432240.0	2352198.0	2338337.0
YuJ_2015__SZAXPI003409-8__bin.96	2205627.0	1113669.0	2144420.0	2221974.0	1613662.0	1969021.0	1387585.0	1885733.0	2188901.0	2177323.0	2104995.0	2361668.0	2359558.0	2113275.0	2263162.0	2219688.0	1415954.0	1647516.0	2262243.0	2198300.0	2031981.0	1401237.0	1002084.0	2240423.0	2307219.0	2251615.0	1889611.0	2235450.0	1652976.0	768282.0	2145794.0	1914157.0	1343665.0	2127733.0	2203141.0	2422034.0	2513412.0	2002335.0	2060147.0	2039483.0	2201072.0	2282267.0	2378205.0	2115595.0	2056288.0	2267623.0	2207376.0	2160593.0
