	ZeeviD_2015__PNP_Main_706__bin.77	YuJ_2015__SZAXPI015216-169__bin.7	ChengpingW_2017__AS38raw__bin.42	NielsenHB_2014__V1_CD20_4__bin.60	WenC_2017__RA101__bin.18	ZeeviD_2015__PNP_Main_686__bin.19	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.20	QinN_2014__HD-33__bin.16	ZeeviD_2015__PNP_Validation_41__bin.8	HeQ_2017__SZAXPI029466-158__bin.8	LiJ_2014__O2.UC8-0__bin.19	LiJ_2014__O2.CD1-0__bin.27	LiJ_2014__O2.UC6-2__bin.53	NielsenHB_2014__O2_UC17_2__bin.11	NielsenHB_2014__V1_UC2_4__bin.24	QinN_2014__HD-55__bin.49	LiJ_2014__O2.UC24-1__bin.4	WenC_2017__N035__bin.49	HMP_2012__SRS019267__bin.4	HeQ_2017__SZAXPI029581-99__bin.65	ZeeviD_2015__PNP_Main_118__bin.28	HeQ_2017__RSZAXPI003105-143__bin.55	NielsenHB_2014__O2_UC24_2__bin.20	WenC_2017__N024__bin.3	ZeeviD_2015__PNP_Validation_7__bin.53	LiJ_2014__O2.UC8-1__bin.62	QinJ_2012__T2D-056__bin.12	ChengpingW_2017__AS136raw__bin.14	CM_madagascar__A89_01_1FE__bin.61	LiJ_2014__MH0308__bin.44	ChengpingW_2017__AS98raw__bin.8	WenC_2017__RA123__bin.47	LiJ_2014__MH0394__bin.70	ZeeviD_2015__PNP_Main_262__bin.25	VogtmannE_2016__MMRS17963147ST-27-0-0__bin.46	LeChatelierE_2013__MH0227__bin.52	NielsenHB_2014__V1_UC2_0__bin.17	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.100	LiJ_2014__O2.UC6-1__bin.4	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.50	QinJ_2012__T2D-030__bin.43	LiJ_2014__MH0245__bin.44	LiJ_2014__V1.FI25__bin.61	WenC_2017__RA020__bin.8	ChengpingW_2017__AS6raw__bin.29
LiJ_2014__O2.UC8-0__bin.19	43561.0	48503.0	44233.0	48270.0	40484.0	42734.0	32206.0	27129.0	32286.0	45614.0	0.0	31242.0	45655.0	47402.0	47226.0	50908.0	41958.0	46592.0	40282.0	43610.0	40004.0	41971.0	45954.0	45926.0	40064.0	2007.0	46571.0	39910.0	52699.0	42772.0	44602.0	49675.0	33506.0	45049.0	31208.0	47882.0	43562.0	36311.0	42835.0	29294.0	28634.0	49072.0	45652.0	35242.0	47212.0
LiJ_2014__O2.CD1-0__bin.27	27975.0	32779.0	31515.0	29753.0	30382.0	29725.0	20203.0	21067.0	19975.0	36068.0	31242.0	0.0	28828.0	28649.0	27967.0	33496.0	30436.0	29733.0	31858.0	31825.0	26189.0	27159.0	33616.0	34525.0	26047.0	22487.0	32006.0	31173.0	33661.0	29458.0	33278.0	31575.0	22188.0	26664.0	20486.0	28279.0	26384.0	24341.0	27340.0	19823.0	21270.0	29379.0	32469.0	24468.0	33858.0
LiJ_2014__O2.UC6-2__bin.53	42143.0	48096.0	46350.0	42357.0	46678.0	38699.0	28645.0	28855.0	28540.0	51738.0	45655.0	28828.0	0.0	35624.0	41275.0	51722.0	41150.0	44031.0	46433.0	45491.0	36939.0	37615.0	44926.0	49400.0	33394.0	30680.0	46945.0	43936.0	48291.0	39454.0	48360.0	46075.0	29078.0	41549.0	28803.0	44758.0	38784.0	35588.0	652.0	24162.0	30829.0	43694.0	45617.0	34667.0	47396.0
NielsenHB_2014__O2_UC17_2__bin.11	36711.0	47575.0	49175.0	44794.0	47185.0	40444.0	29024.0	30429.0	26414.0	53157.0	47402.0	28649.0	35624.0	0.0	42101.0	50486.0	41821.0	43374.0	47861.0	47002.0	37355.0	38398.0	45927.0	52090.0	32344.0	31490.0	49867.0	47582.0	45845.0	38394.0	48578.0	46350.0	28570.0	39958.0	27828.0	42103.0	40007.0	34511.0	33218.0	23966.0	31380.0	43162.0	45076.0	33153.0	46918.0
NielsenHB_2014__V1_UC2_4__bin.24	40698.0	53989.0	53122.0	46019.0	50611.0	43619.0	30817.0	32438.0	28562.0	58456.0	47226.0	27967.0	41275.0	42101.0	0.0	51021.0	45016.0	39186.0	52823.0	51152.0	39321.0	40998.0	48989.0	57446.0	37733.0	30960.0	53594.0	49691.0	46043.0	39494.0	54399.0	43029.0	27545.0	35269.0	28909.0	35537.0	875.0	38075.0	38061.0	26640.0	33574.0	36607.0	47196.0	31696.0	51009.0
QinN_2014__HD-55__bin.49	50016.0	59085.0	53125.0	55815.0	44352.0	48968.0	35377.0	31159.0	33967.0	51155.0	50908.0	33496.0	51722.0	50486.0	51021.0	0.0	46196.0	38595.0	52879.0	47710.0	47318.0	44398.0	50705.0	53011.0	41862.0	33284.0	50213.0	44571.0	56097.0	46114.0	48349.0	40230.0	35988.0	49961.0	34017.0	51118.0	47165.0	44259.0	48108.0	32793.0	34119.0	53829.0	50656.0	30137.0	51664.0
LiJ_2014__O2.UC24-1__bin.4	41105.0	49641.0	43754.0	46030.0	38211.0	41024.0	30122.0	25820.0	29456.0	43275.0	41958.0	30436.0	41150.0	41821.0	45016.0	46196.0	0.0	44582.0	41853.0	40316.0	40069.0	37535.0	376.0	45607.0	35224.0	27443.0	42697.0	38291.0	45198.0	41728.0	44054.0	46849.0	29855.0	41701.0	27973.0	45405.0	41724.0	32788.0	38506.0	28660.0	25884.0	45552.0	39326.0	34100.0	40663.0
WenC_2017__N035__bin.49	43726.0	51439.0	50114.0	45737.0	47683.0	45959.0	31070.0	31191.0	30757.0	48521.0	46592.0	29733.0	44031.0	43374.0	39186.0	38595.0	44582.0	0.0	50435.0	46568.0	40268.0	42098.0	48385.0	52575.0	39277.0	31009.0	49534.0	48491.0	45858.0	40855.0	51450.0	19473.0	28685.0	37951.0	28312.0	38107.0	36840.0	39032.0	42028.0	28885.0	33799.0	39109.0	47954.0	21042.0	50121.0
HMP_2012__SRS019267__bin.4	45236.0	47789.0	43333.0	50925.0	36779.0	45039.0	33443.0	25229.0	31675.0	45028.0	40282.0	31858.0	46433.0	47861.0	52823.0	52879.0	41853.0	50435.0	0.0	41737.0	44743.0	41551.0	45672.0	44596.0	40215.0	25419.0	45903.0	37659.0	51872.0	46257.0	43105.0	54688.0	32149.0	49983.0	32485.0	53541.0	46859.0	34724.0	43912.0	31505.0	25642.0	53456.0	48260.0	38183.0	47080.0
HeQ_2017__SZAXPI029581-99__bin.65	45428.0	45282.0	39356.0	46999.0	37428.0	42964.0	31736.0	19585.0	29708.0	37700.0	43610.0	31825.0	45491.0	47002.0	51152.0	47710.0	40316.0	46568.0	41737.0	0.0	42478.0	36862.0	44318.0	35860.0	40377.0	27877.0	35099.0	34017.0	49377.0	45231.0	35950.0	50686.0	34402.0	48340.0	32070.0	50398.0	48977.0	35559.0	42889.0	30130.0	23334.0	52370.0	46907.0	34925.0	38597.0
ZeeviD_2015__PNP_Main_118__bin.28	33359.0	45895.0	42813.0	42067.0	40901.0	36373.0	27482.0	26240.0	24371.0	47804.0	40004.0	26189.0	36939.0	37355.0	39321.0	47318.0	40069.0	40268.0	44743.0	42478.0	0.0	34827.0	43136.0	46856.0	30276.0	26169.0	44828.0	40281.0	41722.0	35395.0	43169.0	43197.0	27588.0	39541.0	27715.0	40646.0	36006.0	33507.0	34204.0	24022.0	27746.0	39228.0	41169.0	31033.0	43726.0
HeQ_2017__RSZAXPI003105-143__bin.55	38609.0	40289.0	40185.0	39851.0	39369.0	38189.0	27093.0	23572.0	27875.0	41969.0	41971.0	27159.0	37615.0	38398.0	40998.0	44398.0	37535.0	42098.0	41551.0	36862.0	34827.0	0.0	41675.0	40365.0	34155.0	28515.0	38457.0	35879.0	41632.0	38176.0	42336.0	44224.0	28443.0	39531.0	26132.0	42323.0	38457.0	32879.0	35415.0	26041.0	26733.0	43389.0	46188.0	30949.0	39889.0
NielsenHB_2014__O2_UC24_2__bin.20	45308.0	54502.0	48014.0	50525.0	42430.0	44921.0	32657.0	27829.0	32188.0	48181.0	45954.0	33616.0	44926.0	45927.0	48989.0	50705.0	376.0	48385.0	45672.0	44318.0	43136.0	41675.0	0.0	49571.0	38623.0	30163.0	46725.0	41901.0	49962.0	45642.0	48654.0	51092.0	31647.0	45178.0	29791.0	49393.0	45614.0	35319.0	42094.0	30597.0	28404.0	49631.0	42320.0	37288.0	45028.0
WenC_2017__N024__bin.3	51775.0	47554.0	45391.0	52943.0	37876.0	46404.0	36204.0	23342.0	35691.0	40710.0	45926.0	34525.0	49400.0	52090.0	57446.0	53011.0	45607.0	52575.0	44596.0	35860.0	46856.0	40365.0	49571.0	0.0	42788.0	28709.0	39519.0	35532.0	53802.0	50433.0	40538.0	56511.0	37892.0	55630.0	34065.0	57347.0	52370.0	38232.0	46072.0	34714.0	24948.0	59924.0	53095.0	36587.0	44332.0
ZeeviD_2015__PNP_Validation_7__bin.53	32349.0	41580.0	39562.0	40009.0	39101.0	32457.0	25423.0	25929.0	23361.0	46192.0	40064.0	26047.0	33394.0	32344.0	37733.0	41862.0	35224.0	39277.0	40215.0	40377.0	30276.0	34155.0	38623.0	42788.0	0.0	27174.0	40734.0	37698.0	41648.0	32781.0	41236.0	43010.0	25485.0	36702.0	24179.0	40191.0	36176.0	29640.0	31284.0	21305.0	26812.0	39195.0	40280.0	31250.0	40635.0
LiJ_2014__O2.UC8-1__bin.62	28065.0	31052.0	28806.0	30666.0	25960.0	27572.0	22531.0	20052.0	21584.0	29176.0	2007.0	22487.0	30680.0	31490.0	30960.0	33284.0	27443.0	31009.0	25419.0	27877.0	26169.0	28515.0	30163.0	28709.0	27174.0	0.0	30179.0	27408.0	35563.0	28410.0	28330.0	32793.0	23601.0	29574.0	21253.0	31163.0	29546.0	25257.0	29182.0	19738.0	19649.0	31633.0	29505.0	23879.0	30588.0
QinJ_2012__T2D-056__bin.12	48134.0	46141.0	40299.0	48062.0	38253.0	44343.0	33097.0	22533.0	31031.0	41741.0	46571.0	32006.0	46945.0	49867.0	53594.0	50213.0	42697.0	49534.0	45903.0	35099.0	44828.0	38457.0	46725.0	39519.0	40734.0	30179.0	0.0	34317.0	52857.0	47826.0	40130.0	53819.0	36946.0	50753.0	32952.0	54044.0	50691.0	35601.0	43377.0	33110.0	25915.0	54026.0	46529.0	35709.0	43044.0
ChengpingW_2017__AS136raw__bin.14	44869.0	45974.0	37582.0	48703.0	31441.0	41280.0	32589.0	21810.0	29771.0	39513.0	39910.0	31173.0	43936.0	47582.0	49691.0	44571.0	38291.0	48491.0	37659.0	34017.0	40281.0	35879.0	41901.0	35532.0	37698.0	27408.0	34317.0	0.0	49990.0	43578.0	33940.0	50975.0	33894.0	48545.0	31474.0	50574.0	46257.0	34752.0	41499.0	29755.0	23241.0	51322.0	45778.0	34456.0	41353.0
CM_madagascar__A89_01_1FE__bin.61	45608.0	49962.0	53676.0	48484.0	52951.0	47091.0	32912.0	33023.0	31449.0	53016.0	52699.0	33661.0	48291.0	45845.0	46043.0	56097.0	45198.0	45858.0	51872.0	49377.0	41722.0	41632.0	49962.0	53802.0	41648.0	35563.0	52857.0	49990.0	0.0	45286.0	54695.0	48600.0	33557.0	44995.0	29452.0	45701.0	43726.0	40872.0	45607.0	30489.0	32744.0	46823.0	50114.0	35660.0	45433.0
LiJ_2014__MH0308__bin.44	37759.0	46573.0	46119.0	43427.0	45663.0	37751.0	25951.0	28390.0	25790.0	50243.0	42772.0	29458.0	39454.0	38394.0	39494.0	46114.0	41728.0	40855.0	46257.0	45231.0	35395.0	38176.0	45642.0	50433.0	32781.0	28410.0	47826.0	43578.0	45286.0	0.0	47631.0	43731.0	26274.0	37957.0	25590.0	39368.0	37397.0	34599.0	36707.0	24407.0	31776.0	40141.0	44335.0	32459.0	47615.0
ChengpingW_2017__AS98raw__bin.8	49727.0	49170.0	43138.0	51564.0	37541.0	44408.0	34502.0	23814.0	33413.0	43055.0	44602.0	33278.0	48360.0	48578.0	54399.0	48349.0	44054.0	51450.0	43105.0	35950.0	43169.0	42336.0	48654.0	40538.0	41236.0	28330.0	40130.0	33940.0	54695.0	47631.0	0.0	53782.0	35984.0	51216.0	32284.0	55438.0	50384.0	39214.0	45197.0	32264.0	26322.0	57006.0	48939.0	37150.0	45810.0
WenC_2017__RA123__bin.47	44800.0	55259.0	55409.0	50319.0	50288.0	48292.0	31643.0	31839.0	31149.0	53191.0	49675.0	31575.0	46075.0	46350.0	43029.0	40230.0	46849.0	19473.0	54688.0	50686.0	43197.0	44224.0	51092.0	56511.0	43010.0	32793.0	53819.0	50975.0	48600.0	43731.0	53782.0	0.0	30692.0	41266.0	30231.0	41382.0	38773.0	39774.0	43024.0	29866.0	34951.0	45281.0	49821.0	19844.0	53576.0
LiJ_2014__MH0394__bin.70	28372.0	34949.0	33808.0	31086.0	33243.0	31045.0	21645.0	26593.0	19902.0	36898.0	33506.0	22188.0	29078.0	28570.0	27545.0	35988.0	29855.0	28685.0	32149.0	34402.0	27588.0	28443.0	31647.0	37892.0	25485.0	23601.0	36946.0	33894.0	33557.0	26274.0	35984.0	30692.0	0.0	27419.0	19462.0	27440.0	26740.0	26048.0	27393.0	18267.0	24531.0	27923.0	31305.0	23512.0	34448.0
ZeeviD_2015__PNP_Main_262__bin.25	39097.0	51668.0	52426.0	45340.0	48237.0	42438.0	28837.0	32237.0	29110.0	53637.0	45049.0	26664.0	41549.0	39958.0	35269.0	49961.0	41701.0	37951.0	49983.0	48340.0	39541.0	39531.0	45178.0	55630.0	36702.0	29574.0	50753.0	48545.0	44995.0	37957.0	51216.0	41266.0	27419.0	0.0	26195.0	34003.0	32071.0	36155.0	39454.0	27224.0	33642.0	34830.0	45407.0	31042.0	49748.0
VogtmannE_2016__MMRS17963147ST-27-0-0__bin.46	27791.0	31299.0	33201.0	27529.0	31268.0	29601.0	20589.0	22727.0	19602.0	33541.0	31208.0	20486.0	28803.0	27828.0	28909.0	34017.0	27973.0	28312.0	32485.0	32070.0	27715.0	26132.0	29791.0	34065.0	24179.0	21253.0	32952.0	31474.0	29452.0	25590.0	32284.0	30231.0	19462.0	26195.0	0.0	27951.0	26447.0	24821.0	26895.0	19519.0	23190.0	27247.0	30685.0	23096.0	31450.0
LeChatelierE_2013__MH0227__bin.52	41390.0	55010.0	55300.0	47123.0	51556.0	46039.0	29468.0	32459.0	30237.0	56487.0	47882.0	28279.0	44758.0	42103.0	35537.0	51118.0	45405.0	38107.0	53541.0	50398.0	40646.0	42323.0	49393.0	57347.0	40191.0	31163.0	54044.0	50574.0	45701.0	39368.0	55438.0	41382.0	27440.0	34003.0	27951.0	0.0	31444.0	38913.0	40991.0	28070.0	33970.0	35442.0	46947.0	31359.0	51614.0
NielsenHB_2014__V1_UC2_0__bin.17	37800.0	48063.0	48619.0	41499.0	48430.0	40654.0	29482.0	32082.0	27175.0	53720.0	43562.0	26384.0	38784.0	40007.0	875.0	47165.0	41724.0	36840.0	46859.0	48977.0	36006.0	38457.0	45614.0	52370.0	36176.0	29546.0	50691.0	46257.0	43726.0	37397.0	50384.0	38773.0	26740.0	32071.0	26447.0	31444.0	0.0	34648.0	36219.0	24238.0	32031.0	32509.0	43629.0	30310.0	49435.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.100	36549.0	36726.0	36569.0	38181.0	34350.0	35717.0	25537.0	24954.0	25071.0	36305.0	36311.0	24341.0	35588.0	34511.0	38075.0	44259.0	32788.0	39032.0	34724.0	35559.0	33507.0	32879.0	35319.0	38232.0	29640.0	25257.0	35601.0	34752.0	40872.0	34599.0	39214.0	39774.0	26048.0	36155.0	24821.0	38913.0	34648.0	0.0	32666.0	24297.0	24530.0	39545.0	36563.0	29826.0	38447.0
LiJ_2014__O2.UC6-1__bin.4	38951.0	44049.0	43882.0	39971.0	43778.0	35586.0	26607.0	27808.0	26250.0	48887.0	42835.0	27340.0	652.0	33218.0	38061.0	48108.0	38506.0	42028.0	43912.0	42889.0	34204.0	35415.0	42094.0	46072.0	31284.0	29182.0	43377.0	41499.0	45607.0	36707.0	45197.0	43024.0	27393.0	39454.0	26895.0	40991.0	36219.0	32666.0	0.0	22706.0	29710.0	40794.0	41873.0	32559.0	44748.0
FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.50	26240.0	32223.0	32163.0	29760.0	29820.0	27252.0	20139.0	20809.0	17976.0	33250.0	29294.0	19823.0	24162.0	23966.0	26640.0	32793.0	28660.0	28885.0	31505.0	30130.0	24022.0	26041.0	30597.0	34714.0	21305.0	19738.0	33110.0	29755.0	30489.0	24407.0	32264.0	29866.0	18267.0	27224.0	19519.0	28070.0	24238.0	24297.0	22706.0	0.0	20975.0	28143.0	30307.0	21946.0	32225.0
QinJ_2012__T2D-030__bin.43	33066.0	29284.0	25500.0	32565.0	24513.0	27272.0	24874.0	16217.0	22338.0	25383.0	28634.0	21270.0	30829.0	31380.0	33574.0	34119.0	25884.0	33799.0	25642.0	23334.0	27746.0	26733.0	28404.0	24948.0	26812.0	19649.0	25915.0	23241.0	32744.0	31776.0	26322.0	34951.0	24531.0	33642.0	23190.0	33970.0	32031.0	24530.0	29710.0	20975.0	0.0	35505.0	32301.0	25246.0	23575.0
LiJ_2014__MH0245__bin.44	41992.0	55089.0	56457.0	46301.0	52988.0	46046.0	31085.0	33115.0	30256.0	57933.0	49072.0	29379.0	43694.0	43162.0	36607.0	53829.0	45552.0	39109.0	53456.0	52370.0	39228.0	43389.0	49631.0	59924.0	39195.0	31633.0	54026.0	51322.0	46823.0	40141.0	57006.0	45281.0	27923.0	34830.0	27247.0	35442.0	32509.0	39545.0	40794.0	28143.0	35505.0	0.0	48297.0	32963.0	53412.0
LiJ_2014__V1.FI25__bin.61	46388.0	53583.0	52285.0	51777.0	43520.0	44583.0	32551.0	28889.0	32110.0	50617.0	45652.0	32469.0	45617.0	45076.0	47196.0	50656.0	39326.0	47954.0	48260.0	46907.0	41169.0	46188.0	42320.0	53095.0	40280.0	29505.0	46529.0	45778.0	50114.0	44335.0	48939.0	49821.0	31305.0	45407.0	30685.0	46947.0	43629.0	36563.0	41873.0	30307.0	32301.0	48297.0	0.0	35136.0	49964.0
WenC_2017__RA020__bin.8	33945.0	38658.0	36776.0	34876.0	36324.0	34308.0	23638.0	22790.0	23165.0	34520.0	35242.0	24468.0	34667.0	33153.0	31696.0	30137.0	34100.0	21042.0	38183.0	34925.0	31033.0	30949.0	37288.0	36587.0	31250.0	23879.0	35709.0	34456.0	35660.0	32459.0	37150.0	19844.0	23512.0	31042.0	23096.0	31359.0	30310.0	29826.0	32559.0	21946.0	25246.0	32963.0	35136.0	0.0	36074.0
ChengpingW_2017__AS6raw__bin.29	47544.0	50077.0	44679.0	52211.0	43995.0	44855.0	35175.0	20238.0	32686.0	41116.0	47212.0	33858.0	47396.0	46918.0	51009.0	51664.0	40663.0	50121.0	47080.0	38597.0	43726.0	39889.0	45028.0	44332.0	40635.0	30588.0	43044.0	41353.0	45433.0	47615.0	45810.0	53576.0	34448.0	49748.0	31450.0	51614.0	49435.0	38447.0	44748.0	32225.0	23575.0	53412.0	49964.0	36074.0	0.0
