	ZeeviD_2015__PNP_Main_455__bin.62	CosteaPI_2017__SID713B007-11-0-0__bin.9	ZellerG_2014__CCIS31434951ST-20-0__bin.2	LeChatelierE_2013__MH0257__bin.45	ZeeviD_2015__PNP_Main_73__bin.33	CosteaPI_2017__SID713B072-11-90-0__bin.48	LeChatelierE_2013__MH0130__bin.21	CosteaPI_2017__SID713B076-11-0-0__bin.63	CM_madagascar__V40_01_1FE__bin.47	CosteaPI_2017__SID713A057-11-0-0__bin.68	CosteaPI_2017__SID713A052-11-0-0__bin.70	NielsenHB_2014__MH0130__bin.16	CosteaPI_2017__SID713A038-11-90-0__bin.23	XieH_2016__YSZC12003_36049__bin.31	CosteaPI_2017__SID713B014-11-0-0__bin.95	CosteaPI_2017__SID713B051-11-90-0__bin.49	NielsenHB_2014__MH0077__bin.4	CosteaPI_2017__SID713A056-11-90-0__bin.25	FengQ_2015__SID530743__bin.36	CosteaPI_2017__SID713A056-11-0-0__bin.78	CosteaPI_2017__SID713B040-11-90-0__bin.57	FengQ_2015__SID31276__bin.76	BritoIL_2016__W2.17.ST__bin.65	NielsenHB_2014__MH0031__bin.2	BritoIL_2016__M1.64.ST__bin.39	LeChatelierE_2013__MH0077__bin.16	CosteaPI_2017__SID713A053-11-0-0__bin.44	BritoIL_2016__W3.22.ST__bin.95	CosteaPI_2017__SID713A058-11-90-0__bin.58	NielsenHB_2014__V1_CD34_0__bin.26	CosteaPI_2017__SID713B040-11-0-0__bin.80	LeChatelierE_2013__MH0031__bin.15	XieH_2016__YSZC12003_37331__bin.23	CosteaPI_2017__SID713B042-11-0-0__bin.52	ZeeviD_2015__PNP_Main_287__bin.26	LeChatelierE_2013__MH0421__bin.46	ZellerG_2014__CCIS48725289ST-4-0__bin.22	ZeeviD_2015__PNP_Main_415__bin.31	FengQ_2015__SID31160__bin.2	CosteaPI_2017__SID713B046-11-0-0__bin.75	KarlssonFH_2013__S187__bin.51
NielsenHB_2014__MH0077__bin.4	2071337.0	1419301.0	2015046.0	1759849.0	2040160.0	1979645.0	2064013.0	2071510.0	1829459.0	1860113.0	1887650.0	2023331.0	1759288.0	2075848.0	1793857.0	1862442.0	2337916.0	2026303.0	1539108.0	1710755.0	2084342.0	2093847.0	1566809.0	1401647.0	2092159.0	2230166.0	1967823.0	1850278.0	2115721.0	2054932.0	1758277.0	1956078.0	1993711.0	2132282.0	2131535.0	2017898.0	1512818.0	1952519.0	2038301.0	2010749.0	1117921.0
CosteaPI_2017__SID713A056-11-90-0__bin.25	2333315.0	1559824.0	2218754.0	1905471.0	2316614.0	2302106.0	2363481.0	2334487.0	2046762.0	2039271.0	2041227.0	2312230.0	1943140.0	2264932.0	2016618.0	2056320.0	2026303.0	2792319.0	1684722.0	2022882.0	2279185.0	2404876.0	1726710.0	1516312.0	2383180.0	2330619.0	2154743.0	2089559.0	2354304.0	2246029.0	1950156.0	2155452.0	2197404.0	2377885.0	2339176.0	2227599.0	1603230.0	2215157.0	2331307.0	2323716.0	1202074.0
FengQ_2015__SID530743__bin.36	1693130.0	1254992.0	1656017.0	1529206.0	1676860.0	1643615.0	1702608.0	1745388.0	1571639.0	1583987.0	1575848.0	1676092.0	1531879.0	1695821.0	1546745.0	1568183.0	1539108.0	1684722.0	1881364.0	1463971.0	1679936.0	1727070.0	1364439.0	1162510.0	1707962.0	1713740.0	1670811.0	1588662.0	1733265.0	1646821.0	1503474.0	1656043.0	1648397.0	1749284.0	1705763.0	1631556.0	1286728.0	1645065.0	1665660.0	1683521.0	972851.0
CosteaPI_2017__SID713A056-11-0-0__bin.78	1907120.0	1360667.0	1845647.0	1638994.0	1899158.0	1886186.0	1902276.0	1928737.0	1722846.0	1720835.0	1731802.0	1874905.0	1639569.0	1866992.0	1720329.0	1740433.0	1710755.0	2022882.0	1463971.0	2109531.0	1858453.0	1950562.0	1489577.0	1267732.0	1945509.0	1904583.0	1802571.0	1743347.0	1908184.0	1836194.0	1672988.0	1803766.0	1795387.0	1951606.0	1895650.0	1815629.0	1398096.0	1805451.0	1909002.0	1918621.0	1056103.0
CosteaPI_2017__SID713B040-11-90-0__bin.57	2367610.0	1550729.0	2350208.0	1926052.0	2296740.0	2264664.0	2312160.0	2321707.0	2036975.0	2119931.0	2102861.0	2277684.0	1963613.0	2319598.0	1992342.0	2068369.0	2084342.0	2279185.0	1679936.0	1858453.0	2759360.0	2366794.0	1723986.0	1500533.0	2354710.0	2422185.0	2242866.0	2084669.0	2465576.0	2296840.0	1938837.0	2129294.0	2226160.0	2493022.0	2430407.0	2300460.0	1652589.0	2224366.0	2337063.0	2264139.0	1180215.0
FengQ_2015__SID31276__bin.76	2485896.0	1592130.0	2298205.0	1963260.0	2397834.0	2312241.0	2396061.0	2389273.0	2096887.0	2075415.0	2078904.0	2380799.0	2013543.0	2365293.0	2062941.0	2060784.0	2093847.0	2404876.0	1727070.0	1950562.0	2366794.0	2865525.0	1770609.0	1523436.0	2441980.0	2426147.0	2237748.0	2124837.0	2407593.0	2428082.0	1982506.0	2190302.0	2345989.0	2444819.0	2483873.0	2324166.0	1662488.0	2294016.0	2371144.0	2358632.0	1235179.0
BritoIL_2016__W2.17.ST__bin.65	1709996.0	1278964.0	1683635.0	1517670.0	1761368.0	1678188.0	1743494.0	1770916.0	1566670.0	1577212.0	1596407.0	1709283.0	1540519.0	1736108.0	1582642.0	1584490.0	1566809.0	1726710.0	1364439.0	1489577.0	1723986.0	1770609.0	2114106.0	1135138.0	1758511.0	1737219.0	1672973.0	1754707.0	1751227.0	1677651.0	1524184.0	1643907.0	1647750.0	1783772.0	1735249.0	1651677.0	1289742.0	1680968.0	1727530.0	1750652.0	984296.0
NielsenHB_2014__MH0031__bin.2	1513870.0	1031670.0	1436815.0	1267247.0	1478379.0	1451025.0	1503173.0	1511163.0	1325847.0	1373376.0	1356711.0	1474379.0	1266871.0	1517074.0	1301747.0	1352191.0	1401647.0	1516312.0	1162510.0	1267732.0	1500533.0	1523436.0	1135138.0	2403822.0	1504288.0	1533842.0	1423642.0	1349254.0	1534944.0	1468051.0	1280420.0	1531797.0	1444037.0	1565752.0	1531639.0	1435263.0	1093032.0	1422450.0	1504379.0	1465332.0	823741.0
BritoIL_2016__M1.64.ST__bin.39	2419070.0	1576455.0	2285392.0	1949807.0	2360575.0	2322751.0	2380680.0	2375963.0	2064604.0	2065511.0	2077228.0	2331729.0	1977079.0	2328484.0	2020133.0	2071905.0	2092159.0	2383180.0	1707962.0	1945509.0	2354710.0	2441980.0	1758511.0	1504288.0	2728519.0	2394967.0	2219805.0	2125602.0	2401823.0	2308698.0	1956540.0	2166571.0	2243030.0	2431954.0	2376109.0	2282706.0	1625190.0	2233763.0	2389047.0	2351615.0	1221825.0
LeChatelierE_2013__MH0077__bin.16	2391309.0	1566382.0	2302855.0	1963703.0	2342142.0	2258908.0	2365377.0	2363131.0	2051517.0	2110564.0	2105988.0	2320148.0	1988424.0	2370235.0	2017648.0	2089416.0	2230166.0	2330619.0	1713740.0	1904583.0	2422185.0	2426147.0	1737219.0	1533842.0	2394967.0	2773821.0	2215250.0	2082472.0	2430862.0	2361731.0	1963123.0	2182596.0	2281428.0	2443216.0	2500127.0	2341110.0	1668064.0	2230353.0	2339615.0	2280371.0	1228672.0
CosteaPI_2017__SID713A053-11-0-0__bin.44	2237676.0	1530643.0	2185011.0	1898454.0	2195902.0	2161521.0	2187055.0	2247137.0	1948557.0	2021184.0	2007363.0	2167954.0	1907626.0	2188909.0	1958938.0	1991381.0	1967823.0	2154743.0	1670811.0	1802571.0	2242866.0	2237748.0	1672973.0	1423642.0	2219805.0	2215250.0	2402586.0	1996905.0	2291072.0	2167587.0	1881369.0	2066940.0	2118052.0	2325648.0	2244250.0	2132799.0	1619210.0	2106955.0	2160971.0	2185801.0	1177447.0
BritoIL_2016__W3.22.ST__bin.95	2061873.0	1460735.0	2000312.0	1785635.0	2084965.0	2031416.0	2090411.0	2133702.0	1839629.0	1880422.0	1902252.0	2057157.0	1829248.0	2112310.0	1869683.0	1888577.0	1850278.0	2089559.0	1588662.0	1743347.0	2084669.0	2124837.0	1754707.0	1349254.0	2125602.0	2082472.0	1996905.0	2393769.0	2120150.0	2032772.0	1799317.0	1953779.0	1976362.0	2146369.0	2085820.0	1976155.0	1488341.0	2022989.0	2084564.0	2081609.0	1117522.0
CosteaPI_2017__SID713A058-11-90-0__bin.58	2420687.0	1582226.0	2326879.0	1986727.0	2339126.0	2300193.0	2380929.0	2405576.0	2065714.0	2207126.0	2129985.0	2332381.0	2011560.0	2386588.0	2030881.0	2105862.0	2115721.0	2354304.0	1733265.0	1908184.0	2465576.0	2407593.0	1751227.0	1534944.0	2401823.0	2430862.0	2291072.0	2120150.0	2764780.0	2338292.0	1982122.0	2186256.0	2287944.0	2519968.0	2443151.0	2314693.0	1680066.0	2256238.0	2348730.0	2322766.0	1228858.0
NielsenHB_2014__V1_CD34_0__bin.26	2362608.0	1506010.0	2235486.0	1899842.0	2283773.0	2214738.0	2294871.0	2273184.0	2011084.0	2031698.0	2023267.0	2289294.0	1966209.0	2352151.0	1972978.0	1989089.0	2054932.0	2246029.0	1646821.0	1836194.0	2296840.0	2428082.0	1677651.0	1468051.0	2308698.0	2361731.0	2167587.0	2032772.0	2338292.0	2680715.0	1910829.0	2111943.0	2404682.0	2357933.0	2416066.0	2283748.0	1642239.0	2196889.0	2259585.0	2247871.0	1201499.0
CosteaPI_2017__SID713B040-11-0-0__bin.80	1961589.0	1403013.0	1899662.0	1707218.0	1961662.0	1894155.0	1953112.0	1982953.0	1737657.0	1812541.0	1782492.0	1923489.0	1725444.0	1923658.0	1733961.0	1804856.0	1758277.0	1950156.0	1503474.0	1672988.0	1938837.0	1982506.0	1524184.0	1280420.0	1956540.0	1963123.0	1881369.0	1799317.0	1982122.0	1910829.0	2185033.0	1844732.0	1868687.0	1993145.0	1956688.0	1877743.0	1457059.0	1840208.0	1912406.0	1961446.0	1103447.0
LeChatelierE_2013__MH0031__bin.15	2176725.0	1490223.0	2077504.0	1842814.0	2138142.0	2074037.0	2135293.0	2197386.0	1906747.0	1959642.0	1923219.0	2113568.0	1864007.0	2131027.0	1913930.0	1939116.0	1956078.0	2155452.0	1656043.0	1803766.0	2129294.0	2190302.0	1643907.0	1531797.0	2166571.0	2182596.0	2066940.0	1953779.0	2186256.0	2111943.0	1844732.0	2374683.0	2071248.0	2206002.0	2181020.0	2071246.0	1567304.0	2041938.0	2128263.0	2116179.0	1159685.0
XieH_2016__YSZC12003_37331__bin.23	2295876.0	1515490.0	2185802.0	1891020.0	2231842.0	2158638.0	2284667.0	2234640.0	2010202.0	2019283.0	1975072.0	2255777.0	1956244.0	2305041.0	1962874.0	1955011.0	1993711.0	2197404.0	1648397.0	1795387.0	2226160.0	2345989.0	1647750.0	1444037.0	2243030.0	2281428.0	2118052.0	1976362.0	2287944.0	2404682.0	1868687.0	2071248.0	2560408.0	2305189.0	2331917.0	2243662.0	1622066.0	2176350.0	2220335.0	2188867.0	1217590.0
CosteaPI_2017__SID713B042-11-0-0__bin.52	2414808.0	1626074.0	2342565.0	1993004.0	2337682.0	2304407.0	2379711.0	2430965.0	2076768.0	2142840.0	2144936.0	2329420.0	2018353.0	2393434.0	2065628.0	2102302.0	2132282.0	2377885.0	1749284.0	1951606.0	2493022.0	2444819.0	1783772.0	1565752.0	2431954.0	2443216.0	2325648.0	2146369.0	2519968.0	2357933.0	1993145.0	2206002.0	2305189.0	2970333.0	2452963.0	2337667.0	1688147.0	2282691.0	2364847.0	2356750.0	1229156.0
ZeeviD_2015__PNP_Main_287__bin.26	2448726.0	1554451.0	2330871.0	1955788.0	2380999.0	2320583.0	2347011.0	2355344.0	2069541.0	2104958.0	2090146.0	2330362.0	2000801.0	2404693.0	2003340.0	2068568.0	2131535.0	2339176.0	1705763.0	1895650.0	2430407.0	2483873.0	1735249.0	1531639.0	2376109.0	2500127.0	2244250.0	2085820.0	2443151.0	2416066.0	1956688.0	2181020.0	2331917.0	2452963.0	2787588.0	2385354.0	1696349.0	2248832.0	2328182.0	2328781.0	1217772.0
LeChatelierE_2013__MH0421__bin.46	2300455.0	1495930.0	2223739.0	1880687.0	2270109.0	2177805.0	2260157.0	2254371.0	2008635.0	2011910.0	2008385.0	2227399.0	1907630.0	2242845.0	1936366.0	1968544.0	2017898.0	2227599.0	1631556.0	1815629.0	2300460.0	2324166.0	1651677.0	1435263.0	2282706.0	2341110.0	2132799.0	1976155.0	2314693.0	2283748.0	1877743.0	2071246.0	2243662.0	2337667.0	2385354.0	2518345.0	1603391.0	2144485.0	2230029.0	2232352.0	1171699.0
ZellerG_2014__CCIS48725289ST-4-0__bin.22	1644402.0	1178432.0	1607333.0	1456944.0	1621072.0	1566011.0	1638239.0	1656545.0	1490414.0	1540860.0	1514052.0	1629394.0	1468547.0	1666880.0	1465477.0	1491595.0	1512818.0	1603230.0	1286728.0	1398096.0	1652589.0	1662488.0	1289742.0	1093032.0	1625190.0	1668064.0	1619210.0	1488341.0	1680066.0	1642239.0	1457059.0	1567304.0	1622066.0	1688147.0	1696349.0	1603391.0	1843315.0	1581233.0	1608388.0	1605627.0	961822.0
ZeeviD_2015__PNP_Main_415__bin.31	2243909.0	1521917.0	2125571.0	1849952.0	2169637.0	2150448.0	2208396.0	2235413.0	2061067.0	1969411.0	1965639.0	2165467.0	1929272.0	2228948.0	1970480.0	1952978.0	1952519.0	2215157.0	1645065.0	1805451.0	2224366.0	2294016.0	1680968.0	1422450.0	2233763.0	2230353.0	2106955.0	2022989.0	2256238.0	2196889.0	1840208.0	2041938.0	2176350.0	2282691.0	2248832.0	2144485.0	1581233.0	2804364.0	2208214.0	2163876.0	1173679.0
FengQ_2015__SID31160__bin.2	2313700.0	1551672.0	2221654.0	1905496.0	2316649.0	2302467.0	2382310.0	2302021.0	2080488.0	2028545.0	2029933.0	2330777.0	1961335.0	2287037.0	2017344.0	2036084.0	2038301.0	2331307.0	1665660.0	1909002.0	2337063.0	2371144.0	1727530.0	1504379.0	2389047.0	2339615.0	2160971.0	2084564.0	2348730.0	2259585.0	1912406.0	2128263.0	2220335.0	2364847.0	2328182.0	2230029.0	1608388.0	2208214.0	2876251.0	2289456.0	1207364.0
CosteaPI_2017__SID713B046-11-0-0__bin.75	2330176.0	1570492.0	2250170.0	1927448.0	2369874.0	2387345.0	2342140.0	2293756.0	2057315.0	2031636.0	2050363.0	2324724.0	1942106.0	2216035.0	2015740.0	2028159.0	2010749.0	2323716.0	1683521.0	1918621.0	2264139.0	2358632.0	1750652.0	1465332.0	2351615.0	2280371.0	2185801.0	2081609.0	2322766.0	2247871.0	1961446.0	2116179.0	2188867.0	2356750.0	2328781.0	2232352.0	1605627.0	2163876.0	2289456.0	2711536.0	1201098.0
KarlssonFH_2013__S187__bin.51	1210678.0	922789.0	1183037.0	1098093.0	1213409.0	1170352.0	1223216.0	1222752.0	1136050.0	1145369.0	1125070.0	1202204.0	1130735.0	1215034.0	1128323.0	1132068.0	1117921.0	1202074.0	972851.0	1056103.0	1180215.0	1235179.0	984296.0	823741.0	1221825.0	1228672.0	1177447.0	1117522.0	1228858.0	1201499.0	1103447.0	1159685.0	1217590.0	1229156.0	1217772.0	1171699.0	961822.0	1173679.0	1207364.0	1201098.0	1395604.0
