	BritoIL_2016__W1.2.ST__bin.95	BritoIL_2016__M1.48.ST__bin.81	CM_madagascar__A90_04_1FE__bin.17	CM_madagascar__V07_01_2FE__bin.37	Obregon-TitoAJ_2015__SM30__bin.20	RampelliS_2015__H10__bin.43	Obregon-TitoAJ_2015__SM02__bin.41	CM_madagascar__A88_02_1FE__bin.30	CM_madagascar__A72_02_1FE__bin.1	BritoIL_2016__M1.4.ST__bin.21	BritoIL_2016__M2.40.ST__bin.49	BritoIL_2016__M1.27.ST__bin.11	CM_madagascar__A81_01_1FE__bin.13	BritoIL_2016__W3.18.ST__bin.61	BritoIL_2016__M1.3.ST__bin.79	Obregon-TitoAJ_2015__SM37__bin.34	BritoIL_2016__M2.38.ST__bin.48	CM_madagascar__A40_02_1FE__bin.15	BritoIL_2016__M1.24.ST__bin.31	LeChatelierE_2013__MH0189__bin.74	BritoIL_2016__M2.39.ST__bin.19	Obregon-TitoAJ_2015__SM18__bin.32	CM_madagascar__A08_01_1FE__bin.3	RampelliS_2015__H11__bin.10	CM_madagascar__V50_02_1FE__bin.9	BritoIL_2016__M1.29.ST__bin.89	RampelliS_2015__H14__bin.29	Obregon-TitoAJ_2015__SM01__bin.40	Obregon-TitoAJ_2015__HCO70__bin.24	CM_madagascar__A45_02_1FE__bin.2	Obregon-TitoAJ_2015__SM03__bin.7	BritoIL_2016__M2.36.ST__bin.37	CM_madagascar__A32_01_1FE__bin.17	CM_madagascar__A81_03_1FE__bin.15	Obregon-TitoAJ_2015__SM23__bin.1	SchirmerM_2016__G89199__bin.16	BritoIL_2016__M1.1.ST__bin.111	RampelliS_2015__H13__bin.27	CM_madagascar__A73_01_1FE__bin.37	CM_madagascar__V18_02_1FE__bin.38	BritoIL_2016__M1.16.ST__bin.30	CM_madagascar__A56_01_1FE__bin.45	BritoIL_2016__M2.37.ST__bin.15	Obregon-TitoAJ_2015__SM40__bin.39	RampelliS_2015__H16__bin.3	CM_madagascar__A39_02_1FE__bin.22	CM_madagascar__A36_01_1FE__bin.38
BritoIL_2016__M2.40.ST__bin.49	1424064.0	1382280.0	2022843.0	1622758.0	1044506.0	2066459.0	1782414.0	1847216.0	1744188.0	1246813.0	2335732.0	1513039.0	1847203.0	1935467.0	1030461.0	2036561.0	2008192.0	2102239.0	1977508.0	2076599.0	2026981.0	2019495.0	1671026.0	1179666.0	2052660.0	1137706.0	1089166.0	1844410.0	1991790.0	2067823.0	1499882.0	2119832.0	1956351.0	1918392.0	1393409.0	2001688.0	1232570.0	1941760.0	2047242.0	1902039.0	1555098.0	2104313.0	1064494.0	2053256.0	2042223.0	2078873.0	1749494.0
BritoIL_2016__M1.27.ST__bin.11	814796.0	1350065.0	1484127.0	1210836.0	515249.0	1474094.0	1343773.0	1301526.0	1149025.0	1273688.0	1513039.0	1651794.0	1309777.0	1372033.0	560297.0	1498493.0	1412865.0	1510029.0	1452750.0	1497719.0	1537456.0	1463278.0	1239405.0	950334.0	1491523.0	569240.0	987946.0	1347385.0	1465986.0	1455083.0	1365625.0	1670685.0	1417336.0	1442497.0	1304947.0	1458456.0	578572.0	1377579.0	1478655.0	1362426.0	1130920.0	1514479.0	824744.0	1513139.0	1436893.0	1517775.0	1426376.0
CM_madagascar__A81_01_1FE__bin.13	1281756.0	1242110.0	1887499.0	1507847.0	965169.0	1902719.0	1650059.0	1716349.0	1621380.0	1108102.0	1847203.0	1309777.0	2170503.0	1732546.0	980543.0	1812337.0	1726487.0	1875122.0	1847474.0	1888592.0	1656878.0	1867786.0	1566629.0	1095555.0	1847031.0	1033255.0	1003454.0	1719854.0	1851799.0	1874123.0	1350843.0	1911576.0	1842220.0	1774427.0	1248831.0	1851233.0	1011912.0	1780330.0	1860359.0	1837976.0	1308445.0	1871259.0	872008.0	1898178.0	1809258.0	1855766.0	1623281.0
BritoIL_2016__W3.18.ST__bin.61	1332484.0	1295281.0	1904603.0	1510572.0	1023417.0	1945494.0	1656734.0	1736174.0	1645236.0	1190044.0	1935467.0	1372033.0	1732546.0	2127110.0	991248.0	1904508.0	1800506.0	1959111.0	1895061.0	1893382.0	1767217.0	1932085.0	1557866.0	1131068.0	1973483.0	1091137.0	984841.0	1763677.0	1866012.0	1916517.0	1392064.0	1964846.0	1841178.0	1791086.0	1284432.0	1899426.0	1043538.0	1856011.0	1906938.0	1772061.0	1342459.0	1962036.0	934370.0	1916282.0	1883636.0	1928185.0	1673359.0
BritoIL_2016__M1.3.ST__bin.79	992799.0	474981.0	1053196.0	814004.0	938209.0	1063991.0	886503.0	968019.0	1042292.0	312668.0	1030461.0	560297.0	980543.0	991248.0	1152341.0	1027735.0	942800.0	1063329.0	1072169.0	1063248.0	847003.0	1023262.0	844180.0	501919.0	1059231.0	1002391.0	328739.0	937913.0	1023343.0	1043248.0	505855.0	1091322.0	991912.0	1020589.0	470087.0	1061212.0	972570.0	991663.0	1018889.0	1010852.0	645264.0	1052928.0	669602.0	1043915.0	1006845.0	1032355.0	815028.0
Obregon-TitoAJ_2015__SM37__bin.34	1348196.0	1367257.0	2016976.0	1623852.0	1068568.0	2107139.0	1802879.0	1799763.0	1714189.0	1231181.0	2036561.0	1498493.0	1812337.0	1904508.0	1027735.0	2397450.0	1896577.0	2069415.0	2011534.0	2012686.0	1854528.0	2058379.0	1650242.0	1194625.0	2038739.0	1098233.0	1084757.0	1850025.0	1978283.0	2010774.0	1543475.0	2091303.0	1983991.0	1896065.0	1397520.0	1992818.0	1102334.0	1961037.0	2035872.0	1903743.0	1435379.0	2068631.0	980391.0	2028073.0	1983269.0	2080687.0	1767747.0
BritoIL_2016__M2.38.ST__bin.48	1285715.0	1313257.0	1893377.0	1537213.0	953995.0	1908440.0	1692348.0	1719729.0	1602303.0	1192189.0	2008192.0	1412865.0	1726487.0	1800506.0	942800.0	1896577.0	2070706.0	1943942.0	1856751.0	1889582.0	1845575.0	1876651.0	1580167.0	1096417.0	1901145.0	1032375.0	1028825.0	1721685.0	1859964.0	1912239.0	1416407.0	1947528.0	1838117.0	1785109.0	1320440.0	1870586.0	1049381.0	1790137.0	1886260.0	1777959.0	1431914.0	1941667.0	975388.0	1875517.0	1870148.0	1905873.0	1641413.0
CM_madagascar__A40_02_1FE__bin.15	1437478.0	1447654.0	2067499.0	1665104.0	1097094.0	2130165.0	1827014.0	1853402.0	1770527.0	1291656.0	2102239.0	1510029.0	1875122.0	1959111.0	1063329.0	2069415.0	1943942.0	2390681.0	2056494.0	2098900.0	1889089.0	2084883.0	1709024.0	1226551.0	2167545.0	1168070.0	1128054.0	1914000.0	2056736.0	2069079.0	1567309.0	2141505.0	2013187.0	1979072.0	1438487.0	2086583.0	1126299.0	2009263.0	2111734.0	1959762.0	1456975.0	2373719.0	1017554.0	2061029.0	2066536.0	2092864.0	1790593.0
BritoIL_2016__M1.24.ST__bin.31	1419704.0	1382858.0	2019040.0	1607859.0	1053420.0	2044727.0	1774947.0	1809133.0	1752884.0	1224285.0	1977508.0	1452750.0	1847474.0	1895061.0	1072169.0	2011534.0	1856751.0	2056494.0	2373525.0	1996656.0	1792624.0	2013624.0	1621914.0	1177318.0	2081759.0	1137411.0	1089913.0	1890506.0	1969987.0	2024614.0	1502326.0	2081452.0	1956894.0	1933493.0	1365813.0	2065210.0	1058897.0	1929766.0	2010255.0	1889836.0	1393247.0	2049957.0	961485.0	2006369.0	1972035.0	1988075.0	1712944.0
LeChatelierE_2013__MH0189__bin.74	1417038.0	1392804.0	1996503.0	1626418.0	1048656.0	2061629.0	1778731.0	1832547.0	1756994.0	1232110.0	2076599.0	1497719.0	1888592.0	1893382.0	1063248.0	2012686.0	1889582.0	2098900.0	1996656.0	2397790.0	1865253.0	2032376.0	1695281.0	1186722.0	2051393.0	1151350.0	1117854.0	1881837.0	2027055.0	2051799.0	1482742.0	2132153.0	1946104.0	1926184.0	1400531.0	2048976.0	1142330.0	1943103.0	2031263.0	1922372.0	1444255.0	2096074.0	988376.0	2119119.0	1993283.0	2053576.0	1759122.0
BritoIL_2016__M2.39.ST__bin.19	1223863.0	1405158.0	1841397.0	1477478.0	835815.0	1851166.0	1632089.0	1668477.0	1557275.0	1261358.0	2026981.0	1537456.0	1656878.0	1767217.0	847003.0	1854528.0	1845575.0	1889089.0	1792624.0	1865253.0	2122545.0	1815726.0	1535289.0	1130478.0	1848764.0	937223.0	1080808.0	1633035.0	1775428.0	1896530.0	1527164.0	1935217.0	1769520.0	1749506.0	1404084.0	1804911.0	1018955.0	1739795.0	1859309.0	1706853.0	1449274.0	1891089.0	1053457.0	1851351.0	1814353.0	1883275.0	1682104.0
Obregon-TitoAJ_2015__SM18__bin.32	1398360.0	1407466.0	2047042.0	1666711.0	1100650.0	2104064.0	1788836.0	1846438.0	1773891.0	1266433.0	2019495.0	1463278.0	1867786.0	1932085.0	1023262.0	2058379.0	1876651.0	2084883.0	2013624.0	2032376.0	1815726.0	2466093.0	1690979.0	1205603.0	2090161.0	1123632.0	1104772.0	1902431.0	2012047.0	2049183.0	1630951.0	2077571.0	1994843.0	1926418.0	1407911.0	2043739.0	1074566.0	1968415.0	2084617.0	1931113.0	1405167.0	2078232.0	988161.0	2046220.0	2013812.0	2073902.0	1785689.0
CM_madagascar__A08_01_1FE__bin.3	1131346.0	1159499.0	1684450.0	1492602.0	839746.0	1719168.0	1478605.0	1544171.0	1412003.0	1047597.0	1671026.0	1239405.0	1566629.0	1557866.0	844180.0	1650242.0	1580167.0	1709024.0	1621914.0	1695281.0	1535289.0	1690979.0	1932075.0	1046229.0	1697091.0	902857.0	957619.0	1495630.0	1694819.0	1694678.0	1260816.0	1704813.0	1653304.0	1632249.0	1175814.0	1668326.0	867121.0	1603922.0	1696092.0	1582694.0	1195600.0	1701037.0	838722.0	1663721.0	1656180.0	1685453.0	1495992.0
RampelliS_2015__H11__bin.10	761084.0	946893.0	1207931.0	1026800.0	529315.0	1535605.0	1066723.0	1055527.0	972800.0	841666.0	1179666.0	950334.0	1095555.0	1131068.0	501919.0	1194625.0	1096417.0	1226551.0	1177318.0	1186722.0	1130478.0	1205603.0	1046229.0	1803728.0	1206705.0	560362.0	769620.0	1074397.0	1199102.0	1199064.0	1014772.0	1220168.0	1206059.0	1148374.0	952061.0	1189030.0	518206.0	1173769.0	1230438.0	1134986.0	868963.0	1223209.0	588188.0	1181371.0	1221995.0	1218863.0	1089768.0
CM_madagascar__V50_02_1FE__bin.9	1423659.0	1438837.0	2054852.0	1636334.0	1081421.0	2092473.0	1808652.0	1856899.0	1776478.0	1277585.0	2052660.0	1491523.0	1847031.0	1973483.0	1059231.0	2038739.0	1901145.0	2167545.0	2081759.0	2051393.0	1848764.0	2090161.0	1697091.0	1206705.0	2424015.0	1160276.0	1125367.0	1908066.0	2015642.0	2078642.0	1567891.0	2123145.0	1984791.0	1968409.0	1420480.0	2084609.0	1081131.0	1979701.0	2060992.0	1929438.0	1429929.0	2177029.0	1000439.0	2066199.0	2047666.0	2083797.0	1774424.0
BritoIL_2016__M1.29.ST__bin.89	1257648.0	461070.0	1137945.0	886457.0	1050647.0	1154357.0	963302.0	1031230.0	1175027.0	356683.0	1137706.0	569240.0	1033255.0	1091137.0	1002391.0	1098233.0	1032375.0	1168070.0	1137411.0	1151350.0	937223.0	1123632.0	902857.0	560362.0	1160276.0	1311781.0	317016.0	1011611.0	1105920.0	1181811.0	633325.0	1174386.0	1103147.0	1059580.0	516849.0	1134180.0	1079999.0	1141242.0	1131707.0	1079439.0	699777.0	1174263.0	729715.0	1123014.0	1130257.0	1134812.0	865165.0
RampelliS_2015__H14__bin.29	526310.0	1017417.0	1120114.0	949417.0	293638.0	1148295.0	1003934.0	970337.0	776050.0	933474.0	1089166.0	987946.0	1003454.0	984841.0	328739.0	1084757.0	1028825.0	1128054.0	1089913.0	1117854.0	1080808.0	1104772.0	957619.0	769620.0	1125367.0	317016.0	1313814.0	1035224.0	1087779.0	1094262.0	981273.0	1124850.0	1079258.0	1067654.0	996666.0	1114839.0	290575.0	1168821.0	1127921.0	1050980.0	844869.0	1125856.0	426874.0	1098496.0	1117165.0	1113092.0	1014434.0
Obregon-TitoAJ_2015__SM01__bin.40	1253488.0	1366104.0	1867353.0	1480524.0	967408.0	1895704.0	1641312.0	1696676.0	1655291.0	1250198.0	1844410.0	1347385.0	1719854.0	1763677.0	937913.0	1850025.0	1721685.0	1914000.0	1890506.0	1881837.0	1633035.0	1902431.0	1495630.0	1074397.0	1908066.0	1011611.0	1035224.0	2136546.0	1814366.0	1878796.0	1364173.0	2003274.0	1794849.0	1843794.0	1355050.0	1898374.0	954187.0	1775803.0	1862408.0	1741097.0	1284879.0	1910548.0	828634.0	1892126.0	1820975.0	1843919.0	1604038.0
Obregon-TitoAJ_2015__HCO70__bin.24	1361151.0	1378618.0	2002168.0	1615862.0	1044692.0	2081857.0	1791842.0	1800337.0	1698809.0	1249176.0	1991790.0	1465986.0	1851799.0	1866012.0	1023343.0	1978283.0	1859964.0	2056736.0	1969987.0	2027055.0	1775428.0	2012047.0	1694819.0	1199102.0	2015642.0	1105920.0	1087779.0	1814366.0	2427564.0	1988685.0	1496198.0	2051211.0	1956641.0	1890613.0	1424606.0	1984659.0	1032096.0	1947152.0	1999988.0	1900350.0	1404341.0	2053782.0	974021.0	2002922.0	1982602.0	2005138.0	1740543.0
CM_madagascar__A45_02_1FE__bin.2	1475266.0	1391194.0	2035969.0	1649998.0	1058968.0	2077543.0	1780087.0	2008808.0	2011939.0	1232555.0	2067823.0	1455083.0	1874123.0	1916517.0	1043248.0	2010774.0	1912239.0	2069079.0	2024614.0	2051799.0	1896530.0	2049183.0	1694678.0	1199064.0	2078642.0	1181811.0	1094262.0	1878796.0	1988685.0	2372334.0	1543113.0	2107754.0	1975308.0	1962183.0	1400844.0	2037294.0	1143307.0	1944462.0	2036866.0	1905691.0	1441303.0	2064442.0	1012022.0	2045121.0	2002586.0	2071849.0	1764587.0
Obregon-TitoAJ_2015__SM03__bin.7	901202.0	1355669.0	1539347.0	1262528.0	578261.0	1579457.0	1382394.0	1342753.0	1222298.0	1213391.0	1499882.0	1365625.0	1350843.0	1392064.0	505855.0	1543475.0	1416407.0	1567309.0	1502326.0	1482742.0	1527164.0	1630951.0	1260816.0	1014772.0	1567891.0	633325.0	981273.0	1364173.0	1496198.0	1543113.0	1853179.0	1574832.0	1495688.0	1454889.0	1356593.0	1520984.0	594158.0	1492109.0	1547621.0	1410807.0	1114570.0	1565219.0	780921.0	1520264.0	1505255.0	1544113.0	1467315.0
BritoIL_2016__M2.36.ST__bin.37	1439692.0	1464396.0	2088458.0	1640408.0	1064279.0	2122425.0	1811583.0	1853425.0	1800029.0	1309799.0	2119832.0	1670685.0	1911576.0	1964846.0	1091322.0	2091303.0	1947528.0	2141505.0	2081452.0	2132153.0	1935217.0	2077571.0	1704813.0	1220168.0	2123145.0	1174386.0	1124850.0	2003274.0	2051211.0	2107754.0	1574832.0	2447049.0	1996844.0	2041979.0	1437526.0	2091525.0	1158504.0	1994789.0	2074311.0	1942009.0	1477630.0	2145959.0	995845.0	2128940.0	2015289.0	2125681.0	1792454.0
CM_madagascar__A32_01_1FE__bin.17	1359791.0	1348095.0	1989816.0	1791169.0	1051409.0	2097371.0	1791915.0	1775243.0	1671888.0	1216354.0	1956351.0	1417336.0	1842220.0	1841178.0	991912.0	1983991.0	1838117.0	2013187.0	1956894.0	1946104.0	1769520.0	1994843.0	1653304.0	1206059.0	1984791.0	1103147.0	1079258.0	1794849.0	1956641.0	1975308.0	1495688.0	1996844.0	2427906.0	1872743.0	1405112.0	1973039.0	1023194.0	1896319.0	1984958.0	1941456.0	1393555.0	2005407.0	966997.0	1946971.0	1979608.0	2021512.0	1732331.0
CM_madagascar__A81_03_1FE__bin.15	1318075.0	1382969.0	1949990.0	1593470.0	991582.0	1975274.0	1672504.0	1750974.0	1646885.0	1223033.0	1918392.0	1442497.0	1774427.0	1791086.0	1020589.0	1896065.0	1785109.0	1979072.0	1933493.0	1926184.0	1749506.0	1926418.0	1632249.0	1148374.0	1968409.0	1059580.0	1067654.0	1843794.0	1890613.0	1962183.0	1454889.0	2041979.0	1872743.0	2176955.0	1332502.0	1946801.0	1005692.0	1836163.0	1932967.0	1809575.0	1331356.0	1971963.0	923407.0	1932087.0	1868833.0	1914036.0	1694655.0
Obregon-TitoAJ_2015__SM23__bin.1	760184.0	1371352.0	1434088.0	1178180.0	492278.0	1438940.0	1445739.0	1225676.0	1087480.0	1262043.0	1393409.0	1304947.0	1248831.0	1284432.0	470087.0	1397520.0	1320440.0	1438487.0	1365813.0	1400531.0	1404084.0	1407911.0	1175814.0	952061.0	1420480.0	516849.0	996666.0	1355050.0	1424606.0	1400844.0	1356593.0	1437526.0	1405112.0	1332502.0	1622703.0	1405776.0	432148.0	1344233.0	1431610.0	1344789.0	1069793.0	1427968.0	730666.0	1403000.0	1415028.0	1429261.0	1358349.0
SchirmerM_2016__G89199__bin.16	1414520.0	1398717.0	2031371.0	1637801.0	1053425.0	2070570.0	1771184.0	1841398.0	1743699.0	1237566.0	2001688.0	1458456.0	1851233.0	1899426.0	1061212.0	1992818.0	1870586.0	2086583.0	2065210.0	2048976.0	1804911.0	2043739.0	1668326.0	1189030.0	2084609.0	1134180.0	1114839.0	1898374.0	1984659.0	2037294.0	1520984.0	2091525.0	1973039.0	1946801.0	1405776.0	2333443.0	1056936.0	1927848.0	2018576.0	1894092.0	1404974.0	2081880.0	955392.0	2022453.0	1978504.0	2014202.0	1729535.0
BritoIL_2016__M1.1.ST__bin.111	1098594.0	417569.0	1042346.0	838862.0	964383.0	1088341.0	882664.0	1014276.0	1129138.0	290409.0	1232570.0	578572.0	1011912.0	1043538.0	972570.0	1102334.0	1049381.0	1126299.0	1058897.0	1142330.0	1018955.0	1074566.0	867121.0	518206.0	1081131.0	1079999.0	290575.0	954187.0	1032096.0	1143307.0	594158.0	1158504.0	1023194.0	1005692.0	432148.0	1056936.0	1324967.0	1063302.0	1073921.0	1026173.0	746718.0	1124729.0	715553.0	1099042.0	1048132.0	1110130.0	832637.0
RampelliS_2015__H13__bin.27	1371206.0	1319643.0	1962003.0	1557152.0	1069829.0	2051573.0	1729586.0	1732292.0	1641364.0	1178368.0	1941760.0	1377579.0	1780330.0	1856011.0	991663.0	1961037.0	1790137.0	2009263.0	1929766.0	1943103.0	1739795.0	1968415.0	1603922.0	1173769.0	1979701.0	1141242.0	1168821.0	1775803.0	1947152.0	1944462.0	1492109.0	1994789.0	1896319.0	1836163.0	1344233.0	1927848.0	1063302.0	2322791.0	1978764.0	1855940.0	1354441.0	2006036.0	936198.0	1926914.0	1959798.0	1964758.0	1696504.0
CM_madagascar__A73_01_1FE__bin.37	1402160.0	1417720.0	2033699.0	1657142.0	1056647.0	2126254.0	1810550.0	1820642.0	1727721.0	1262188.0	2047242.0	1478655.0	1860359.0	1906938.0	1018889.0	2035872.0	1886260.0	2111734.0	2010255.0	2031263.0	1859309.0	2084617.0	1696092.0	1230438.0	2060992.0	1131707.0	1127921.0	1862408.0	1999988.0	2036866.0	1547621.0	2074311.0	1984958.0	1932967.0	1431610.0	2018576.0	1073921.0	1978764.0	2408507.0	1935270.0	1428023.0	2101035.0	993211.0	2011217.0	2053366.0	2060007.0	1772158.0
CM_madagascar__V18_02_1FE__bin.38	1296047.0	1299263.0	1939705.0	1613968.0	1026415.0	1961615.0	1737628.0	1756894.0	1615971.0	1165699.0	1902039.0	1362426.0	1837976.0	1772061.0	1010852.0	1903743.0	1777959.0	1959762.0	1889836.0	1922372.0	1706853.0	1931113.0	1582694.0	1134986.0	1929438.0	1079439.0	1050980.0	1741097.0	1900350.0	1905691.0	1410807.0	1942009.0	1941456.0	1809575.0	1344789.0	1894092.0	1026173.0	1855940.0	1935270.0	2177504.0	1351586.0	1952234.0	908875.0	1883402.0	1917768.0	1967502.0	1700972.0
