Ref_file	Query_file	AAI	Align_fraction_query	Align_fraction_reference	Ref_name	Query_name
references/D5/Parks8k_GCA_002296595_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9869	0.8281	0.5516	DBIG01000033.1 TPA_asm: Pseudomonas stutzeri isolate UBA808 UBA808_contig_103, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002413985_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9868	0.6527	0.5287	DHYF01000010.1 TPA_asm: Pseudomonas stutzeri isolate UBA5137 UBA5137_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002455935_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9868	0.8347	0.5555	DKLV01000021.1 TPA_asm: Pseudomonas stutzeri isolate UBA6631 UBA6631_contig_100, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002388145_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9863	0.8280	0.5725	DGLX01000012.1 TPA_asm: Pseudomonas stutzeri isolate UBA4533 UBA4533_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002418345_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9860	0.8164	0.5596	DIDW01000070.1 TPA_asm: Pseudomonas stutzeri isolate UBA5790 UBA5790_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002440565_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9852	0.8267	0.5493	DJUT01000019.1 TPA_asm: Pseudomonas stutzeri isolate UBA6275 UBA6275_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002365475_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9850	0.8405	0.5649	DFAE01000015.1 TPA_asm: Pseudomonas stutzeri isolate UBA3114 UBA3114_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002307985_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9848	0.8332	0.5143	DBUQ01000036.1 TPA_asm: Pseudomonas stutzeri isolate UBA1286 UBA1286_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002346465_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9848	0.8104	0.5312	DDZQ01000017.1 TPA_asm: Pseudomonas stutzeri isolate UBA3004 UBA3004_contig_111, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002320895_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9846	0.8320	0.5531	DCLE01000012.1 TPA_asm: Pseudomonas stutzeri isolate UBA1656 UBA1656_contig_1052, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002365145_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9846	0.8026	0.5721	DEZH01000041.1 TPA_asm: Pseudomonas stutzeri isolate UBA3137 UBA3137_contig_100, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002339875_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9843	0.7966	0.5432	DDLL01000021.1 TPA_asm: Pseudomonas stutzeri isolate UBA2573 UBA2573_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002388065_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9843	0.8309	0.5286	DGLT01000016.1 TPA_asm: Pseudomonas stutzeri isolate UBA4537 UBA4537_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002337845_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9843	0.8394	0.5530	DDGX01000051.1 TPA_asm: Pseudomonas stutzeri isolate UBA1891 UBA1891_contig_102, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002378365_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9838	0.8144	0.5218	DFRV01000015.1 TPA_asm: Pseudomonas stutzeri isolate UBA3454 UBA3454_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002389165_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9835	0.8162	0.5171	DGNY01000046.1 TPA_asm: Pseudomonas stutzeri isolate UBA4480 UBA4480_contig_104, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002479285_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9832	0.8139	0.5481	DLMK01000045.1 TPA_asm: Pseudomonas stutzeri isolate UBA7538 UBA7538_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002451325_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9830	0.8284	0.5628	DKBU01000008.1 TPA_asm: Pseudomonas stutzeri isolate UBA6892 UBA6892_contig_13, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002439525_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9829	0.7996	0.5668	DJUP01000015.1 TPA_asm: Pseudomonas stutzeri isolate UBA6279 UBA6279_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002294535_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9824	0.8022	0.5353	DBEO01000076.1 TPA_asm: Pseudomonas stutzeri isolate UBA904 UBA904_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002335105_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9813	0.8069	0.5197	DDCP01000019.1 TPA_asm: Pseudomonas stutzeri isolate UBA2003 UBA2003_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002483545_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9807	0.7238	0.5459	DLIC01000005.1 TPA_asm: Pseudomonas stutzeri isolate UBA7652 UBA7652_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002378825_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9799	0.7858	0.5600	DFRW01000028.1 TPA_asm: Pseudomonas stutzeri isolate UBA3453 UBA3453_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002314405_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9795	0.7968	0.5504	DCFJ01000018.1 TPA_asm: Pseudomonas stutzeri isolate UBA1807 UBA1807_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002389115_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9795	0.3423	0.4017	DGNW01000003.1 TPA_asm: Pseudomonas stutzeri isolate UBA4482 UBA4482_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002424945_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9792	0.6982	0.5400	DILH01000079.1 TPA_asm: Pseudomonas stutzeri isolate UBA5597 UBA5597_contig_1015, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002419685_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9791	0.6882	0.5432	DIGP01000060.1 TPA_asm: Pseudomonas stutzeri isolate UBA5719 UBA5719_contig_1001, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002345265_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9790	0.7985	0.5235	DDVK01000030.1 TPA_asm: Pseudomonas stutzeri isolate UBA2314 UBA2314_contig_107, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002345055_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9788	0.6162	0.4895	DDUY01000012.1 TPA_asm: Pseudomonas stutzeri isolate UBA2326 UBA2326_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002434415_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9787	0.8115	0.5688	DJJY01000091.1 TPA_asm: Pseudomonas stutzeri isolate UBA6556 UBA6556_contig_101, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002484245_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9780	0.7164	0.5394	DLJL01000101.1 TPA_asm: Pseudomonas stutzeri isolate UBA7617 UBA7617_contig_1005, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002387375_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9779	0.8094	0.5576	DGIU01000022.1 TPA_asm: Pseudomonas stutzeri isolate UBA4614 UBA4614_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002440495_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9775	0.6074	0.4824	DJUH01000022.1 TPA_asm: Pseudomonas stutzeri isolate UBA6287 UBA6287_contig_106, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002425655_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9775	0.7240	0.5236	DIMQ01000010.1 TPA_asm: Pseudomonas stutzeri isolate UBA5562 UBA5562_contig_16, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002455775_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9768	0.7765	0.5659	DKLN01000025.1 TPA_asm: Pseudomonas stutzeri isolate UBA6639 UBA6639_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002338285_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9762	0.7920	0.5506	DDHY01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA1864 UBA1864_contig_1021, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002358225_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9762	0.6786	0.5404	DEOH01000037.1 TPA_asm: Pseudomonas stutzeri isolate UBA3423 UBA3423_contig_102, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002479445_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9755	0.7727	0.5589	DLNL01000091.1 TPA_asm: Pseudomonas stutzeri isolate UBA7511 UBA7511_contig_1005, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002388215_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9747	0.5813	0.4634	DGMB01000012.1 TPA_asm: Pseudomonas stutzeri isolate UBA4529 UBA4529_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002429975_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9747	0.5939	0.4955	DJBH01000114.1 TPA_asm: Pseudomonas stutzeri isolate UBA5981 UBA5981_contig_1004, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002321095_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9745	0.7560	0.5567	DCLO01000170.1 TPA_asm: Pseudomonas stutzeri isolate UBA1646 UBA1646_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002315115_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9745	0.7989	0.5386	DCFG01000025.1 TPA_asm: Pseudomonas stutzeri isolate UBA1810 UBA1810_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002311715_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9745	0.6792	0.5474	DBZB01000296.1 TPA_asm: Pseudomonas stutzeri isolate UBA1171 UBA1171_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002403755_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9722	0.8308	0.5815	DHIJ01000046.1 TPA_asm: Pseudomonas stutzeri isolate UBA4749 UBA4749_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002358195_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9716	0.5529	0.5083	DEOM01000085.1 TPA_asm: Pseudomonas stutzeri isolate UBA3418 UBA3418_contig_1025, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002421085_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9697	0.7690	0.5399	DIJH01000035.1 TPA_asm: Pseudomonas stutzeri isolate UBA5649 UBA5649_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002425495_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9694	0.7252	0.5181	DIMJ01000040.1 TPA_asm: Pseudomonas stutzeri isolate UBA5569 UBA5569_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002484325_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9691	0.5315	0.5278	DLJP01000023.1 TPA_asm: Pseudomonas stutzeri isolate UBA7613 UBA7613_contig_101, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002379995_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9681	0.7321	0.5704	DFVJ01000080.1 TPA_asm: Pseudomonas stutzeri isolate UBA4163 UBA4163_contig_1, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002429895_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9666	0.7530	0.5346	DJBD01000126.1 TPA_asm: Pseudomonas stutzeri isolate UBA5985 UBA5985_contig_1002, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002346755_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9655	0.7723	0.5381	DDYX01000074.1 TPA_asm: Pseudomonas stutzeri isolate UBA3023 UBA3023_contig_102, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002295365_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9653	0.7232	0.5714	DBGD01000035.1 TPA_asm: Pseudomonas stutzeri isolate UBA863 UBA863_contig_10, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
references/D5/Parks8k_GCA_002432145_1.LargeContigs.fna	references/D5/Parks8k_GCA_002292085_1.LargeContigs.fna	0.9645	0.7267	0.5389	DJFT01000033.1 TPA_asm: Pseudomonas stutzeri isolate UBA5865 UBA5865_contig_101, whole genome shotgun sequence	DBBI01000055.1 TPA_asm: Pseudomonas stutzeri isolate UBA988 UBA988_contig_1014, whole genome shotgun sequence
