assembly	ncontigs	nbps	ulen	maxlen	n50num	n50len	nonATGC
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/NielsenHB_2014__O2_UC55_0__bin.10.fa	150	2974442	19829	99089	31	28749	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/NielsenHB_2014__O2_UC55_2__bin.24.fa	174	3332728	19153	99200	35	31028	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/NielsenHB_2014__V1_UC55_4__bin.92.fa	53	3613635	68181	239769	11	123020	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/QinJ_2012__T2D-098__bin.51.fa	471	2473817	5252	51319	99	6840	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/QinN_2014__LD-33__bin.23.fa	61	2078254	34069	90860	15	55931	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/RaymondF_2016__P19E0__bin.109.fa	439	4886512	11131	140469	65	20827	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/RaymondF_2016__P19E7__bin.83.fa	121	2263268	18704	69051	27	29393	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/RaymondF_2016__P19E90__bin.32.fa	129	2740709	21245	114069	27	32231	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/VatanenT_2016__G80433__bin.6.fa	385	2843758	7386	43231	93	9917	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15.fa	57	3357383	58901	255889	10	112305	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40.fa	69	3511088	50885	225813	14	83527	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/XieH_2016__YSZC12003_36051__bin.32.fa	72	3482159	48363	253775	12	87338	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/XieH_2016__YSZC12003_37299R1__bin.50.fa	83	3775275	45485	213651	16	74977	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/YuJ_2015__SZAXPI003420-4__bin.43.fa	31	2347257	75717	371786	6	137780	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/YuJ_2015__SZAXPI015216-169__bin.77.fa	101	2809702	27818	176993	19	45356	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/ZeeviD_2015__PNP_Main_135__bin.3.fa	614	2537307	4132	39158	160	4735	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/ZeeviD_2015__PNP_Main_46__bin.20.fa	277	2816286	10167	79347	50	16428	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/ZeeviD_2015__PNP_Main_78__bin.43.fa	79	3822067	48380	201480	16	82011	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/ZellerG_2014__CCIS38765456ST-20-0__bin.95.fa	120	3491524	29096	147230	23	51717	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/ZellerG_2014__CCIS74239020ST-4-0__bin.66.fa	417	3254184	7803	58625	88	11121	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1930/ZellerG_2014__CCIS81887263ST-4-0__bin.13.fa	79	3652571	46235	269190	15	76816	0
assembly	ncontigs	nbps	ulen	maxlen	n50num	n50len	nonATGC
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/CosteaPI_2017__SID713B044-11-0-0__bin.44.fa	294	2653999	9027	36330	70	12214	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/CosteaPI_2017__SID713B044-11-90-0__bin.58.fa	147	2907438	19778	78455	35	28626	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiJ_2014__MH0357__bin.54.fa	108	2319525	21477	82657	24	31366	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiJ_2014__MH0400__bin.45.fa	153	2921145	19092	120543	28	34302	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3992956__bin.43.fa	183	2167879	11846	58071	41	17639	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3992961__bin.41.fa	78	1695948	21742	94382	17	34412	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3992966__bin.11.fa	140	1955862	13970	58135	33	20396	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3992978__bin.42.fa	199	2806346	14102	54920	51	19085	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3992980__bin.37.fa	311	1958592	6297	28059	81	7769	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3993001__bin.60.fa	176	1666559	9469	50756	41	12495	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3993034__bin.53.fa	131	2049389	15644	87613	29	23128	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3993043__bin.20.fa	252	2711518	10759	73126	58	14128	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/LiuW_2016__SRR3993054__bin.15.fa	383	2034769	5312	23915	104	6373	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/NielsenHB_2014__O2_UC12_2__bin.35.fa	120	2766329	23052	112212	27	34158	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/Obregon-TitoAJ_2015__SM01__bin.37.fa	133	2855236	21467	105017	28	29972	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/Obregon-TitoAJ_2015__SM11__bin.23.fa	404	2569025	6358	67880	97	8652	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/Obregon-TitoAJ_2015__SM25__bin.54.fa	88	2069402	23515	106498	20	36013	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/Obregon-TitoAJ_2015__SM42__bin.24.fa	159	1681568	10575	43850	36	15699	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/QinN_2014__LV-11__bin.4.fa	49	2092150	42696	119729	11	75287	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/RampelliS_2015__H21__bin.9.fa	111	3207644	28897	147175	27	43425	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/WenC_2017__N021__bin.24.fa	42	1862358	44341	181445	10	61093	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/YuJ_2015__SZAXPI015220-136__bin.34.fa	66	1982719	30041	248905	13	42698	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/ZeeviD_2015__PNP_Main_293__bin.1.fa	55	1906136	34657	110096	13	55785	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/ZeeviD_2015__PNP_Main_364__bin.14.fa	195	2673817	13711	66258	46	17886	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/ZeeviD_2015__PNP_Main_538__bin.7.fa	107	2746032	25663	121708	24	35741	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1673/ZeeviD_2015__PNP_Main_634__bin.23.fa	109	2700878	24778	115048	27	33622	0
assembly	ncontigs	nbps	ulen	maxlen	n50num	n50len	nonATGC
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__M1.37.ST__bin.61.fa	118	2934934	24872	113387	24	35796	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__M1.59.ST__bin.105.fa	124	2980158	24033	101415	23	42976	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__M1.64.ST__bin.19.fa	455	3000464	6594	81096	100	8901	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__M2.33.ST__bin.15.fa	348	2079931	5976	44960	79	7022	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__M2.36.ST__bin.43.fa	352	2736442	7773	55949	78	11117	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__M2.45.ST__bin.12.fa	494	2041037	4131	16345	142	4566	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__W1.31.ST__bin.14.fa	159	2466840	15514	72587	34	25761	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__W1.51.ST__bin.60.fa	98	2691484	27464	108117	21	40064	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__W1.53.ST__bin.36.fa	300	2829345	9431	72681	60	13922	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__W1.5.ST__bin.17.fa	208	3248067	15615	79242	42	26372	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__W2.15.ST__bin.72.fa	143	2643148	18483	114002	29	28791	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__W2.47.ST__bin.56.fa	188	2795551	14869	74087	41	22165	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__W3.1.ST__bin.40.fa	132	2596960	19673	121581	30	28648	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__W3.22.ST__bin.45.fa	317	2871480	9058	56305	73	12480	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__WL.11.ST__bin.38.fa	463	2512991	5427	23046	125	6691	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/BritoIL_2016__WL.25.ST__bin.18.fa	335	2733284	8159	30995	80	11453	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/ChengpingW_2017__AS133raw__bin.20.fa	118	3210475	27207	122127	27	38305	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/CosteaPI_2017__SID713A049-11-0-0__bin.5.fa	101	2889491	28608	155525	21	42764	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/CosteaPI_2017__SID713A049-11-90-0__bin.7.fa	204	2745598	13458	63178	47	18793	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/CosteaPI_2017__SID713B003-11-0-0__bin.46.fa	134	2764510	20630	113176	28	32460	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/CosteaPI_2017__SID713B003-11-90-0__bin.14.fa	118	3049586	25843	124699	21	45596	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/CosteaPI_2017__SID713B037-11-90-0__bin.15.fa	150	2431747	16211	113480	33	24507	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/HeQ_2017__SZAXPI029554-33__bin.92.fa	427	2276887	5332	32373	112	6109	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/LeChatelierE_2013__MH0096__bin.47.fa	537	2447057	4556	29735	135	5512	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/LiJ_2014__MH0284__bin.43.fa	422	2764584	6551	36425	93	8715	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/LiJ_2014__MH0400__bin.1.fa	213	2707190	12709	58707	43	19200	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/Obregon-TitoAJ_2015__SM37__bin.37.fa	566	1814523	3205	10307	184	3482	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/Obregon-TitoAJ_2015__SM41__bin.11.fa	477	2273372	4765	20058	136	5592	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/QinJ_2012__NOM022__bin.20.fa	261	3038606	11642	70488	55	16594	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/RampelliS_2015__H13__bin.37.fa	391	2914785	7454	51666	79	10792	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/RampelliS_2015__H14__bin.105.fa	181	3032394	16753	89108	38	25790	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/SmitsSA_2017__TZ_83788__bin.2.fa	544	2460829	4523	19323	149	5387	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/XieH_2016__YSZC12003_37315__bin.30.fa	519	1982661	3820	17015	154	4214	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/YuJ_2015__SZAXPI015220-136__bin.50.fa	201	2825159	14055	79724	45	20568	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/ZeeviD_2015__PNP_Main_650__bin.17.fa	207	3066074	14811	64185	40	25915	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/ZeeviD_2015__PNP_Main_744__bin.28.fa	188	3239622	17232	134950	34	29854	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/ZellerG_2014__CCIS74726977ST-3-0__bin.30.fa	161	2967736	18433	124470	30	33002	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1663/ZellerG_2014__CCMD88272491ST-21-0__bin.31.fa	109	2655107	24358	102585	26	33050	0
assembly	ncontigs	nbps	ulen	maxlen	n50num	n50len	nonATGC
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/CM_cf__CF_TNFC002SA_t1M15__bin.23.fa	295	2568566	8707	73385	62	12395	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/FerrettiP_2018__CA_C10031MS2525SA_t0M15__bin.13.fa	334	1970193	5898	25852	84	7651	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS011306__bin.62.fa	385	1697328	4408	17425	114	5160	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS013705__bin.70.fa	333	2191917	6582	36749	84	8306	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS014271__bin.8.fa	119	2671698	22451	136878	20	37580	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS016225__bin.42.fa	369	1562761	4235	18477	106	4783	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS016319__bin.52.fa	377	2336374	6197	42026	91	8016	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS017209__bin.9.fa	422	1602519	3797	21310	125	4063	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS018439__bin.36.fa	307	2297962	7485	44504	69	9960	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS018739__bin.5.fa	349	1283254	3676	14574	109	4190	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS019071__bin.66.fa	386	1439133	3728	11849	122	4114	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS019122__bin.44.fa	65	2505531	38546	189911	11	71007	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS019126__bin.59.fa	247	2277500	9220	50953	57	13093	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS019127__bin.43.fa	279	2245114	8047	38890	63	10953	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS019327__bin.34.fa	326	1187579	3642	14709	97	3879	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS019607__bin.64.fa	356	2252612	6327	51150	81	8354	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS024081__bin.34.fa	254	2439225	9603	54964	63	12213	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS043663__bin.42.fa	458	1833080	4002	20799	133	4620	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS044373__bin.34.fa	230	2393472	10406	63459	53	14713	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS045715__bin.40.fa	176	2455895	13953	60541	36	20700	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS048791__bin.59.fa	370	2252720	6088	25064	95	7422	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS057205__bin.27.fa	140	2593067	18521	112960	28	27531	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS057539__bin.13.fa	321	1639392	5107	22908	86	6009	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS062761__bin.52.fa	401	1936176	4828	19130	111	5833	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS075404__bin.1.fa	77	2381099	30923	147295	13	60939	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1568/HMP_2012__SRS078182__bin.43.fa	54	2648341	49043	332563	8	109684	0
assembly	ncontigs	nbps	ulen	maxlen	n50num	n50len	nonATGC
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/BritoIL_2016__W1.9.SA__bin.3.fa	583	1709795	2932	13615	187	3193	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/BritoIL_2016__W2.8.SA__bin.15.fa	158	2088452	13218	83954	30	21262	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/CM_cf__CF_TNFC041IS_t3M15__bin.7.fa	244	2127700	8720	45379	54	12063	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/CM_periimplantitis__SP_184SPT_T016__bin.15.fa	37	1814249	49033	181634	8	82214	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/CM_periimplantitis__SP_186SPI_T016_R__bin.1.fa	352	1036346	2944	16037	119	2977	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/CM_periimplantitis__SP_305SPI_T016__bin.4.fa	389	1358615	3492	11322	120	3964	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/CM_periimplantitis__SP_384SPI_T016__bin.6.fa	94	2335518	24845	136890	19	43228	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/CM_periimplantitis__SP_385SPI_T016__bin.1.fa	479	1636873	3417	16265	136	3687	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/FengQ_2015__SID31874__bin.79.fa	157	2273463	14480	100820	29	25714	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/FengQ_2015__SID530373__bin.76.fa	20	1393768	69688	237876	5	87359	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS014477__bin.4.fa	201	2359383	11738	43782	45	18155	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS015061__bin.7.fa	52	2080323	40006	168695	11	62044	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS015062__bin.1.fa	248	2320524	9356	42202	57	13107	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS016746__bin.33.fa	431	1993184	4624	20340	121	5523	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS017511__bin.37.fa	229	2095510	9150	54277	50	12534	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS020226__bin.31.fa	37	1822777	49264	233165	8	80837	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS022149__bin.24.fa	31	2380094	76777	432708	6	127421	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS023595__bin.55.fa	102	2135028	20931	164332	14	40609	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS048411__bin.62.fa	432	1950576	4515	20185	121	5374	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS049318__bin.42.fa	100	1998156	19981	115942	17	36431	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS055401__bin.1.fa	325	2334669	7183	33974	71	10354	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/HMP_2012__SRS063603__bin.8.fa	173	2395046	13844	57902	34	21379	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/LiJ_2014__V1.FI17__bin.37.fa	430	1752347	4075	19976	124	4649	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/QinN_2014__LD-24__bin.3.fa	321	1989339	6197	30132	79	7943	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/YuJ_2015__SZAXPI003409-8__bin.1.fa	368	2044927	5556	28817	95	6890	0
/home/jshaw/scratch/2022_sketched_distance/references/SGB_genome_fastas_part1_redo/1560/YuJ_2015__SZAXPI003412-1__bin.20.fa	93	2192818	23578	102885	19	40398	0
