query	target	avg_jacc_sim	jacc_SD	num_shared_SCPs	poss_shared_SCPs	AAI_estimate
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292855_1.LargeContigs.fna	0.0406	N/A	60	63	39.24
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292885_1.LargeContigs.fna	0.0329	N/A	62	63	38.0
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292895_1.LargeContigs.fna	0.0293	N/A	56	63	37.35
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292925_1.LargeContigs.fna	0.0418	N/A	62	63	39.4
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292945_1.LargeContigs.fna	0.0959	N/A	58	63	45.26
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292955_1.LargeContigs.fna	0.0357	N/A	55	63	38.47
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002292975_1.LargeContigs.fna	0.0939	N/A	58	63	45.08
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293005_1.LargeContigs.fna	0.0384	N/A	56	63	38.89
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293025_1.LargeContigs.fna	0.043	N/A	58	63	39.58
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293045_1.LargeContigs.fna	0.0388	N/A	60	63	38.96
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293055_1.LargeContigs.fna	0.0397	N/A	57	63	39.09
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293065_1.LargeContigs.fna	0.0289	N/A	59	63	37.28
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293105_1.LargeContigs.fna	0.0388	N/A	58	63	38.96
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293125_1.LargeContigs.fna	0.0254	N/A	38	51	36.59
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293145_1.LargeContigs.fna	0.037	N/A	59	63	38.68
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293155_1.LargeContigs.fna	0.0955	N/A	60	63	45.23
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293185_1.LargeContigs.fna	0.0382	N/A	61	63	38.86
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293205_1.LargeContigs.fna	0.0629	N/A	27	41	42.07
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293225_1.LargeContigs.fna	0.0253	N/A	29	44	36.56
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293245_1.LargeContigs.fna	0.0302	N/A	42	52	37.51
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293265_1.LargeContigs.fna	0.0391	N/A	54	63	39.01
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293275_1.LargeContigs.fna	0.0364	N/A	60	63	38.58
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293295_1.LargeContigs.fna	0.0372	N/A	60	63	38.71
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293315_1.LargeContigs.fna	0.0384	N/A	54	63	38.9
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293345_1.LargeContigs.fna	0.0379	N/A	53	63	38.81
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293365_1.LargeContigs.fna	0.0237	N/A	28	43	36.22
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293375_1.LargeContigs.fna	0.0367	N/A	60	63	38.63
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293385_1.LargeContigs.fna	0.0916	N/A	62	63	44.89
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293425_1.LargeContigs.fna	0.0381	N/A	55	63	38.85
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293435_1.LargeContigs.fna	0.0187	N/A	32	49	35.02
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293455_1.LargeContigs.fna	0.0384	N/A	58	63	38.89
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293475_1.LargeContigs.fna	0.0427	N/A	54	63	39.54
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293505_1.LargeContigs.fna	0.0356	N/A	53	63	38.45
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293525_1.LargeContigs.fna	0.0401	N/A	53	63	39.15
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293535_1.LargeContigs.fna	0.0379	N/A	58	63	38.82
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293545_1.LargeContigs.fna	0.0412	N/A	57	63	39.31
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293585_1.LargeContigs.fna	0.0404	N/A	51	63	39.21
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293605_1.LargeContigs.fna	0.0531	N/A	57	63	40.92
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293615_1.LargeContigs.fna	0.0903	N/A	62	63	44.77
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293625_1.LargeContigs.fna	0.0413	N/A	51	63	39.33
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293665_1.LargeContigs.fna	0.0311	N/A	38	52	37.69
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293685_1.LargeContigs.fna	0.0305	N/A	54	63	37.57
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293705_1.LargeContigs.fna	0.0171	N/A	39	47	34.6
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293715_1.LargeContigs.fna	0.0252	N/A	55	63	36.55
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293725_1.LargeContigs.fna	0.0262	N/A	50	62	36.75
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293765_1.LargeContigs.fna	0.0479	N/A	60	63	40.25
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293775_1.LargeContigs.fna	0.0305	N/A	54	63	37.57
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293795_1.LargeContigs.fna	0.0316	N/A	55	63	37.78
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293825_1.LargeContigs.fna	0.0279	N/A	54	63	37.09
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293845_1.LargeContigs.fna	0.0231	N/A	56	63	36.08
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293855_1.LargeContigs.fna	0.0282	N/A	52	62	37.14
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293885_1.LargeContigs.fna	0.0273	N/A	55	63	36.98
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293905_1.LargeContigs.fna	0.8125	N/A	63	63	87.17
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293915_1.LargeContigs.fna	0.1352	N/A	38	56	48.29
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293925_1.LargeContigs.fna	0.0362	N/A	39	51	38.55
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293965_1.LargeContigs.fna	0.0453	N/A	60	63	39.9
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293985_1.LargeContigs.fna	0.0373	N/A	56	63	38.73
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002293995_1.LargeContigs.fna	0.5036	N/A	57	63	67.92
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294005_1.LargeContigs.fna	0.0478	N/A	59	63	40.24
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294045_1.LargeContigs.fna	0.0413	N/A	61	63	39.33
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294065_1.LargeContigs.fna	0.1333	N/A	39	57	48.16
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294075_1.LargeContigs.fna	0.0993	N/A	58	63	45.54
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294105_1.LargeContigs.fna	0.0388	N/A	61	63	38.95
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294115_1.LargeContigs.fna	0.6816	N/A	55	63	77.71
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294145_1.LargeContigs.fna	0.0428	N/A	58	63	39.55
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294155_1.LargeContigs.fna	0.1589	N/A	62	63	49.89
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294185_1.LargeContigs.fna	0.0548	N/A	63	63	41.14
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294195_1.LargeContigs.fna	0.0364	N/A	51	63	38.58
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294225_1.LargeContigs.fna	0.0437	N/A	60	63	39.68
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294235_1.LargeContigs.fna	0.185	N/A	52	63	51.53
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294265_1.LargeContigs.fna	0.0774	N/A	41	57	43.58
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294285_1.LargeContigs.fna	0.0478	N/A	55	63	40.24
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294295_1.LargeContigs.fna	0.1403	N/A	32	49	48.65
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294305_1.LargeContigs.fna	0.0945	N/A	50	59	45.14
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294345_1.LargeContigs.fna	0.4726	N/A	52	63	66.37
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294365_1.LargeContigs.fna	0.0558	N/A	62	63	41.26
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294385_1.LargeContigs.fna	0.1144	N/A	59	63	46.76
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294395_1.LargeContigs.fna	0.1283	N/A	31	43	47.8
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294405_1.LargeContigs.fna	0.0361	N/A	47	56	38.53
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294445_1.LargeContigs.fna	0.02	N/A	44	53	35.36
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294465_1.LargeContigs.fna	0.0383	N/A	61	63	38.88
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294475_1.LargeContigs.fna	0.1145	N/A	35	50	46.77
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294505_1.LargeContigs.fna	0.1159	N/A	62	63	46.87
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294525_1.LargeContigs.fna	0.0397	N/A	62	63	39.09
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294535_1.LargeContigs.fna	0.9395	N/A	59	63	>90%
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294545_1.LargeContigs.fna	0.159	N/A	63	63	49.9
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294575_1.LargeContigs.fna	0.1329	N/A	39	56	48.13
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294605_1.LargeContigs.fna	0.0397	N/A	62	63	39.09
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294615_1.LargeContigs.fna	0.0326	N/A	35	44	37.94
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294645_1.LargeContigs.fna	0.1304	N/A	46	62	47.95
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294665_1.LargeContigs.fna	0.027	N/A	30	39	36.9
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002294685_1.LargeContigs.fna	0.159	N/A	48	59	49.9
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295025_1.LargeContigs.fna	0.0463	N/A	60	63	40.04
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295045_1.LargeContigs.fna	0.0467	N/A	57	63	40.1
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295205_1.LargeContigs.fna	0.8065	N/A	52	63	86.66
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295215_1.LargeContigs.fna	0.149	N/A	44	62	49.24
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295245_1.LargeContigs.fna	0.1322	N/A	35	52	48.08
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295255_1.LargeContigs.fna	0.0398	N/A	55	63	39.11
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295285_1.LargeContigs.fna	0.0877	N/A	37	44	44.54
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295295_1.LargeContigs.fna	0.0389	N/A	57	63	38.98
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295325_1.LargeContigs.fna	0.0362	N/A	57	63	38.56
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295335_1.LargeContigs.fna	0.0432	N/A	58	63	39.62
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295365_1.LargeContigs.fna	0.9502	N/A	55	63	>90%
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295375_1.LargeContigs.fna	0.1355	N/A	37	55	48.31
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295405_1.LargeContigs.fna	0.1477	N/A	51	63	49.15
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295415_1.LargeContigs.fna	0.1142	N/A	32	47	46.75
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295445_1.LargeContigs.fna	0.1888	N/A	56	63	51.75
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295455_1.LargeContigs.fna	0.0628	N/A	60	63	42.06
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295485_1.LargeContigs.fna	0.0404	N/A	37	53	39.2
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295505_1.LargeContigs.fna	0.0394	N/A	62	63	39.05
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295525_1.LargeContigs.fna	0.115	N/A	29	43	46.8
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295535_1.LargeContigs.fna	0.1191	N/A	32	44	47.11
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295565_1.LargeContigs.fna	0.0449	N/A	61	63	39.85
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295585_1.LargeContigs.fna	0.0519	N/A	58	63	40.78
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295605_1.LargeContigs.fna	0.3249	N/A	45	58	59.09
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295625_1.LargeContigs.fna	0.0461	N/A	58	63	40.01
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295635_1.LargeContigs.fna	0.0565	N/A	61	63	41.34
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295665_1.LargeContigs.fna	0.0185	N/A	26	29	34.99
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295675_1.LargeContigs.fna	0.031	N/A	59	63	37.66
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295705_1.LargeContigs.fna	0.042	N/A	53	63	39.44
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295725_1.LargeContigs.fna	0.0437	N/A	54	63	39.68
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295745_1.LargeContigs.fna	0.1432	N/A	41	58	48.85
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295765_1.LargeContigs.fna	0.0397	N/A	62	63	39.09
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295785_1.LargeContigs.fna	0.6761	N/A	57	63	77.37
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295795_1.LargeContigs.fna	0.0251	N/A	39	54	36.52
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295815_1.LargeContigs.fna	0.0481	N/A	53	63	40.29
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295845_1.LargeContigs.fna	0.1626	N/A	35	50	50.13
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295855_1.LargeContigs.fna	0.1898	N/A	60	63	51.82
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295885_1.LargeContigs.fna	0.0296	N/A	60	63	37.4
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295895_1.LargeContigs.fna	0.3006	N/A	47	63	57.86
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295925_1.LargeContigs.fna	0.041	N/A	61	63	39.28
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295945_1.LargeContigs.fna	0.1935	N/A	58	63	52.04
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295955_1.LargeContigs.fna	0.0427	N/A	61	63	39.54
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002295965_1.LargeContigs.fna	0.0387	N/A	58	63	38.95
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296005_1.LargeContigs.fna	0.1212	N/A	39	51	47.28
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296025_1.LargeContigs.fna	0.0391	N/A	62	63	39.01
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296035_1.LargeContigs.fna	0.0411	N/A	62	63	39.3
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296055_1.LargeContigs.fna	0.3085	N/A	33	48	58.26
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296085_1.LargeContigs.fna	0.0449	N/A	61	63	39.85
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296105_1.LargeContigs.fna	0.1479	N/A	40	57	49.16
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296115_1.LargeContigs.fna	0.364	N/A	57	63	61.03
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296125_1.LargeContigs.fna	0.0299	N/A	60	63	37.47
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296165_1.LargeContigs.fna	0.0466	N/A	47	61	40.08
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296185_1.LargeContigs.fna	0.0542	N/A	55	63	41.06
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296205_1.LargeContigs.fna	0.564	N/A	34	47	71.04
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296225_1.LargeContigs.fna	0.0443	N/A	56	63	39.77
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296235_1.LargeContigs.fna	0.1839	N/A	55	63	51.46
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296255_1.LargeContigs.fna	0.0433	N/A	58	63	39.63
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296285_1.LargeContigs.fna	0.0289	N/A	61	63	37.28
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296305_1.LargeContigs.fna	0.0358	N/A	37	53	38.48
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296325_1.LargeContigs.fna	0.6449	N/A	59	63	75.5
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296345_1.LargeContigs.fna	0.0554	N/A	59	63	41.21
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296355_1.LargeContigs.fna	0.1139	N/A	58	63	46.72
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296385_1.LargeContigs.fna	0.7912	N/A	59	63	85.39
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296405_1.LargeContigs.fna	0.0202	N/A	33	44	35.4
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296425_1.LargeContigs.fna	0.0399	N/A	44	57	39.13
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296445_1.LargeContigs.fna	0.0311	N/A	59	63	37.68
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296455_1.LargeContigs.fna	0.0324	N/A	48	59	37.91
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296475_1.LargeContigs.fna	0.0391	N/A	56	63	39.0
Parks8k_GCA_002292085_1_LargeContigs	Parks8k_GCA_002296505_1.LargeContigs.fna	0.1259	N/A	43	60	47.62
