	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.15	RaymondF_2016__P23C7__bin.9	ZellerG_2014__CCIS91228662ST-4-0__bin.28	RaymondF_2016__P23C0__bin.29	RaymondF_2016__P25C7__bin.10	CosteaPI_2017__SID713B061-11-90-0__bin.11	WenC_2017__N244__bin.3	ZellerG_2014__CCIS48174381ST-4-0__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.39	QinJ_2012__T2D-043__bin.16	ZeeviD_2015__PNP_Main_62__bin.42	RaymondF_2016__P6C7__bin.13	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	LouisS_2016__AS68_0__bin.29	VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	LiJ_2017__nHF611623__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	HeQ_2017__SZAXPI029571-86__bin.34	LiJ_2017__H1M5XX814__bin.21	ZellerG_2014__CCMD25963797ST-21-0__bin.52	RaymondF_2016__P25C0__bin.19	NielsenHB_2014__V1_UC35_4__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.69	RaymondF_2016__P6C90__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	CosteaPI_2017__SID713B053-11-90-0__bin.18	XieH_2016__YSZC12003_37648__bin.37	RaymondF_2016__P38C7__bin.46	CosteaPI_2017__pluto4-11-30-0__bin.14	VatanenT_2016__G80439__bin.13	RaymondF_2016__P14E90__bin.92	LeChatelierE_2013__MH0220__bin.39	LeChatelierE_2013__MH0244__bin.23	RaymondF_2016__P23C90__bin.54
ZeeviD_2015__PNP_Main_62__bin.42	1316683.0	1342943.0	1398389.0	1335281.0	857075.0	995631.0	1442483.0	1057157.0	951867.0	1107914.0	1666257.0	1310927.0	1220556.0	1175021.0	1330006.0	1420487.0	1199517.0	1402216.0	1354253.0	1390136.0	1016356.0	1370620.0	1147085.0	1131189.0	1238097.0	1246059.0	1397509.0	1169541.0	1293895.0	881241.0	1165313.0	979005.0	1445038.0	1411850.0
RaymondF_2016__P6C7__bin.13	1672275.0	1620676.0	1727549.0	1617048.0	993331.0	1198077.0	1718483.0	1276074.0	1135983.0	1353171.0	1310927.0	1886299.0	1499013.0	1368030.0	1537162.0	1709020.0	1463624.0	1709344.0	1638248.0	1688977.0	1217958.0	1616193.0	1437013.0	1438196.0	1481070.0	1487269.0	1700115.0	1477155.0	1585459.0	1081259.0	1395715.0	1146115.0	1726294.0	1714397.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.65	1488469.0	1486835.0	1571270.0	1485962.0	940107.0	1117327.0	1605560.0	1193472.0	1090825.0	1236758.0	1220556.0	1499013.0	1835240.0	1304861.0	1431843.0	1609382.0	1379239.0	1592750.0	1508038.0	1602887.0	1114469.0	1490922.0	1321029.0	1293561.0	1378822.0	1383843.0	1565673.0	1324198.0	1452543.0	979623.0	1302821.0	1113036.0	1594124.0	1561737.0
LouisS_2016__AS68_0__bin.29	1428993.0	1469550.0	1497189.0	1443603.0	885063.0	1048537.0	1789491.0	1137134.0	1014222.0	1219569.0	1175021.0	1368030.0	1304861.0	2089067.0	1509564.0	1651308.0	1269367.0	1629064.0	1505267.0	1579576.0	1083608.0	1536441.0	1266754.0	1218488.0	1332233.0	1265238.0	1533113.0	1272274.0	1420144.0	980572.0	1181170.0	1007554.0	1696158.0	1520199.0
VogtmannE_2016__MMRS84085284ST-27-0-0__bin.2	1559650.0	1604801.0	1656445.0	1611024.0	959047.0	1173240.0	1873912.0	1255118.0	1142828.0	1321966.0	1330006.0	1537162.0	1431843.0	1509564.0	2255969.0	1740731.0	1425606.0	1736648.0	1651997.0	1748636.0	1200636.0	1783111.0	1387365.0	1346808.0	1494616.0	1445408.0	1730764.0	1432666.0	1584390.0	1043744.0	1326253.0	1146812.0	1927181.0	1700932.0
LiJ_2017__nHF611623__bin.25	1758352.0	1763260.0	1838605.0	1761203.0	1064639.0	1300285.0	2081077.0	1396192.0	1262146.0	1499978.0	1420487.0	1709020.0	1609382.0	1651308.0	1740731.0	2219010.0	1568298.0	2017045.0	1854651.0	1901458.0	1299032.0	1818560.0	1568714.0	1498526.0	1620747.0	1579302.0	1879854.0	1584201.0	1745818.0	1157143.0	1469823.0	1229367.0	1972780.0	1860174.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.84	1428607.0	1454728.0	1509164.0	1445845.0	935033.0	1121775.0	1562830.0	1164382.0	1090271.0	1255071.0	1199517.0	1463624.0	1379239.0	1269367.0	1425606.0	1568298.0	1829658.0	1547159.0	1500584.0	1542919.0	1142722.0	1482639.0	1317269.0	1272501.0	1366358.0	1341378.0	1545109.0	1333370.0	1451207.0	914278.0	1276106.0	1067842.0	1556519.0	1528973.0
HeQ_2017__SZAXPI029571-86__bin.34	1773714.0	1752094.0	1795466.0	1750902.0	1053187.0	1287324.0	2102678.0	1386096.0	1251429.0	1500887.0	1402216.0	1709344.0	1592750.0	1629064.0	1736648.0	2017045.0	1547159.0	2237203.0	1804779.0	1905417.0	1296382.0	1814559.0	1538766.0	1482245.0	1608774.0	1555750.0	1894922.0	1601457.0	1751534.0	1137512.0	1434903.0	1212122.0	1972371.0	1849209.0
LiJ_2017__H1M5XX814__bin.21	1649773.0	1660719.0	1734077.0	1657378.0	1021525.0	1243908.0	1858658.0	1336434.0	1207780.0	1432898.0	1354253.0	1638248.0	1508038.0	1505267.0	1651997.0	1854651.0	1500584.0	1804779.0	2101995.0	1803289.0	1262026.0	1719489.0	1465887.0	1443885.0	1558834.0	1524687.0	1760216.0	1512525.0	1667070.0	1087269.0	1431859.0	1196780.0	1864516.0	1752908.0
ZellerG_2014__CCMD25963797ST-21-0__bin.52	1714900.0	1718705.0	1789230.0	1720354.0	1039118.0	1254626.0	1959717.0	1368081.0	1231052.0	1472862.0	1390136.0	1688977.0	1602887.0	1579576.0	1748636.0	1901458.0	1542919.0	1905417.0	1803289.0	2228367.0	1288008.0	1821516.0	1508681.0	1466664.0	1598698.0	1530257.0	1880704.0	1572468.0	1723291.0	1116764.0	1448658.0	1223673.0	1963619.0	1817835.0
RaymondF_2016__P25C0__bin.19	1196883.0	1247578.0	1268468.0	1230289.0	835210.0	920753.0	1306037.0	983450.0	900933.0	1055136.0	1016356.0	1217958.0	1114469.0	1083608.0	1200636.0	1299032.0	1142722.0	1296382.0	1262026.0	1288008.0	1449678.0	1247237.0	1082932.0	1071296.0	1137377.0	1117824.0	1294843.0	1121967.0	1198621.0	782314.0	1071450.0	910375.0	1301552.0	1310142.0
NielsenHB_2014__V1_UC35_4__bin.23	1638992.0	1668260.0	1719011.0	1668618.0	1015297.0	1233331.0	1911298.0	1311140.0	1180725.0	1414009.0	1370620.0	1616193.0	1490922.0	1536441.0	1783111.0	1818560.0	1482639.0	1814559.0	1719489.0	1821516.0	1247237.0	2196215.0	1433989.0	1406243.0	1547368.0	1489004.0	1798326.0	1495522.0	1642495.0	1080290.0	1374831.0	1190244.0	1954865.0	1765798.0
CosteaPI_2017__SID713B003-11-90-0__bin.69	1428331.0	1431929.0	1489680.0	1425202.0	896527.0	1126518.0	1564988.0	1171769.0	1016598.0	1206488.0	1147085.0	1437013.0	1321029.0	1266754.0	1387365.0	1568714.0	1317269.0	1538766.0	1465887.0	1508681.0	1082932.0	1433989.0	1843530.0	1252834.0	1344492.0	1317973.0	1502640.0	1292624.0	1387749.0	936036.0	1217024.0	1007636.0	1544041.0	1501640.0
RaymondF_2016__P6C90__bin.5	1418675.0	1405393.0	1470299.0	1393135.0	880975.0	1065534.0	1511150.0	1135825.0	1008974.0	1221147.0	1131189.0	1438196.0	1293561.0	1218488.0	1346808.0	1498526.0	1272501.0	1482245.0	1443885.0	1466664.0	1071296.0	1406243.0	1252834.0	1618171.0	1298931.0	1305819.0	1459157.0	1282558.0	1357611.0	910224.0	1211344.0	992748.0	1491770.0	1475176.0
Bengtsson-PalmeJ_2015__TRAVELRES62__bin.82	1468700.0	1495634.0	1545903.0	1491014.0	931001.0	1133964.0	1646348.0	1232306.0	1090663.0	1275578.0	1238097.0	1481070.0	1378822.0	1332233.0	1494616.0	1620747.0	1366358.0	1608774.0	1558834.0	1598698.0	1137377.0	1547368.0	1344492.0	1298931.0	1851967.0	1388127.0	1591908.0	1389388.0	1482594.0	976798.0	1279758.0	1073142.0	1647581.0	1581557.0
CosteaPI_2017__SID713B053-11-90-0__bin.18	1493682.0	1481737.0	1572316.0	1476129.0	955199.0	1112569.0	1575685.0	1185434.0	1071604.0	1254146.0	1246059.0	1487269.0	1383843.0	1265238.0	1445408.0	1579302.0	1341378.0	1555750.0	1524687.0	1530257.0	1117824.0	1489004.0	1317973.0	1305819.0	1388127.0	2121453.0	1538047.0	1332825.0	1438586.0	990562.0	1329152.0	1083571.0	1566270.0	1560293.0
XieH_2016__YSZC12003_37648__bin.37	1708839.0	1752204.0	1797254.0	1752763.0	1030078.0	1261435.0	1952840.0	1353936.0	1232953.0	1440739.0	1397509.0	1700115.0	1565673.0	1533113.0	1730764.0	1879854.0	1545109.0	1894922.0	1760216.0	1880704.0	1294843.0	1798326.0	1502640.0	1459157.0	1591908.0	1538047.0	2186652.0	1556425.0	1734905.0	1099135.0	1440155.0	1224783.0	1975415.0	1852340.0
RaymondF_2016__P38C7__bin.46	1468406.0	1474546.0	1508702.0	1472062.0	923005.0	1105641.0	1598526.0	1177557.0	1041719.0	1273341.0	1169541.0	1477155.0	1324198.0	1272274.0	1432666.0	1584201.0	1333370.0	1601457.0	1512525.0	1572468.0	1121967.0	1495522.0	1292624.0	1282558.0	1389388.0	1332825.0	1556425.0	1765325.0	1491882.0	944072.0	1250427.0	1035918.0	1579337.0	1573836.0
CosteaPI_2017__pluto4-11-30-0__bin.14	1610169.0	1651713.0	1637374.0	1652040.0	974623.0	1185654.0	1756276.0	1273497.0	1154717.0	1389990.0	1293895.0	1585459.0	1452543.0	1420144.0	1584390.0	1745818.0	1451207.0	1751534.0	1667070.0	1723291.0	1198621.0	1642495.0	1387749.0	1357611.0	1482594.0	1438586.0	1734905.0	1491882.0	1909364.0	1034315.0	1367019.0	1118411.0	1768234.0	1749173.0
VatanenT_2016__G80439__bin.13	1126012.0	1070398.0	1186614.0	1072442.0	645057.0	755931.0	1203329.0	855252.0	744326.0	890883.0	881241.0	1081259.0	979623.0	980572.0	1043744.0	1157143.0	914278.0	1137512.0	1087269.0	1116764.0	782314.0	1080290.0	936036.0	910224.0	976798.0	990562.0	1099135.0	944072.0	1034315.0	1426075.0	900745.0	741176.0	1182653.0	1124267.0
RaymondF_2016__P14E90__bin.92	1365857.0	1400548.0	1465306.0	1391722.0	909614.0	1036314.0	1481446.0	1093981.0	1003214.0	1177610.0	1165313.0	1395715.0	1302821.0	1181170.0	1326253.0	1469823.0	1276106.0	1434903.0	1431859.0	1448658.0	1071450.0	1374831.0	1217024.0	1211344.0	1279758.0	1329152.0	1440155.0	1250427.0	1367019.0	900745.0	1687146.0	1026703.0	1471443.0	1471163.0
LeChatelierE_2013__MH0220__bin.39	1128086.0	1173378.0	1195797.0	1136127.0	732093.0	874478.0	1223301.0	928308.0	867621.0	992783.0	979005.0	1146115.0	1113036.0	1007554.0	1146812.0	1229367.0	1067842.0	1212122.0	1196780.0	1223673.0	910375.0	1190244.0	1007636.0	992748.0	1073142.0	1083571.0	1224783.0	1035918.0	1118411.0	741176.0	1026703.0	1659600.0	1238137.0	1211932.0
LeChatelierE_2013__MH0244__bin.23	1770672.0	1808947.0	1888034.0	1822585.0	1043326.0	1291179.0	2170248.0	1389540.0	1263260.0	1469535.0	1445038.0	1726294.0	1594124.0	1696158.0	1927181.0	1972780.0	1556519.0	1972371.0	1864516.0	1963619.0	1301552.0	1954865.0	1544041.0	1491770.0	1647581.0	1566270.0	1975415.0	1579337.0	1768234.0	1182653.0	1471443.0	1238137.0	2846574.0	1918215.0
RaymondF_2016__P23C90__bin.54	1748428.0	2066359.0	1831028.0	2119219.0	1058016.0	1274340.0	1915656.0	1342030.0	1222656.0	1448598.0	1411850.0	1714397.0	1561737.0	1520199.0	1700932.0	1860174.0	1528973.0	1849209.0	1752908.0	1817835.0	1310142.0	1765798.0	1501640.0	1475176.0	1581557.0	1560293.0	1852340.0	1573836.0	1749173.0	1124267.0	1471163.0	1211932.0	1918215.0	2272062.0
