	BackhedF_2015__SID590_12M__bin.26	BackhedF_2015__SID130_12M__bin.16	BackhedF_2015__SID9_12M__bin.2	BackhedF_2015__SID635_4M__bin.8	BackhedF_2015__SID180_12M__bin.16	BackhedF_2015__SID229_12M__bin.22	GeversD_2014__SKSTL0001__bin.7	BackhedF_2015__SID157_12M__bin.15	BackhedF_2015__SID608_12M__bin.6	BackhedF_2015__SID281_12M__bin.16	BackhedF_2015__SID608_4M__bin.8	BackhedF_2015__SID332_12M__bin.35	KosticAD_2015__PRJNA231909.3105747__bin.1	BackhedF_2015__SID560_12M__bin.12	BackhedF_2015__SID12_12M__bin.11	WenC_2017__N209__bin.11	BackhedF_2015__SID343_12M__bin.16	BackhedF_2015__SID591_12M__bin.12	BackhedF_2015__SID282_12M__bin.23	BackhedF_2015__SID258_12M__bin.21	BackhedF_2015__SID526_12M__bin.21	BackhedF_2015__SID272_12M__bin.5	KosticAD_2015__PRJNA231909.3112118__bin.9	BackhedF_2015__SID70_4M__bin.11	NielsenHB_2014__V1_CD21_0__bin.18	BackhedF_2015__SID521_12M__bin.10	BackhedF_2015__SID275_12M__bin.13	BackhedF_2015__SID195_12M__bin.8	BackhedF_2015__SID265_12M__bin.15
BackhedF_2015__SID608_4M__bin.8	7865.0	7199.0	11744.0	11097.0	11993.0	7947.0	8416.0	12350.0	1169.0	12702.0	0.0	2764.0	2021.0	11295.0	10510.0	16245.0	8722.0	10078.0	17691.0	10381.0	5291.0	7654.0	3028.0	5290.0	6207.0	3706.0	12411.0	1551.0	10102.0
BackhedF_2015__SID332_12M__bin.35	9253.0	8390.0	13065.0	12317.0	13461.0	9370.0	9837.0	12217.0	3497.0	13668.0	2764.0	0.0	2773.0	11711.0	9806.0	16715.0	9458.0	10425.0	15196.0	11086.0	6123.0	8065.0	4099.0	6600.0	7026.0	4273.0	13893.0	2415.0	10708.0
KosticAD_2015__PRJNA231909.3105747__bin.1	5879.0	5101.0	10231.0	9199.0	10306.0	6037.0	7531.0	9766.0	2566.0	11649.0	2021.0	2773.0	0.0	9326.0	9490.0	13817.0	6023.0	8148.0	13736.0	8194.0	2668.0	6401.0	962.0	3081.0	4203.0	3904.0	10852.0	2008.0	8034.0
BackhedF_2015__SID560_12M__bin.12	7234.0	7088.0	9763.0	9119.0	9906.0	6359.0	8515.0	9952.0	9774.0	9944.0	11295.0	11711.0	9326.0	0.0	8659.0	17287.0	6179.0	7738.0	15172.0	12026.0	9369.0	6929.0	9816.0	10020.0	11863.0	10582.0	9880.0	11020.0	8676.0
BackhedF_2015__SID12_12M__bin.11	10273.0	10364.0	4858.0	3812.0	4683.0	9585.0	5724.0	5558.0	9572.0	4873.0	10510.0	9806.0	9490.0	8659.0	0.0	12201.0	9882.0	8824.0	9697.0	9529.0	9890.0	8649.0	9840.0	9798.0	10681.0	9319.0	4463.0	10065.0	10930.0
WenC_2017__N209__bin.11	16394.0	16368.0	15803.0	14308.0	16118.0	16351.0	12664.0	16008.0	15164.0	16162.0	16245.0	16715.0	13817.0	17287.0	12201.0	0.0	15967.0	16914.0	16733.0	17059.0	15390.0	13712.0	15600.0	15248.0	16664.0	15456.0	16381.0	15848.0	16975.0
BackhedF_2015__SID343_12M__bin.16	2056.0	2765.0	10795.0	10069.0	11301.0	1473.0	8473.0	10785.0	6133.0	11688.0	8722.0	9458.0	6023.0	6179.0	9882.0	15967.0	0.0	5430.0	15691.0	10608.0	5750.0	3731.0	6027.0	6932.0	8618.0	8436.0	11526.0	8304.0	5111.0
BackhedF_2015__SID591_12M__bin.12	4826.0	4786.0	8728.0	8701.0	9662.0	4768.0	8404.0	9173.0	8257.0	9652.0	10078.0	10425.0	8148.0	7738.0	8824.0	16914.0	5430.0	0.0	14971.0	11686.0	7488.0	5469.0	7534.0	8380.0	9426.0	9276.0	9622.0	9244.0	7623.0
BackhedF_2015__SID282_12M__bin.23	13423.0	14022.0	10501.0	10238.0	10666.0	13148.0	8671.0	10732.0	13586.0	14146.0	17691.0	15196.0	13736.0	15172.0	9697.0	16733.0	15691.0	14971.0	0.0	14525.0	12129.0	11684.0	12193.0	12439.0	13515.0	12696.0	11045.0	14050.0	17469.0
BackhedF_2015__SID258_12M__bin.21	10824.0	10463.0	12191.0	11325.0	12421.0	10445.0	9459.0	12240.0	9673.0	12699.0	10381.0	11086.0	8194.0	12026.0	9529.0	17059.0	10608.0	11686.0	14525.0	0.0	9732.0	9205.0	9340.0	9638.0	10971.0	10283.0	12498.0	10242.0	11839.0
BackhedF_2015__SID526_12M__bin.21	5931.0	5560.0	10411.0	9398.0	11039.0	6264.0	7794.0	9916.0	4375.0	11816.0	5291.0	6123.0	2668.0	9369.0	9890.0	15390.0	5750.0	7488.0	12129.0	9732.0	0.0	6435.0	3037.0	2082.0	5965.0	6293.0	11817.0	5010.0	8151.0
BackhedF_2015__SID272_12M__bin.5	3880.0	3531.0	10143.0	9558.0	10540.0	3933.0	8288.0	10156.0	6737.0	10605.0	7654.0	8065.0	6401.0	6929.0	8649.0	13712.0	3731.0	5469.0	11684.0	9205.0	6435.0	0.0	6629.0	6953.0	7890.0	7802.0	10617.0	7390.0	5349.0
KosticAD_2015__PRJNA231909.3112118__bin.9	6198.0	5595.0	10960.0	9501.0	11162.0	6346.0	7488.0	10382.0	3089.0	11972.0	3028.0	4099.0	962.0	9816.0	9840.0	15600.0	6027.0	7534.0	12193.0	9340.0	3037.0	6629.0	0.0	3823.0	4959.0	4850.0	11888.0	2824.0	8513.0
BackhedF_2015__SID70_4M__bin.11	7050.0	6122.0	10905.0	10079.0	11212.0	7378.0	8430.0	10255.0	5218.0	12175.0	5290.0	6600.0	3081.0	10020.0	9798.0	15248.0	6932.0	8380.0	12439.0	9638.0	2082.0	6953.0	3823.0	0.0	6230.0	6481.0	11752.0	5224.0	9085.0
NielsenHB_2014__V1_CD21_0__bin.18	8741.0	8390.0	12460.0	11447.0	12241.0	8718.0	8828.0	11814.0	5966.0	13358.0	6207.0	7026.0	4203.0	11863.0	10681.0	16664.0	8618.0	9426.0	13515.0	10971.0	5965.0	7890.0	4959.0	6230.0	0.0	7334.0	13082.0	5968.0	10801.0
BackhedF_2015__SID521_12M__bin.10	8249.0	7658.0	11054.0	10101.0	11378.0	8438.0	8907.0	10520.0	4003.0	11678.0	3706.0	4273.0	3904.0	10582.0	9319.0	15456.0	8436.0	9276.0	12696.0	10283.0	6293.0	7802.0	4850.0	6481.0	7334.0	0.0	11596.0	3301.0	9514.0
BackhedF_2015__SID275_12M__bin.13	12254.0	12503.0	2016.0	2208.0	2719.0	11793.0	4829.0	2995.0	11392.0	2401.0	12411.0	13893.0	10852.0	9880.0	4463.0	16381.0	11526.0	9622.0	11045.0	12498.0	11817.0	10617.0	11888.0	11752.0	13082.0	11596.0	0.0	12696.0	13479.0
BackhedF_2015__SID195_12M__bin.8	8113.0	7152.0	11844.0	10523.0	12344.0	8236.0	8985.0	11379.0	2120.0	13051.0	1551.0	2415.0	2008.0	11020.0	10065.0	15848.0	8304.0	9244.0	14050.0	10242.0	5010.0	7390.0	2824.0	5224.0	5968.0	3301.0	12696.0	0.0	9716.0
BackhedF_2015__SID265_12M__bin.15	5182.0	5078.0	12984.0	12250.0	13081.0	5058.0	10840.0	12888.0	8359.0	13275.0	10102.0	10708.0	8034.0	8676.0	10930.0	16975.0	5111.0	7623.0	17469.0	11839.0	8151.0	5349.0	8513.0	9085.0	10801.0	9514.0	13479.0	9716.0	0.0
