	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.6	LiJ_2014__MH0355__bin.86	XieH_2016__YSZC12003_36526__bin.48	NielsenHB_2014__V1_UC10_2__bin.56	ZellerG_2014__CCIS20795251ST-4-0__bin.48	ZeeviD_2015__PNP_Main_688__bin.22	LiuW_2016__SRR3993041__bin.110	IjazUZ_2017__S130_a_WGS__bin.9	KarlssonFH_2013__S598__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.113	BritoIL_2016__W2.68.ST__bin.39	LeChatelierE_2013__MH0457__bin.109	BritoIL_2016__M1.59.ST__bin.86	NielsenHB_2014__MH0117__bin.28	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.9	HeQ_2017__SZAXPI029560-51__bin.8	ZeeviD_2015__PNP_Main_326__bin.18	BackhedF_2015__SID599_M__bin.7	ZellerG_2014__CCIS15794887ST-4-0__bin.48	ZeeviD_2015__PNP_Main_223__bin.127	CosteaPI_2017__SID713B051-11-0-0__bin.81	XieH_2016__YSZC12003_35550__bin.11	LeChatelierE_2013__MH0451__bin.82	NielsenHB_2014__MH0099__bin.19	LeChatelierE_2013__MH0099__bin.44	NielsenHB_2014__V1_UC37_0__bin.35	BackhedF_2015__SID511_M__bin.69	VogtmannE_2016__MMRS29805707ST-27-0-0__bin.51	XieH_2016__YSZC12003_36118__bin.30	ZeeviD_2015__PNP_Main_183__bin.3	HMP_2012__SRS011134__bin.55	ZeeviD_2015__PNP_Main_616__bin.33
BritoIL_2016__W2.68.ST__bin.39	1078946.0	1009357.0	776275.0	985750.0	1037236.0	905239.0	564392.0	688509.0	973175.0	1044407.0	1209853.0	972161.0	843630.0	935560.0	729064.0	904411.0	1013728.0	1013212.0	825595.0	1009292.0	775505.0	604972.0	1003814.0	990175.0	1007381.0	941862.0	863617.0	894496.0	947875.0	993011.0	1086900.0	1013300.0
LeChatelierE_2013__MH0457__bin.109	993005.0	1029221.0	784905.0	1076001.0	1006138.0	887220.0	555831.0	728618.0	999510.0	977344.0	972161.0	1119795.0	833660.0	975017.0	707289.0	867867.0	1055546.0	1076129.0	850596.0	1077640.0	749581.0	638604.0	1042321.0	1012530.0	1033332.0	984816.0	895569.0	915752.0	990163.0	1043412.0	1014191.0	1054008.0
BritoIL_2016__M1.59.ST__bin.86	857514.0	853784.0	654168.0	848280.0	898482.0	780914.0	492654.0	596714.0	826296.0	847030.0	843630.0	833660.0	1027591.0	791775.0	680112.0	819421.0	854452.0	851803.0	725960.0	847539.0	691253.0	533243.0	849603.0	837182.0	849082.0	815655.0	739380.0	777988.0	787368.0	840148.0	863663.0	856237.0
NielsenHB_2014__MH0117__bin.28	982454.0	1027404.0	790779.0	1017094.0	979487.0	841754.0	526645.0	695395.0	988872.0	945726.0	935560.0	975017.0	791775.0	1144030.0	666379.0	856392.0	1031922.0	1043288.0	800613.0	1045201.0	705981.0	604696.0	1030805.0	1018421.0	1035474.0	970152.0	865699.0	907163.0	967677.0	1003633.0	989145.0	1042902.0
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.9	730273.0	734327.0	616460.0	723690.0	787804.0	661297.0	475342.0	510401.0	724236.0	710048.0	729064.0	707289.0	680112.0	666379.0	829744.0	696363.0	740949.0	735876.0	598514.0	729456.0	657625.0	474256.0	735433.0	729929.0	734169.0	683116.0	661443.0	659708.0	705004.0	733355.0	746207.0	742467.0
HeQ_2017__SZAXPI029560-51__bin.8	931536.0	907350.0	682954.0	902038.0	978882.0	837011.0	499260.0	613910.0	867377.0	921918.0	904411.0	867867.0	819421.0	856392.0	696363.0	1043483.0	906859.0	898003.0	774606.0	895420.0	728267.0	584032.0	891414.0	890662.0	905343.0	875628.0	787428.0	819418.0	833713.0	885202.0	923417.0	908111.0
ZeeviD_2015__PNP_Main_326__bin.18	1053347.0	1103249.0	836905.0	1101587.0	1068805.0	902780.0	575162.0	774948.0	1068254.0	1016499.0	1013728.0	1055546.0	854452.0	1031922.0	740949.0	906859.0	1269879.0	1154792.0	861262.0	1144115.0	772923.0	654069.0	1107933.0	1090721.0	1112335.0	1021553.0	928672.0	941884.0	1076542.0	1132340.0	1055710.0	1110644.0
BackhedF_2015__SID599_M__bin.7	1047138.0	1130907.0	846078.0	1112002.0	1078180.0	904328.0	572580.0	795216.0	1062056.0	1008552.0	1013212.0	1076129.0	851803.0	1043288.0	735876.0	898003.0	1154792.0	1262091.0	860459.0	1165641.0	773439.0	656533.0	1113976.0	1094324.0	1114294.0	1032621.0	933750.0	943443.0	1082565.0	1128804.0	1057711.0	1123703.0
ZellerG_2014__CCIS15794887ST-4-0__bin.48	833749.0	860162.0	644451.0	866016.0	845316.0	772250.0	471807.0	586087.0	821672.0	833602.0	825595.0	850596.0	725960.0	800613.0	598514.0	774606.0	861262.0	860459.0	949126.0	856031.0	627484.0	563610.0	861405.0	842536.0	857843.0	839486.0	751070.0	787376.0	793212.0	849550.0	847777.0	867819.0
ZeeviD_2015__PNP_Main_223__bin.127	1045259.0	1094837.0	849735.0	1128150.0	1060778.0	903134.0	570314.0	774153.0	1058763.0	1002525.0	1009292.0	1077640.0	847539.0	1045201.0	729456.0	895420.0	1144115.0	1165641.0	856031.0	1223600.0	766903.0	652513.0	1094366.0	1092991.0	1115512.0	1026814.0	928120.0	953365.0	1066933.0	1133716.0	1058988.0	1129863.0
CosteaPI_2017__SID713B051-11-0-0__bin.81	792658.0	779624.0	673412.0	766374.0	853883.0	695217.0	468219.0	535035.0	754267.0	765490.0	775505.0	749581.0	691253.0	705981.0	657625.0	728267.0	772923.0	773439.0	627484.0	766903.0	876476.0	489890.0	775345.0	769164.0	772529.0	737615.0	684771.0	693077.0	722617.0	761132.0	794388.0	782920.0
XieH_2016__YSZC12003_35550__bin.11	628613.0	672531.0	492501.0	654653.0	626500.0	582221.0	366663.0	462640.0	622540.0	624698.0	604972.0	638604.0	533243.0	604696.0	474256.0	584032.0	654069.0	656533.0	563610.0	652513.0	489890.0	687570.0	653748.0	668500.0	671865.0	636516.0	595516.0	597030.0	607089.0	643650.0	632609.0	675264.0
LeChatelierE_2013__MH0451__bin.82	1052454.0	1099064.0	842410.0	1069442.0	1053752.0	909387.0	573548.0	743817.0	1055217.0	1007341.0	1003814.0	1042321.0	849603.0	1030805.0	735433.0	891414.0	1107933.0	1113976.0	861405.0	1094366.0	775345.0	653748.0	1185864.0	1084186.0	1104953.0	1024658.0	933659.0	942563.0	1030579.0	1082358.0	1058229.0	1102703.0
NielsenHB_2014__MH0099__bin.19	1026367.0	1155435.0	840453.0	1057486.0	1032998.0	889159.0	576418.0	729683.0	1038058.0	987358.0	990175.0	1012530.0	837182.0	1018421.0	729929.0	890662.0	1090721.0	1094324.0	842536.0	1092991.0	769164.0	668500.0	1084186.0	1165019.0	1160148.0	1027250.0	927483.0	940014.0	1036268.0	1061249.0	1040522.0	1108295.0
LeChatelierE_2013__MH0099__bin.44	1045861.0	1184518.0	846709.0	1073238.0	1059283.0	903159.0	581667.0	745581.0	1056996.0	1010027.0	1007381.0	1033332.0	849082.0	1035474.0	734169.0	905343.0	1112335.0	1114294.0	857843.0	1115512.0	772529.0	671865.0	1104953.0	1160148.0	1193925.0	1051644.0	942315.0	951024.0	1046982.0	1085178.0	1060754.0	1138565.0
NielsenHB_2014__V1_UC37_0__bin.35	991321.0	1052035.0	768984.0	1021739.0	982777.0	861591.0	545038.0	690599.0	979080.0	976274.0	941862.0	984816.0	815655.0	970152.0	683116.0	875628.0	1021553.0	1032621.0	839486.0	1026814.0	737615.0	636516.0	1024658.0	1027250.0	1051644.0	1123592.0	922960.0	906095.0	954903.0	993310.0	986517.0	1097178.0
BackhedF_2015__SID511_M__bin.69	891450.0	940768.0	718477.0	908300.0	893407.0	780204.0	542856.0	646842.0	901439.0	861615.0	863617.0	895569.0	739380.0	865699.0	661443.0	787428.0	928672.0	933750.0	751070.0	928120.0	684771.0	595516.0	933659.0	927483.0	942315.0	922960.0	998150.0	821014.0	874940.0	902704.0	903579.0	971223.0
VogtmannE_2016__MMRS29805707ST-27-0-0__bin.51	912360.0	953118.0	725798.0	947297.0	911833.0	829959.0	521540.0	650011.0	902797.0	900979.0	894496.0	915752.0	777988.0	907163.0	659708.0	819418.0	941884.0	943443.0	787376.0	953365.0	693077.0	597030.0	942563.0	940014.0	951024.0	906095.0	821014.0	995013.0	878254.0	915593.0	916765.0	953832.0
XieH_2016__YSZC12003_36118__bin.30	977182.0	1039453.0	759723.0	1021785.0	1000641.0	847547.0	542936.0	725240.0	998684.0	937425.0	947875.0	990163.0	787368.0	967677.0	705004.0	833713.0	1076542.0	1082565.0	793212.0	1066933.0	722617.0	607089.0	1030579.0	1036268.0	1046982.0	954903.0	874940.0	878254.0	1172971.0	1038951.0	991057.0	1047009.0
ZeeviD_2015__PNP_Main_183__bin.3	1038055.0	1080484.0	813160.0	1089004.0	1046275.0	887470.0	572286.0	753488.0	1047989.0	997465.0	993011.0	1043412.0	840148.0	1003633.0	733355.0	885202.0	1132340.0	1128804.0	849550.0	1133716.0	761132.0	643650.0	1082358.0	1061249.0	1085178.0	993310.0	902704.0	915593.0	1038951.0	1223148.0	1036242.0	1093453.0
HMP_2012__SRS011134__bin.55	1128528.0	1059624.0	816314.0	1030015.0	1079979.0	944096.0	569862.0	716548.0	1038365.0	1071315.0	1086900.0	1014191.0	863663.0	989145.0	746207.0	923417.0	1055710.0	1057711.0	847777.0	1058988.0	794388.0	632609.0	1058229.0	1040522.0	1060754.0	986517.0	903579.0	916765.0	991057.0	1036242.0	1261645.0	1069204.0
ZeeviD_2015__PNP_Main_616__bin.33	1058579.0	1132808.0	848057.0	1085178.0	1069895.0	907519.0	580047.0	750758.0	1066776.0	1024119.0	1013300.0	1054008.0	856237.0	1042902.0	742467.0	908111.0	1110644.0	1123703.0	867819.0	1129863.0	782920.0	675264.0	1102703.0	1108295.0	1138565.0	1097178.0	971223.0	953832.0	1047009.0	1093453.0	1069204.0	1258380.0
