	HeQ_2017__SZAXPI029578-96__bin.24	VincentC_2016__MM048.2__bin.15	VincentC_2016__MM029.2__bin.3	VincentC_2016__MM029.3__bin.32	VincentC_2016__MM020.3__bin.15	VincentC_2016__MM060.1__bin.5	VincentC_2016__MM061__bin.15	VincentC_2016__MM001.4__bin.3	VincentC_2016__MM017__bin.15	VincentC_2016__MM058.1__bin.41	VincentC_2016__MM034.1__bin.12	VincentC_2016__MM094.1__bin.6	OhJ_2014__MET0251__bin.82	VincentC_2016__MM020.1__bin.11	VincentC_2016__MM060.2__bin.6	VincentC_2016__MM016.1__bin.15	VincentC_2016__MM052.1__bin.13	VincentC_2016__MM029.1__bin.1	VincentC_2016__MM056.1__bin.5	DavidLA_2015__LD-Run1-06__bin.19	OhJ_2014__MET0131__bin.6	VincentC_2016__MM052.2__bin.2	VincentC_2016__MM021.1__bin.15	VincentC_2016__MM075.2__bin.2	OhJ_2014__MET0119__bin.18	VincentC_2016__MM020.2__bin.4
VincentC_2016__MM034.1__bin.12	998444.0	986252.0	298556.0	230843.0	964658.0	990886.0	433531.0	997554.0	988239.0	945281.0	1073628.0	870524.0	846324.0	944932.0	990927.0	825793.0	999541.0	929003.0	896865.0	839084.0	972733.0	853499.0	986638.0	202120.0	1011425.0	800400.0
VincentC_2016__MM094.1__bin.6	1169480.0	1146709.0	489392.0	476158.0	1071969.0	1141623.0	660231.0	1021693.0	1176572.0	1136507.0	870524.0	1272637.0	986318.0	1105589.0	1148995.0	936294.0	1166087.0	1134110.0	979167.0	821850.0	1131580.0	989840.0	1163703.0	445861.0	1195795.0	883465.0
OhJ_2014__MET0251__bin.82	1133538.0	1107002.0	485996.0	466267.0	1066105.0	1107258.0	651464.0	1002754.0	1129310.0	1098159.0	846324.0	986318.0	1222409.0	1063964.0	1120843.0	928097.0	1161692.0	1075059.0	977264.0	788358.0	1102386.0	961252.0	1133263.0	426942.0	1149549.0	853038.0
VincentC_2016__MM020.1__bin.11	1299520.0	1235870.0	547783.0	516304.0	1220733.0	1261122.0	711898.0	1093962.0	1291768.0	1245342.0	944932.0	1105589.0	1063964.0	1393474.0	1259981.0	1015898.0	1285040.0	1229052.0	1058426.0	906845.0	1222566.0	1046837.0	1294009.0	474145.0	1303967.0	958060.0
VincentC_2016__MM060.2__bin.6	1337041.0	1310944.0	569561.0	565009.0	1226602.0	1444399.0	779610.0	1188042.0	1349064.0	1288837.0	990927.0	1148995.0	1120843.0	1259981.0	1523624.0	1093949.0	1344625.0	1274531.0	1117967.0	922018.0	1301086.0	1095912.0	1390061.0	559100.0	1421118.0	995762.0
VincentC_2016__MM016.1__bin.15	1082996.0	1058549.0	427481.0	396981.0	993122.0	1088743.0	584588.0	956929.0	1105266.0	1046804.0	825793.0	936294.0	928097.0	1015898.0	1093949.0	1417954.0	1098257.0	1047786.0	913806.0	773511.0	1065070.0	905252.0	1132966.0	389098.0	1127331.0	802496.0
VincentC_2016__MM052.1__bin.13	1361055.0	1299713.0	579456.0	564222.0	1224446.0	1346068.0	786075.0	1177975.0	1357119.0	1329454.0	999541.0	1166087.0	1161692.0	1285040.0	1344625.0	1098257.0	1541326.0	1295829.0	1123389.0	937646.0	1311391.0	1171759.0	1374823.0	509116.0	1400373.0	1009886.0
VincentC_2016__MM029.1__bin.1	1313151.0	1263454.0	572998.0	578794.0	1179566.0	1270939.0	764266.0	1096270.0	1299001.0	1271464.0	929003.0	1134110.0	1075059.0	1229052.0	1274531.0	1047786.0	1295829.0	1514705.0	1067119.0	894798.0	1265059.0	1067643.0	1293115.0	513992.0	1334187.0	975107.0
VincentC_2016__MM056.1__bin.5	1133905.0	1099613.0	435020.0	403785.0	1104610.0	1127289.0	589681.0	1044887.0	1128036.0	1094760.0	896865.0	979167.0	977264.0	1058426.0	1117967.0	913806.0	1123389.0	1067119.0	1243798.0	841012.0	1086092.0	953721.0	1135350.0	381502.0	1155842.0	845338.0
DavidLA_2015__LD-Run1-06__bin.19	987713.0	922528.0	239887.0	188451.0	916316.0	924103.0	375132.0	918329.0	954520.0	919640.0	839084.0	821850.0	788358.0	906845.0	922018.0	773511.0	937646.0	894798.0	841012.0	1049911.0	935254.0	819586.0	935929.0	191457.0	969676.0	716516.0
OhJ_2014__MET0131__bin.6	1319754.0	1278443.0	543978.0	514228.0	1194331.0	1284037.0	712163.0	1153286.0	1316004.0	1263102.0	972733.0	1131580.0	1102386.0	1222566.0	1301086.0	1065070.0	1311391.0	1265059.0	1086092.0	935254.0	1516895.0	1091758.0	1302026.0	474342.0	1356611.0	981112.0
VincentC_2016__MM052.2__bin.2	1111364.0	1086613.0	431391.0	431270.0	1051353.0	1084000.0	607160.0	1006625.0	1113382.0	1077953.0	853499.0	989840.0	961252.0	1046837.0	1095912.0	905252.0	1171759.0	1067643.0	953721.0	819586.0	1091758.0	1218549.0	1120115.0	397297.0	1131030.0	847665.0
VincentC_2016__MM021.1__bin.15	1376705.0	1316290.0	574111.0	577377.0	1256413.0	1397227.0	780453.0	1188659.0	1394858.0	1339611.0	986638.0	1163703.0	1133263.0	1294009.0	1390061.0	1132966.0	1374823.0	1293115.0	1135350.0	935929.0	1302026.0	1120115.0	1620766.0	580357.0	1470210.0	1011738.0
VincentC_2016__MM075.2__bin.2	534482.0	498674.0	383654.0	492953.0	416927.0	547314.0	518156.0	366400.0	534471.0	532559.0	202120.0	445861.0	426942.0	474145.0	559100.0	389098.0	509116.0	513992.0	381502.0	191457.0	474342.0	397297.0	580357.0	598863.0	576722.0	379736.0
OhJ_2014__MET0119__bin.18	1427781.0	1339134.0	583293.0	581373.0	1268032.0	1416409.0	800675.0	1213575.0	1432644.0	1372374.0	1011425.0	1195795.0	1149549.0	1303967.0	1421118.0	1127331.0	1400373.0	1334187.0	1155842.0	969676.0	1356611.0	1131030.0	1470210.0	576722.0	1668306.0	1036681.0
VincentC_2016__MM020.2__bin.4	1020286.0	986861.0	437139.0	404274.0	938193.0	990630.0	557352.0	887548.0	1016914.0	978303.0	800400.0	883465.0	853038.0	958060.0	995762.0	802496.0	1009886.0	975107.0	845338.0	716516.0	981112.0	847665.0	1011738.0	379736.0	1036681.0	1201710.0
