	LeChatelierE_2013__MH0148__bin.70	HeQ_2017__SZAXPI029599-169__bin.17	LeChatelierE_2013__MH0122__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES41__bin.6	ZeeviD_2015__PNP_Main_303__bin.19	ZeeviD_2015__PNP_Main_667__bin.36	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.33	YuJ_2015__SZAXPI015266-89__bin.52	LeChatelierE_2013__MH0251__bin.19	NielsenHB_2014__O2_UC9_2__bin.49	ZellerG_2014__CCIS21126322ST-4-0__bin.74	ZeeviD_2015__PNP_Validation_61__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.79	HeQ_2017__SZAXPI029563-66__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.11	LeChatelierE_2013__MH0236__bin.49	Bengtsson-PalmeJ_2015__TRAVELRES3__bin.65	QinJ_2012__CON-076__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.18	NielsenHB_2014__MH0148__bin.25	QinN_2014__LD-26__bin.51	NielsenHB_2014__O2_UC59_0__bin.13	ZeeviD_2015__PNP_Main_717__bin.24	ZeeviD_2015__PNP_Main_418__bin.50	ZeeviD_2015__PNP_Main_528__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.102	LiSS_2016__FAT_024-22-0-0__bin.41	ZeeviD_2015__PNP_Main_673__bin.1	ChengpingW_2017__AS106raw__bin.10	ZeeviD_2015__PNP_Main_409__bin.34	NielsenHB_2014__MH0134__bin.38	NielsenHB_2014__MH0122__bin.5	ZeeviD_2015__PNP_Main_109__bin.15	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.34	ZellerG_2014__CCIS81887263ST-4-0__bin.85	ZellerG_2014__CCIS70398272ST-4-0__bin.48	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.53	ZeeviD_2015__PNP_Main_84__bin.84	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.82	HeQ_2017__SZAXPI029552-169__bin.46	QinN_2014__HD-66__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.104	ZeeviD_2015__PNP_Main_163__bin.52	CosteaPI_2017__SID713B074-11-0-0__bin.68	LeChatelierE_2013__MH0134__bin.37	ZeeviD_2015__PNP_Main_652__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.19	LiJ_2014__O2.UC8-2__bin.45	ZeeviD_2015__PNP_Main_32__bin.13
ZellerG_2014__CCIS21126322ST-4-0__bin.74	11888.0	34671.0	26292.0	8867.0	22980.0	24743.0	21646.0	28548.0	14707.0	20988.0	0.0	25492.0	20687.0	25267.0	19936.0	24365.0	9473.0	21592.0	16737.0	9863.0	28106.0	13917.0	13571.0	17566.0	33619.0	27280.0	12941.0	737.0	34312.0	12874.0	19956.0	16994.0	1212.0	23100.0	21555.0	22286.0	25333.0	28528.0	17982.0	33960.0	33818.0	21741.0	13475.0	25116.0	19766.0	13582.0	32385.0	23559.0	10163.0
ZeeviD_2015__PNP_Validation_61__bin.5	23443.0	33606.0	25351.0	16944.0	23536.0	24565.0	21352.0	26306.0	26916.0	20084.0	25492.0	0.0	24628.0	24584.0	21744.0	25916.0	10463.0	21951.0	16913.0	22309.0	25756.0	24257.0	13065.0	25112.0	31146.0	25805.0	14624.0	24431.0	35219.0	20211.0	25022.0	16413.0	16530.0	23611.0	22591.0	24689.0	25529.0	28118.0	18357.0	32433.0	34037.0	20918.0	20678.0	25704.0	25784.0	14676.0	33172.0	22304.0	14478.0
Bengtsson-PalmeJ_2015__TRAVELRES69__bin.79	19692.0	34022.0	24817.0	14370.0	22904.0	22166.0	18635.0	26963.0	21063.0	18144.0	20687.0	24628.0	0.0	24799.0	22161.0	22427.0	8893.0	20034.0	16197.0	19348.0	27663.0	19418.0	11738.0	21407.0	30618.0	26878.0	13735.0	20566.0	34126.0	17409.0	21264.0	16457.0	14534.0	22194.0	20150.0	23342.0	24988.0	27459.0	17567.0	32872.0	33172.0	21049.0	18140.0	24283.0	21364.0	14325.0	33009.0	19821.0	13463.0
HeQ_2017__SZAXPI029563-66__bin.22	25212.0	19915.0	24806.0	12478.0	25655.0	25871.0	25567.0	20918.0	24375.0	24624.0	25267.0	24584.0	24799.0	0.0	11698.0	24994.0	2521.0	25760.0	7230.0	24614.0	20263.0	24255.0	12063.0	22862.0	22492.0	23711.0	16168.0	24766.0	20871.0	24341.0	25047.0	21043.0	18158.0	25989.0	23714.0	24636.0	19484.0	19514.0	8252.0	19295.0	19547.0	20234.0	21474.0	25037.0	24682.0	6266.0	25617.0	27074.0	16598.0
Bengtsson-PalmeJ_2015__TRAVELRES68__bin.11	15857.0	21704.0	22183.0	18297.0	19501.0	20166.0	19575.0	14879.0	20970.0	18760.0	19936.0	21744.0	22161.0	11698.0	0.0	20091.0	12697.0	17240.0	16987.0	15710.0	13763.0	19433.0	17483.0	19720.0	20411.0	21275.0	10881.0	20031.0	21337.0	12180.0	19818.0	10327.0	12447.0	19436.0	19128.0	20645.0	15194.0	17314.0	18546.0	20724.0	21183.0	9940.0	17629.0	19865.0	19890.0	12485.0	2441.0	21131.0	10533.0
LeChatelierE_2013__MH0236__bin.49	19901.0	33668.0	25996.0	15317.0	24243.0	25561.0	21156.0	27052.0	22639.0	20927.0	24365.0	25916.0	22427.0	24994.0	20091.0	0.0	10191.0	21100.0	15860.0	19085.0	26099.0	23058.0	14122.0	23560.0	31162.0	25694.0	13951.0	22969.0	34253.0	16711.0	22439.0	17103.0	15586.0	20643.0	22518.0	23111.0	24598.0	27642.0	17974.0	33717.0	34140.0	20658.0	17840.0	24516.0	22427.0	14317.0	32268.0	23363.0	13192.0
Bengtsson-PalmeJ_2015__TRAVELRES3__bin.65	6825.0	10152.0	10433.0	9960.0	9345.0	10400.0	9999.0	4938.0	9682.0	8056.0	9473.0	10463.0	8893.0	2521.0	12697.0	10191.0	0.0	6432.0	11508.0	6617.0	3582.0	8833.0	8325.0	8720.0	9406.0	187.0	4134.0	9291.0	11913.0	3722.0	9147.0	3141.0	5283.0	8559.0	9920.0	9107.0	6586.0	8001.0	10859.0	10026.0	10394.0	2706.0	7150.0	10743.0	9033.0	10595.0	12242.0	9751.0	3620.0
QinJ_2012__CON-076__bin.33	21450.0	30471.0	22848.0	12888.0	20182.0	23251.0	16503.0	26050.0	20217.0	16094.0	21592.0	21951.0	20034.0	25760.0	17240.0	21100.0	6432.0	0.0	12766.0	21003.0	27621.0	19574.0	11439.0	21306.0	28919.0	24209.0	13093.0	19876.0	30677.0	18108.0	20343.0	16753.0	14146.0	20094.0	20272.0	19195.0	23196.0	25257.0	14537.0	28914.0	30052.0	22135.0	17013.0	19768.0	20364.0	10600.0	29517.0	18465.0	13760.0
Bengtsson-PalmeJ_2015__TRAVELRES7__bin.18	12647.0	14204.0	17638.0	17539.0	15921.0	14874.0	15020.0	8986.0	17465.0	14880.0	16737.0	16913.0	16197.0	7230.0	16987.0	15860.0	11508.0	12766.0	0.0	11738.0	7524.0	15268.0	14262.0	15073.0	14013.0	15681.0	7903.0	16345.0	15950.0	8873.0	16398.0	8061.0	9574.0	14760.0	16012.0	16141.0	282.0	11651.0	14984.0	14658.0	14612.0	6069.0	14232.0	16393.0	15995.0	13926.0	15780.0	17092.0	8127.0
NielsenHB_2014__MH0148__bin.25	420.0	29885.0	22409.0	5434.0	19918.0	20990.0	18061.0	27066.0	12696.0	18079.0	9863.0	22309.0	19348.0	24614.0	15710.0	19085.0	6617.0	21003.0	11738.0	0.0	26923.0	10301.0	10574.0	13383.0	28122.0	23831.0	12386.0	9068.0	29218.0	13071.0	17684.0	16340.0	6870.0	20222.0	18233.0	19781.0	23603.0	25806.0	12841.0	28507.0	28955.0	20464.0	10054.0	20394.0	17697.0	9846.0	27133.0	19199.0	7331.0
QinN_2014__LD-26__bin.51	27986.0	7715.0	28036.0	14280.0	27002.0	27207.0	25226.0	18794.0	27376.0	23879.0	28106.0	25756.0	27663.0	20263.0	13763.0	26099.0	3582.0	27621.0	7524.0	26923.0	0.0	26355.0	14504.0	25143.0	21478.0	25203.0	16327.0	27504.0	20344.0	27351.0	26138.0	23370.0	19084.0	25450.0	25034.0	27604.0	19946.0	17276.0	8491.0	18094.0	16727.0	22263.0	22984.0	26892.0	25813.0	6813.0	27297.0	26492.0	18371.0
NielsenHB_2014__O2_UC59_0__bin.13	10977.0	32725.0	25914.0	9619.0	20982.0	22823.0	19440.0	27371.0	8989.0	17835.0	13917.0	24257.0	19418.0	24255.0	19433.0	23058.0	8833.0	19574.0	15268.0	10301.0	26355.0	0.0	11886.0	17446.0	30785.0	25696.0	12755.0	12669.0	32856.0	9942.0	18295.0	16192.0	8219.0	21429.0	20577.0	22391.0	24928.0	27863.0	16901.0	32172.0	33523.0	20932.0	12308.0	23088.0	18718.0	12994.0	33890.0	19608.0	9486.0
ZeeviD_2015__PNP_Main_717__bin.24	11033.0	21204.0	15245.0	13545.0	14194.0	14193.0	12230.0	16074.0	13029.0	11229.0	13571.0	13065.0	11738.0	12063.0	17483.0	14122.0	8325.0	11439.0	14262.0	10574.0	14504.0	11886.0	0.0	13914.0	19435.0	16628.0	7174.0	12650.0	20287.0	8479.0	12830.0	8883.0	8474.0	13518.0	11753.0	14668.0	13525.0	18421.0	15801.0	20360.0	19847.0	11001.0	10248.0	14449.0	12655.0	12741.0	19417.0	12386.0	6664.0
ZeeviD_2015__PNP_Main_418__bin.50	13847.0	32625.0	25769.0	10583.0	22056.0	22232.0	22361.0	26831.0	17328.0	19486.0	17566.0	25112.0	21407.0	22862.0	19720.0	23560.0	8720.0	21306.0	15073.0	13383.0	25143.0	17446.0	13914.0	0.0	30115.0	24671.0	12971.0	16611.0	31900.0	16006.0	21474.0	16953.0	12292.0	21800.0	21326.0	23272.0	23329.0	28342.0	16585.0	31853.0	31219.0	19564.0	14752.0	23360.0	21906.0	13553.0	31101.0	22130.0	11517.0
ZeeviD_2015__PNP_Main_528__bin.27	28478.0	25998.0	32546.0	21995.0	32200.0	32928.0	29990.0	22474.0	31546.0	26537.0	33619.0	31146.0	30618.0	22492.0	20411.0	31162.0	9406.0	28919.0	14013.0	28122.0	21478.0	30785.0	19435.0	30115.0	0.0	28097.0	18516.0	31484.0	28150.0	24729.0	29282.0	21510.0	21806.0	28090.0	30244.0	30657.0	23548.0	23011.0	14699.0	27111.0	27885.0	21629.0	25875.0	31557.0	29397.0	13071.0	36423.0	30641.0	19845.0
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.102	24320.0	30565.0	27578.0	16735.0	25988.0	26614.0	26298.0	25016.0	26604.0	22777.0	27280.0	25805.0	26878.0	23711.0	21275.0	25694.0	187.0	24209.0	15681.0	23831.0	25203.0	25696.0	16628.0	24671.0	28097.0	0.0	15403.0	26469.0	30809.0	21727.0	25649.0	18465.0	18869.0	24115.0	25690.0	26489.0	23757.0	26977.0	16522.0	30000.0	29712.0	20920.0	22473.0	26994.0	25573.0	13814.0	30941.0	25857.0	15837.0
LiSS_2016__FAT_024-22-0-0__bin.41	12249.0	19256.0	14548.0	7342.0	14785.0	14467.0	12927.0	16961.0	13440.0	12786.0	12941.0	14624.0	13735.0	16168.0	10881.0	13951.0	4134.0	13093.0	7903.0	12386.0	16327.0	12755.0	7174.0	12971.0	18516.0	15403.0	0.0	12731.0	19604.0	11186.0	14046.0	10669.0	9604.0	14160.0	13528.0	13770.0	16174.0	17196.0	9371.0	19560.0	19705.0	14241.0	11269.0	13327.0	13956.0	7143.0	19169.0	13876.0	8582.0
ZeeviD_2015__PNP_Main_673__bin.1	9807.0	34078.0	25298.0	9026.0	22184.0	22454.0	20813.0	28002.0	14504.0	20041.0	737.0	24431.0	20566.0	24766.0	20031.0	22969.0	9291.0	19876.0	16345.0	9068.0	27504.0	12669.0	12650.0	16611.0	31484.0	26469.0	12731.0	0.0	32995.0	12441.0	18985.0	16468.0	1138.0	22282.0	21166.0	21147.0	25052.0	27923.0	17885.0	33084.0	34378.0	20980.0	12880.0	22724.0	19424.0	13284.0	32051.0	21591.0	9987.0
ChengpingW_2017__AS106raw__bin.10	29980.0	24759.0	35191.0	22044.0	32258.0	33397.0	31515.0	20247.0	35188.0	29398.0	34312.0	35219.0	34126.0	20871.0	21337.0	34253.0	11913.0	30677.0	15950.0	29218.0	20344.0	32856.0	20287.0	31900.0	28150.0	30809.0	19604.0	32995.0	0.0	26205.0	30630.0	22841.0	23222.0	30043.0	30843.0	33051.0	23642.0	21518.0	15633.0	24909.0	25141.0	19424.0	28132.0	33752.0	31437.0	13183.0	33053.0	33341.0	20842.0
ZeeviD_2015__PNP_Main_409__bin.34	13615.0	26551.0	19323.0	8054.0	18674.0	19130.0	16973.0	25997.0	11977.0	15784.0	12874.0	20211.0	17409.0	24341.0	12180.0	16711.0	3722.0	18108.0	8873.0	13071.0	27351.0	9942.0	8479.0	16006.0	24729.0	21727.0	11186.0	12441.0	26205.0	0.0	17358.0	16436.0	8926.0	17486.0	16136.0	18937.0	22312.0	24370.0	10817.0	26136.0	26316.0	20442.0	11681.0	16607.0	17350.0	7059.0	24201.0	16597.0	8424.0
NielsenHB_2014__MH0134__bin.38	17943.0	32851.0	25900.0	12726.0	22738.0	24534.0	22387.0	27697.0	20754.0	20936.0	19956.0	25022.0	21264.0	25047.0	19818.0	22439.0	9147.0	20343.0	16398.0	17684.0	26138.0	18295.0	12830.0	21474.0	29282.0	25649.0	14046.0	18985.0	30630.0	17358.0	0.0	17625.0	13618.0	23285.0	20204.0	23877.0	24300.0	28264.0	17396.0	31904.0	32284.0	19519.0	17243.0	26053.0	878.0	13493.0	31084.0	23195.0	13171.0
NielsenHB_2014__MH0122__bin.5	16373.0	23632.0	124.0	9107.0	17153.0	17117.0	15679.0	21266.0	16773.0	14711.0	16994.0	16413.0	16457.0	21043.0	10327.0	17103.0	3141.0	16753.0	8061.0	16340.0	23370.0	16192.0	8883.0	16953.0	21510.0	18465.0	10669.0	16468.0	22841.0	16436.0	17625.0	0.0	13052.0	16227.0	15779.0	14166.0	19167.0	20557.0	9393.0	23801.0	23038.0	17930.0	14377.0	14378.0	17708.0	6472.0	21185.0	15977.0	11267.0
ZeeviD_2015__PNP_Main_109__bin.15	6918.0	22565.0	17198.0	5848.0	15562.0	16066.0	14522.0	18806.0	10005.0	13622.0	1212.0	16530.0	14534.0	18158.0	12447.0	15586.0	5283.0	14146.0	9574.0	6870.0	19084.0	8219.0	8474.0	12292.0	21806.0	18869.0	9604.0	1138.0	23222.0	8926.0	13618.0	13052.0	0.0	16167.0	15310.0	15271.0	17732.0	19027.0	10971.0	23190.0	23327.0	15978.0	10096.0	15117.0	13945.0	8278.0	21466.0	14943.0	7655.0
VogtmannE_2016__MMRS11288076ST-27-0-0__bin.34	20349.0	31587.0	24309.0	14108.0	22688.0	22664.0	21387.0	24812.0	21494.0	19954.0	23100.0	23611.0	22194.0	25989.0	19436.0	20643.0	8559.0	20094.0	14760.0	20222.0	25450.0	21429.0	13518.0	21800.0	28090.0	24115.0	14160.0	22282.0	30043.0	17486.0	23285.0	16227.0	16167.0	0.0	21419.0	21836.0	23636.0	25954.0	16421.0	31816.0	31899.0	20106.0	19474.0	23389.0	22764.0	13042.0	30165.0	21479.0	14443.0
ZellerG_2014__CCIS81887263ST-4-0__bin.85	18471.0	32401.0	23113.0	14806.0	22283.0	22945.0	21151.0	25497.0	21104.0	19038.0	21555.0	22591.0	20150.0	23714.0	19128.0	22518.0	9920.0	20272.0	16012.0	18233.0	25034.0	20577.0	11753.0	21326.0	30244.0	25690.0	13528.0	21166.0	30843.0	16136.0	20204.0	15779.0	15310.0	21419.0	0.0	21542.0	24182.0	26501.0	17624.0	32550.0	32267.0	20098.0	18666.0	21618.0	20012.0	13746.0	29510.0	20945.0	13067.0
ZellerG_2014__CCIS70398272ST-4-0__bin.48	19990.0	33805.0	19988.0	14889.0	22757.0	24743.0	21476.0	26688.0	23441.0	20659.0	22286.0	24689.0	23342.0	24636.0	20645.0	23111.0	9107.0	19195.0	16141.0	19781.0	27604.0	22391.0	14668.0	23272.0	30657.0	26489.0	13770.0	21147.0	33051.0	18937.0	23877.0	14166.0	15271.0	21836.0	21542.0	0.0	24609.0	28008.0	17381.0	32179.0	31641.0	19687.0	18178.0	15712.0	24225.0	12277.0	32680.0	22684.0	13747.0
Bengtsson-PalmeJ_2015__TRAVELRES8__bin.53	24372.0	22300.0	25514.0	14758.0	25176.0	24745.0	24347.0	18867.0	24982.0	23874.0	25333.0	25529.0	24988.0	19484.0	15194.0	24598.0	6586.0	23196.0	282.0	23603.0	19946.0	24928.0	13525.0	23329.0	23548.0	23757.0	16174.0	25052.0	23642.0	22312.0	24300.0	19167.0	17732.0	23636.0	24182.0	24609.0	0.0	19633.0	10292.0	22782.0	23459.0	18358.0	22811.0	24561.0	23636.0	10656.0	26833.0	25404.0	16747.0
ZeeviD_2015__PNP_Main_84__bin.84	26107.0	20295.0	28536.0	17386.0	27023.0	27181.0	26753.0	3348.0	29039.0	25321.0	28528.0	28118.0	27459.0	19514.0	17314.0	27642.0	8001.0	25257.0	11651.0	25806.0	17276.0	27863.0	18421.0	28342.0	23011.0	26977.0	17196.0	27923.0	21518.0	24370.0	28264.0	20557.0	19027.0	25954.0	26501.0	28008.0	19633.0	0.0	2684.0	21091.0	22551.0	17783.0	25674.0	27930.0	27753.0	10954.0	27938.0	28020.0	18784.0
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.82	12961.0	13307.0	18761.0	17732.0	17731.0	17563.0	17521.0	1094.0	18581.0	15534.0	17982.0	18357.0	17567.0	8252.0	18546.0	17974.0	10859.0	14537.0	14984.0	12841.0	8491.0	16901.0	15801.0	16585.0	14699.0	16522.0	9371.0	17885.0	15633.0	10817.0	17396.0	9393.0	10971.0	16421.0	17624.0	17381.0	10292.0	2684.0	0.0	13639.0	14097.0	7602.0	16369.0	18413.0	17327.0	14333.0	17217.0	18426.0	9679.0
HeQ_2017__SZAXPI029552-169__bin.46	28694.0	23305.0	33197.0	21844.0	33870.0	33113.0	32724.0	18826.0	32840.0	30148.0	33960.0	32433.0	32872.0	19295.0	20724.0	33717.0	10026.0	28914.0	14658.0	28507.0	18094.0	32172.0	20360.0	31853.0	27111.0	30000.0	19560.0	33084.0	24909.0	26136.0	31904.0	23801.0	23190.0	31816.0	32550.0	32179.0	22782.0	21091.0	13639.0	0.0	21527.0	20763.0	28172.0	33323.0	31731.0	13363.0	32904.0	33427.0	20955.0
QinN_2014__HD-66__bin.1	29385.0	21358.0	33676.0	21708.0	33609.0	34496.0	33025.0	19745.0	34165.0	30568.0	33818.0	34037.0	33172.0	19547.0	21183.0	34140.0	10394.0	30052.0	14612.0	28955.0	16727.0	33523.0	19847.0	31219.0	27885.0	29712.0	19705.0	34378.0	25141.0	26316.0	32284.0	23038.0	23327.0	31899.0	32267.0	31641.0	23459.0	22551.0	14097.0	21527.0	0.0	21302.0	28133.0	32890.0	32779.0	14046.0	33739.0	34762.0	20882.0
Bengtsson-PalmeJ_2015__TRAVELRES46__bin.104	20326.0	20907.0	20079.0	10682.0	20612.0	20967.0	20647.0	18802.0	20130.0	19246.0	21741.0	20918.0	21049.0	20234.0	9940.0	20658.0	2706.0	22135.0	6069.0	20464.0	22263.0	20932.0	11001.0	19564.0	21629.0	20920.0	14241.0	20980.0	19424.0	20442.0	19519.0	17930.0	15978.0	20106.0	20098.0	19687.0	18358.0	17783.0	7602.0	20763.0	21302.0	0.0	17985.0	19879.0	19815.0	4420.0	19382.0	21802.0	13568.0
