	VogtmannE_2016__MMRS54316675ST-27-0-0__bin.55	LeChatelierE_2013__MH0257__bin.78	HMP_2012__SRS012273__bin.49	FengQ_2015__SID31749__bin.37	LiJ_2014__MH0391__bin.43	ZellerG_2014__CCMD79987997ST-21-0__bin.13	BackhedF_2015__SID338_M__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.50	CosteaPI_2017__alien2-11-0-0__bin.7	ZeeviD_2015__PNP_Main_327__bin.53	ZeeviD_2015__PNP_Main_430__bin.10	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.36	ZeeviD_2015__PNP_Main_154__bin.54	ZeeviD_2015__PNP_Main_644__bin.16	LiJ_2014__V1.FI07__bin.4	KarlssonFH_2013__S577__bin.48	NielsenHB_2014__V1_CD20_4__bin.55	HMP_2012__SRS022071__bin.33	QinJ_2012__NLM026__bin.21	VogtmannE_2016__MMRS11664448ST-27-0-0__bin.83	ZeeviD_2015__PNP_Validation_83__bin.8	LeChatelierE_2013__MH0140__bin.3	YuJ_2015__SZAXPI015222-123__bin.55	YuJ_2015__SZAXPI017593-158__bin.26	QinN_2014__HD-35__bin.49	ZeeviD_2015__PNP_Main_543__bin.19	LoombaR_2017__SID1022_aav__bin.28	ZeeviD_2015__PNP_Main_645__bin.38	LiJ_2017__H2M514903__bin.45	ZeeviD_2015__PNP_Main_773__bin.23	LiJ_2014__V1.CD20-0__bin.36	QinJ_2012__NLM006__bin.4	ZeeviD_2015__PNP_Main_286__bin.38	VogtmannE_2016__MMRS67690541ST-27-0-0__bin.65	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.74	QinN_2014__HD-36__bin.19	LiJ_2017__nHM410714__bin.27	BackhedF_2015__SID172_M__bin.40	BackhedF_2015__SID241_M__bin.31	ZeeviD_2015__PNP_Main_121__bin.3	QinJ_2012__T2D-098__bin.37	ZeeviD_2015__PNP_Main_473__bin.20	QinJ_2012__CON-052__bin.33	LiJ_2017__nHM412716__bin.59	YuJ_2015__SZAXPI017466-84__bin.26	YuJ_2015__SZAXPI003412-1__bin.63	LiJ_2017__nHM611708__bin.16	HMP_2012__SRS052027__bin.35
ZeeviD_2015__PNP_Main_430__bin.10	1902957.0	1982046.0	1694024.0	1729848.0	1686370.0	1639038.0	1718030.0	1954265.0	1716580.0	1781712.0	2517682.0	1917252.0	1951216.0	1721145.0	1945018.0	2083822.0	1392117.0	1831815.0	1856060.0	1871836.0	1761823.0	1172469.0	1401387.0	1924945.0	1757137.0	1423967.0	2058008.0	2171144.0	1649131.0	2037739.0	1755836.0	1981973.0	1863970.0	1803978.0	1593906.0	1962486.0	1682779.0	1940844.0	1535639.0	1257756.0	1833286.0	1765189.0	1797671.0	1890734.0	2154843.0	2128974.0	1855092.0	1522424.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.36	1807164.0	1885976.0	1617935.0	1744600.0	1690290.0	1586970.0	1578231.0	1807215.0	1566288.0	1705541.0	1917252.0	2062977.0	1752804.0	1614926.0	1870132.0	1873614.0	1381598.0	1710046.0	1702163.0	1757383.0	1571302.0	1168648.0	1367604.0	1722085.0	1636656.0	1328885.0	1885302.0	1906732.0	1548718.0	1856843.0	1735305.0	1842666.0	1723009.0	1709683.0	1483229.0	1753187.0	1645337.0	1724778.0	1535498.0	1185579.0	1664964.0	1638055.0	1659949.0	1801758.0	1889585.0	1900332.0	1755343.0	1527815.0
ZeeviD_2015__PNP_Main_154__bin.54	1690354.0	1770411.0	1640416.0	1650132.0	1648451.0	1457795.0	1648296.0	1848368.0	1623698.0	1766940.0	1951216.0	1752804.0	2165473.0	1733095.0	1764297.0	1880410.0	1349883.0	1753937.0	1776342.0	1739760.0	1692388.0	1110645.0	1361416.0	1723229.0	1605544.0	1349242.0	1856399.0	1937878.0	1620123.0	1822008.0	1699993.0	1837763.0	1800693.0	1750594.0	1566105.0	1754418.0	1622881.0	1799926.0	1506812.0	1221504.0	1763148.0	1732669.0	1732705.0	1765868.0	1922434.0	1892444.0	1755846.0	1468886.0
ZeeviD_2015__PNP_Main_644__bin.16	1522379.0	1577795.0	1555637.0	1577177.0	1644372.0	1319715.0	1604291.0	1701617.0	1561587.0	1645970.0	1721145.0	1614926.0	1733095.0	1904047.0	1648093.0	1696716.0	1365901.0	1706275.0	1697142.0	1652466.0	1677685.0	1001786.0	1316219.0	1535885.0	1442537.0	1249171.0	1652655.0	1717690.0	1627512.0	1638542.0	1647413.0	1701689.0	1673901.0	1621273.0	1562589.0	1580094.0	1549270.0	1622644.0	1400511.0	1138964.0	1722079.0	1616987.0	1603278.0	1641837.0	1728568.0	1729711.0	1639808.0	1359155.0
LiJ_2014__V1.FI07__bin.4	1817644.0	1926502.0	1621742.0	1740182.0	1738670.0	1593113.0	1612094.0	1781930.0	1629146.0	1721784.0	1945018.0	1870132.0	1764297.0	1648093.0	2177003.0	1883477.0	1416643.0	1733212.0	1733832.0	1773375.0	1620884.0	1174800.0	1389084.0	1747313.0	1627576.0	1335537.0	1894633.0	1954734.0	1600377.0	1884120.0	1790691.0	1804656.0	1706928.0	1704875.0	1521175.0	1763323.0	1600152.0	1709553.0	1573054.0	1177462.0	1695637.0	1651553.0	1652268.0	1768445.0	1926340.0	1955421.0	1719661.0	1495112.0
KarlssonFH_2013__S577__bin.48	1844979.0	1922904.0	1678614.0	1679177.0	1656136.0	1589587.0	1659455.0	1921458.0	1636856.0	1759547.0	2083822.0	1873614.0	1880410.0	1696716.0	1883477.0	2283060.0	1370663.0	1787752.0	1777078.0	1822844.0	1684117.0	1147963.0	1395360.0	1864191.0	1714423.0	1395634.0	2008448.0	2073686.0	1620332.0	1969587.0	1714218.0	1893795.0	1808788.0	1772357.0	1560882.0	1922332.0	1642468.0	1851736.0	1502982.0	1220559.0	1767566.0	1724025.0	1731029.0	1830421.0	2063652.0	2039120.0	1790062.0	1505400.0
NielsenHB_2014__V1_CD20_4__bin.55	1297846.0	1361721.0	1263902.0	1425669.0	1405814.0	1147371.0	1311759.0	1390601.0	1324142.0	1349244.0	1392117.0	1381598.0	1349883.0	1365901.0	1416643.0	1370663.0	1551227.0	1382381.0	1375727.0	1337064.0	1350815.0	849761.0	1096961.0	1189201.0	1189643.0	998359.0	1333764.0	1404363.0	1321879.0	1340194.0	1560332.0	1418691.0	1362326.0	1313697.0	1266218.0	1275169.0	1280259.0	1321810.0	1209101.0	908565.0	1362651.0	1307695.0	1297460.0	1339132.0	1379941.0	1398773.0	1345356.0	1178329.0
HMP_2012__SRS022071__bin.33	1622488.0	1689221.0	1823159.0	1665686.0	1670383.0	1410956.0	1696649.0	1806953.0	1639632.0	1767219.0	1831815.0	1710046.0	1753937.0	1706275.0	1733212.0	1787752.0	1382381.0	2102548.0	1783589.0	1787189.0	1679562.0	1068770.0	1407350.0	1641134.0	1539805.0	1292720.0	1785597.0	1816583.0	1667779.0	1813283.0	1701978.0	1810990.0	1754977.0	1764245.0	1566156.0	1651767.0	1628630.0	1707227.0	1481247.0	1197840.0	1767417.0	1688194.0	1691377.0	1752670.0	1832841.0	1829159.0	1756369.0	1447597.0
QinJ_2012__NLM026__bin.21	1617384.0	1674657.0	1637013.0	1667074.0	1645978.0	1400506.0	1683426.0	1790344.0	1650047.0	1722187.0	1856060.0	1702163.0	1776342.0	1697142.0	1733832.0	1777078.0	1375727.0	1783589.0	2015124.0	1752936.0	1702071.0	1077356.0	1382420.0	1643858.0	1536928.0	1309013.0	1749630.0	1841155.0	1629110.0	1741066.0	1725598.0	1807818.0	1750121.0	1728171.0	1573312.0	1679194.0	1625114.0	1744988.0	1479402.0	1179194.0	1779326.0	1690390.0	1730341.0	1739562.0	1848644.0	1854188.0	1739092.0	1433774.0
VogtmannE_2016__MMRS11664448ST-27-0-0__bin.83	1682767.0	1768577.0	1680636.0	1646028.0	1647901.0	1457940.0	1629386.0	1813006.0	1596228.0	1852906.0	1871836.0	1757383.0	1739760.0	1652466.0	1773375.0	1822844.0	1337064.0	1787189.0	1752936.0	2256860.0	1635652.0	1107005.0	1453699.0	1673784.0	1567356.0	1314601.0	1933340.0	1865929.0	1605140.0	1953849.0	1681776.0	1792446.0	1701102.0	2097633.0	1546405.0	1696835.0	1618281.0	1726021.0	1492960.0	1179832.0	1718463.0	1690008.0	1667022.0	1765391.0	1861903.0	1851841.0	1755279.0	1445294.0
ZeeviD_2015__PNP_Validation_83__bin.8	1496653.0	1543691.0	1529196.0	1553185.0	1610957.0	1297040.0	1613703.0	1679185.0	1578455.0	1601470.0	1761823.0	1571302.0	1692388.0	1677685.0	1620884.0	1684117.0	1350815.0	1679562.0	1702071.0	1635652.0	1902871.0	994523.0	1277199.0	1514861.0	1422815.0	1205354.0	1605232.0	1726095.0	1606341.0	1612339.0	1624346.0	1691260.0	1636391.0	1595691.0	1554965.0	1563510.0	1519695.0	1613853.0	1376361.0	1121901.0	1705685.0	1591101.0	1604444.0	1610388.0	1698048.0	1716368.0	1625033.0	1322468.0
LeChatelierE_2013__MH0140__bin.3	1148681.0	1197629.0	1067561.0	1079469.0	1063578.0	1008198.0	1013427.0	1167185.0	954553.0	1085634.0	1172469.0	1168648.0	1110645.0	1001786.0	1174800.0	1147963.0	849761.0	1068770.0	1077356.0	1107005.0	994523.0	1262163.0	897110.0	1116791.0	1001132.0	834685.0	1152812.0	1169278.0	944521.0	1141134.0	1120778.0	1155350.0	1086138.0	1078990.0	901455.0	1093843.0	980474.0	1097112.0	1053501.0	766513.0	1008806.0	1033773.0	1057137.0	1106569.0	1170587.0	1175810.0	1080679.0	1008430.0
YuJ_2015__SZAXPI015222-123__bin.55	1298175.0	1350996.0	1344146.0	1326291.0	1315496.0	1126629.0	1323899.0	1405768.0	1246136.0	1476118.0	1401387.0	1367604.0	1361416.0	1316219.0	1389084.0	1395360.0	1096961.0	1407350.0	1382420.0	1453699.0	1277199.0	897110.0	1620552.0	1275476.0	1234277.0	1005183.0	1456297.0	1398634.0	1280987.0	1491510.0	1366796.0	1394503.0	1354884.0	1450509.0	1219627.0	1289153.0	1292919.0	1347424.0	1237521.0	948843.0	1312398.0	1320110.0	1347914.0	1369458.0	1388239.0	1427798.0	1371006.0	1209960.0
YuJ_2015__SZAXPI017593-158__bin.26	1716165.0	1802162.0	1541505.0	1512139.0	1495690.0	1491000.0	1523844.0	1766080.0	1495214.0	1613610.0	1924945.0	1722085.0	1723229.0	1535885.0	1747313.0	1864191.0	1189201.0	1641134.0	1643858.0	1673784.0	1514861.0	1116791.0	1275476.0	2125039.0	1585176.0	1294715.0	1849432.0	1910866.0	1456036.0	1805716.0	1543452.0	1758606.0	1651419.0	1622965.0	1389695.0	1792479.0	1495516.0	1723557.0	1404913.0	1120565.0	1636458.0	1570831.0	1602735.0	1700508.0	1983371.0	1901806.0	1643398.0	1386291.0
QinN_2014__HD-35__bin.49	1591979.0	1673700.0	1455596.0	1450859.0	1435790.0	1380100.0	1448673.0	1644950.0	1426972.0	1553016.0	1757137.0	1636656.0	1605544.0	1442537.0	1627576.0	1714423.0	1189643.0	1539805.0	1536928.0	1567356.0	1422815.0	1001132.0	1234277.0	1585176.0	1875175.0	1191061.0	1712019.0	1736954.0	1413659.0	1680367.0	1489859.0	1656695.0	1558514.0	1519225.0	1346579.0	1628493.0	1452156.0	1574359.0	1327829.0	1074922.0	1521323.0	1487365.0	1508123.0	1610518.0	1738014.0	1734536.0	1582922.0	1314376.0
ZeeviD_2015__PNP_Main_543__bin.19	1252977.0	1313550.0	1226566.0	1214652.0	1197154.0	1112174.0	1221875.0	1362583.0	1199722.0	1286380.0	1423967.0	1328885.0	1349242.0	1249171.0	1335537.0	1395634.0	998359.0	1292720.0	1309013.0	1314601.0	1205354.0	834685.0	1005183.0	1294715.0	1191061.0	1497086.0	1367494.0	1415577.0	1184852.0	1325101.0	1253024.0	1341792.0	1317545.0	1284756.0	1138255.0	1299609.0	1217105.0	1328076.0	1121715.0	923526.0	1272846.0	1287906.0	1265875.0	1340493.0	1414577.0	1397049.0	1324287.0	1107647.0
LoombaR_2017__SID1022_aav__bin.28	1861912.0	1961503.0	1684674.0	1672148.0	1654284.0	1609364.0	1615761.0	1871273.0	1628398.0	1883428.0	2058008.0	1885302.0	1856399.0	1652655.0	1894633.0	2008448.0	1333764.0	1785597.0	1749630.0	1933340.0	1605232.0	1152812.0	1456297.0	1849432.0	1712019.0	1367494.0	2463969.0	2073052.0	1589533.0	2137414.0	1694295.0	1872732.0	1783895.0	1881716.0	1502146.0	1875539.0	1645684.0	1826502.0	1517111.0	1207861.0	1741317.0	1710042.0	1725259.0	1841502.0	2036996.0	2052648.0	1781947.0	1486923.0
ZeeviD_2015__PNP_Main_645__bin.38	1889799.0	1970126.0	1691393.0	1739174.0	1699572.0	1631398.0	1702258.0	1928433.0	1718145.0	1808531.0	2171144.0	1906732.0	1937878.0	1717690.0	1954734.0	2073686.0	1404363.0	1816583.0	1841155.0	1865929.0	1726095.0	1169278.0	1398634.0	1910866.0	1736954.0	1415577.0	2073052.0	2434284.0	1663517.0	2032133.0	1763626.0	1970308.0	1839293.0	1811085.0	1568519.0	1943538.0	1673168.0	1904006.0	1554393.0	1239364.0	1804643.0	1743727.0	1782994.0	1873251.0	2154336.0	2132318.0	1820652.0	1516222.0
LiJ_2017__H2M514903__bin.45	1469941.0	1526036.0	1516302.0	1522312.0	1588926.0	1278972.0	1590876.0	1638649.0	1556605.0	1614121.0	1649131.0	1548718.0	1620123.0	1627512.0	1600377.0	1620332.0	1321879.0	1667779.0	1629110.0	1605140.0	1606341.0	944521.0	1280987.0	1456036.0	1413659.0	1184852.0	1589533.0	1663517.0	1791451.0	1587118.0	1589409.0	1651645.0	1598201.0	1574682.0	1519693.0	1506461.0	1498213.0	1560719.0	1341157.0	1104577.0	1643169.0	1566570.0	1525127.0	1580124.0	1641944.0	1669257.0	1594463.0	1310049.0
ZeeviD_2015__PNP_Main_773__bin.23	1835964.0	1939415.0	1682271.0	1675896.0	1636593.0	1569824.0	1628999.0	1898929.0	1571696.0	1966638.0	2037739.0	1856843.0	1822008.0	1638542.0	1884120.0	1969587.0	1340194.0	1813283.0	1741066.0	1953849.0	1612339.0	1141134.0	1491510.0	1805716.0	1680367.0	1325101.0	2137414.0	2032133.0	1587118.0	2640653.0	1711440.0	1864816.0	1776618.0	1892811.0	1522260.0	1827748.0	1613824.0	1777941.0	1495517.0	1194899.0	1694266.0	1680273.0	1683338.0	1800293.0	2014391.0	2003259.0	1760851.0	1476793.0
LiJ_2014__V1.CD20-0__bin.36	1638309.0	1735275.0	1576544.0	1722340.0	1713569.0	1431903.0	1576033.0	1753451.0	1574719.0	1674679.0	1755836.0	1735305.0	1699993.0	1647413.0	1790691.0	1714218.0	1560332.0	1701978.0	1725598.0	1681776.0	1624346.0	1120778.0	1366796.0	1543452.0	1489859.0	1253024.0	1694295.0	1763626.0	1589409.0	1711440.0	2023795.0	1723738.0	1668686.0	1661321.0	1518344.0	1584053.0	1554450.0	1614502.0	1522546.0	1138447.0	1649045.0	1617749.0	1626406.0	1669794.0	1742916.0	1762160.0	1669611.0	1460931.0
QinJ_2012__NLM006__bin.4	1733673.0	1815895.0	1672442.0	1740948.0	1693926.0	1513388.0	1719236.0	1897776.0	1728433.0	1766115.0	1981973.0	1842666.0	1837763.0	1701689.0	1804656.0	1893795.0	1418691.0	1810990.0	1807818.0	1792446.0	1691260.0	1155350.0	1394503.0	1758606.0	1656695.0	1341792.0	1872732.0	1970308.0	1651645.0	1864816.0	1723738.0	2187409.0	1843477.0	1743688.0	1563410.0	1781763.0	1679467.0	1860309.0	1519499.0	1239006.0	1776588.0	1713765.0	1738066.0	1813251.0	1972875.0	1942020.0	1789280.0	1500331.0
ZeeviD_2015__PNP_Main_286__bin.38	1646991.0	1717062.0	1622301.0	1660181.0	1610828.0	1414323.0	1649392.0	1828351.0	1617231.0	1723217.0	1863970.0	1723009.0	1800693.0	1673901.0	1706928.0	1808788.0	1362326.0	1754977.0	1750121.0	1701102.0	1636391.0	1086138.0	1354884.0	1651419.0	1558514.0	1317545.0	1783895.0	1839293.0	1598201.0	1776618.0	1668686.0	1843477.0	1980247.0	1689902.0	1531985.0	1691350.0	1598167.0	1758737.0	1479943.0	1190480.0	1703528.0	1693512.0	1675915.0	1745066.0	1840746.0	1845924.0	1724725.0	1444173.0
VogtmannE_2016__MMRS67690541ST-27-0-0__bin.65	1635114.0	1707732.0	1662715.0	1648744.0	1614961.0	1402441.0	1621520.0	1761712.0	1577943.0	1863903.0	1803978.0	1709683.0	1750594.0	1621273.0	1704875.0	1772357.0	1313697.0	1764245.0	1728171.0	2097633.0	1595691.0	1078990.0	1450509.0	1622965.0	1519225.0	1284756.0	1881716.0	1811085.0	1574682.0	1892811.0	1661321.0	1743688.0	1689902.0	2181474.0	1518717.0	1646433.0	1592228.0	1681617.0	1496374.0	1176708.0	1684315.0	1679376.0	1654330.0	1727329.0	1797941.0	1789990.0	1730167.0	1455061.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.74	1396220.0	1458876.0	1416450.0	1436644.0	1506381.0	1199280.0	1495231.0	1690132.0	1534604.0	1538352.0	1593906.0	1483229.0	1566105.0	1562589.0	1521175.0	1560882.0	1266218.0	1566156.0	1573312.0	1546405.0	1554965.0	901455.0	1219627.0	1389695.0	1346579.0	1138255.0	1502146.0	1568519.0	1519693.0	1522260.0	1518344.0	1563410.0	1531985.0	1518717.0	1832625.0	1439843.0	1432965.0	1482035.0	1292825.0	1050551.0	1564478.0	1498833.0	1480306.0	1502259.0	1568016.0	1598035.0	1510671.0	1259205.0
QinN_2014__HD-36__bin.19	1740231.0	1809311.0	1549246.0	1561732.0	1519170.0	1505522.0	1565553.0	1807596.0	1552863.0	1636822.0	1962486.0	1753187.0	1754418.0	1580094.0	1763323.0	1922332.0	1275169.0	1651767.0	1679194.0	1696835.0	1563510.0	1093843.0	1289153.0	1792479.0	1628493.0	1299609.0	1875539.0	1943538.0	1506461.0	1827748.0	1584053.0	1781763.0	1691350.0	1646433.0	1439843.0	2090730.0	1544744.0	1758066.0	1409329.0	1162916.0	1672548.0	1603137.0	1644852.0	1734801.0	1949832.0	1936663.0	1692774.0	1419702.0
LiJ_2017__nHM410714__bin.27	1504360.0	1570379.0	1524397.0	1540806.0	1529853.0	1312193.0	1518911.0	1635490.0	1504610.0	1614830.0	1682779.0	1645337.0	1622881.0	1549270.0	1600152.0	1642468.0	1280259.0	1628630.0	1625114.0	1618281.0	1519695.0	980474.0	1292919.0	1495516.0	1452156.0	1217105.0	1645684.0	1673168.0	1498213.0	1613824.0	1554450.0	1679467.0	1598167.0	1592228.0	1432965.0	1544744.0	1799387.0	1587365.0	1371194.0	1118919.0	1592771.0	1566548.0	1573201.0	1682227.0	1666901.0	1672883.0	1683190.0	1366924.0
BackhedF_2015__SID172_M__bin.40	1676055.0	1746100.0	1612281.0	1601306.0	1566812.0	1455120.0	1632372.0	1829013.0	1623516.0	1685182.0	1940844.0	1724778.0	1799926.0	1622644.0	1709553.0	1851736.0	1321810.0	1707227.0	1744988.0	1726021.0	1613853.0	1097112.0	1347424.0	1723557.0	1574359.0	1328076.0	1826502.0	1904006.0	1560719.0	1777941.0	1614502.0	1860309.0	1758737.0	1681617.0	1482035.0	1758066.0	1587365.0	2163379.0	1467025.0	1180335.0	1711164.0	1663594.0	1703484.0	1739132.0	1917593.0	1929813.0	1720118.0	1443299.0
