	DavidLA_2015__LD-Run2-22__bin.1	ZeeviD_2015__PNP_Main_443__bin.22	VatanenT_2016__G78887__bin.6	BritoIL_2016__WL.35.ST__bin.11	CM_madagascar__A29_01_1FE__bin.15	BritoIL_2016__W2.35.ST__bin.26	LiuW_2016__SRR3993055__bin.131	DavidLA_2015__LD-Run2-12__bin.11	CM_madagascar__A75_02_1FE__bin.76	ZeeviD_2015__PNP_Main_213__bin.65	QinN_2014__HD-62__bin.43	LeChatelierE_2013__MH0126__bin.42	CosteaPI_2017__SID713A023-11-90-0__bin.81	QinN_2014__HD-60__bin.35	BackhedF_2015__SID577_12M__bin.7	ZeeviD_2015__PNP_Main_379__bin.11	NielsenHB_2014__MH0126__bin.29	RampelliS_2015__H16__bin.38	YuJ_2015__SZAXPI015215-20__bin.66	CosteaPI_2017__SID713B026-11-0-0__bin.34	QinJ_2012__T2D-006__bin.30	NielsenHB_2014__V1_UC21_0__bin.11	CosteaPI_2017__SID713A051-11-0-0__bin.32	CosteaPI_2017__SID713B026-11-90-0__bin.4	CM_madagascar__V07_01_2FE__bin.6	NielsenHB_2014__V1_UC21_4__bin.66	DavidLA_2015__LD-Run2-29__bin.1
NielsenHB_2014__MH0126__bin.29	29788.0	43946.0	36916.0	43200.0	57944.0	33463.0	42410.0	25897.0	54849.0	43909.0	44887.0	3430.0	36927.0	58741.0	45682.0	37466.0	0.0	63624.0	58180.0	48654.0	52096.0	50070.0	37947.0	32085.0	52650.0	40469.0	28692.0
RampelliS_2015__H16__bin.38	35905.0	67868.0	56637.0	52634.0	70553.0	40953.0	64416.0	30102.0	64483.0	61711.0	59026.0	66687.0	62531.0	73545.0	74866.0	62906.0	63624.0	0.0	77421.0	74599.0	64372.0	73326.0	54168.0	47214.0	64767.0	56287.0	34110.0
YuJ_2015__SZAXPI015215-20__bin.66	32608.0	66563.0	56063.0	56491.0	76624.0	47291.0	69305.0	33324.0	62072.0	54530.0	61594.0	62562.0	59429.0	52223.0	74808.0	62620.0	58180.0	77421.0	0.0	75259.0	43321.0	73968.0	47823.0	42380.0	67326.0	54153.0	32429.0
CosteaPI_2017__SID713B026-11-0-0__bin.34	36187.0	58756.0	46218.0	48118.0	74889.0	41704.0	56704.0	29569.0	64805.0	53807.0	58607.0	51672.0	50003.0	68164.0	59072.0	47698.0	48654.0	74599.0	75259.0	0.0	60749.0	61576.0	45621.0	771.0	62970.0	47373.0	32829.0
QinJ_2012__T2D-006__bin.30	30333.0	55298.0	48551.0	42728.0	63609.0	35598.0	57575.0	26887.0	52317.0	51911.0	51202.0	54664.0	49916.0	36038.0	61724.0	49899.0	52096.0	64372.0	43321.0	60749.0	0.0	61708.0	45187.0	37480.0	55691.0	48946.0	27784.0
NielsenHB_2014__V1_UC21_0__bin.11	36391.0	56599.0	40786.0	50832.0	70494.0	41695.0	49453.0	31321.0	62792.0	53084.0	58872.0	52162.0	47364.0	69454.0	55240.0	47299.0	50070.0	73326.0	73968.0	61576.0	61708.0	0.0	42671.0	37574.0	61969.0	726.0	33470.0
CosteaPI_2017__SID713A051-11-0-0__bin.32	26228.0	41753.0	32501.0	35232.0	51890.0	18441.0	40611.0	20526.0	47285.0	37621.0	37554.0	38469.0	34137.0	49308.0	43634.0	36145.0	37947.0	54168.0	47823.0	45621.0	45187.0	42671.0	0.0	38088.0	44703.0	43381.0	23778.0
CosteaPI_2017__SID713B026-11-90-0__bin.4	24367.0	34696.0	29740.0	30359.0	46088.0	17817.0	37235.0	17883.0	41042.0	32631.0	32009.0	32165.0	30055.0	42364.0	36291.0	28530.0	32085.0	47214.0	42380.0	771.0	37480.0	37574.0	38088.0	0.0	39716.0	38171.0	21170.0
CM_madagascar__V07_01_2FE__bin.6	30760.0	59893.0	49874.0	44283.0	55129.0	35138.0	55338.0	24453.0	50451.0	54379.0	46953.0	55036.0	53728.0	63158.0	62544.0	52456.0	52650.0	64767.0	67326.0	62970.0	55691.0	61969.0	44703.0	39716.0	0.0	46674.0	29017.0
NielsenHB_2014__V1_UC21_4__bin.66	29225.0	43622.0	31824.0	38760.0	54347.0	23990.0	38993.0	22925.0	46892.0	38488.0	43349.0	40922.0	35796.0	51922.0	42736.0	35534.0	40469.0	56287.0	54153.0	47373.0	48946.0	726.0	43381.0	38171.0	46674.0	0.0	26552.0
DavidLA_2015__LD-Run2-29__bin.1	15966.0	31993.0	28216.0	23405.0	30662.0	16855.0	28358.0	13026.0	28170.0	29693.0	23364.0	29531.0	26258.0	29266.0	31328.0	27070.0	28692.0	34110.0	32429.0	32829.0	27784.0	33470.0	23778.0	21170.0	29017.0	26552.0	0.0
