	DavidLA_2015__LD-Run2-22__bin.1	ZeeviD_2015__PNP_Main_443__bin.22	VatanenT_2016__G78887__bin.6	BritoIL_2016__WL.35.ST__bin.11	CM_madagascar__A29_01_1FE__bin.15	BritoIL_2016__W2.35.ST__bin.26	LiuW_2016__SRR3993055__bin.131	DavidLA_2015__LD-Run2-12__bin.11	CM_madagascar__A75_02_1FE__bin.76	ZeeviD_2015__PNP_Main_213__bin.65	QinN_2014__HD-62__bin.43	LeChatelierE_2013__MH0126__bin.42	CosteaPI_2017__SID713A023-11-90-0__bin.81	QinN_2014__HD-60__bin.35	BackhedF_2015__SID577_12M__bin.7	ZeeviD_2015__PNP_Main_379__bin.11	NielsenHB_2014__MH0126__bin.29	RampelliS_2015__H16__bin.38	YuJ_2015__SZAXPI015215-20__bin.66	CosteaPI_2017__SID713B026-11-0-0__bin.34	QinJ_2012__T2D-006__bin.30	NielsenHB_2014__V1_UC21_0__bin.11	CosteaPI_2017__SID713A051-11-0-0__bin.32	CosteaPI_2017__SID713B026-11-90-0__bin.4	CM_madagascar__V07_01_2FE__bin.6	NielsenHB_2014__V1_UC21_4__bin.66	DavidLA_2015__LD-Run2-29__bin.1
QinN_2014__HD-62__bin.43	1043802.0	1739390.0	1468380.0	1444494.0	2004960.0	1483083.0	1542106.0	1014547.0	1543162.0	1409726.0	2516787.0	1541470.0	1504919.0	1975266.0	1915523.0	1653407.0	1423607.0	1884795.0	1789283.0	1983852.0	1674945.0	1831813.0	1176175.0	1017213.0	1740417.0	1241073.0	1063250.0
LeChatelierE_2013__MH0126__bin.42	1159342.0	1849791.0	1610528.0	1574854.0	1999516.0	1216023.0	1646761.0	1023003.0	1630202.0	1625252.0	1541470.0	3057780.0	1669643.0	1996013.0	2115797.0	1758507.0	2525878.0	1985145.0	1795093.0	2158488.0	1720683.0	2086206.0	1523579.0	1340915.0	1749891.0	1579668.0	1157309.0
CosteaPI_2017__SID713A023-11-90-0__bin.81	1027550.0	1770666.0	1510266.0	1488488.0	1929059.0	1186595.0	1587673.0	981929.0	1523227.0	1507341.0	1504919.0	1669643.0	2721450.0	1901006.0	1996697.0	1728992.0	1604152.0	1858329.0	1703606.0	1996502.0	1619602.0	1881432.0	1292687.0	1151312.0	1712183.0	1330872.0	1105662.0
QinN_2014__HD-60__bin.35	1319824.0	2086611.0	1791306.0	1867724.0	2395279.0	1578416.0	1879196.0	1197969.0	1876438.0	1779138.0	1975266.0	1996013.0	1901006.0	3258701.0	2355076.0	1999189.0	1871696.0	2264619.0	2405980.0	2367156.0	2264956.0	2232886.0	1628186.0	1375062.0	2118921.0	1608021.0	1337975.0
BackhedF_2015__SID577_12M__bin.7	1283668.0	2177926.0	1896816.0	1859597.0	2365751.0	1478278.0	1963531.0	1199020.0	1894725.0	1813538.0	1915523.0	2115797.0	1996697.0	2355076.0	3297978.0	2132867.0	1984522.0	2300625.0	2266235.0	2446800.0	2088824.0	2356309.0	1743064.0	1448188.0	2068471.0	1716441.0	1347636.0
ZeeviD_2015__PNP_Main_379__bin.11	1068477.0	1904432.0	1555587.0	1702563.0	1996877.0	1326149.0	1624495.0	1111096.0	1658188.0	1521697.0	1653407.0	1758507.0	1728992.0	1999189.0	2132867.0	2663020.0	1658163.0	1945180.0	1863162.0	2078316.0	1651501.0	1973073.0	1394823.0	1180202.0	1806766.0	1409576.0	1191443.0
NielsenHB_2014__MH0126__bin.29	1091985.0	1728208.0	1517247.0	1486848.0	1879376.0	1107655.0	1545659.0	971268.0	1536444.0	1545662.0	1423607.0	2525878.0	1604152.0	1871696.0	1984522.0	1658163.0	2897014.0	1893771.0	1668945.0	2016355.0	1630603.0	1971402.0	1459963.0	1306870.0	1646971.0	1496117.0	1114319.0
RampelliS_2015__H16__bin.38	1243673.0	1992404.0	1787342.0	1753010.0	2350802.0	1448345.0	1839355.0	1154042.0	1844631.0	1703987.0	1884795.0	1985145.0	1858329.0	2264619.0	2300625.0	1945180.0	1893771.0	3139851.0	2094457.0	2313223.0	1969559.0	2221802.0	1559744.0	1369074.0	2090014.0	1601804.0	1334214.0
YuJ_2015__SZAXPI015215-20__bin.66	1188381.0	1923643.0	1656343.0	1694284.0	2204134.0	1400335.0	1814443.0	1147874.0	1703257.0	1624957.0	1789283.0	1795093.0	1703606.0	2405980.0	2266235.0	1863162.0	1668945.0	2094457.0	3051885.0	2210253.0	2128775.0	2095099.0	1420610.0	1256817.0	1908404.0	1495080.0	1253336.0
CosteaPI_2017__SID713B026-11-0-0__bin.34	1390848.0	2296615.0	1988248.0	1797294.0	2506227.0	1545929.0	2059147.0	1256254.0	1909758.0	1860233.0	1983852.0	2158488.0	1996502.0	2367156.0	2446800.0	2078316.0	2016355.0	2313223.0	2210253.0	3487413.0	2049168.0	2555492.0	1732621.0	2004949.0	2152633.0	1897395.0	1384244.0
QinJ_2012__T2D-006__bin.30	1183621.0	1795741.0	1595701.0	1536729.0	2070521.0	1269429.0	1618791.0	1051577.0	1572164.0	1565936.0	1674945.0	1720683.0	1619602.0	2264956.0	2088824.0	1651501.0	1630603.0	1969559.0	2128775.0	2049168.0	2910918.0	1970458.0	1440191.0	1226210.0	1813936.0	1445314.0	1191382.0
NielsenHB_2014__V1_UC21_0__bin.11	1335505.0	2234565.0	2018905.0	1719791.0	2297954.0	1409162.0	1950949.0	1189595.0	1810458.0	1791800.0	1831813.0	2086206.0	1881432.0	2232886.0	2356309.0	1973073.0	1971402.0	2221802.0	2095099.0	2555492.0	1970458.0	3248666.0	1672432.0	1563502.0	2024855.0	2310441.0	1355147.0
CosteaPI_2017__SID713A051-11-0-0__bin.32	984012.0	1492678.0	1331686.0	1198883.0	1664685.0	646553.0	1302799.0	751760.0	1309134.0	1253276.0	1176175.0	1523579.0	1292687.0	1628186.0	1743064.0	1394823.0	1459963.0	1559744.0	1420610.0	1732621.0	1440191.0	1672432.0	2298915.0	1448171.0	1417126.0	1651693.0	958164.0
CosteaPI_2017__SID713B026-11-90-0__bin.4	929219.0	1325137.0	1242941.0	1061403.0	1492037.0	585567.0	1259275.0	707954.0	1135872.0	1142659.0	1017213.0	1340915.0	1151312.0	1375062.0	1448188.0	1180202.0	1306870.0	1369074.0	1256817.0	2004949.0	1226210.0	1563502.0	1448171.0	2046337.0	1299113.0	1543577.0	877916.0
CM_madagascar__V07_01_2FE__bin.6	1207715.0	1877796.0	1679629.0	1647311.0	2272726.0	1367424.0	1736646.0	1131194.0	1803663.0	1566295.0	1740417.0	1749891.0	1712183.0	2118921.0	2068471.0	1806766.0	1646971.0	2090014.0	1908404.0	2152633.0	1813936.0	2024855.0	1417126.0	1299113.0	2883427.0	1455534.0	1268406.0
NielsenHB_2014__V1_UC21_4__bin.66	1068606.0	1636832.0	1547567.0	1198222.0	1686833.0	726530.0	1448639.0	814883.0	1295554.0	1316676.0	1241073.0	1579668.0	1330872.0	1608021.0	1716441.0	1409576.0	1496117.0	1601804.0	1495080.0	1897395.0	1445314.0	2310441.0	1651693.0	1543577.0	1455534.0	2448335.0	1040665.0
DavidLA_2015__LD-Run2-29__bin.1	935047.0	1259629.0	1141853.0	1121186.0	1372697.0	805003.0	1117206.0	832829.0	1135763.0	1123077.0	1063250.0	1157309.0	1105662.0	1337975.0	1347636.0	1191443.0	1114319.0	1334214.0	1253336.0	1384244.0	1191382.0	1355147.0	958164.0	877916.0	1268406.0	1040665.0	1584165.0
