	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.66	LiuW_2016__SRR3993051__bin.12	CosteaPI_2017__SID713A005-11-0-0__bin.24	LeChatelierE_2013__MH0206__bin.92	RaymondF_2016__P14E90__bin.90	LeChatelierE_2013__MH0426__bin.90	LiuW_2016__SRR3992993__bin.34	ZeeviD_2015__PNP_Validation_13__bin.64	CM_madagascar__A92_01_1FE__bin.26	ZellerG_2014__CCMD86114146ST-21-0__bin.46	LiuW_2016__SRR3992961__bin.131	LiJ_2014__O2.UC29-1__bin.33	ZeeviD_2015__PNP_Main_574__bin.40	LiJ_2014__MH0385__bin.27	CM_madagascar__V18_02_1FE__bin.25	RampelliS_2015__H21__bin.29	ZeeviD_2015__PNP_Main_469__bin.24	CosteaPI_2017__SID713B033-11-0-0__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES16__bin.106	LiJ_2014__MH0390__bin.69	CM_madagascar__A81_03_1FE__bin.39	CM_madagascar__A08_01_1FE__bin.40	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.125	XieH_2016__YSZC12003_35980__bin.31	LeChatelierE_2013__MH0431__bin.56	LeChatelierE_2013__MH0193__bin.19	QinN_2014__HD-18__bin.42
LiuW_2016__SRR3992961__bin.131	36749.0	29546.0	29054.0	36228.0	20601.0	38429.0	31625.0	20685.0	16308.0	23829.0	0.0	38164.0	16415.0	16395.0	39263.0	33584.0	26176.0	17550.0	25400.0	27798.0	28677.0	41138.0	16549.0	29360.0	41217.0	35365.0	27527.0
LiJ_2014__O2.UC29-1__bin.33	40371.0	35288.0	38480.0	25633.0	23105.0	39833.0	31696.0	26229.0	33439.0	28272.0	38164.0	0.0	33242.0	30848.0	26950.0	40285.0	29821.0	35977.0	38517.0	41491.0	28838.0	25939.0	17519.0	39792.0	27232.0	38072.0	39128.0
ZeeviD_2015__PNP_Main_574__bin.40	30563.0	22851.0	22478.0	30695.0	17349.0	30864.0	26001.0	14196.0	9268.0	20088.0	16415.0	33242.0	0.0	8459.0	35964.0	25762.0	22057.0	12098.0	16173.0	19423.0	24405.0	36171.0	13349.0	23081.0	35824.0	29395.0	16701.0
LiJ_2014__MH0385__bin.27	31437.0	22838.0	23280.0	29037.0	17615.0	29606.0	24769.0	15270.0	9646.0	20438.0	16395.0	30848.0	8459.0	0.0	32742.0	26150.0	22465.0	13743.0	16772.0	19421.0	23828.0	32647.0	16155.0	21989.0	33566.0	27884.0	18047.0
CM_madagascar__V18_02_1FE__bin.25	41496.0	36401.0	38341.0	24159.0	23282.0	40778.0	31986.0	27433.0	34599.0	28798.0	39263.0	26950.0	35964.0	32742.0	0.0	40502.0	30456.0	37170.0	40217.0	43007.0	28840.0	7900.0	17818.0	41382.0	17279.0	39355.0	40554.0
RampelliS_2015__H21__bin.29	40277.0	32013.0	30626.0	36472.0	21059.0	37888.0	32547.0	23874.0	25518.0	23405.0	33584.0	40285.0	25762.0	26150.0	40502.0	0.0	28304.0	32487.0	31228.0	33239.0	29989.0	40673.0	17623.0	31245.0	41936.0	35601.0	34002.0
ZeeviD_2015__PNP_Main_469__bin.24	30604.0	24075.0	24047.0	28633.0	17559.0	28194.0	24037.0	19256.0	20852.0	19979.0	26176.0	29821.0	22057.0	22465.0	30456.0	28304.0	0.0	26448.0	24595.0	28145.0	22761.0	29930.0	14506.0	25692.0	31659.0	27646.0	26268.0
CosteaPI_2017__SID713B033-11-0-0__bin.38	35455.0	27760.0	25912.0	34387.0	21116.0	35036.0	28586.0	16901.0	12473.0	23301.0	17550.0	35977.0	12098.0	13743.0	37170.0	32487.0	26448.0	0.0	19116.0	24012.0	26869.0	37396.0	16432.0	26806.0	38827.0	32665.0	23109.0
Bengtsson-PalmeJ_2015__TRAVELRES16__bin.106	36225.0	26492.0	27063.0	33920.0	19803.0	37368.0	31964.0	14877.0	17952.0	24372.0	25400.0	38517.0	16173.0	16772.0	40217.0	31228.0	24595.0	19116.0	0.0	24251.0	28297.0	40078.0	16589.0	26497.0	39908.0	33986.0	20527.0
LiJ_2014__MH0390__bin.69	38469.0	28695.0	29148.0	36967.0	20964.0	38817.0	32802.0	20104.0	20181.0	25155.0	27798.0	41491.0	19423.0	19421.0	43007.0	33239.0	28145.0	24012.0	24251.0	0.0	29408.0	42663.0	16405.0	30332.0	44267.0	36644.0	24865.0
CM_madagascar__A81_03_1FE__bin.39	26738.0	25847.0	27324.0	25312.0	17394.0	30372.0	24474.0	19471.0	24819.0	21725.0	28677.0	28838.0	24405.0	23828.0	28840.0	29989.0	22761.0	26869.0	28297.0	29408.0	0.0	27767.0	12986.0	28961.0	31120.0	29941.0	29455.0
CM_madagascar__A08_01_1FE__bin.40	41443.0	36519.0	38297.0	24710.0	22900.0	41453.0	33787.0	28350.0	34945.0	28288.0	41138.0	25939.0	36171.0	32647.0	7900.0	40673.0	29930.0	37396.0	40078.0	42663.0	27767.0	0.0	17823.0	41297.0	18695.0	37987.0	41824.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.125	706.0	13530.0	16064.0	17566.0	10568.0	19722.0	15626.0	12290.0	13156.0	13085.0	16549.0	17519.0	13349.0	16155.0	17818.0	17623.0	14506.0	16432.0	16589.0	16405.0	12986.0	17823.0	0.0	16418.0	20497.0	17450.0	16889.0
XieH_2016__YSZC12003_35980__bin.31	37998.0	27392.0	25639.0	37048.0	18694.0	36454.0	31463.0	21794.0	23117.0	23427.0	29360.0	39792.0	23081.0	21989.0	41382.0	31245.0	25692.0	26806.0	26497.0	30332.0	28961.0	41297.0	16418.0	0.0	42232.0	35275.0	27177.0
LeChatelierE_2013__MH0431__bin.56	43773.0	36958.0	40106.0	28391.0	23822.0	43121.0	34440.0	29114.0	35859.0	29087.0	41217.0	27232.0	35824.0	33566.0	17279.0	41936.0	31659.0	38827.0	39908.0	44267.0	31120.0	18695.0	20497.0	42232.0	0.0	40139.0	42592.0
LeChatelierE_2013__MH0193__bin.19	37751.0	31578.0	33736.0	34717.0	20783.0	30984.0	31166.0	24773.0	31673.0	26633.0	35365.0	38072.0	29395.0	27884.0	39355.0	35601.0	27646.0	32665.0	33986.0	36644.0	29941.0	37987.0	17450.0	35275.0	40139.0	0.0	34865.0
QinN_2014__HD-18__bin.42	37232.0	28813.0	28016.0	35792.0	21619.0	37639.0	32587.0	17833.0	18501.0	24867.0	27527.0	39128.0	16701.0	18047.0	40554.0	34002.0	26268.0	23109.0	20527.0	24865.0	29455.0	41824.0	16889.0	27177.0	42592.0	34865.0	0.0
