	CosteaPI_2017__mickey2-11-30-0__bin.23	XieH_2016__YSZC12003_35390__bin.65	XieH_2016__YSZC12003_36012__bin.90	XieH_2016__YSZC12003_37223__bin.19	LiJ_2014__MH0281__bin.37	VincentC_2016__MM029.2__bin.22	ZeeviD_2015__PNP_Main_223__bin.35	RaymondF_2016__P23C0__bin.66	CosteaPI_2017__SID713A052-11-0-0__bin.79	ZellerG_2014__CCIS78318719ST-4-0__bin.27	RaymondF_2016__P21E90__bin.74	XieH_2016__YSZC12003_36454__bin.8	XieH_2016__YSZC12003_35706__bin.14	SchirmerM_2016__G88898__bin.12	NielsenHB_2014__V1_UC35_4__bin.76	XieH_2016__YSZC12003_37255__bin.62	LiJ_2014__V1.FI17__bin.48	ZeeviD_2015__PNP_Main_135__bin.63	ZellerG_2014__CCIS24254057ST-4-0__bin.8	LiJ_2014__MH0268__bin.17	FengQ_2015__SID31275__bin.62	FerrettiP_2018__CA_C10049MS2850FE_t0M16__bin.4	HMP_2012__SRS065504__bin.42	HMP_2012__SRS014979__bin.46	VincentC_2016__MM029.3__bin.27	FengQ_2015__SID530373__bin.31	XieH_2016__YSZC12003_37209__bin.34	ZellerG_2014__CCIS90166425ST-4-0__bin.14	LiJ_2014__V1.CD6-0-PT__bin.57	LouisS_2016__AS43_3__bin.45	LiJ_2014__V1.FI04__bin.26	XieH_2016__YSZC12003_37254__bin.23	ZeeviD_2015__PNP_Main_716__bin.5	LiJ_2014__MH0354__bin.37	NielsenHB_2014__O2_UC24_2__bin.37
LiJ_2014__V1.FI17__bin.48	29685.0	31833.0	29828.0	32514.0	30558.0	29452.0	18353.0	31392.0	32680.0	41467.0	40779.0	27048.0	30367.0	17350.0	32295.0	27929.0	0.0	31973.0	33245.0	20562.0	29826.0	26455.0	21712.0	28799.0	29565.0	31265.0	21913.0	41511.0	29571.0	27386.0	29860.0	31853.0	32792.0	32663.0	43306.0
ZeeviD_2015__PNP_Main_135__bin.63	31832.0	34770.0	31640.0	34654.0	29309.0	30082.0	18833.0	33237.0	33787.0	41288.0	41858.0	29707.0	31021.0	19200.0	30379.0	29054.0	31973.0	0.0	32275.0	20540.0	28824.0	27445.0	21434.0	31419.0	30623.0	34242.0	22091.0	43574.0	34419.0	30283.0	31875.0	29138.0	31520.0	30635.0	40674.0
ZellerG_2014__CCIS24254057ST-4-0__bin.8	31662.0	33883.0	33105.0	34888.0	31578.0	30621.0	18688.0	34535.0	33414.0	43639.0	41384.0	30061.0	32343.0	19797.0	33940.0	29338.0	33245.0	32275.0	0.0	21350.0	31518.0	30096.0	23430.0	31803.0	31286.0	35395.0	23023.0	43152.0	33086.0	30455.0	33044.0	32216.0	33997.0	17747.0	44351.0
LiJ_2014__MH0268__bin.17	22120.0	20899.0	21116.0	23757.0	19818.0	20738.0	14636.0	20364.0	22920.0	27393.0	25967.0	20754.0	20329.0	14196.0	22159.0	18709.0	20562.0	20540.0	21350.0	0.0	21609.0	20129.0	17320.0	21740.0	20624.0	21895.0	16111.0	27243.0	21804.0	20928.0	22168.0	22565.0	23447.0	20930.0	26698.0
FengQ_2015__SID31275__bin.62	33045.0	30695.0	30283.0	33824.0	30177.0	30354.0	18646.0	30680.0	32306.0	41528.0	38955.0	29828.0	29202.0	19697.0	33243.0	27613.0	29826.0	28824.0	31518.0	21609.0	0.0	29056.0	21860.0	30385.0	30586.0	33354.0	22862.0	40745.0	31976.0	29018.0	31855.0	30993.0	32469.0	31121.0	40254.0
FerrettiP_2018__CA_C10049MS2850FE_t0M16__bin.4	29900.0	29569.0	28536.0	32439.0	15686.0	28103.0	17724.0	30452.0	31615.0	41369.0	37492.0	27358.0	16635.0	16068.0	30695.0	25792.0	26455.0	27445.0	30096.0	20129.0	29056.0	0.0	22184.0	32291.0	29071.0	29595.0	13068.0	41151.0	29682.0	27793.0	27965.0	29027.0	30552.0	29112.0	37444.0
HMP_2012__SRS065504__bin.42	22106.0	21895.0	22827.0	24381.0	22788.0	21692.0	14413.0	21702.0	22234.0	29223.0	27426.0	20877.0	21960.0	14430.0	22591.0	20439.0	21712.0	21434.0	23430.0	17320.0	21860.0	22184.0	0.0	15557.0	21608.0	22976.0	18509.0	30363.0	21894.0	23384.0	24720.0	23240.0	23867.0	23775.0	30643.0
HMP_2012__SRS014979__bin.46	31930.0	32528.0	31275.0	33884.0	30119.0	29205.0	18376.0	31995.0	33075.0	42075.0	37012.0	28556.0	31854.0	18562.0	32260.0	28312.0	28799.0	31419.0	31803.0	21740.0	30385.0	32291.0	15557.0	0.0	30284.0	33797.0	23823.0	40833.0	32330.0	32085.0	32022.0	33415.0	33802.0	31056.0	42311.0
VincentC_2016__MM029.3__bin.27	31226.0	31319.0	28289.0	34682.0	30079.0	3686.0	18627.0	27612.0	32829.0	42108.0	37173.0	29793.0	29555.0	18846.0	32577.0	27764.0	29565.0	30623.0	31286.0	20624.0	30586.0	29071.0	21608.0	30284.0	0.0	32155.0	22627.0	42249.0	31687.0	27891.0	30473.0	31141.0	34907.0	29997.0	43798.0
FengQ_2015__SID530373__bin.31	35709.0	35523.0	32710.0	37052.0	30470.0	31377.0	19313.0	36207.0	36804.0	45746.0	42984.0	32999.0	32553.0	19397.0	35478.0	28561.0	31265.0	34242.0	35395.0	21895.0	33354.0	29595.0	22976.0	33797.0	32155.0	0.0	23340.0	44612.0	35520.0	30974.0	32601.0	33176.0	34833.0	33418.0	44982.0
XieH_2016__YSZC12003_37209__bin.34	23790.0	23248.0	22419.0	24717.0	10477.0	22772.0	15606.0	23119.0	23571.0	30147.0	28757.0	21374.0	6642.0	14120.0	22850.0	20546.0	21913.0	22091.0	23023.0	16111.0	22862.0	13068.0	18509.0	23823.0	22627.0	23340.0	0.0	31152.0	23583.0	21653.0	23101.0	22259.0	23174.0	22905.0	29421.0
ZellerG_2014__CCIS90166425ST-4-0__bin.14	32846.0	46057.0	42117.0	32058.0	42137.0	40912.0	25101.0	41985.0	45605.0	53298.0	33055.0	34010.0	42650.0	25602.0	42508.0	39524.0	41511.0	43574.0	43152.0	27243.0	40745.0	41151.0	30363.0	40833.0	42249.0	44612.0	31152.0	0.0	33501.0	41396.0	40557.0	43892.0	42165.0	40402.0	46742.0
LiJ_2014__V1.CD6-0-PT__bin.57	13270.0	35709.0	31587.0	20654.0	30998.0	30783.0	14050.0	34765.0	35630.0	45762.0	40860.0	20614.0	32557.0	13528.0	33979.0	29204.0	29571.0	34419.0	33086.0	21804.0	31976.0	29682.0	21894.0	32330.0	31687.0	35520.0	23583.0	33501.0	0.0	30857.0	31684.0	31864.0	34852.0	31474.0	43640.0
LouisS_2016__AS43_3__bin.45	30541.0	32349.0	19954.0	33151.0	27596.0	27362.0	18406.0	31042.0	33231.0	40503.0	38007.0	29798.0	29621.0	16360.0	31035.0	27212.0	27386.0	30283.0	30455.0	20928.0	29018.0	27793.0	23384.0	32085.0	27891.0	30974.0	21653.0	41396.0	30857.0	0.0	20246.0	28553.0	32072.0	31056.0	42861.0
LiJ_2014__V1.FI04__bin.26	30193.0	32607.0	23619.0	33028.0	30120.0	29814.0	19664.0	32875.0	33262.0	42550.0	39757.0	30371.0	30281.0	15409.0	33336.0	28993.0	29860.0	31875.0	33044.0	22168.0	31855.0	27965.0	24720.0	32022.0	30473.0	32601.0	23101.0	40557.0	31684.0	20246.0	0.0	29822.0	34396.0	32215.0	41962.0
XieH_2016__YSZC12003_37254__bin.23	33738.0	33535.0	31972.0	35055.0	29081.0	30964.0	19373.0	33977.0	33202.0	43607.0	40631.0	30925.0	30242.0	19787.0	32855.0	29558.0	31853.0	29138.0	32216.0	22565.0	30993.0	29027.0	23240.0	33415.0	31141.0	33176.0	22259.0	43892.0	31864.0	28553.0	29822.0	0.0	32087.0	31009.0	43233.0
ZeeviD_2015__PNP_Main_716__bin.5	34881.0	33595.0	34032.0	35990.0	30608.0	34365.0	21435.0	33980.0	31621.0	42535.0	40572.0	33085.0	30618.0	21449.0	33260.0	30248.0	32792.0	31520.0	33997.0	23447.0	32469.0	30552.0	23867.0	33802.0	34907.0	34833.0	23174.0	42165.0	34852.0	32072.0	34396.0	32087.0	0.0	32533.0	42228.0
LiJ_2014__MH0354__bin.37	31100.0	30878.0	32256.0	33689.0	31102.0	29411.0	18576.0	32941.0	31353.0	40863.0	40417.0	29674.0	31887.0	19628.0	32453.0	27888.0	32663.0	30635.0	17747.0	20930.0	31121.0	29112.0	23775.0	31056.0	29997.0	33418.0	22905.0	40402.0	31474.0	31056.0	32215.0	31009.0	32533.0	0.0	44288.0
NielsenHB_2014__O2_UC24_2__bin.37	42917.0	45982.0	44102.0	43021.0	38575.0	42324.0	27457.0	41510.0	44638.0	46871.0	43606.0	39540.0	42459.0	28561.0	41995.0	38850.0	43306.0	40674.0	44351.0	26698.0	40254.0	37444.0	30643.0	42311.0	43798.0	44982.0	29421.0	46742.0	43640.0	42861.0	41962.0	43233.0	42228.0	44288.0	0.0
