	HMP_2012__SRS018145__bin.49	Castro-NallarE_2015__ES_110__bin.14	HMP_2012__SRS022530__bin.25	HMP_2012__SRS023958__bin.38	HMP_2012__SRS042643__bin.12	HMP_2012__SRS022719__bin.30	HMP_2012__SRS024081__bin.42	HMP_2012__SRS013164__bin.44	HMP_2012__SRS017808__bin.8	HMP_2012__SRS063288__bin.51	HMP_2012__SRS058336__bin.67	HMP_2012__SRS015797__bin.32	HMP_2012__SRS050669__bin.37	HMP_2012__SRS055378__bin.74	HMP_2012__SRS019127__bin.11	HMP_2012__SRS044373__bin.50	HMP_2012__SRS021496__bin.26	HMP_2012__SRS018439__bin.28	Castro-NallarE_2015__ES_104__bin.19	HMP_2012__SRS053917__bin.2	HMP_2012__SRS016002__bin.63	HMP_2012__SRS057692__bin.47	HMP_2012__SRS023617__bin.25	HMP_2012__SRS014888__bin.28	HMP_2012__SRS019122__bin.50	HMP_2012__SRS016225__bin.17	HMP_2012__SRS042910__bin.25	HMP_2012__SRS024580__bin.29	HMP_2012__SRS014271__bin.14
HMP_2012__SRS050669__bin.37	783757.0	598366.0	759173.0	801798.0	631674.0	787332.0	736165.0	755990.0	679287.0	701417.0	830593.0	782131.0	874454.0	760676.0	799234.0	664689.0	780560.0	814982.0	763647.0	778668.0	721801.0	537203.0	688114.0	756100.0	725103.0	615699.0	815226.0	686681.0	686787.0
HMP_2012__SRS055378__bin.74	772543.0	576765.0	709681.0	802016.0	597979.0	790619.0	704763.0	716710.0	672328.0	688076.0	840787.0	744529.0	760676.0	977427.0	783438.0	623684.0	738791.0	799657.0	748178.0	780147.0	695019.0	517827.0	691435.0	800559.0	679745.0	609386.0	775708.0	660469.0	660083.0
HMP_2012__SRS019127__bin.11	816866.0	597597.0	747219.0	831336.0	630974.0	809215.0	740026.0	746260.0	680343.0	710568.0	824291.0	767353.0	799234.0	783438.0	901407.0	664001.0	771687.0	830017.0	780331.0	804567.0	717572.0	539477.0	698419.0	759223.0	796313.0	621003.0	806007.0	692134.0	684892.0
HMP_2012__SRS044373__bin.50	664321.0	569611.0	675175.0	659877.0	687895.0	675880.0	657900.0	665882.0	731212.0	567258.0	671622.0	691205.0	664689.0	623684.0	664001.0	887305.0	651793.0	660649.0	656124.0	668078.0	672611.0	463823.0	674536.0	646691.0	644588.0	620364.0	658426.0	749190.0	762168.0
HMP_2012__SRS021496__bin.26	761637.0	589719.0	805900.0	781838.0	599556.0	769981.0	715615.0	720639.0	669674.0	735794.0	791984.0	767466.0	780560.0	738791.0	771687.0	651793.0	912078.0	788472.0	755448.0	760611.0	694151.0	511929.0	680211.0	730903.0	700082.0	609343.0	776159.0	674728.0	674679.0
HMP_2012__SRS018439__bin.28	819458.0	605362.0	764435.0	838292.0	623287.0	822652.0	739000.0	757707.0	691700.0	733173.0	848756.0	780524.0	814982.0	799657.0	830017.0	660649.0	788472.0	902031.0	788166.0	811797.0	721637.0	536062.0	715797.0	770869.0	731485.0	624637.0	826801.0	696876.0	695543.0
Castro-NallarE_2015__ES_104__bin.19	758722.0	571982.0	729116.0	803066.0	623262.0	771605.0	708144.0	719159.0	654129.0	688701.0	789042.0	760697.0	763647.0	748178.0	780331.0	656124.0	755448.0	788166.0	916588.0	762300.0	686729.0	508235.0	668771.0	740232.0	693891.0	598556.0	765356.0	673732.0	689751.0
HMP_2012__SRS053917__bin.2	789801.0	601384.0	739120.0	810328.0	615907.0	925420.0	733372.0	734360.0	669911.0	712789.0	821538.0	759253.0	778668.0	780147.0	804567.0	668078.0	760611.0	811797.0	762300.0	932026.0	691357.0	522445.0	692717.0	748715.0	705163.0	613849.0	794137.0	684027.0	691129.0
HMP_2012__SRS016002__bin.63	708720.0	540917.0	733309.0	712135.0	610860.0	699796.0	702154.0	715005.0	688070.0	614423.0	760034.0	727478.0	721801.0	695019.0	717572.0	672611.0	694151.0	721637.0	686729.0	691357.0	818617.0	495289.0	629587.0	721854.0	699145.0	568702.0	711725.0	669641.0	672636.0
HMP_2012__SRS057692__bin.47	550051.0	419505.0	506614.0	529562.0	438101.0	528508.0	492824.0	502241.0	474802.0	525159.0	538309.0	528560.0	537203.0	517827.0	539477.0	463823.0	511929.0	536062.0	508235.0	522445.0	495289.0	578779.0	482674.0	517246.0	489336.0	443251.0	530800.0	474182.0	476712.0
HMP_2012__SRS023617__bin.25	696890.0	624153.0	655572.0	704279.0	641100.0	700508.0	645896.0	638344.0	708182.0	623897.0	736217.0	664615.0	688114.0	691435.0	698419.0	674536.0	680211.0	715797.0	668771.0	692717.0	629587.0	482674.0	864833.0	660513.0	621107.0	664272.0	699500.0	703797.0	699733.0
HMP_2012__SRS014888__bin.28	747808.0	566621.0	734653.0	771780.0	628472.0	760228.0	724545.0	731522.0	691934.0	656380.0	795182.0	757565.0	756100.0	800559.0	759223.0	646691.0	730903.0	770869.0	740232.0	748715.0	721854.0	517246.0	660513.0	867741.0	704609.0	595009.0	755199.0	682823.0	686212.0
HMP_2012__SRS019122__bin.50	724782.0	526946.0	729565.0	732768.0	609122.0	713168.0	718271.0	724378.0	661383.0	614529.0	729163.0	729032.0	725103.0	679745.0	796313.0	644588.0	700082.0	731485.0	693891.0	705163.0	699145.0	489336.0	621107.0	704609.0	802573.0	555381.0	720835.0	671824.0	663564.0
HMP_2012__SRS016225__bin.17	610163.0	542520.0	592133.0	616326.0	594714.0	628670.0	570373.0	586039.0	640292.0	553740.0	661715.0	614016.0	615699.0	609386.0	621003.0	620364.0	609343.0	624637.0	598556.0	613849.0	568702.0	443251.0	664272.0	595009.0	555381.0	830776.0	615964.0	633770.0	649270.0
HMP_2012__SRS042910__bin.25	789499.0	598996.0	752766.0	816353.0	622629.0	804983.0	732467.0	776696.0	677649.0	708436.0	838450.0	788959.0	815226.0	775708.0	806007.0	658426.0	776159.0	826801.0	765356.0	794137.0	711725.0	530800.0	699500.0	755199.0	720835.0	615964.0	877850.0	686346.0	685908.0
HMP_2012__SRS024580__bin.29	681154.0	585861.0	707642.0	690992.0	714674.0	693317.0	701427.0	695939.0	760263.0	601675.0	706164.0	703827.0	686681.0	660469.0	692134.0	749190.0	674728.0	696876.0	673732.0	684027.0	669641.0	474182.0	703797.0	682823.0	671824.0	633770.0	686346.0	880066.0	786296.0
HMP_2012__SRS014271__bin.14	680559.0	583324.0	705038.0	690145.0	735442.0	700025.0	693581.0	708604.0	763545.0	600597.0	705295.0	722452.0	686787.0	660083.0	684892.0	762168.0	674679.0	695543.0	689751.0	691129.0	672636.0	476712.0	699733.0	686212.0	663564.0	649270.0	685908.0	786296.0	883399.0
