	HMP_2012__SRS018145__bin.49	Castro-NallarE_2015__ES_110__bin.14	HMP_2012__SRS022530__bin.25	HMP_2012__SRS023958__bin.38	HMP_2012__SRS042643__bin.12	HMP_2012__SRS022719__bin.30	HMP_2012__SRS024081__bin.42	HMP_2012__SRS013164__bin.44	HMP_2012__SRS017808__bin.8	HMP_2012__SRS063288__bin.51	HMP_2012__SRS058336__bin.67	HMP_2012__SRS015797__bin.32	HMP_2012__SRS050669__bin.37	HMP_2012__SRS055378__bin.74	HMP_2012__SRS019127__bin.11	HMP_2012__SRS044373__bin.50	HMP_2012__SRS021496__bin.26	HMP_2012__SRS018439__bin.28	Castro-NallarE_2015__ES_104__bin.19	HMP_2012__SRS053917__bin.2	HMP_2012__SRS016002__bin.63	HMP_2012__SRS057692__bin.47	HMP_2012__SRS023617__bin.25	HMP_2012__SRS014888__bin.28	HMP_2012__SRS019122__bin.50	HMP_2012__SRS016225__bin.17	HMP_2012__SRS042910__bin.25	HMP_2012__SRS024580__bin.29	HMP_2012__SRS014271__bin.14
Castro-NallarE_2015__ES_104__bin.19	25137.0	22166.0	24566.0	10967.0	26421.0	31126.0	29276.0	24265.0	28967.0	22759.0	26415.0	25630.0	25850.0	23385.0	26334.0	29517.0	24956.0	25606.0	0.0	30665.0	23226.0	15690.0	27239.0	23222.0	23948.0	23980.0	25016.0	28982.0	30420.0
HMP_2012__SRS053917__bin.2	33327.0	26031.0	31434.0	32684.0	28952.0	403.0	27110.0	30840.0	30986.0	30060.0	35155.0	32674.0	33249.0	31305.0	33573.0	32646.0	32010.0	32984.0	30665.0	0.0	30150.0	21546.0	30968.0	30803.0	29857.0	27741.0	32762.0	32751.0	32711.0
HMP_2012__SRS016002__bin.63	23468.0	21700.0	24990.0	24228.0	26339.0	30653.0	29700.0	23881.0	31213.0	21292.0	22175.0	23545.0	23719.0	24498.0	22741.0	29726.0	23568.0	24310.0	23226.0	30150.0	0.0	16262.0	26771.0	25466.0	22338.0	24003.0	23060.0	29927.0	29505.0
HMP_2012__SRS057692__bin.47	122.0	16272.0	17118.0	15939.0	19318.0	21619.0	19925.0	15884.0	20229.0	17137.0	16599.0	16763.0	17222.0	16297.0	14587.0	20409.0	16424.0	16984.0	15690.0	21546.0	16262.0	0.0	19575.0	15914.0	13179.0	17235.0	16266.0	19580.0	20020.0
HMP_2012__SRS023617__bin.25	29167.0	10538.0	27517.0	27989.0	23648.0	31132.0	29206.0	26372.0	25895.0	25453.0	29505.0	27625.0	28003.0	27259.0	28500.0	24780.0	27669.0	28923.0	27239.0	30968.0	26771.0	19575.0	0.0	26546.0	25932.0	20157.0	27741.0	25207.0	24955.0
HMP_2012__SRS014888__bin.28	24372.0	21778.0	24478.0	23468.0	27417.0	31088.0	29806.0	23953.0	30438.0	21385.0	26594.0	24217.0	24664.0	2009.0	25315.0	28388.0	23546.0	24799.0	23222.0	30803.0	25466.0	15914.0	26546.0	0.0	23702.0	23620.0	24554.0	29916.0	30129.0
HMP_2012__SRS019122__bin.50	17979.0	21098.0	24768.0	24185.0	27137.0	30261.0	31232.0	24647.0	29953.0	20738.0	24988.0	24922.0	24177.0	22611.0	409.0	28447.0	23175.0	24095.0	23948.0	29857.0	22338.0	13179.0	25932.0	23702.0	0.0	22957.0	23859.0	29577.0	29259.0
HMP_2012__SRS016225__bin.17	24906.0	17052.0	24492.0	24207.0	21338.0	28454.0	24978.0	24355.0	22171.0	22752.0	27208.0	25319.0	24798.0	24458.0	25602.0	21754.0	24254.0	25109.0	23980.0	27741.0	24003.0	17235.0	20157.0	23620.0	22957.0	0.0	24789.0	21410.0	21339.0
HMP_2012__SRS042910__bin.25	25324.0	22332.0	25650.0	25790.0	26423.0	33190.0	30548.0	8427.0	30051.0	23465.0	13094.0	13042.0	14280.0	25071.0	25914.0	29062.0	25474.0	20894.0	25016.0	32762.0	23060.0	16266.0	27741.0	24554.0	23859.0	24789.0	0.0	29283.0	29510.0
HMP_2012__SRS024580__bin.29	29485.0	21616.0	31558.0	29916.0	27852.0	33115.0	33059.0	30124.0	28741.0	26878.0	31266.0	30812.0	29616.0	28823.0	30454.0	27601.0	29256.0	30501.0	28982.0	32751.0	29927.0	19580.0	25207.0	29916.0	29577.0	21410.0	29283.0	0.0	28966.0
HMP_2012__SRS014271__bin.14	29565.0	21033.0	30656.0	30022.0	28324.0	33048.0	32234.0	30587.0	28612.0	25847.0	30795.0	31405.0	29533.0	28721.0	30252.0	22019.0	28039.0	30211.0	30420.0	32711.0	29505.0	20020.0	24955.0	30129.0	29259.0	21339.0	29510.0	28966.0	0.0
