	VatanenT_2016__G80538__bin.7	CM_madagascar__A36_01_1FE__bin.40	VatanenT_2016__G80592__bin.2	Obregon-TitoAJ_2015__HCO64__bin.28	KarlssonFH_2013__S146__bin.10	SchirmerM_2016__G88822__bin.11	GeversD_2014__SKBSTL001__bin.17	HanniganGD_2017__MG100147__bin.4	LiJ_2014__V1.FI22__bin.51	ZellerG_2014__CCIS44743950ST-4-0__bin.22	CosteaPI_2017__SID713B029-11-90-0__bin.28	VatanenT_2016__G80490__bin.11	CM_madagascar__V54_01_1FE__bin.21	NielsenHB_2014__V1_CD18_0__bin.38	CM_madagascar__V40_01_1FE__bin.34	ZellerG_2014__CCIS41692898ST-4-0__bin.36	DavidLA_2015__LD-Run2-32__bin.2	CM_madagascar__V01_01_1FE__bin.20	ZeeviD_2015__PNP_Main_637__bin.11	BackhedF_2015__SID385_12M__bin.34	LiJ_2014__V1.CD3-0-PN__bin.37	LiJ_2014__O2.CD1-0-PT__bin.3	LiJ_2014__V1.CD2-0-PT__bin.7	DavidLA_2015__LD-Run1-01__bin.5	FengQ_2015__SID531281__bin.24	ZeeviD_2015__PNP_Main_82__bin.27	BritoIL_2016__W2.23.ST__bin.46	HeQ_2017__SZAXPI029476-50__bin.8	BackhedF_2015__SID590_12M__bin.4	VogtmannE_2016__MMRS16644320ST-27-0-0__bin.23	CM_madagascar__A66_02_1FE__bin.29	ZellerG_2014__CCIS79210440ST-3-0__bin.35	CM_madagascar__A24_02_1FE__bin.4	BackhedF_2015__SID172_4M__bin.7	GeversD_2014__SKBSTL021__bin.25	BritoIL_2016__M1.64.ST__bin.55	GeversD_2014__SKBSTL038__bin.22
CosteaPI_2017__SID713B029-11-90-0__bin.28	1551207.0	1500876.0	902502.0	775020.0	1500158.0	1400332.0	1584598.0	1299697.0	1566774.0	1535349.0	1665396.0	1443196.0	1476106.0	1089180.0	1569903.0	1285008.0	1547813.0	1483236.0	1534717.0	1450116.0	1433927.0	1501635.0	1335851.0	1518724.0	1502304.0	1463166.0	1210827.0	1258780.0	1535282.0	1570178.0	1485396.0	1223912.0	1510771.0	1427966.0	1358704.0	1511237.0	1560879.0
VatanenT_2016__G80490__bin.11	1545997.0	1469831.0	930906.0	756948.0	1443034.0	1385793.0	1543777.0	1323488.0	1501750.0	1507555.0	1443196.0	1595854.0	1398255.0	1063743.0	1506701.0	1256152.0	1487362.0	1404097.0	1476338.0	1406420.0	1424476.0	1482757.0	1300190.0	1478080.0	1477693.0	1424194.0	1186792.0	1170459.0	1506308.0	1503356.0	1466169.0	1174300.0	1424529.0	1402944.0	1308864.0	1473294.0	1565608.0
CM_madagascar__V54_01_1FE__bin.21	1489641.0	1483351.0	889377.0	785516.0	1431912.0	1368126.0	1516167.0	1274691.0	1510063.0	1502402.0	1476106.0	1398255.0	1704208.0	1068277.0	1512352.0	1259476.0	1523385.0	1641797.0	1486230.0	1405653.0	1404399.0	1456783.0	1288938.0	1497464.0	1455363.0	1380939.0	1187090.0	1202797.0	1495930.0	1503467.0	1500998.0	1177723.0	1507085.0	1389861.0	1294591.0	1474985.0	1494297.0
NielsenHB_2014__V1_CD18_0__bin.38	1128273.0	1124646.0	659109.0	478389.0	1196493.0	1042614.0	1141426.0	956607.0	1131730.0	1162228.0	1089180.0	1063743.0	1068277.0	1293869.0	1150740.0	919554.0	1174846.0	1089543.0	1135915.0	1066170.0	1060604.0	1099001.0	1129496.0	1133039.0	1147112.0	1005440.0	847997.0	833384.0	1144243.0	1126393.0	1131810.0	839168.0	1082398.0	1157605.0	1049053.0	1152436.0	1136415.0
CM_madagascar__V40_01_1FE__bin.34	1608553.0	1564579.0	954314.0	804149.0	1543426.0	1447771.0	1657217.0	1357850.0	1636532.0	1625865.0	1569903.0	1506701.0	1512352.0	1150740.0	1800591.0	1326760.0	1620135.0	1529076.0	1653968.0	1507281.0	1533316.0	1575454.0	1384342.0	1581238.0	1595490.0	1488846.0	1247420.0	1275077.0	1635172.0	1617069.0	1578772.0	1256279.0	1569052.0	1521805.0	1392264.0	1584368.0	1628099.0
ZellerG_2014__CCIS41692898ST-4-0__bin.36	1323777.0	1296836.0	771363.0	690186.0	1283648.0	1215999.0	1340441.0	1123383.0	1329916.0	1336382.0	1285008.0	1256152.0	1259476.0	919554.0	1326760.0	1433168.0	1330861.0	1267152.0	1315395.0	1263985.0	1256483.0	1300064.0	1136891.0	1308045.0	1310364.0	1242639.0	1069900.0	1076279.0	1329634.0	1317227.0	1295818.0	1047930.0	1276638.0	1236361.0	1144988.0	1309080.0	1334148.0
DavidLA_2015__LD-Run2-32__bin.2	1592288.0	1558523.0	947734.0	793703.0	1572293.0	1454140.0	1628801.0	1347710.0	1607518.0	1627997.0	1547813.0	1487362.0	1523385.0	1174846.0	1620135.0	1330861.0	1751619.0	1516739.0	1581521.0	1494981.0	1505190.0	1552489.0	1377844.0	1592236.0	1577879.0	1466835.0	1270001.0	1260415.0	1602341.0	1618733.0	1548568.0	1238448.0	1531413.0	1506964.0	1387310.0	1606300.0	1604604.0
CM_madagascar__V01_01_1FE__bin.20	1492484.0	1489295.0	886413.0	782855.0	1459722.0	1377389.0	1516757.0	1288443.0	1520002.0	1509471.0	1483236.0	1404097.0	1641797.0	1089543.0	1529076.0	1267152.0	1516739.0	1747565.0	1509804.0	1419502.0	1413321.0	1471915.0	1302119.0	1507609.0	1476226.0	1384583.0	1192318.0	1203887.0	1500926.0	1510422.0	1504098.0	1179471.0	1519744.0	1394381.0	1321814.0	1474929.0	1505746.0
ZeeviD_2015__PNP_Main_637__bin.11	1580362.0	1538913.0	944880.0	784600.0	1534773.0	1442751.0	1624851.0	1332832.0	1592223.0	1595946.0	1534717.0	1476338.0	1486230.0	1135915.0	1653968.0	1315395.0	1581521.0	1509804.0	1724624.0	1495166.0	1480597.0	1548651.0	1367215.0	1570389.0	1571208.0	1461676.0	1236022.0	1244860.0	1594706.0	1593526.0	1558530.0	1231308.0	1548277.0	1494936.0	1379549.0	1567132.0	1604843.0
BackhedF_2015__SID385_12M__bin.34	1483052.0	1463310.0	892739.0	756000.0	1458834.0	1404123.0	1507015.0	1284507.0	1522634.0	1504329.0	1450116.0	1406420.0	1405653.0	1066170.0	1507281.0	1263985.0	1494981.0	1419502.0	1495166.0	1582074.0	1434901.0	1486678.0	1299896.0	1473071.0	1497128.0	1380379.0	1193899.0	1183076.0	1561208.0	1496836.0	1453807.0	1181711.0	1427551.0	1436478.0	1312848.0	1475719.0	1503925.0
LiJ_2014__V1.CD3-0-PN__bin.37	1496801.0	1479783.0	889692.0	768048.0	1462371.0	1396526.0	1514898.0	1290442.0	1549113.0	1511064.0	1433927.0	1424476.0	1404399.0	1060604.0	1533316.0	1256483.0	1505190.0	1413321.0	1480597.0	1434901.0	1655142.0	1489300.0	1305895.0	1475039.0	1520748.0	1393894.0	1200051.0	1183773.0	1534820.0	1494514.0	1453101.0	1187807.0	1429984.0	1443540.0	1324625.0	1485409.0	1515774.0
LiJ_2014__O2.CD1-0-PT__bin.3	1566237.0	1529862.0	930770.0	782919.0	1516996.0	1434345.0	1600451.0	1340260.0	1590817.0	1563321.0	1501635.0	1482757.0	1456783.0	1099001.0	1575454.0	1300064.0	1552489.0	1471915.0	1548651.0	1486678.0	1489300.0	1667990.0	1343413.0	1543828.0	1567447.0	1455364.0	1222975.0	1229413.0	1601579.0	1586452.0	1512611.0	1212994.0	1488263.0	1480292.0	1363141.0	1524321.0	1592839.0
LiJ_2014__V1.CD2-0-PT__bin.7	1385292.0	1341531.0	801224.0	649651.0	1378020.0	1260021.0	1399681.0	1177530.0	1401437.0	1388768.0	1335851.0	1300190.0	1288938.0	1129496.0	1384342.0	1136891.0	1377844.0	1302119.0	1367215.0	1299896.0	1305895.0	1343413.0	1505864.0	1352894.0	1384880.0	1263558.0	1074626.0	1086087.0	1400551.0	1365671.0	1339721.0	1081029.0	1339036.0	1404964.0	1241996.0	1354656.0	1394421.0
DavidLA_2015__LD-Run1-01__bin.5	1574130.0	1546551.0	935173.0	788521.0	1507391.0	1440486.0	1595970.0	1335203.0	1570727.0	1575025.0	1518724.0	1478080.0	1497464.0	1133039.0	1581238.0	1308045.0	1592236.0	1507609.0	1570389.0	1473071.0	1475039.0	1543828.0	1352894.0	1716220.0	1535348.0	1448422.0	1238907.0	1243602.0	1567553.0	1582859.0	1547905.0	1232575.0	1525370.0	1469796.0	1364759.0	1542369.0	1590207.0
FengQ_2015__SID531281__bin.24	1559991.0	1547780.0	929712.0	775851.0	1558298.0	1452280.0	1594661.0	1333709.0	1596285.0	1589938.0	1502304.0	1477693.0	1455363.0	1147112.0	1595490.0	1310364.0	1577879.0	1476226.0	1571208.0	1497128.0	1520748.0	1567447.0	1384880.0	1535348.0	1697246.0	1448357.0	1237713.0	1227711.0	1628407.0	1573275.0	1524650.0	1211977.0	1477349.0	1526702.0	1401359.0	1558628.0	1586788.0
ZeeviD_2015__PNP_Main_82__bin.27	1535903.0	1474968.0	859910.0	757087.0	1420193.0	1340706.0	1536813.0	1272531.0	1496152.0	1485846.0	1463166.0	1424194.0	1380939.0	1005440.0	1488846.0	1242639.0	1466835.0	1384583.0	1461676.0	1380379.0	1393894.0	1455364.0	1263558.0	1448422.0	1448357.0	1600750.0	1165571.0	1243379.0	1476759.0	1517865.0	1430440.0	1181662.0	1464636.0	1369905.0	1294563.0	1450917.0	1566802.0
BritoIL_2016__W2.23.ST__bin.46	1243965.0	1226972.0	749519.0	662892.0	1188216.0	1173218.0	1256734.0	1078120.0	1254671.0	1247203.0	1210827.0	1186792.0	1187090.0	847997.0	1247420.0	1069900.0	1270001.0	1192318.0	1236022.0	1193899.0	1200051.0	1222975.0	1074626.0	1238907.0	1237713.0	1165571.0	1335702.0	1022292.0	1257305.0	1248214.0	1216327.0	997309.0	1191049.0	1161614.0	1087056.0	1231097.0	1254253.0
HeQ_2017__SZAXPI029476-50__bin.8	1240467.0	1232821.0	715859.0	675594.0	1180866.0	1142625.0	1289897.0	1082268.0	1278160.0	1246829.0	1258780.0	1170459.0	1202797.0	833384.0	1275077.0	1076279.0	1260415.0	1203887.0	1244860.0	1183076.0	1183773.0	1229413.0	1086087.0	1243602.0	1227711.0	1243379.0	1022292.0	1339686.0	1259766.0	1289662.0	1210147.0	1013201.0	1228975.0	1146040.0	1057514.0	1219695.0	1258296.0
BackhedF_2015__SID590_12M__bin.4	1598965.0	1566820.0	950435.0	795557.0	1585909.0	1467105.0	1635989.0	1351439.0	1660275.0	1616637.0	1535282.0	1506308.0	1495930.0	1144243.0	1635172.0	1329634.0	1602341.0	1500926.0	1594706.0	1561208.0	1534820.0	1601579.0	1400551.0	1567553.0	1628407.0	1476759.0	1257305.0	1259766.0	1767388.0	1612161.0	1555052.0	1248388.0	1524005.0	1566045.0	1393179.0	1574670.0	1631227.0
VogtmannE_2016__MMRS16644320ST-27-0-0__bin.23	1631433.0	1545225.0	951046.0	793299.0	1562102.0	1441508.0	1699403.0	1351570.0	1640566.0	1592412.0	1570178.0	1503356.0	1503467.0	1126393.0	1617069.0	1317227.0	1618733.0	1510422.0	1593526.0	1496836.0	1494514.0	1586452.0	1365671.0	1582859.0	1573275.0	1517865.0	1248214.0	1289662.0	1612161.0	1767183.0	1533108.0	1239877.0	1553207.0	1494503.0	1386419.0	1565317.0	1672240.0
CM_madagascar__A66_02_1FE__bin.29	1554028.0	1658381.0	921988.0	800149.0	1505525.0	1425263.0	1570852.0	1337635.0	1546774.0	1567268.0	1485396.0	1466169.0	1500998.0	1131810.0	1578772.0	1295818.0	1548568.0	1504098.0	1558530.0	1453807.0	1453101.0	1512611.0	1339721.0	1547905.0	1524650.0	1430440.0	1216327.0	1210147.0	1555052.0	1533108.0	1820067.0	1215782.0	1545449.0	1467061.0	1336828.0	1527922.0	1568240.0
ZellerG_2014__CCIS79210440ST-3-0__bin.35	1251077.0	1223999.0	737534.0	662100.0	1180735.0	1148257.0	1260065.0	1070189.0	1268354.0	1242989.0	1223912.0	1174300.0	1177723.0	839168.0	1256279.0	1047930.0	1238448.0	1179471.0	1231308.0	1181711.0	1187807.0	1212994.0	1081029.0	1232575.0	1211977.0	1181662.0	997309.0	1013201.0	1248388.0	1239877.0	1215782.0	1333901.0	1221415.0	1164763.0	1092867.0	1218988.0	1256184.0
CM_madagascar__A24_02_1FE__bin.4	1542828.0	1545145.0	886446.0	823279.0	1464007.0	1371566.0	1565553.0	1301610.0	1549521.0	1528285.0	1510771.0	1424529.0	1507085.0	1082398.0	1569052.0	1276638.0	1531413.0	1519744.0	1548277.0	1427551.0	1429984.0	1488263.0	1339036.0	1525370.0	1477349.0	1464636.0	1191049.0	1228975.0	1524005.0	1553207.0	1545449.0	1221415.0	1817065.0	1412249.0	1333892.0	1501774.0	1559366.0
BackhedF_2015__SID172_4M__bin.7	1483287.0	1470457.0	881568.0	713239.0	1470097.0	1360928.0	1536488.0	1260871.0	1552264.0	1519890.0	1427966.0	1402944.0	1389861.0	1157605.0	1521805.0	1236361.0	1506964.0	1394381.0	1494936.0	1436478.0	1443540.0	1480292.0	1404964.0	1469796.0	1526702.0	1369905.0	1161614.0	1146040.0	1566045.0	1494503.0	1467061.0	1164763.0	1412249.0	1639146.0	1301834.0	1485142.0	1507574.0
GeversD_2014__SKBSTL021__bin.25	1395862.0	1370312.0	817819.0	679527.0	1401339.0	1281818.0	1407206.0	1187343.0	1410773.0	1389671.0	1358704.0	1308864.0	1294591.0	1049053.0	1392264.0	1144988.0	1387310.0	1321814.0	1379549.0	1312848.0	1324625.0	1363141.0	1241996.0	1364759.0	1401359.0	1294563.0	1087056.0	1057514.0	1393179.0	1386419.0	1336828.0	1092867.0	1333892.0	1301834.0	1550933.0	1383655.0	1412597.0
BritoIL_2016__M1.64.ST__bin.55	1559039.0	1536758.0	925831.0	779356.0	1546968.0	1422915.0	1586280.0	1324907.0	1574978.0	1607713.0	1511237.0	1473294.0	1474985.0	1152436.0	1584368.0	1309080.0	1606300.0	1474929.0	1567132.0	1475719.0	1485409.0	1524321.0	1354656.0	1542369.0	1558628.0	1450917.0	1231097.0	1219695.0	1574670.0	1565317.0	1527922.0	1218988.0	1501774.0	1485142.0	1383655.0	1660237.0	1587333.0
GeversD_2014__SKBSTL038__bin.22	1685983.0	1585175.0	974920.0	796858.0	1565562.0	1460990.0	1696770.0	1386002.0	1637288.0	1627492.0	1560879.0	1565608.0	1494297.0	1136415.0	1628099.0	1334148.0	1604604.0	1505746.0	1604843.0	1503925.0	1515774.0	1592839.0	1394421.0	1590207.0	1586788.0	1566802.0	1254253.0	1258296.0	1631227.0	1672240.0	1568240.0	1256184.0	1559366.0	1507574.0	1412597.0	1587333.0	1771404.0
