	SchirmerM_2016__G89065__bin.23	LiJ_2014__MH0376__bin.44	ZeeviD_2015__PNP_Validation_18__bin.30	BritoIL_2016__M1.15.ST__bin.2	LeChatelierE_2013__MH0448__bin.33	NielsenHB_2014__MH0124__bin.51	ZeeviD_2015__PNP_Main_325__bin.27	RampelliS_2015__H10__bin.85	XieH_2016__YSZC12003_37315__bin.117	XieH_2016__YSZC12003_37331__bin.75	XieH_2016__YSZC12003_37101__bin.58	ZeeviD_2015__PNP_Main_560__bin.12	ZeeviD_2015__PNP_Main_764__bin.41	LeChatelierE_2013__MH0189__bin.26	ZeeviD_2015__PNP_Main_172__bin.42	CosteaPI_2017__SID713B072-11-90-0__bin.90	BritoIL_2016__M1.61.ST__bin.27	LeChatelierE_2013__MH0173__bin.42	ZeeviD_2015__PNP_Main_666__bin.39	CosteaPI_2017__SID713B072-11-0-0__bin.104	LiJ_2014__MH0374__bin.43	ZeeviD_2015__PNP_Main_225__bin.42	LiJ_2014__MH0357__bin.46	ZeeviD_2015__PNP_Main_362__bin.42	LiJ_2014__MH0390__bin.72	ZeeviD_2015__PNP_Main_80__bin.76	RampelliS_2015__H20__bin.22	LeChatelierE_2013__MH0143__bin.51	ZeeviD_2015__PNP_Main_386__bin.19	CosteaPI_2017__SID713B063-11-0-0__bin.25	LeChatelierE_2013__MH0124__bin.33	ZeeviD_2015__PNP_Main_25__bin.13	CosteaPI_2017__SID713B014-11-0-0__bin.111	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.114	LeChatelierE_2013__MH0407__bin.21	ZeeviD_2015__PNP_Main_19__bin.5	NielsenHB_2014__MH0126__bin.31	LeChatelierE_2013__MH0126__bin.1	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.120	NielsenHB_2014__MH0143__bin.37	LeChatelierE_2013__MH0318__bin.89
XieH_2016__YSZC12003_37101__bin.58	2349147.0	1573845.0	2306205.0	2304549.0	2241547.0	2344688.0	2327258.0	1152705.0	1711659.0	2135322.0	2595117.0	2469964.0	2222044.0	2334259.0	2404075.0	1658469.0	2355958.0	1644343.0	1398652.0	2375819.0	2327225.0	2104223.0	2261201.0	2321430.0	2299235.0	2311433.0	1289848.0	2369209.0	2289640.0	1339888.0	2329645.0	1925636.0	2183647.0	2279134.0	2296482.0	1516075.0	1934527.0	2120642.0	1986003.0	2279414.0	2335180.0	2219795.0
ZeeviD_2015__PNP_Main_560__bin.12	2505056.0	1662345.0	2368389.0	2493243.0	2382357.0	2397966.0	2494916.0	1177858.0	1782224.0	2267332.0	2469964.0	2849476.0	2281774.0	2523906.0	2495514.0	1726878.0	2548866.0	1750293.0	1493341.0	2443300.0	2485259.0	2150087.0	2385884.0	2436405.0	2500130.0	2405870.0	1341597.0	2430942.0	2407226.0	1373838.0	2367657.0	2033401.0	2299946.0	2439601.0	2355569.0	1596532.0	2049576.0	2270923.0	2084656.0	2445543.0	2450909.0	2313378.0
ZeeviD_2015__PNP_Main_764__bin.41	2217744.0	1548273.0	2170484.0	2251789.0	2202971.0	2199605.0	2115435.0	1110543.0	1670493.0	2107945.0	2222044.0	2281774.0	2459127.0	2293298.0	2253319.0	1612301.0	2274367.0	1612420.0	1383526.0	2255459.0	2258793.0	2035188.0	2180949.0	2211369.0	2296782.0	2200463.0	1261577.0	2233740.0	2222351.0	1302283.0	2172849.0	1896880.0	2111735.0	2185675.0	2115751.0	1503268.0	1896580.0	2050191.0	1922962.0	2178300.0	2220025.0	2073508.0
LeChatelierE_2013__MH0189__bin.26	2418374.0	1662258.0	2266215.0	2470347.0	2337875.0	2329006.0	2250600.0	1157222.0	1755460.0	2238350.0	2334259.0	2523906.0	2293298.0	2930872.0	2393205.0	1690374.0	2487211.0	1731455.0	1480957.0	2396041.0	2423654.0	2108068.0	2359289.0	2378335.0	2607696.0	2341244.0	1310019.0	2379016.0	2366011.0	1360159.0	2292099.0	1996154.0	2255678.0	2412346.0	2255029.0	1577833.0	2034053.0	2247065.0	2051241.0	2413652.0	2346085.0	2218889.0
ZeeviD_2015__PNP_Main_172__bin.42	2465004.0	1622221.0	2388785.0	2397924.0	2339023.0	2408673.0	2346463.0	1171321.0	1769715.0	2200971.0	2404075.0	2495514.0	2253319.0	2393205.0	2637012.0	1701695.0	2485245.0	1681996.0	1444017.0	2463436.0	2395327.0	2145672.0	2319117.0	2403852.0	2407365.0	2391658.0	1321128.0	2422213.0	2401031.0	1377180.0	2386797.0	2047949.0	2238172.0	2386393.0	2331438.0	1560799.0	2011662.0	2214390.0	2035897.0	2392486.0	2410163.0	2276535.0
CosteaPI_2017__SID713B072-11-90-0__bin.90	1701241.0	1218562.0	1631620.0	1691639.0	1663685.0	1662150.0	1591030.0	890573.0	1300318.0	1619141.0	1658469.0	1726878.0	1612301.0	1690374.0	1701695.0	1850679.0	1713500.0	1265345.0	1068176.0	1700663.0	1689605.0	1570897.0	1680583.0	1664099.0	1702245.0	1648706.0	1001267.0	1678239.0	1659999.0	1065405.0	1644907.0	1485273.0	1672959.0	1665039.0	1606362.0	1159610.0	1468957.0	1574181.0	1491254.0	1658091.0	1678164.0	1552136.0
BritoIL_2016__M1.61.ST__bin.27	2473762.0	1651549.0	2335997.0	2545295.0	2388865.0	2390654.0	2293210.0	1174056.0	1779328.0	2275984.0	2355958.0	2548866.0	2274367.0	2487211.0	2485245.0	1713500.0	2676179.0	1732355.0	1479876.0	2415947.0	2453481.0	2154234.0	2387965.0	2408715.0	2484653.0	2348047.0	1336711.0	2407730.0	2370352.0	1373050.0	2357849.0	2061045.0	2293645.0	2461613.0	2284402.0	1592753.0	2052277.0	2274169.0	2081290.0	2466797.0	2391654.0	2250583.0
LeChatelierE_2013__MH0173__bin.42	1710796.0	1251970.0	1621152.0	1701239.0	1673672.0	1647683.0	1580321.0	823597.0	1316540.0	1640588.0	1644343.0	1750293.0	1612420.0	1731455.0	1681996.0	1265345.0	1732355.0	1861360.0	1095803.0	1682652.0	1706332.0	1541551.0	1690727.0	1647536.0	1726165.0	1650435.0	940745.0	1678029.0	1657834.0	942619.0	1627573.0	1487619.0	1635694.0	1683135.0	1603730.0	1186233.0	1515117.0	1622311.0	1514419.0	1676712.0	1664999.0	1553518.0
ZeeviD_2015__PNP_Main_666__bin.39	1474460.0	1060374.0	1398588.0	1447547.0	1437071.0	1404478.0	1383860.0	717158.0	1104087.0	1377910.0	1398652.0	1493341.0	1383526.0	1480957.0	1444017.0	1068176.0	1479876.0	1095803.0	1586856.0	1446649.0	1463175.0	1308033.0	1433128.0	1393992.0	1474396.0	1409996.0	822942.0	1439400.0	1417338.0	845803.0	1386775.0	1273669.0	1384455.0	1445789.0	1375779.0	995539.0	1275822.0	1357907.0	1274156.0	1444123.0	1423284.0	1332690.0
CosteaPI_2017__SID713B072-11-0-0__bin.104	2374415.0	1623727.0	2356472.0	2394250.0	2313183.0	2357560.0	2297774.0	1169245.0	1764773.0	2186777.0	2375819.0	2443300.0	2255459.0	2396041.0	2463436.0	1700663.0	2415947.0	1682652.0	1446649.0	2547130.0	2388513.0	2146265.0	2294887.0	2388856.0	2397414.0	2383286.0	1311674.0	2410805.0	2360148.0	1382070.0	2343218.0	1986174.0	2240002.0	2351521.0	2280318.0	1555793.0	1994026.0	2195182.0	2036442.0	2354339.0	2374681.0	2257218.0
LiJ_2014__MH0374__bin.43	2377361.0	1633300.0	2265623.0	2418250.0	2337419.0	2322374.0	2263759.0	1169351.0	1748778.0	2227492.0	2327225.0	2485259.0	2258793.0	2423654.0	2395327.0	1689605.0	2453481.0	1706332.0	1463175.0	2388513.0	2566857.0	2086875.0	2323178.0	2357379.0	2438999.0	2314430.0	1316200.0	2360574.0	2302106.0	1365091.0	2281737.0	2010568.0	2262595.0	2350990.0	2245531.0	1577010.0	1997596.0	2180913.0	2055969.0	2354625.0	2345652.0	2197476.0
ZeeviD_2015__PNP_Main_225__bin.42	2108122.0	1503346.0	2064375.0	2114286.0	2065194.0	2108950.0	2005979.0	1071814.0	1597857.0	1992241.0	2104223.0	2150087.0	2035188.0	2108068.0	2145672.0	1570897.0	2154234.0	1541551.0	1308033.0	2146265.0	2086875.0	2215942.0	2083111.0	2063832.0	2123909.0	2094538.0	1196783.0	2121673.0	2101529.0	1280496.0	2103416.0	1798418.0	2035419.0	2052209.0	2031902.0	1430582.0	1803712.0	1953348.0	1843675.0	2047007.0	2121304.0	1978708.0
LiJ_2014__MH0357__bin.46	2329990.0	1612318.0	2216495.0	2339291.0	2291081.0	2288469.0	2185254.0	1145703.0	1726055.0	2183385.0	2261201.0	2385884.0	2180949.0	2359289.0	2319117.0	1680583.0	2387965.0	1690727.0	1433128.0	2294887.0	2323178.0	2083111.0	2454013.0	2264105.0	2369415.0	2234445.0	1291009.0	2300447.0	2258235.0	1340475.0	2269967.0	1965830.0	2219347.0	2300060.0	2188886.0	1559195.0	1976952.0	2153695.0	2022091.0	2294628.0	2311904.0	2122605.0
ZeeviD_2015__PNP_Main_362__bin.42	2343161.0	1562546.0	2289821.0	2429619.0	2264423.0	2273861.0	2205025.0	1114742.0	1698603.0	2165474.0	2321430.0	2436405.0	2211369.0	2378335.0	2403852.0	1664099.0	2408715.0	1647536.0	1393992.0	2388856.0	2357379.0	2063832.0	2264105.0	2642057.0	2404623.0	2280779.0	1278365.0	2300560.0	2253872.0	1321375.0	2280991.0	1953858.0	2209566.0	2301096.0	2193798.0	1517278.0	1944634.0	2157664.0	1988171.0	2301542.0	2275279.0	2196361.0
LiJ_2014__MH0390__bin.72	2418774.0	1645452.0	2318874.0	2450745.0	2360569.0	2330479.0	2250012.0	1165574.0	1770973.0	2240840.0	2299235.0	2500130.0	2296782.0	2607696.0	2407365.0	1702245.0	2484653.0	1726165.0	1474396.0	2397414.0	2438999.0	2123909.0	2369415.0	2404623.0	2745229.0	2337495.0	1317632.0	2363341.0	2380616.0	1367348.0	2316557.0	2006867.0	2276719.0	2391500.0	2244357.0	1586086.0	2040377.0	2253507.0	2050309.0	2400303.0	2354699.0	2208526.0
ZeeviD_2015__PNP_Main_80__bin.76	2364474.0	1589652.0	2311543.0	2303521.0	2247314.0	2287668.0	2241336.0	1144357.0	1713172.0	2135835.0	2311433.0	2405870.0	2200463.0	2341244.0	2391658.0	1648706.0	2348047.0	1650435.0	1409996.0	2383286.0	2314430.0	2094538.0	2234445.0	2280779.0	2337495.0	2539024.0	1290943.0	2332397.0	2361219.0	1337083.0	2269318.0	1923979.0	2147999.0	2294568.0	2241346.0	1510377.0	1961840.0	2117810.0	1964027.0	2302444.0	2304431.0	2203166.0
RampelliS_2015__H20__bin.22	1315783.0	946465.0	1271574.0	1300298.0	1287921.0	1303311.0	1223633.0	780768.0	1020550.0	1237590.0	1289848.0	1341597.0	1261577.0	1310019.0	1321128.0	1001267.0	1336711.0	940745.0	822942.0	1311674.0	1316200.0	1196783.0	1291009.0	1278365.0	1317632.0	1290943.0	1488068.0	1293691.0	1294362.0	876206.0	1280537.0	1106469.0	1267695.0	1291296.0	1238924.0	897106.0	1118991.0	1187848.0	1147999.0	1286519.0	1298643.0	1220486.0
LeChatelierE_2013__MH0143__bin.51	2361588.0	1621880.0	2324641.0	2368988.0	2303901.0	2353966.0	2284840.0	1164248.0	1748540.0	2189100.0	2369209.0	2430942.0	2233740.0	2379016.0	2422213.0	1678239.0	2407730.0	1678029.0	1439400.0	2410805.0	2360574.0	2121673.0	2300447.0	2300560.0	2363341.0	2332397.0	1293691.0	2535031.0	2342327.0	1358660.0	2325185.0	1959119.0	2209172.0	2336694.0	2290578.0	1549519.0	1971901.0	2157980.0	2033463.0	2337232.0	2448338.0	2241533.0
ZeeviD_2015__PNP_Main_386__bin.19	2389831.0	1597126.0	2309153.0	2307446.0	2278703.0	2318326.0	2263019.0	1153512.0	1726159.0	2133605.0	2289640.0	2407226.0	2222351.0	2366011.0	2401031.0	1659999.0	2370352.0	1657834.0	1417338.0	2360148.0	2302106.0	2101529.0	2258235.0	2253872.0	2380616.0	2361219.0	1294362.0	2342327.0	2576716.0	1349146.0	2304157.0	1944353.0	2169165.0	2289446.0	2233069.0	1536232.0	1992269.0	2146474.0	1978660.0	2300596.0	2330893.0	2206667.0
CosteaPI_2017__SID713B063-11-0-0__bin.25	1370694.0	991295.0	1336775.0	1351903.0	1344265.0	1359854.0	1281021.0	818760.0	1046234.0	1275383.0	1339888.0	1373838.0	1302283.0	1360159.0	1377180.0	1065405.0	1373050.0	942619.0	845803.0	1382070.0	1365091.0	1280496.0	1340475.0	1321375.0	1367348.0	1337083.0	876206.0	1358660.0	1349146.0	1418034.0	1348837.0	1168724.0	1359828.0	1334381.0	1301375.0	908738.0	1161527.0	1241578.0	1193985.0	1328354.0	1356863.0	1253969.0
LeChatelierE_2013__MH0124__bin.33	2310312.0	1580834.0	2253884.0	2283054.0	2243265.0	2418759.0	2209611.0	1146063.0	1700365.0	2126548.0	2329645.0	2367657.0	2172849.0	2292099.0	2386797.0	1644907.0	2357849.0	1627573.0	1386775.0	2343218.0	2281737.0	2103416.0	2269967.0	2280991.0	2316557.0	2269318.0	1280537.0	2325185.0	2304157.0	1348837.0	2444834.0	1939939.0	2183427.0	2256787.0	2251454.0	1521196.0	1935744.0	2116649.0	1973767.0	2258183.0	2324661.0	2191048.0
ZeeviD_2015__PNP_Main_25__bin.13	2003995.0	1424609.0	1904400.0	1994029.0	1974450.0	1956565.0	1882811.0	993994.0	1516755.0	1904674.0	1925636.0	2033401.0	1896880.0	1996154.0	2047949.0	1485273.0	2061045.0	1487619.0	1273669.0	1986174.0	2010568.0	1798418.0	1965830.0	1953858.0	2006867.0	1923979.0	1106469.0	1959119.0	1944353.0	1168724.0	1939939.0	2135689.0	1936546.0	1980499.0	1867934.0	1388042.0	1721162.0	1870599.0	1784419.0	1978816.0	1960520.0	1804814.0
CosteaPI_2017__SID713B014-11-0-0__bin.111	2253252.0	1585760.0	2141236.0	2255871.0	2203387.0	2198197.0	2099911.0	1130548.0	1685400.0	2129697.0	2183647.0	2299946.0	2111735.0	2255678.0	2238172.0	1672959.0	2293645.0	1635694.0	1384455.0	2240002.0	2262595.0	2035419.0	2219347.0	2209566.0	2276719.0	2147999.0	1267695.0	2209172.0	2169165.0	1359828.0	2183427.0	1936546.0	2364769.0	2220522.0	2107205.0	1516743.0	1909713.0	2075262.0	1966106.0	2216665.0	2218699.0	2038594.0
Bengtsson-PalmeJ_2015__TRAVELRES10__bin.114	2379825.0	1608375.0	2274374.0	2415992.0	2299025.0	2285981.0	2237952.0	1144066.0	1732662.0	2214923.0	2279134.0	2439601.0	2185675.0	2412346.0	2386393.0	1665039.0	2461613.0	1683135.0	1445789.0	2351521.0	2350990.0	2052209.0	2300060.0	2301096.0	2391500.0	2294568.0	1291296.0	2336694.0	2289446.0	1334381.0	2256787.0	1980499.0	2220522.0	2746774.0	2224915.0	1550224.0	1993286.0	2186112.0	2024797.0	2729102.0	2307402.0	2213413.0
LeChatelierE_2013__MH0407__bin.21	2272775.0	1549994.0	2237860.0	2230839.0	2193591.0	2261102.0	2191510.0	1117731.0	1670412.0	2071533.0	2296482.0	2355569.0	2115751.0	2255029.0	2331438.0	1606362.0	2284402.0	1603730.0	1375779.0	2280318.0	2245531.0	2031902.0	2188886.0	2193798.0	2244357.0	2241346.0	1238924.0	2290578.0	2233069.0	1301375.0	2251454.0	1867934.0	2107205.0	2224915.0	2406418.0	1474852.0	1898641.0	2067134.0	1921044.0	2218910.0	2257570.0	2144670.0
ZeeviD_2015__PNP_Main_19__bin.5	1561310.0	1135969.0	1489748.0	1567672.0	1542335.0	1533190.0	1464679.0	764694.0	1191458.0	1501549.0	1516075.0	1596532.0	1503268.0	1577833.0	1560799.0	1159610.0	1592753.0	1186233.0	995539.0	1555793.0	1577010.0	1430582.0	1559195.0	1517278.0	1586086.0	1510377.0	897106.0	1549519.0	1536232.0	908738.0	1521196.0	1388042.0	1516743.0	1550224.0	1474852.0	1664576.0	1365911.0	1463508.0	1384620.0	1542787.0	1552491.0	1439362.0
NielsenHB_2014__MH0126__bin.31	2024709.0	1446435.0	1929909.0	2001335.0	1973429.0	1962091.0	1893022.0	990199.0	1509534.0	1887658.0	1934527.0	2049576.0	1896580.0	2034053.0	2011662.0	1468957.0	2052277.0	1515117.0	1275822.0	1994026.0	1997596.0	1803712.0	1976952.0	1944634.0	2040377.0	1961840.0	1118991.0	1971901.0	1992269.0	1161527.0	1935744.0	1721162.0	1909713.0	1993286.0	1898641.0	1365911.0	2194966.0	2044982.0	1745599.0	1992550.0	1962701.0	1833177.0
LeChatelierE_2013__MH0126__bin.1	2218426.0	1531523.0	2122910.0	2191071.0	2142969.0	2126899.0	2065659.0	1064078.0	1617597.0	2053987.0	2120642.0	2270923.0	2050191.0	2247065.0	2214390.0	1574181.0	2274169.0	1622311.0	1357907.0	2195182.0	2180913.0	1953348.0	2153695.0	2157664.0	2253507.0	2117810.0	1187848.0	2157980.0	2146474.0	1241578.0	2116649.0	1870599.0	2075262.0	2186112.0	2067134.0	1463508.0	2044982.0	2578229.0	1881150.0	2186531.0	2143694.0	1979292.0
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.16	2027645.0	1452234.0	1943260.0	2042956.0	2010950.0	1999148.0	1909935.0	1038315.0	1550075.0	1942838.0	1986003.0	2084656.0	1922962.0	2051241.0	2035897.0	1491254.0	2081290.0	1514419.0	1274156.0	2036442.0	2055969.0	1843675.0	2022091.0	1988171.0	2050309.0	1964027.0	1147999.0	2033463.0	1978660.0	1193985.0	1973767.0	1784419.0	1966106.0	2024797.0	1921044.0	1384620.0	1745599.0	1881150.0	2228140.0	2016857.0	2021331.0	1858772.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.120	2389175.0	1604792.0	2271516.0	2413411.0	2293193.0	2280446.0	2246084.0	1137170.0	1727084.0	2210064.0	2279414.0	2445543.0	2178300.0	2413652.0	2392486.0	1658091.0	2466797.0	1676712.0	1444123.0	2354339.0	2354625.0	2047007.0	2294628.0	2301542.0	2400303.0	2302444.0	1286519.0	2337232.0	2300596.0	1328354.0	2258183.0	1978816.0	2216665.0	2729102.0	2218910.0	1542787.0	1992550.0	2186531.0	2016857.0	2785024.0	2301602.0	2205516.0
NielsenHB_2014__MH0143__bin.37	2355316.0	1611830.0	2305055.0	2340346.0	2295611.0	2364008.0	2301737.0	1165201.0	1746065.0	2183280.0	2335180.0	2450909.0	2220025.0	2346085.0	2410163.0	1678164.0	2391654.0	1664999.0	1423284.0	2374681.0	2345652.0	2121304.0	2311904.0	2275279.0	2354699.0	2304431.0	1298643.0	2448338.0	2330893.0	1356863.0	2324661.0	1960520.0	2218699.0	2307402.0	2257570.0	1552491.0	1962701.0	2143694.0	2021331.0	2301602.0	2548632.0	2213413.0
LeChatelierE_2013__MH0318__bin.89	2225004.0	1484794.0	2205343.0	2224857.0	2154546.0	2203837.0	2159620.0	1073764.0	1626122.0	2023620.0	2219795.0	2313378.0	2073508.0	2218889.0	2276535.0	1552136.0	2250583.0	1553518.0	1332690.0	2257218.0	2197476.0	1978708.0	2122605.0	2196361.0	2208526.0	2203166.0	1220486.0	2241533.0	2206667.0	1253969.0	2191048.0	1804814.0	2038594.0	2213413.0	2144670.0	1439362.0	1833177.0	1979292.0	1858772.0	2205516.0	2213413.0	2436336.0
