	XieH_2016__YSZC12003_36699__bin.108	LomanNJ_2013__OBK2764__bin.2	LiJ_2014__V1.FI15__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES12__bin.61	WenC_2017__RA035__bin.15	FengQ_2015__SID31398__bin.76	WenC_2017__N010__bin.27	XieH_2016__YSZC12003_35390__bin.29	ZeeviD_2015__PNP_Main_39__bin.58	NielsenHB_2014__O2_UC57_0__bin.13	LiSS_2016__FAT_015-22-14-0__bin.10	ZeeviD_2015__PNP_Main_7__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.114	ZeeviD_2015__PNP_Main_118__bin.18	ZeeviD_2015__PNP_Main_234__bin.27	ZeeviD_2015__PNP_Main_352__bin.20	LiSS_2016__FAT_015-22-84-0__bin.18	FengQ_2015__SID31875__bin.41	LiSS_2016__FAT_015-22-0-0__bin.30	ZeeviD_2015__PNP_Main_292__bin.37	NielsenHB_2014__O2_UC57_2__bin.19	ZellerG_2014__CCIS12656533ST-4-0__bin.30	LeChatelierE_2013__MH0057__bin.11	HeQ_2017__SZAXPI029585-104__bin.39	NielsenHB_2014__MH0057__bin.12	LiSS_2016__FAT_015-22-42-0__bin.22	LiSS_2016__FAT_015-22-2-0__bin.47
LiSS_2016__FAT_015-22-14-0__bin.10	44154.0	18087.0	52976.0	46892.0	79741.0	47555.0	82107.0	35584.0	50807.0	51013.0	0.0	52302.0	50526.0	47777.0	48719.0	52969.0	104.0	47086.0	233.0	48024.0	52349.0	48235.0	48019.0	55777.0	48535.0	46.0	274.0
ZeeviD_2015__PNP_Main_7__bin.15	47868.0	28478.0	55265.0	49051.0	75817.0	52512.0	76465.0	34184.0	54606.0	51431.0	52302.0	0.0	52182.0	53165.0	51288.0	48394.0	38291.0	51887.0	43223.0	47619.0	52517.0	51553.0	50209.0	58194.0	50832.0	41677.0	50459.0
Bengtsson-PalmeJ_2015__TRAVELRES11__bin.114	45182.0	25826.0	54214.0	215.0	80735.0	47485.0	82194.0	34957.0	51906.0	49224.0	50526.0	52182.0	0.0	48010.0	49333.0	54087.0	36702.0	47346.0	43128.0	45195.0	50270.0	49268.0	48572.0	49881.0	47330.0	39879.0	49033.0
ZeeviD_2015__PNP_Main_118__bin.18	45438.0	25752.0	48851.0	45110.0	68537.0	45463.0	70864.0	32045.0	48147.0	48505.0	47777.0	53165.0	48010.0	0.0	45468.0	52491.0	34154.0	45013.0	40122.0	45314.0	49411.0	47011.0	47493.0	53753.0	47724.0	36688.0	46796.0
ZeeviD_2015__PNP_Main_234__bin.27	45407.0	25409.0	50963.0	46046.0	72198.0	46032.0	74056.0	27677.0	49744.0	47311.0	48719.0	51288.0	49333.0	45468.0	0.0	51969.0	34739.0	45993.0	40645.0	44935.0	48640.0	47867.0	46808.0	52457.0	46995.0	37804.0	47336.0
ZeeviD_2015__PNP_Main_352__bin.20	50213.0	29610.0	56117.0	50325.0	79087.0	53925.0	81592.0	38178.0	56595.0	54217.0	52969.0	48394.0	54087.0	52491.0	51969.0	0.0	39578.0	53009.0	45617.0	50163.0	55207.0	52811.0	50884.0	59329.0	52048.0	42624.0	51306.0
LiSS_2016__FAT_015-22-84-0__bin.18	32981.0	13163.0	39993.0	33469.0	59388.0	35330.0	58859.0	29941.0	38554.0	36902.0	104.0	38291.0	36702.0	34154.0	34739.0	39578.0	0.0	34849.0	177.0	35814.0	37225.0	35194.0	35575.0	40174.0	35118.0	93.0	231.0
FengQ_2015__SID31875__bin.41	44553.0	24654.0	49040.0	43175.0	70374.0	207.0	72735.0	33973.0	49747.0	47684.0	47086.0	51887.0	47346.0	45013.0	45993.0	53009.0	34849.0	0.0	39952.0	45221.0	48492.0	46881.0	45408.0	53969.0	46141.0	37440.0	45360.0
LiSS_2016__FAT_015-22-0-0__bin.30	37821.0	15518.0	44581.0	39516.0	67838.0	41048.0	67777.0	31353.0	43176.0	41679.0	233.0	43223.0	43128.0	40122.0	40645.0	45617.0	177.0	39952.0	0.0	41909.0	42832.0	40720.0	38974.0	46602.0	39542.0	203.0	160.0
ZeeviD_2015__PNP_Main_292__bin.37	44217.0	26113.0	46877.0	42201.0	74425.0	45720.0	76514.0	28399.0	48786.0	43946.0	48024.0	47619.0	45195.0	45314.0	44935.0	50163.0	35814.0	45221.0	41909.0	0.0	45006.0	44097.0	44990.0	51439.0	44861.0	37177.0	47348.0
NielsenHB_2014__O2_UC57_2__bin.19	47094.0	26851.0	50761.0	48087.0	79507.0	48871.0	80155.0	34641.0	48866.0	217.0	52349.0	52517.0	50270.0	49411.0	48640.0	55207.0	37225.0	48492.0	42832.0	45006.0	0.0	49609.0	49678.0	55390.0	49914.0	40387.0	50527.0
ZellerG_2014__CCIS12656533ST-4-0__bin.30	43369.0	25523.0	49076.0	46254.0	76900.0	47301.0	79060.0	33014.0	48807.0	48649.0	48235.0	51553.0	49268.0	47011.0	47867.0	52811.0	35194.0	46881.0	40720.0	44097.0	49609.0	0.0	46170.0	51993.0	45799.0	37745.0	46980.0
LeChatelierE_2013__MH0057__bin.11	43271.0	24026.0	52555.0	46284.0	79216.0	45767.0	80945.0	33182.0	48979.0	48988.0	48019.0	50209.0	48572.0	47493.0	46808.0	50884.0	35575.0	45408.0	38974.0	44990.0	49678.0	46170.0	0.0	53816.0	256.0	38251.0	46580.0
HeQ_2017__SZAXPI029585-104__bin.39	49846.0	28894.0	55237.0	45814.0	70022.0	54160.0	71399.0	36507.0	52205.0	54547.0	55777.0	58194.0	49881.0	53753.0	52457.0	59329.0	40174.0	53969.0	46602.0	51439.0	55390.0	51993.0	53816.0	0.0	54385.0	43779.0	53907.0
NielsenHB_2014__MH0057__bin.12	43673.0	24684.0	51670.0	44419.0	80984.0	46583.0	81374.0	33479.0	48729.0	48896.0	48535.0	50832.0	47330.0	47724.0	46995.0	52048.0	35118.0	46141.0	39542.0	44861.0	49914.0	45799.0	256.0	54385.0	0.0	37664.0	47095.0
LiSS_2016__FAT_015-22-42-0__bin.22	35777.0	13972.0	42231.0	36264.0	63109.0	38157.0	64744.0	31228.0	40252.0	40384.0	46.0	41677.0	39879.0	36688.0	37804.0	42624.0	93.0	37440.0	203.0	37177.0	40387.0	37745.0	38251.0	43779.0	37664.0	0.0	181.0
LiSS_2016__FAT_015-22-2-0__bin.47	43073.0	18216.0	51843.0	45976.0	79532.0	45806.0	80383.0	33582.0	50063.0	49327.0	274.0	50459.0	49033.0	46796.0	47336.0	51306.0	231.0	45360.0	160.0	47348.0	50527.0	46980.0	46580.0	53907.0	47095.0	181.0	0.0
