	HMP_2012__SRS018145__bin.22	HMP_2012__SRS057692__bin.21	BackhedF_2015__SID229_12M__bin.32	BackhedF_2015__SID137_12M__bin.3	HMP_2012__SRS017533__bin.17	HMP_2012__SRS013164__bin.42	HMP_2012__SRS015434__bin.27	HMP_2012__SRS022530__bin.39	BackhedF_2015__SID105_12M__bin.7	HMP_2012__SRS063288__bin.42	HMP_2012__SRS014271__bin.71	VatanenT_2016__G80511__bin.8	NielsenHB_2014__V1_UC3_2__bin.8	HMP_2012__SRS017209__bin.5	HMP_2012__SRS015644__bin.21	GeversD_2014__SKBSTL007__bin.13	CM_cf__CF_TNFC040IS_t3M15__bin.16	HMP_2012__SRS021496__bin.46	CM_cf__CF_TNFC046IS_t2M15__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.51	HMP_2012__SRS015762__bin.61	HMP_2012__SRS075404__bin.10	HMP_2012__SRS022077__bin.86	BackhedF_2015__SID258_4M__bin.3	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.37	HMP_2012__SRS064329__bin.38	HMP_2012__SRS019071__bin.32	BritoIL_2016__M1.52.SA__bin.8	HMP_2012__SRS055495__bin.3	HMP_2012__SRS047824__bin.17	ZeeviD_2015__PNP_Main_42__bin.67	HMP_2012__SRS057205__bin.78	FerrettiP_2018__CA_C10032IS2555FE_t3M15__bin.1	HMP_2012__SRS023958__bin.3	HMP_2012__SRS042131__bin.5	HMP_2012__SRS024081__bin.63	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.10	BackhedF_2015__SID590_12M__bin.25	HMP_2012__SRS017007__bin.56
HMP_2012__SRS014271__bin.71	798054.0	752255.0	699874.0	837591.0	686062.0	848584.0	724847.0	795206.0	849066.0	742548.0	884145.0	716165.0	634882.0	707438.0	838667.0	812620.0	831675.0	753688.0	803432.0	770139.0	505428.0	823995.0	739189.0	837544.0	798495.0	716492.0	657850.0	724339.0	661069.0	817574.0	802779.0	758238.0	739005.0	833524.0	832881.0	836188.0	755524.0	737156.0	695812.0	683124.0
VatanenT_2016__G80511__bin.8	1251822.0	1187835.0	1141056.0	1478596.0	1167103.0	1453702.0	1207454.0	1349847.0	1445969.0	1205654.0	716165.0	1662882.0	1055091.0	1091957.0	1493878.0	1363171.0	1488074.0	1215526.0	1359723.0	1279232.0	733705.0	1453764.0	1157166.0	1446534.0	1393748.0	1205997.0	1020321.0	1199305.0	1071916.0	1321399.0	1377539.0	1280426.0	1232064.0	1418521.0	1415119.0	1490952.0	1276662.0	1302286.0	1113157.0	1015487.0
NielsenHB_2014__V1_UC3_2__bin.8	1102673.0	1057461.0	1037516.0	1250817.0	988347.0	1268009.0	1059022.0	1200344.0	1287998.0	1057213.0	634882.0	1055091.0	1444896.0	1006944.0	1276326.0	1218143.0	1275426.0	1076730.0	1188657.0	1135293.0	681031.0	1242713.0	1029928.0	1269541.0	1244547.0	1115077.0	918535.0	1045360.0	939520.0	1165614.0	1187293.0	1167214.0	1076595.0	1277607.0	1225148.0	1277482.0	1105136.0	1163482.0	1005444.0	954033.0
HMP_2012__SRS017209__bin.5	1192516.0	1136050.0	1058426.0	1305252.0	1057840.0	1352715.0	1142742.0	1237023.0	1321110.0	1132227.0	707438.0	1091957.0	1006944.0	1426705.0	1307568.0	1241716.0	1321737.0	1179299.0	1258603.0	1186098.0	712198.0	1310221.0	1109114.0	1319136.0	1234589.0	1110096.0	1009691.0	1157949.0	991478.0	1270205.0	1241294.0	1172345.0	1146361.0	1301722.0	1299668.0	1307026.0	1209883.0	1142172.0	1036761.0	1043994.0
HMP_2012__SRS015644__bin.21	1518759.0	1435396.0	1382081.0	1755166.0	1381744.0	1779282.0	1446382.0	1659739.0	1770486.0	1448355.0	838667.0	1493878.0	1276326.0	1307568.0	1980341.0	1671192.0	1794787.0	1477807.0	1646864.0	1587928.0	897014.0	1764747.0	1430188.0	1758887.0	1685731.0	1472594.0	1219586.0	1450539.0	1292324.0	1607424.0	1682947.0	1563466.0	1514403.0	1745232.0	1723506.0	1951392.0	1529744.0	1547516.0	1350374.0	1238173.0
GeversD_2014__SKBSTL007__bin.13	1445364.0	1369863.0	1348450.0	1631394.0	1270920.0	1663677.0	1367597.0	1512838.0	1801637.0	1373181.0	812620.0	1363171.0	1218143.0	1241716.0	1671192.0	1866109.0	1690983.0	1387468.0	1546007.0	1466010.0	849522.0	1617354.0	1355316.0	1647188.0	1599578.0	1412043.0	1176518.0	1359183.0	1212421.0	1520913.0	1571797.0	1510313.0	1418326.0	1691556.0	1606647.0	1667933.0	1468206.0	1491474.0	1345486.0	1181240.0
CM_cf__CF_TNFC040IS_t3M15__bin.16	1519591.0	1437509.0	1386818.0	1758564.0	1384291.0	1763626.0	1457159.0	1608737.0	1768854.0	1452004.0	831675.0	1488074.0	1275426.0	1321737.0	1794787.0	1690983.0	1971993.0	1451204.0	1635124.0	1565352.0	899310.0	1732400.0	1401089.0	1771374.0	1671487.0	1472741.0	1215007.0	1455832.0	1294182.0	1599997.0	1668770.0	1561462.0	1499353.0	1745546.0	1713030.0	1788503.0	1551680.0	1546722.0	1363419.0	1230464.0
HMP_2012__SRS021496__bin.46	1360550.0	1262100.0	1164810.0	1446516.0	1147451.0	1547381.0	1276698.0	1366738.0	1478424.0	1247133.0	753688.0	1215526.0	1076730.0	1179299.0	1477807.0	1387468.0	1451204.0	1734581.0	1430026.0	1312765.0	841862.0	1420947.0	1227940.0	1440507.0	1385302.0	1244392.0	1056510.0	1250128.0	1072423.0	1433253.0	1389967.0	1302317.0	1345655.0	1461376.0	1489756.0	1476834.0	1333811.0	1303813.0	1129119.0	1116828.0
CM_cf__CF_TNFC046IS_t2M15__bin.37	1494212.0	1395730.0	1293858.0	1613773.0	1275006.0	1727421.0	1398081.0	1503844.0	1617169.0	1359182.0	803432.0	1359723.0	1188657.0	1258603.0	1646864.0	1546007.0	1635124.0	1430026.0	1936938.0	1440502.0	897111.0	1616413.0	1365819.0	1624322.0	1532064.0	1341828.0	1153094.0	1393966.0	1201343.0	1580044.0	1547835.0	1445281.0	1475488.0	1596727.0	1668564.0	1642261.0	1466734.0	1434423.0	1287477.0	1214997.0
Bengtsson-PalmeJ_2015__TRAVELRES20__bin.51	1337210.0	1285051.0	1205318.0	1532956.0	1210553.0	1565599.0	1279368.0	1424783.0	1548624.0	1264453.0	770139.0	1279232.0	1135293.0	1186098.0	1587928.0	1466010.0	1565352.0	1312765.0	1440502.0	1744790.0	803203.0	1528140.0	1254676.0	1536019.0	1496487.0	1294000.0	1082502.0	1263779.0	1140689.0	1429526.0	1463332.0	1375570.0	1342446.0	1545202.0	1524650.0	1584630.0	1342347.0	1342722.0	1192513.0	1108624.0
HMP_2012__SRS015762__bin.61	854552.0	794973.0	732523.0	876775.0	700199.0	978403.0	827040.0	811338.0	899373.0	767238.0	505428.0	733705.0	681031.0	712198.0	897014.0	849522.0	899310.0	841862.0	897111.0	803203.0	1006202.0	882895.0	791600.0	873829.0	833016.0	809633.0	690897.0	759170.0	682596.0	892499.0	834795.0	821505.0	933849.0	877849.0	959664.0	889200.0	836327.0	789168.0	740313.0	746259.0
HMP_2012__SRS075404__bin.10	1468963.0	1396038.0	1331207.0	1713471.0	1325285.0	1712353.0	1413868.0	1586875.0	1710965.0	1417800.0	823995.0	1453764.0	1242713.0	1310221.0	1764747.0	1617354.0	1732400.0	1420947.0	1616413.0	1528140.0	882895.0	1883524.0	1401224.0	1703116.0	1604308.0	1419190.0	1200616.0	1430115.0	1268108.0	1560616.0	1636164.0	1512054.0	1451461.0	1689489.0	1671299.0	1754436.0	1477193.0	1491165.0	1326844.0	1231221.0
HMP_2012__SRS022077__bin.86	1287765.0	1195590.0	1100801.0	1393217.0	1119086.0	1482548.0	1225518.0	1310351.0	1423061.0	1191603.0	739189.0	1157166.0	1029928.0	1109114.0	1430188.0	1355316.0	1401089.0	1227940.0	1365819.0	1254676.0	791600.0	1401224.0	1607767.0	1397600.0	1335878.0	1218908.0	1040340.0	1175772.0	1038610.0	1356177.0	1326062.0	1255169.0	1265103.0	1402751.0	1431450.0	1424209.0	1299233.0	1254414.0	1103612.0	1071684.0
BackhedF_2015__SID258_4M__bin.3	1508629.0	1427850.0	1364602.0	1730081.0	1360667.0	1738492.0	1437724.0	1598751.0	1739787.0	1440846.0	837544.0	1446534.0	1269541.0	1319136.0	1758887.0	1647188.0	1771374.0	1440507.0	1624322.0	1536019.0	873829.0	1703116.0	1397600.0	1893540.0	1645655.0	1447279.0	1222141.0	1446769.0	1297093.0	1601884.0	1645364.0	1551221.0	1477697.0	1714683.0	1681979.0	1753848.0	1522791.0	1521066.0	1348500.0	1227420.0
FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.5	1428282.0	1378904.0	1316872.0	1613415.0	1280880.0	1649844.0	1360809.0	1535961.0	1690116.0	1377620.0	798495.0	1393748.0	1244547.0	1234589.0	1685731.0	1599578.0	1671487.0	1385302.0	1532064.0	1496487.0	833016.0	1604308.0	1335878.0	1645655.0	1916440.0	1453909.0	1161791.0	1341561.0	1193524.0	1508748.0	1566905.0	1522436.0	1398596.0	1693741.0	1602017.0	1677361.0	1434596.0	1533568.0	1297432.0	1172457.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.37	1250922.0	1196471.0	1147368.0	1421830.0	1122712.0	1459241.0	1198523.0	1331777.0	1513507.0	1182845.0	716492.0	1205997.0	1115077.0	1110096.0	1472594.0	1412043.0	1472741.0	1244392.0	1341828.0	1294000.0	809633.0	1419190.0	1218908.0	1447279.0	1453909.0	1694911.0	1028594.0	1171251.0	1049267.0	1326107.0	1365046.0	1320092.0	1277796.0	1505546.0	1404215.0	1473513.0	1269062.0	1320518.0	1183490.0	1048256.0
HMP_2012__SRS064329__bin.38	1114136.0	1063181.0	1009688.0	1192996.0	964507.0	1233512.0	1057072.0	1141359.0	1234299.0	1038316.0	657850.0	1020321.0	918535.0	1009691.0	1219586.0	1176518.0	1215007.0	1056510.0	1153094.0	1082502.0	690897.0	1200616.0	1040340.0	1222141.0	1161791.0	1028594.0	1279086.0	1050848.0	918242.0	1160912.0	1159784.0	1116217.0	1058959.0	1211351.0	1191419.0	1215956.0	1135475.0	1083568.0	987965.0	960995.0
HMP_2012__SRS019071__bin.32	1301428.0	1241467.0	1166367.0	1445632.0	1171740.0	1481504.0	1250701.0	1350550.0	1439046.0	1219953.0	724339.0	1199305.0	1045360.0	1157949.0	1450539.0	1359183.0	1455832.0	1250128.0	1393966.0	1263779.0	759170.0	1430115.0	1175772.0	1446769.0	1341561.0	1171251.0	1050848.0	1656020.0	1077441.0	1378186.0	1398719.0	1280201.0	1228266.0	1420065.0	1423417.0	1444448.0	1308583.0	1277520.0	1106515.0	1078662.0
BritoIL_2016__M1.52.SA__bin.8	1140022.0	1078130.0	1014022.0	1264997.0	1001532.0	1294656.0	1086373.0	1176663.0	1277950.0	1068478.0	661069.0	1071916.0	939520.0	991478.0	1292324.0	1212421.0	1294182.0	1072423.0	1201343.0	1140689.0	682596.0	1268108.0	1038610.0	1297093.0	1193524.0	1049267.0	918242.0	1077441.0	1462823.0	1196287.0	1214208.0	1135182.0	1088596.0	1252128.0	1263410.0	1285678.0	1120099.0	1120839.0	1010617.0	941960.0
HMP_2012__SRS055495__bin.3	1509790.0	1408131.0	1273326.0	1584410.0	1258509.0	1700809.0	1375492.0	1478652.0	1617943.0	1339081.0	817574.0	1321399.0	1165614.0	1270205.0	1607424.0	1520913.0	1599997.0	1433253.0	1580044.0	1429526.0	892499.0	1560616.0	1356177.0	1601884.0	1508748.0	1326107.0	1160912.0	1378186.0	1196287.0	1858620.0	1505216.0	1430420.0	1439657.0	1580728.0	1649150.0	1603435.0	1473986.0	1422252.0	1240538.0	1241582.0
HMP_2012__SRS047824__bin.17	1414510.0	1351520.0	1277869.0	1638093.0	1290421.0	1644930.0	1351289.0	1545301.0	1643566.0	1373053.0	802779.0	1377539.0	1187293.0	1241294.0	1682947.0	1571797.0	1668770.0	1389967.0	1547835.0	1463332.0	834795.0	1636164.0	1326062.0	1645364.0	1566905.0	1365046.0	1159784.0	1398719.0	1214208.0	1505216.0	1862942.0	1452715.0	1399502.0	1617698.0	1594451.0	1677568.0	1469249.0	1432541.0	1278421.0	1167858.0
ZeeviD_2015__PNP_Main_42__bin.67	1358487.0	1291947.0	1226432.0	1514820.0	1205237.0	1559007.0	1297811.0	1409110.0	1588423.0	1273019.0	758238.0	1280426.0	1167214.0	1172345.0	1563466.0	1510313.0	1561462.0	1302317.0	1445281.0	1375570.0	821505.0	1512054.0	1255169.0	1551221.0	1522436.0	1320092.0	1116217.0	1280201.0	1135182.0	1430420.0	1452715.0	1688327.0	1329308.0	1584333.0	1518734.0	1557539.0	1343741.0	1398651.0	1230875.0	1128860.0
HMP_2012__SRS057205__bin.78	1364106.0	1283212.0	1180987.0	1467072.0	1149092.0	1630825.0	1307612.0	1364073.0	1491999.0	1247631.0	739005.0	1232064.0	1076595.0	1146361.0	1514403.0	1418326.0	1499353.0	1345655.0	1475488.0	1342446.0	933849.0	1451461.0	1265103.0	1477697.0	1398596.0	1277796.0	1058959.0	1228266.0	1088596.0	1439657.0	1399502.0	1329308.0	1711758.0	1466669.0	1588369.0	1516948.0	1349156.0	1305269.0	1177618.0	1112844.0
FerrettiP_2018__CA_C10032IS2555FE_t3M15__bin.1	1505055.0	1425265.0	1379364.0	1680386.0	1328041.0	1727555.0	1425673.0	1585809.0	1810035.0	1403188.0	833524.0	1418521.0	1277607.0	1301722.0	1745232.0	1691556.0	1745546.0	1461376.0	1596727.0	1545202.0	877849.0	1689489.0	1402751.0	1714683.0	1693741.0	1505546.0	1211351.0	1420065.0	1252128.0	1580728.0	1617698.0	1584333.0	1466669.0	1957367.0	1662672.0	1740809.0	1496054.0	1680800.0	1367594.0	1225400.0
HMP_2012__SRS023958__bin.3	1557745.0	1473932.0	1327896.0	1679282.0	1315114.0	1944490.0	1457929.0	1542234.0	1702542.0	1391905.0	832881.0	1415119.0	1225148.0	1299668.0	1723506.0	1606647.0	1713030.0	1489756.0	1668564.0	1524650.0	959664.0	1671299.0	1431450.0	1681979.0	1602017.0	1404215.0	1191419.0	1423417.0	1263410.0	1649150.0	1594451.0	1518734.0	1588369.0	1662672.0	1974126.0	1719281.0	1549336.0	1485763.0	1316600.0	1252008.0
HMP_2012__SRS042131__bin.5	1511162.0	1433576.0	1377876.0	1752092.0	1385628.0	1771797.0	1448324.0	1656077.0	1764088.0	1444355.0	836188.0	1490952.0	1277482.0	1307026.0	1951392.0	1667933.0	1788503.0	1476834.0	1642261.0	1584630.0	889200.0	1754436.0	1424209.0	1753848.0	1677361.0	1473513.0	1215956.0	1444448.0	1285678.0	1603435.0	1677568.0	1557539.0	1516948.0	1740809.0	1719281.0	1992889.0	1525956.0	1543247.0	1353410.0	1236921.0
HMP_2012__SRS024081__bin.63	1398669.0	1325890.0	1226968.0	1506667.0	1199643.0	1616332.0	1307446.0	1396286.0	1534888.0	1268170.0	755524.0	1276662.0	1105136.0	1209883.0	1529744.0	1468206.0	1551680.0	1333811.0	1466734.0	1342347.0	836327.0	1477193.0	1299233.0	1522791.0	1434596.0	1269062.0	1135475.0	1308583.0	1120099.0	1473986.0	1469249.0	1343741.0	1349156.0	1496054.0	1549336.0	1525956.0	1807617.0	1340623.0	1191626.0	1142861.0
FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.10	1355027.0	1279172.0	1226247.0	1510080.0	1184816.0	1538883.0	1276728.0	1403706.0	1590301.0	1276032.0	737156.0	1302286.0	1163482.0	1142172.0	1547516.0	1491474.0	1546722.0	1303813.0	1434423.0	1342722.0	789168.0	1491165.0	1254414.0	1521066.0	1533568.0	1320518.0	1083568.0	1277520.0	1120839.0	1422252.0	1432541.0	1398651.0	1305269.0	1680800.0	1485763.0	1543247.0	1340623.0	1870402.0	1228394.0	1102121.0
BackhedF_2015__SID590_12M__bin.25	1185110.0	1107213.0	1124907.0	1323509.0	1035571.0	1360175.0	1132043.0	1233910.0	1420293.0	1129426.0	695812.0	1113157.0	1005444.0	1036761.0	1350374.0	1345486.0	1363419.0	1129119.0	1287477.0	1192513.0	740313.0	1326844.0	1103612.0	1348500.0	1297432.0	1183490.0	987965.0	1106515.0	1010617.0	1240538.0	1278421.0	1230875.0	1177618.0	1367594.0	1316600.0	1353410.0	1191626.0	1228394.0	1470879.0	1005743.0
HMP_2012__SRS017007__bin.56	1158639.0	1082804.0	1023208.0	1221738.0	975963.0	1293532.0	1104815.0	1164877.0	1258256.0	1076056.0	683124.0	1015487.0	954033.0	1043994.0	1238173.0	1181240.0	1230464.0	1116828.0	1214997.0	1108624.0	746259.0	1231221.0	1071684.0	1227420.0	1172457.0	1048256.0	960995.0	1078662.0	941960.0	1241582.0	1167858.0	1128860.0	1112844.0	1225400.0	1252008.0	1236921.0	1142861.0	1102121.0	1005743.0	1341050.0
