	HMP_2012__SRS018145__bin.22	HMP_2012__SRS057692__bin.21	BackhedF_2015__SID229_12M__bin.32	BackhedF_2015__SID137_12M__bin.3	HMP_2012__SRS017533__bin.17	HMP_2012__SRS013164__bin.42	HMP_2012__SRS015434__bin.27	HMP_2012__SRS022530__bin.39	BackhedF_2015__SID105_12M__bin.7	HMP_2012__SRS063288__bin.42	HMP_2012__SRS014271__bin.71	VatanenT_2016__G80511__bin.8	NielsenHB_2014__V1_UC3_2__bin.8	HMP_2012__SRS017209__bin.5	HMP_2012__SRS015644__bin.21	GeversD_2014__SKBSTL007__bin.13	CM_cf__CF_TNFC040IS_t3M15__bin.16	HMP_2012__SRS021496__bin.46	CM_cf__CF_TNFC046IS_t2M15__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.51	HMP_2012__SRS015762__bin.61	HMP_2012__SRS075404__bin.10	HMP_2012__SRS022077__bin.86	BackhedF_2015__SID258_4M__bin.3	FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.37	HMP_2012__SRS064329__bin.38	HMP_2012__SRS019071__bin.32	BritoIL_2016__M1.52.SA__bin.8	HMP_2012__SRS055495__bin.3	HMP_2012__SRS047824__bin.17	ZeeviD_2015__PNP_Main_42__bin.67	HMP_2012__SRS057205__bin.78	FerrettiP_2018__CA_C10032IS2555FE_t3M15__bin.1	HMP_2012__SRS023958__bin.3	HMP_2012__SRS042131__bin.5	HMP_2012__SRS024081__bin.63	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.10	BackhedF_2015__SID590_12M__bin.25	HMP_2012__SRS017007__bin.56
HMP_2012__SRS014271__bin.71	20247.0	18546.0	21398.0	34046.0	21962.0	22524.0	18915.0	20345.0	29384.0	18090.0	0.0	23446.0	20023.0	19365.0	26863.0	27351.0	25750.0	17581.0	22517.0	26130.0	12090.0	26090.0	18584.0	27103.0	26951.0	27905.0	16340.0	22480.0	23411.0	23004.0	24147.0	25631.0	19342.0	28670.0	21471.0	26600.0	22470.0	25373.0	22011.0	16891.0
VatanenT_2016__G80511__bin.8	47231.0	45296.0	42876.0	71190.0	49310.0	60879.0	45844.0	52145.0	63021.0	43114.0	23446.0	0.0	44547.0	40789.0	62596.0	58860.0	59508.0	47530.0	50952.0	57628.0	28144.0	57715.0	44773.0	58580.0	58817.0	58320.0	33492.0	49328.0	48449.0	53718.0	56192.0	53665.0	50509.0	61418.0	57986.0	61839.0	52653.0	56918.0	45003.0	36605.0
NielsenHB_2014__V1_UC3_2__bin.8	41731.0	39877.0	39707.0	59877.0	41613.0	53623.0	39661.0	43956.0	54869.0	36091.0	20023.0	44547.0	0.0	34826.0	53271.0	50578.0	53397.0	39305.0	45645.0	48642.0	26017.0	49980.0	40379.0	53287.0	42415.0	49669.0	31477.0	43126.0	40167.0	45812.0	49537.0	39693.0	43767.0	47415.0	50355.0	52930.0	45186.0	43420.0	39985.0	33267.0
HMP_2012__SRS017209__bin.5	35383.0	33999.0	34876.0	57453.0	39531.0	45902.0	34385.0	38343.0	50471.0	32783.0	19365.0	40789.0	34826.0	0.0	49084.0	45636.0	47354.0	35303.0	39419.0	47371.0	20683.0	46342.0	35882.0	47941.0	43696.0	47519.0	28360.0	39063.0	38557.0	41582.0	45432.0	41032.0	37824.0	47834.0	43486.0	48697.0	39086.0	42407.0	36104.0	29795.0
HMP_2012__SRS015644__bin.21	55074.0	52023.0	54110.0	88649.0	59313.0	74190.0	53322.0	62007.0	76611.0	51157.0	26863.0	62596.0	53271.0	49084.0	0.0	70503.0	71107.0	56110.0	61794.0	70634.0	33898.0	69205.0	55062.0	70963.0	70790.0	72121.0	40776.0	58555.0	59391.0	63503.0	65897.0	66306.0	61499.0	75165.0	69748.0	11131.0	62100.0	69478.0	53737.0	44981.0
GeversD_2014__SKBSTL007__bin.13	53162.0	49700.0	31884.0	81427.0	55734.0	69406.0	50080.0	58508.0	24496.0	48062.0	27351.0	58860.0	50578.0	45636.0	70503.0	0.0	66742.0	52592.0	56477.0	67235.0	31066.0	64959.0	53061.0	66117.0	65039.0	68942.0	36482.0	54184.0	54732.0	60359.0	65507.0	61957.0	57335.0	68322.0	64905.0	69385.0	60483.0	61913.0	24759.0	41508.0
CM_cf__CF_TNFC040IS_t3M15__bin.16	54117.0	50779.0	50416.0	85320.0	57746.0	69529.0	52401.0	57747.0	71039.0	48620.0	25750.0	59508.0	53397.0	47354.0	71107.0	66742.0	0.0	54120.0	57906.0	67422.0	31014.0	65427.0	51692.0	67953.0	69424.0	69516.0	36602.0	56925.0	57797.0	61221.0	63172.0	63970.0	57093.0	72844.0	65431.0	70630.0	60024.0	67642.0	49984.0	41902.0
HMP_2012__SRS021496__bin.46	34484.0	32647.0	40894.0	68836.0	45611.0	44734.0	37173.0	42715.0	59126.0	33363.0	17581.0	47530.0	39305.0	35303.0	56110.0	52592.0	54120.0	0.0	43720.0	52235.0	18770.0	52776.0	38727.0	54726.0	52117.0	57834.0	30257.0	42642.0	43698.0	37172.0	52191.0	48737.0	36026.0	56766.0	41660.0	54704.0	46641.0	51866.0	40390.0	28467.0
CM_cf__CF_TNFC046IS_t2M15__bin.37	42809.0	39536.0	42955.0	76276.0	50391.0	55975.0	41987.0	50682.0	61645.0	40553.0	22517.0	50952.0	45645.0	39419.0	61794.0	56477.0	57906.0	43720.0	0.0	59086.0	24607.0	58938.0	43662.0	57382.0	57940.0	62674.0	31651.0	47884.0	50250.0	49791.0	57136.0	54825.0	46445.0	60610.0	53419.0	60594.0	48994.0	56841.0	44198.0	34417.0
Bengtsson-PalmeJ_2015__TRAVELRES20__bin.51	53811.0	51793.0	51197.0	78342.0	55227.0	62933.0	52131.0	58713.0	72255.0	48653.0	26130.0	57628.0	48642.0	47371.0	70634.0	67235.0	67422.0	52235.0	59086.0	0.0	28609.0	67210.0	51281.0	67395.0	67248.0	60241.0	41671.0	56681.0	52777.0	60733.0	63950.0	60233.0	51246.0	70711.0	60381.0	70183.0	58575.0	61694.0	51931.0	42564.0
HMP_2012__SRS015762__bin.61	20138.0	19279.0	25323.0	38493.0	25975.0	16996.0	22793.0	25855.0	34309.0	21651.0	12090.0	28144.0	26017.0	20683.0	33898.0	31066.0	31014.0	18770.0	24607.0	28609.0	0.0	32398.0	22827.0	30392.0	31254.0	37005.0	19658.0	24830.0	25924.0	22244.0	30298.0	30400.0	6406.0	33010.0	16928.0	33017.0	25932.0	30750.0	25720.0	18974.0
HMP_2012__SRS075404__bin.10	53105.0	50896.0	48891.0	81372.0	53863.0	68481.0	49782.0	54213.0	70848.0	46740.0	26090.0	57715.0	49980.0	46342.0	69205.0	64959.0	65427.0	52776.0	58938.0	67210.0	32398.0	0.0	51160.0	66127.0	64850.0	67496.0	38687.0	56347.0	54873.0	60734.0	57110.0	61603.0	57826.0	69331.0	63478.0	68469.0	59199.0	63638.0	49252.0	42349.0
HMP_2012__SRS022077__bin.86	36697.0	35008.0	40016.0	63061.0	44979.0	50992.0	37931.0	45353.0	56900.0	36194.0	18584.0	44773.0	40379.0	35882.0	55062.0	53061.0	51692.0	38727.0	43662.0	51281.0	22827.0	51160.0	0.0	52756.0	52606.0	55459.0	31898.0	42119.0	40756.0	43000.0	49752.0	48183.0	42520.0	55979.0	47838.0	54737.0	46686.0	51420.0	40135.0	31000.0
BackhedF_2015__SID258_4M__bin.3	54151.0	51461.0	49774.0	84833.0	57950.0	70137.0	52203.0	59794.0	70908.0	50268.0	27103.0	58580.0	53287.0	47941.0	70963.0	66117.0	67953.0	54726.0	57382.0	67395.0	30392.0	66127.0	52756.0	0.0	67688.0	69639.0	38851.0	56709.0	57835.0	62492.0	66344.0	63902.0	56894.0	71641.0	65690.0	70500.0	59882.0	65616.0	50555.0	42594.0
FerrettiP_2018__CA_C10020MS2331SA_t0M15__bin.5	52671.0	51868.0	50136.0	81852.0	56112.0	69933.0	50673.0	58453.0	70686.0	46585.0	26951.0	58817.0	42415.0	43696.0	70790.0	65039.0	69424.0	52117.0	57940.0	67248.0	31254.0	64850.0	52606.0	67688.0	0.0	62733.0	39005.0	54965.0	53542.0	58536.0	66186.0	42486.0	57518.0	57077.0	65704.0	70012.0	59409.0	52079.0	50204.0	38080.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.37	55873.0	53691.0	53855.0	73636.0	53358.0	70004.0	54353.0	58829.0	76775.0	50888.0	27905.0	58320.0	49669.0	47519.0	72121.0	68942.0	69516.0	57834.0	62674.0	60241.0	37005.0	67496.0	55459.0	69639.0	62733.0	0.0	43980.0	56794.0	50990.0	63277.0	66293.0	58630.0	60115.0	69984.0	65908.0	72151.0	60674.0	61248.0	56513.0	43925.0
HMP_2012__SRS064329__bin.38	31108.0	29086.0	28213.0	51447.0	34016.0	39679.0	29582.0	33358.0	38840.0	26285.0	16340.0	33492.0	31477.0	28360.0	40776.0	36482.0	36602.0	30257.0	31651.0	41671.0	19658.0	38687.0	31898.0	38851.0	39005.0	43980.0	0.0	32570.0	35667.0	35904.0	37535.0	38550.0	33165.0	40825.0	36985.0	39814.0	24531.0	37822.0	28765.0	25817.0
HMP_2012__SRS019071__bin.32	42175.0	39916.0	42870.0	68202.0	49567.0	55453.0	30436.0	49583.0	59262.0	40162.0	22480.0	49328.0	43126.0	39063.0	58555.0	54184.0	56925.0	42642.0	47884.0	56681.0	24830.0	56347.0	42119.0	56709.0	54965.0	56794.0	32570.0	0.0	44096.0	48277.0	55677.0	52354.0	43794.0	58593.0	51994.0	57640.0	49320.0	54621.0	40787.0	34357.0
BritoIL_2016__M1.52.SA__bin.8	45133.0	42987.0	42934.0	53858.0	41498.0	56811.0	42521.0	50015.0	58133.0	41887.0	23411.0	48449.0	40167.0	38557.0	59391.0	54732.0	57797.0	43698.0	50250.0	52777.0	25924.0	54873.0	40756.0	57835.0	53542.0	50990.0	35667.0	44096.0	0.0	49633.0	54861.0	49078.0	46334.0	56332.0	54928.0	58894.0	48520.0	51166.0	43065.0	35948.0
HMP_2012__SRS055495__bin.3	29640.0	36103.0	47256.0	76083.0	52137.0	56163.0	40981.0	51080.0	66904.0	40725.0	23004.0	53718.0	45812.0	41582.0	63503.0	60359.0	61221.0	37172.0	49791.0	60733.0	22244.0	60734.0	43000.0	62492.0	58536.0	63277.0	35904.0	48277.0	49633.0	0.0	59490.0	55951.0	42427.0	64735.0	53447.0	62803.0	52879.0	59404.0	46977.0	23204.0
HMP_2012__SRS047824__bin.17	52205.0	49913.0	48308.0	81337.0	54547.0	66098.0	46304.0	41620.0	70069.0	39356.0	24147.0	56192.0	49537.0	45432.0	65897.0	65507.0	63172.0	52191.0	57136.0	63950.0	30298.0	57110.0	49752.0	66344.0	66186.0	66293.0	37535.0	55677.0	54861.0	59490.0	0.0	60846.0	55362.0	68491.0	61409.0	65340.0	59859.0	63014.0	49323.0	40796.0
ZeeviD_2015__PNP_Main_42__bin.67	51166.0	48638.0	47155.0	74436.0	52656.0	64801.0	48169.0	52945.0	66926.0	42813.0	25631.0	53665.0	39693.0	41032.0	66306.0	61957.0	63970.0	48737.0	54825.0	60233.0	30400.0	61603.0	48183.0	63902.0	42486.0	58630.0	38550.0	52354.0	49078.0	55951.0	60846.0	0.0	54012.0	52182.0	61827.0	65677.0	55757.0	47697.0	48703.0	38963.0
HMP_2012__SRS057205__bin.78	38590.0	36895.0	44228.0	70619.0	47714.0	31961.0	40336.0	48266.0	61999.0	40125.0	19342.0	50509.0	43767.0	37824.0	61499.0	57335.0	57093.0	36026.0	46445.0	51246.0	6406.0	57826.0	42520.0	56894.0	57518.0	60115.0	33165.0	43794.0	46334.0	42427.0	55362.0	54012.0	0.0	60243.0	31329.0	61143.0	47808.0	54717.0	45248.0	32140.0
FerrettiP_2018__CA_C10032IS2555FE_t3M15__bin.1	57514.0	54735.0	52877.0	84383.0	59503.0	74167.0	53761.0	62090.0	74658.0	48754.0	28670.0	61418.0	47415.0	47834.0	75165.0	68322.0	72844.0	56766.0	60610.0	70711.0	33010.0	69331.0	55979.0	71641.0	57077.0	69984.0	40825.0	58593.0	56332.0	64735.0	68491.0	52182.0	60243.0	0.0	68931.0	74383.0	63678.0	20408.0	53113.0	43562.0
HMP_2012__SRS023958__bin.3	46827.0	43572.0	49506.0	81119.0	55948.0	14623.0	45617.0	54636.0	71399.0	44375.0	21471.0	57986.0	50355.0	43486.0	69748.0	64905.0	65431.0	41660.0	53419.0	60381.0	16928.0	63478.0	47838.0	65690.0	65704.0	65908.0	36985.0	51994.0	54928.0	53447.0	61409.0	61827.0	31329.0	68931.0	0.0	68749.0	56232.0	64361.0	49665.0	37289.0
HMP_2012__SRS042131__bin.5	54211.0	51894.0	53475.0	88273.0	59165.0	73066.0	52789.0	61399.0	75839.0	50460.0	26600.0	61839.0	52930.0	48697.0	11131.0	69385.0	70630.0	54704.0	60594.0	70183.0	33017.0	68469.0	54737.0	70500.0	70012.0	72151.0	39814.0	57640.0	58894.0	62803.0	65340.0	65677.0	61143.0	74383.0	68749.0	0.0	61558.0	68662.0	53486.0	44822.0
HMP_2012__SRS024081__bin.63	46977.0	42854.0	45790.0	73305.0	50236.0	60145.0	44442.0	50489.0	64486.0	43122.0	22470.0	52653.0	45186.0	39086.0	62100.0	60483.0	60024.0	46641.0	48994.0	58575.0	25932.0	59199.0	46686.0	59882.0	59409.0	60674.0	24531.0	49320.0	48520.0	52879.0	59859.0	55757.0	47808.0	63678.0	56232.0	61558.0	0.0	57654.0	46213.0	36102.0
FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.10	53298.0	50846.0	48092.0	76159.0	53648.0	68100.0	50405.0	55705.0	66732.0	46107.0	25373.0	56918.0	43420.0	42407.0	69478.0	61913.0	67642.0	51866.0	56841.0	61694.0	30750.0	63638.0	51420.0	65616.0	52079.0	61248.0	37822.0	54621.0	51166.0	59404.0	63014.0	47697.0	54717.0	20408.0	64361.0	68662.0	57654.0	0.0	49014.0	40437.0
BackhedF_2015__SID590_12M__bin.25	41462.0	37745.0	27080.0	64321.0	42070.0	53009.0	38764.0	44651.0	24768.0	37551.0	22011.0	45003.0	39985.0	36104.0	53737.0	24759.0	49984.0	40390.0	44198.0	51931.0	25720.0	49252.0	40135.0	50555.0	50204.0	56513.0	28765.0	40787.0	43065.0	46977.0	49323.0	48703.0	45248.0	53113.0	49665.0	53486.0	46213.0	49014.0	0.0	33829.0
HMP_2012__SRS017007__bin.56	25537.0	26637.0	33251.0	53129.0	35777.0	39694.0	30532.0	34670.0	46420.0	27272.0	16891.0	36605.0	33267.0	29795.0	44981.0	41508.0	41902.0	28467.0	34417.0	42564.0	18974.0	42349.0	31000.0	42594.0	38080.0	43925.0	25817.0	34357.0	35948.0	23204.0	40796.0	38963.0	32140.0	43562.0	37289.0	44822.0	36102.0	40437.0	33829.0	0.0
