	HMP_2012__SRS013818__bin.43	FerrettiP_2018__CA_C10026MS2439SA_t0M15__bin.18	FerrettiP_2018__CA_C10015MS2241SA_t0M15__bin.5	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.28	BritoIL_2016__W2.56.SA__bin.18	HMP_2012__SRS064423__bin.50	HMP_2012__SRS017209__bin.56	HMP_2012__SRS022530__bin.9	HMP_2012__SRS017439__bin.38	FengQ_2015__SID31398__bin.57	CM_cf__CF_TNFC003IS_t1M15__bin.8	CM_cf__CF_TNFC003SA_t1M15__bin.7	FerrettiP_2018__CA_C10008MS2115SA_t0M15__bin.9	CM_cf__CF_TNFC040IS_t3M15__bin.1	HMP_2012__SRS019389__bin.25	HMP_2012__SRS018591__bin.49	Castro-NallarE_2015__ES_116__bin.16	HMP_2012__SRS015893__bin.4	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.8	HMP_2012__SRS018300__bin.5	HMP_2012__SRS064774__bin.80	HMP_2012__SRS050669__bin.38	HMP_2012__SRS022077__bin.25	Castro-NallarE_2015__ES_114__bin.22	BritoIL_2016__W2.68.SA__bin.21	FengQ_2015__SID530348__bin.3	HMP_2012__SRS011086__bin.28	HMP_2012__SRS062544__bin.74	HMP_2012__SRS065278__bin.17	HMP_2012__SRS014271__bin.74	LiJ_2017__H3M518112__bin.22	HMP_2012__SRS047219__bin.61	FerrettiP_2018__CA_C10049MS2849SA_t0M16__bin.2
CM_cf__CF_TNFC003IS_t1M15__bin.8	54378.0	24128.0	40310.0	29001.0	32172.0	50677.0	47928.0	53712.0	26948.0	18855.0	0.0	640.0	30795.0	47101.0	43766.0	27691.0	20205.0	26970.0	26729.0	44087.0	52048.0	53334.0	54962.0	22328.0	38527.0	18243.0	23334.0	41068.0	50854.0	52798.0	16609.0	53782.0	54353.0
CM_cf__CF_TNFC003SA_t1M15__bin.7	83400.0	34049.0	57082.0	46771.0	47889.0	79355.0	72778.0	82435.0	38663.0	28771.0	640.0	0.0	46407.0	71997.0	66166.0	41242.0	31237.0	43538.0	41371.0	65142.0	79626.0	82189.0	84772.0	34959.0	57805.0	25660.0	33636.0	60269.0	78682.0	81659.0	27535.0	82640.0	82696.0
FerrettiP_2018__CA_C10008MS2115SA_t0M15__bin.9	81715.0	33349.0	55405.0	49035.0	47215.0	76577.0	72165.0	79500.0	38555.0	30723.0	30795.0	46407.0	0.0	70895.0	65653.0	43291.0	32810.0	43816.0	43255.0	63686.0	78205.0	81168.0	82032.0	36269.0	57092.0	24556.0	36098.0	59782.0	75619.0	77913.0	27645.0	81225.0	80428.0
CM_cf__CF_TNFC040IS_t3M15__bin.1	39957.0	44722.0	27742.0	72669.0	25605.0	40435.0	38432.0	40136.0	24825.0	44589.0	47101.0	71997.0	70895.0	0.0	29544.0	64989.0	51566.0	68155.0	69728.0	35229.0	33029.0	41851.0	41050.0	58368.0	24142.0	36544.0	60728.0	27210.0	39479.0	33864.0	40804.0	33139.0	39932.0
HMP_2012__SRS019389__bin.25	32704.0	40355.0	22207.0	64785.0	19493.0	22622.0	30690.0	24875.0	22490.0	42580.0	43766.0	66166.0	65653.0	29544.0	0.0	59529.0	48840.0	63545.0	64312.0	18056.0	34723.0	30058.0	30065.0	54710.0	24677.0	33429.0	56892.0	26002.0	23444.0	34143.0	40567.0	34191.0	31937.0
HMP_2012__SRS018591__bin.49	74012.0	29913.0	47763.0	45268.0	43442.0	69434.0	67153.0	72078.0	34902.0	25440.0	27691.0	41242.0	43291.0	64989.0	59529.0	0.0	30136.0	38088.0	40901.0	60901.0	71788.0	73090.0	73015.0	33364.0	52049.0	25503.0	34115.0	53636.0	68736.0	72041.0	24749.0	73077.0	73296.0
Castro-NallarE_2015__ES_116__bin.16	59202.0	23704.0	39046.0	32486.0	33545.0	54986.0	54945.0	57426.0	27988.0	21552.0	20205.0	31237.0	32810.0	51566.0	48840.0	30136.0	0.0	29459.0	29477.0	48238.0	57427.0	57187.0	58768.0	25940.0	41618.0	19687.0	24706.0	44429.0	54801.0	58521.0	18184.0	58992.0	58390.0
HMP_2012__SRS015893__bin.4	78765.0	32570.0	52460.0	45317.0	44595.0	74193.0	67463.0	77446.0	36881.0	26158.0	26970.0	43538.0	43816.0	68155.0	63545.0	38088.0	29459.0	0.0	40441.0	62077.0	75942.0	77305.0	79350.0	32823.0	54392.0	25184.0	32943.0	57138.0	71973.0	75918.0	25081.0	77987.0	78662.0
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.8	81339.0	33019.0	54603.0	44914.0	46743.0	75826.0	71259.0	79028.0	37761.0	27970.0	26729.0	41371.0	43255.0	69728.0	64312.0	40901.0	29477.0	40441.0	0.0	62971.0	75891.0	78995.0	82120.0	34472.0	56482.0	24808.0	34061.0	57442.0	75991.0	77681.0	26447.0	78581.0	80008.0
HMP_2012__SRS018300__bin.5	33402.0	37826.0	23099.0	65410.0	17893.0	23367.0	25598.0	23867.0	20538.0	40133.0	44087.0	65142.0	63686.0	35229.0	18056.0	60901.0	48238.0	62077.0	62971.0	0.0	37582.0	28050.0	31885.0	52944.0	26038.0	32920.0	55887.0	31645.0	23689.0	37790.0	34932.0	38347.0	30803.0
HMP_2012__SRS064774__bin.80	47065.0	48927.0	33485.0	77415.0	29580.0	46324.0	39950.0	46539.0	26873.0	49827.0	52048.0	79626.0	78205.0	33029.0	34723.0	71788.0	57427.0	75942.0	75891.0	37582.0	0.0	46938.0	48182.0	65828.0	25557.0	39030.0	65318.0	6804.0	45627.0	10536.0	47058.0	6368.0	46304.0
HMP_2012__SRS050669__bin.38	40381.0	47974.0	27066.0	81635.0	23291.0	35619.0	12466.0	36401.0	25476.0	51032.0	53334.0	82189.0	81168.0	41851.0	30058.0	73090.0	57187.0	77305.0	78995.0	28050.0	46938.0	0.0	39161.0	66769.0	30533.0	38565.0	67379.0	35374.0	35340.0	46620.0	49525.0	46113.0	36924.0
HMP_2012__SRS022077__bin.25	42933.0	51208.0	27395.0	82032.0	21015.0	34871.0	36456.0	38341.0	26235.0	52004.0	54962.0	84772.0	82032.0	41050.0	30065.0	73015.0	58768.0	79350.0	82120.0	31885.0	48182.0	39161.0	0.0	67071.0	34090.0	40917.0	68246.0	37506.0	35967.0	47595.0	48970.0	50034.0	41659.0
Castro-NallarE_2015__ES_114__bin.22	67922.0	27227.0	44639.0	35592.0	39368.0	63442.0	60557.0	66882.0	32958.0	23593.0	22328.0	34959.0	36269.0	58368.0	54710.0	33364.0	25940.0	32823.0	34472.0	52944.0	65828.0	66769.0	67071.0	0.0	47988.0	22319.0	28386.0	49046.0	62820.0	66029.0	21676.0	66889.0	67670.0
BritoIL_2016__W2.68.SA__bin.21	32055.0	37992.0	21774.0	56352.0	20500.0	30028.0	30031.0	32839.0	20676.0	37782.0	38527.0	57805.0	57092.0	24142.0	24677.0	52049.0	41618.0	54392.0	56482.0	26038.0	25557.0	30533.0	34090.0	47988.0	0.0	30697.0	49587.0	19077.0	30377.0	27563.0	36181.0	25724.0	31941.0
FengQ_2015__SID530348__bin.3	40241.0	20500.0	28775.0	26008.0	23757.0	38552.0	37129.0	39769.0	20961.0	17895.0	18243.0	25660.0	24556.0	36544.0	33429.0	25503.0	19687.0	25184.0	24808.0	32920.0	39030.0	38565.0	40917.0	22319.0	30697.0	0.0	23804.0	32200.0	38076.0	38826.0	15293.0	40327.0	39934.0
HMP_2012__SRS011086__bin.28	68877.0	28432.0	47581.0	37395.0	39920.0	64585.0	62874.0	68145.0	33640.0	22055.0	23334.0	33636.0	36098.0	60728.0	56892.0	34115.0	24706.0	32943.0	34061.0	55887.0	65318.0	67379.0	68246.0	28386.0	49587.0	23804.0	0.0	52848.0	65137.0	67026.0	20391.0	67417.0	68408.0
HMP_2012__SRS062544__bin.74	36338.0	38417.0	24555.0	58894.0	21414.0	35192.0	31687.0	36548.0	20761.0	37145.0	41068.0	60269.0	59782.0	27210.0	26002.0	53636.0	44429.0	57138.0	57442.0	31645.0	6804.0	35374.0	37506.0	49046.0	19077.0	32200.0	52848.0	0.0	35033.0	7460.0	31396.0	5871.0	34791.0
HMP_2012__SRS065278__bin.17	40942.0	44548.0	25656.0	76064.0	21599.0	6787.0	34302.0	26632.0	24521.0	49708.0	50854.0	78682.0	75619.0	39479.0	23444.0	68736.0	54801.0	71973.0	75991.0	23689.0	45627.0	35340.0	35967.0	62820.0	30377.0	38076.0	65137.0	35033.0	0.0	46726.0	44434.0	46639.0	37544.0
HMP_2012__SRS014271__bin.74	48370.0	47409.0	33483.0	79008.0	29648.0	47654.0	41295.0	47415.0	27787.0	49922.0	52798.0	81659.0	77913.0	33864.0	34143.0	72041.0	58521.0	75918.0	77681.0	37790.0	10536.0	46620.0	47595.0	66029.0	27563.0	38826.0	67026.0	7460.0	46726.0	0.0	47246.0	7596.0	46381.0
LiJ_2017__H3M518112__bin.22	50169.0	20202.0	32725.0	28445.0	29522.0	45652.0	42703.0	46985.0	22888.0	18027.0	16609.0	27535.0	27645.0	40804.0	40567.0	24749.0	18184.0	25081.0	26447.0	34932.0	47058.0	49525.0	48970.0	21676.0	36181.0	15293.0	20391.0	31396.0	44434.0	47246.0	0.0	48462.0	48920.0
HMP_2012__SRS047219__bin.61	47988.0	49215.0	34011.0	80478.0	29451.0	47769.0	40785.0	47139.0	28173.0	51502.0	53782.0	82640.0	81225.0	33139.0	34191.0	73077.0	58992.0	77987.0	78581.0	38347.0	6368.0	46113.0	50034.0	66889.0	25724.0	40327.0	67417.0	5871.0	46639.0	7596.0	48462.0	0.0	47312.0
FerrettiP_2018__CA_C10049MS2849SA_t0M16__bin.2	24553.0	50538.0	25195.0	79837.0	23818.0	37610.0	36466.0	38482.0	26838.0	50761.0	54353.0	82696.0	80428.0	39932.0	31937.0	73296.0	58390.0	78662.0	80008.0	30803.0	46304.0	36924.0	41659.0	67670.0	31941.0	39934.0	68408.0	34791.0	37544.0	46381.0	48920.0	47312.0	0.0
