	BritoIL_2016__M2.41.ST__bin.43	KarlssonFH_2013__S127__bin.13	QinJ_2012__DOM018__bin.3	QinJ_2012__CON-006__bin.16	CosteaPI_2017__SID713A087-11-90-0__bin.22	CM_madagascar__A20_03_1FE__bin.11	YuJ_2015__SZAXPI015274-111__bin.12	CosteaPI_2017__SID713A077-11-90-0__bin.30	CM_madagascar__V50_01_1FE__bin.1	CosteaPI_2017__SID713A066-11-0-0__bin.3	CM_madagascar__A24_04_1FE__bin.4	QinJ_2012__T2D-009__bin.21	CosteaPI_2017__SID713A005-11-0-0__bin.38	CosteaPI_2017__SID713A066-11-90-0__bin.13	CosteaPI_2017__SID713B066-11-0-0__bin.40	ZeeviD_2015__PNP_Main_431__bin.4	VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	CosteaPI_2017__SID713A087-11-0-0__bin.37	ZeeviD_2015__PNP_Main_78__bin.40	CM_madagascar__A55_02_1FE__bin.64	XieH_2016__YSZC12003_35524__bin.69	CosteaPI_2017__SID713B066-11-90-0__bin.52	CM_madagascar__A69_02_1FE__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.41	BritoIL_2016__WL.35.ST__bin.44	CosteaPI_2017__SID713B042-11-90-0__bin.5	YuJ_2015__SZAXPI015247-35__bin.42	CM_madagascar__V50_01_2FE__bin.17
ZeeviD_2015__PNP_Main_78__bin.40	1524692.0	1721633.0	1517921.0	1494995.0	1510243.0	1536523.0	1328161.0	902867.0	1321029.0	1812518.0	1596023.0	1634172.0	1506948.0	1682543.0	1625341.0	1700441.0	1732846.0	1792385.0	1891610.0	1243751.0	1768601.0	1797310.0	1778689.0	1809434.0	1562614.0	1685805.0	1779300.0	1642141.0
CM_madagascar__A55_02_1FE__bin.64	1334015.0	1378331.0	1281728.0	1289624.0	1175555.0	1297452.0	1104927.0	841946.0	1260488.0	1402050.0	1476937.0	1334557.0	1172006.0	1369032.0	1263989.0	1363386.0	1369304.0	1437948.0	1243751.0	1576295.0	1419558.0	1421215.0	1415231.0	1444460.0	1330573.0	1283772.0	1432142.0	1506326.0
XieH_2016__YSZC12003_35524__bin.69	1784620.0	1974935.0	1753741.0	1701012.0	1741105.0	1762569.0	1568238.0	1045203.0	1503736.0	2137090.0	1888580.0	1913228.0	1770005.0	1998235.0	1891199.0	1959186.0	1965425.0	2123866.0	1768601.0	1419558.0	2334407.0	2136615.0	2107432.0	2155082.0	1834392.0	1923347.0	2096714.0	1931008.0
CosteaPI_2017__SID713B066-11-90-0__bin.52	1789202.0	1985434.0	1751258.0	1703732.0	1734120.0	1765014.0	1570422.0	1042555.0	1513649.0	2148630.0	1899151.0	1914876.0	1778630.0	2000332.0	2005968.0	1968097.0	1983342.0	2161326.0	1797310.0	1421215.0	2136615.0	2345274.0	2122142.0	2174886.0	1853285.0	1950893.0	2074799.0	1937180.0
CM_madagascar__A69_02_1FE__bin.19	1768798.0	1962953.0	1731889.0	1708289.0	1709832.0	1769846.0	1554489.0	1055392.0	1496462.0	2151478.0	1866817.0	1892357.0	1748235.0	1996471.0	1855175.0	1935717.0	1978475.0	2105357.0	1778689.0	1415231.0	2107432.0	2122142.0	2329928.0	2129187.0	1840805.0	1950391.0	2073745.0	1919917.0
CosteaPI_2017__SID713A005-11-90-0__bin.41	1834029.0	2032543.0	1768573.0	1744853.0	1778309.0	1801210.0	1599856.0	1059022.0	1546600.0	2163280.0	1937936.0	1965529.0	1884834.0	2008516.0	1913955.0	2002118.0	2003379.0	2224932.0	1809434.0	1444460.0	2155082.0	2174886.0	2129187.0	2348980.0	1894741.0	1953668.0	2118964.0	1989100.0
BritoIL_2016__WL.35.ST__bin.44	1962511.0	1753854.0	1851351.0	1806202.0	1497443.0	1610164.0	1386016.0	1001462.0	1434055.0	1828155.0	1781216.0	1676672.0	1516471.0	1739149.0	1638854.0	1729163.0	1729628.0	1862997.0	1562614.0	1330573.0	1834392.0	1853285.0	1840805.0	1894741.0	2196182.0	1646128.0	1837652.0	1820268.0
CosteaPI_2017__SID713B042-11-90-0__bin.5	1593729.0	1846715.0	1587472.0	1547991.0	1732789.0	1596303.0	1523200.0	947621.0	1386180.0	2062568.0	1683805.0	1747794.0	1728545.0	1858272.0	1879053.0	1781095.0	1863357.0	1934216.0	1685805.0	1283772.0	1923347.0	1950893.0	1950391.0	1953668.0	1646128.0	2100969.0	1910724.0	1744627.0
YuJ_2015__SZAXPI015247-35__bin.42	1787080.0	2002883.0	1745723.0	1713813.0	1684643.0	1762041.0	1560750.0	1048763.0	1517500.0	2119400.0	1900787.0	1882035.0	1721292.0	1962795.0	1819221.0	1953270.0	1965733.0	2097872.0	1779300.0	1432142.0	2096714.0	2074799.0	2073745.0	2118964.0	1837652.0	1910724.0	2203277.0	1938214.0
CM_madagascar__V50_01_2FE__bin.17	1762450.0	1837599.0	1696342.0	1666345.0	1589800.0	1697055.0	1456859.0	1040445.0	1614781.0	1927036.0	2084670.0	1755240.0	1616443.0	1819788.0	1731091.0	1815578.0	1817179.0	1948842.0	1642141.0	1506326.0	1931008.0	1937180.0	1919917.0	1989100.0	1820268.0	1744627.0	1938214.0	2239841.0
