	BritoIL_2016__M2.41.ST__bin.43	KarlssonFH_2013__S127__bin.13	QinJ_2012__DOM018__bin.3	QinJ_2012__CON-006__bin.16	CosteaPI_2017__SID713A087-11-90-0__bin.22	CM_madagascar__A20_03_1FE__bin.11	YuJ_2015__SZAXPI015274-111__bin.12	CosteaPI_2017__SID713A077-11-90-0__bin.30	CM_madagascar__V50_01_1FE__bin.1	CosteaPI_2017__SID713A066-11-0-0__bin.3	CM_madagascar__A24_04_1FE__bin.4	QinJ_2012__T2D-009__bin.21	CosteaPI_2017__SID713A005-11-0-0__bin.38	CosteaPI_2017__SID713A066-11-90-0__bin.13	CosteaPI_2017__SID713B066-11-0-0__bin.40	ZeeviD_2015__PNP_Main_431__bin.4	VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	CosteaPI_2017__SID713A087-11-0-0__bin.37	ZeeviD_2015__PNP_Main_78__bin.40	CM_madagascar__A55_02_1FE__bin.64	XieH_2016__YSZC12003_35524__bin.69	CosteaPI_2017__SID713B066-11-90-0__bin.52	CM_madagascar__A69_02_1FE__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.41	BritoIL_2016__WL.35.ST__bin.44	CosteaPI_2017__SID713B042-11-90-0__bin.5	YuJ_2015__SZAXPI015247-35__bin.42	CM_madagascar__V50_01_2FE__bin.17
CM_madagascar__A24_04_1FE__bin.4	46826.0	27121.0	46017.0	43768.0	24415.0	18998.0	23015.0	16067.0	1140.0	30083.0	0.0	27532.0	26539.0	29254.0	28076.0	27476.0	27300.0	32368.0	23805.0	1925.0	30113.0	33183.0	27575.0	33203.0	50431.0	26275.0	30074.0	1091.0
QinJ_2012__T2D-009__bin.21	44406.0	8437.0	43550.0	41513.0	2550.0	10072.0	7733.0	17737.0	20962.0	9215.0	27532.0	0.0	2575.0	8666.0	2532.0	8552.0	8703.0	2796.0	7435.0	21436.0	7827.0	2990.0	12108.0	3097.0	46559.0	8177.0	9284.0	28382.0
CosteaPI_2017__SID713A005-11-0-0__bin.38	40645.0	7706.0	39424.0	37377.0	1372.0	8812.0	7496.0	16196.0	19192.0	8580.0	26539.0	2575.0	0.0	7989.0	2166.0	7184.0	8500.0	1456.0	7203.0	18666.0	6918.0	2385.0	10865.0	476.0	42471.0	7813.0	8288.0	27016.0
CosteaPI_2017__SID713A066-11-90-0__bin.13	47540.0	2349.0	45777.0	43747.0	6537.0	7876.0	1565.0	18453.0	20836.0	502.0	29254.0	8666.0	7989.0	0.0	8195.0	4829.0	2709.0	8978.0	1788.0	21324.0	5607.0	9030.0	8894.0	9424.0	49413.0	1668.0	1832.0	30202.0
CosteaPI_2017__SID713B066-11-0-0__bin.40	44371.0	8072.0	41850.0	39673.0	1672.0	9637.0	7959.0	16658.0	20551.0	9318.0	28076.0	2532.0	2166.0	8195.0	0.0	7646.0	9233.0	1821.0	7433.0	20434.0	7392.0	541.0	12179.0	2365.0	46936.0	8064.0	8693.0	29364.0
ZeeviD_2015__PNP_Main_431__bin.4	46156.0	5240.0	44407.0	43025.0	6644.0	8100.0	4151.0	18371.0	20573.0	5058.0	27476.0	8552.0	7184.0	4829.0	7646.0	0.0	6107.0	8091.0	4095.0	20612.0	4655.0	8237.0	8265.0	8272.0	48029.0	4469.0	5186.0	27997.0
VogtmannE_2016__MMRS35808664ST-27-0-0__bin.15	45986.0	3085.0	45229.0	43764.0	7387.0	8620.0	2078.0	17690.0	20415.0	2624.0	27300.0	8703.0	8500.0	2709.0	9233.0	6107.0	0.0	9627.0	2224.0	20570.0	6543.0	9957.0	8855.0	9821.0	47903.0	2464.0	2910.0	27817.0
CosteaPI_2017__SID713A087-11-0-0__bin.37	50357.0	9104.0	47584.0	45657.0	569.0	11198.0	8100.0	18935.0	23106.0	9781.0	32368.0	2796.0	1456.0	8978.0	1821.0	8091.0	9627.0	0.0	7671.0	22846.0	7589.0	2277.0	13017.0	2031.0	52401.0	8251.0	9290.0	32260.0
ZeeviD_2015__PNP_Main_78__bin.40	40829.0	2048.0	40001.0	39136.0	6371.0	7640.0	1810.0	15754.0	18100.0	1589.0	23805.0	7435.0	7203.0	1788.0	7433.0	4095.0	2224.0	7671.0	0.0	18654.0	4973.0	7419.0	7498.0	7913.0	42239.0	1575.0	1855.0	24337.0
CM_madagascar__A55_02_1FE__bin.64	33734.0	20360.0	34001.0	33825.0	17925.0	14882.0	17243.0	13260.0	1576.0	21407.0	1925.0	21436.0	18666.0	21324.0	20434.0	20612.0	20570.0	22846.0	18654.0	0.0	21430.0	23353.0	19442.0	23202.0	35059.0	19486.0	21505.0	1761.0
XieH_2016__YSZC12003_35524__bin.69	49922.0	5885.0	48114.0	45522.0	6180.0	8534.0	5040.0	18630.0	20980.0	6143.0	30113.0	7827.0	6918.0	5607.0	7392.0	4655.0	6543.0	7589.0	4973.0	21430.0	0.0	7980.0	8745.0	8115.0	52442.0	5540.0	5949.0	30268.0
CosteaPI_2017__SID713B066-11-90-0__bin.52	50960.0	8769.0	47395.0	45229.0	1985.0	10995.0	8166.0	18709.0	22808.0	9858.0	33183.0	2990.0	2385.0	9030.0	541.0	8237.0	9957.0	2277.0	7419.0	23353.0	7980.0	0.0	13441.0	2836.0	52915.0	8412.0	9228.0	33375.0
CM_madagascar__A69_02_1FE__bin.19	48057.0	8592.0	46971.0	45566.0	10331.0	7445.0	7697.0	18420.0	19465.0	9338.0	27575.0	12108.0	10865.0	8894.0	12179.0	8265.0	8855.0	13017.0	7498.0	19442.0	8745.0	13441.0	0.0	13320.0	51489.0	8176.0	9366.0	28158.0
CosteaPI_2017__SID713A005-11-90-0__bin.41	51894.0	9487.0	48145.0	46329.0	1581.0	11098.0	8241.0	19213.0	23212.0	10273.0	33203.0	3097.0	476.0	9424.0	2365.0	8272.0	9821.0	2031.0	7913.0	23202.0	8115.0	2836.0	13320.0	0.0	54192.0	8843.0	9706.0	33727.0
BritoIL_2016__WL.35.ST__bin.44	2812.0	48618.0	8986.0	8957.0	41674.0	42123.0	39044.0	26025.0	37138.0	52316.0	50431.0	46559.0	42471.0	49413.0	46936.0	48029.0	47903.0	52401.0	42239.0	35059.0	52442.0	52915.0	51489.0	54192.0	0.0	46450.0	52186.0	50935.0
CosteaPI_2017__SID713B042-11-90-0__bin.5	44205.0	2238.0	42712.0	41433.0	7117.0	7414.0	1579.0	16364.0	19263.0	1653.0	26275.0	8177.0	7813.0	1668.0	8064.0	4469.0	2464.0	8251.0	1575.0	19486.0	5540.0	8412.0	8176.0	8843.0	46450.0	0.0	1719.0	27565.0
YuJ_2015__SZAXPI015247-35__bin.42	49992.0	2269.0	47456.0	45916.0	7373.0	8587.0	1259.0	18722.0	21234.0	1892.0	30074.0	9284.0	8288.0	1832.0	8693.0	5186.0	2910.0	9290.0	1855.0	21505.0	5949.0	9228.0	9366.0	9706.0	52186.0	1719.0	0.0	30597.0
CM_madagascar__V50_01_2FE__bin.17	47636.0	27918.0	46550.0	44283.0	25492.0	19132.0	23908.0	16410.0	754.0	31146.0	1091.0	28382.0	27016.0	30202.0	29364.0	27997.0	27817.0	32260.0	24337.0	1761.0	30268.0	33375.0	28158.0	33727.0	50935.0	27565.0	30597.0	0.0
