	NielsenHB_2014__V1_CD29_0__bin.31	XieH_2016__YSZC12003_36005__bin.30	LiJ_2014__MH0271__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.52	NielsenHB_2014__V1_UC15_3__bin.6	ZellerG_2014__CCIS70398272ST-4-0__bin.61	ZeeviD_2015__PNP_Main_759__bin.12	YuJ_2015__SZAXPI015268-109__bin.32	YuJ_2015__SZAXPI015253-44__bin.3	YuJ_2015__SZAXPI017588-123__bin.39	XieH_2016__YSZC12003_37322__bin.37	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.40	LeChatelierE_2013__MH0136__bin.24	NielsenHB_2014__MH0111__bin.16	NielsenHB_2014__V1_UC1_0__bin.3	ZeeviD_2015__PNP_Main_565__bin.34	ZeeviD_2015__PNP_Main_59__bin.13	NielsenHB_2014__MH0136__bin.7	LeChatelierE_2013__MH0111__bin.11	XieH_2016__YSZC12003_35506__bin.79	BackhedF_2015__SID128_12M__bin.24	VatanenT_2016__G78545__bin.5	VogtmannE_2016__MMRS81135225ST-27-0-0__bin.12	HMP_2012__SRS045645__bin.35	ZeeviD_2015__PNP_Main_555__bin.28	QinJ_2012__CON-083__bin.1	LiJ_2014__MH0399__bin.87	ZeeviD_2015__PNP_Main_599__bin.21	HeQ_2017__SZAXPI029573-88__bin.45	LeChatelierE_2013__MH0229__bin.57	ZeeviD_2015__PNP_Main_467__bin.22	ZeeviD_2015__PNP_Main_409__bin.35	LeChatelierE_2013__MH0431__bin.12	ZeeviD_2015__PNP_Main_662__bin.2	FengQ_2015__SID31428__bin.21	XieH_2016__YSZC12003_36674__bin.4
NielsenHB_2014__V1_UC1_0__bin.3	8055.0	10164.0	10123.0	13376.0	9766.0	10332.0	7726.0	12978.0	14228.0	15743.0	12186.0	16246.0	8981.0	12302.0	0.0	13519.0	8596.0	9106.0	12665.0	12240.0	10883.0	11464.0	16433.0	11177.0	9665.0	15239.0	11704.0	12401.0	11484.0	9679.0	7346.0	7043.0	11772.0	9857.0	12130.0	18188.0
ZeeviD_2015__PNP_Main_565__bin.34	16210.0	18426.0	16509.0	19624.0	14761.0	16440.0	14345.0	18415.0	24660.0	22185.0	18899.0	23458.0	17775.0	19038.0	13519.0	0.0	13985.0	17548.0	19784.0	19731.0	18250.0	15308.0	20058.0	9427.0	16386.0	20425.0	19793.0	18424.0	17234.0	16593.0	13437.0	13763.0	18188.0	16819.0	19153.0	19180.0
ZeeviD_2015__PNP_Main_59__bin.13	12151.0	11487.0	12242.0	16125.0	10468.0	11258.0	10320.0	14734.0	17733.0	18087.0	13222.0	16677.0	12298.0	14428.0	8596.0	13985.0	0.0	12422.0	14545.0	15057.0	12809.0	12446.0	17131.0	13107.0	7331.0	17289.0	14017.0	13269.0	13672.0	11595.0	9466.0	9294.0	13606.0	7990.0	12398.0	17259.0
NielsenHB_2014__MH0136__bin.7	3022.0	15083.0	13761.0	19803.0	12871.0	12582.0	2236.0	17222.0	21176.0	21565.0	16320.0	21243.0	219.0	15835.0	9106.0	17548.0	12422.0	0.0	15800.0	17195.0	14363.0	14250.0	20953.0	14233.0	12787.0	20350.0	16101.0	17073.0	14479.0	14428.0	3814.0	10319.0	14885.0	13876.0	16744.0	18967.0
LeChatelierE_2013__MH0111__bin.11	14891.0	15295.0	16532.0	17665.0	14347.0	9232.0	13200.0	17190.0	20176.0	21165.0	18143.0	21041.0	15751.0	703.0	12665.0	19784.0	14545.0	15800.0	0.0	18551.0	16564.0	15616.0	20453.0	16761.0	14666.0	20019.0	16818.0	18987.0	16724.0	17406.0	11375.0	11907.0	16346.0	16318.0	18512.0	18353.0
XieH_2016__YSZC12003_35506__bin.79	15460.0	18149.0	14702.0	18214.0	13289.0	16712.0	14345.0	18125.0	22729.0	20983.0	16965.0	20732.0	17064.0	17713.0	12240.0	19731.0	15057.0	17195.0	18551.0	0.0	17001.0	13830.0	19966.0	15403.0	15202.0	18726.0	16217.0	16644.0	16700.0	14910.0	12207.0	13207.0	15337.0	16330.0	19214.0	18395.0
BackhedF_2015__SID128_12M__bin.24	14576.0	16395.0	11311.0	17439.0	12768.0	15381.0	11727.0	17868.0	21344.0	18839.0	15107.0	19981.0	14309.0	16325.0	10883.0	18250.0	12809.0	14363.0	16564.0	17001.0	0.0	14015.0	19078.0	14147.0	14945.0	18387.0	15265.0	16326.0	15584.0	15809.0	11045.0	11560.0	12894.0	15100.0	17056.0	23772.0
VatanenT_2016__G78545__bin.5	14386.0	15512.0	12548.0	15474.0	11615.0	13539.0	12827.0	16127.0	18615.0	17823.0	12708.0	17941.0	13949.0	15485.0	11464.0	15308.0	12446.0	14250.0	15616.0	13830.0	14015.0	0.0	15824.0	14486.0	14088.0	15984.0	14332.0	15146.0	14543.0	14078.0	10615.0	12050.0	11805.0	13731.0	17072.0	15883.0
VogtmannE_2016__MMRS81135225ST-27-0-0__bin.12	18685.0	20656.0	20308.0	18421.0	16996.0	18409.0	17613.0	18963.0	21453.0	22607.0	19600.0	20995.0	20734.0	20095.0	16433.0	20058.0	17131.0	20953.0	20453.0	19966.0	19078.0	15824.0	0.0	17362.0	18418.0	18043.0	19709.0	20215.0	18103.0	18143.0	14255.0	14885.0	18821.0	19378.0	21389.0	4399.0
HMP_2012__SRS045645__bin.35	14239.0	16268.0	13961.0	18234.0	12978.0	13476.0	11953.0	16769.0	20495.0	19860.0	15156.0	18323.0	14048.0	16191.0	11177.0	9427.0	13107.0	14233.0	16761.0	15403.0	14147.0	14486.0	17362.0	0.0	14368.0	18623.0	15705.0	14645.0	15100.0	15471.0	10478.0	11602.0	13769.0	14839.0	16410.0	17937.0
ZeeviD_2015__PNP_Main_555__bin.28	12067.0	12694.0	12930.0	17886.0	12488.0	11889.0	10464.0	16851.0	19867.0	20492.0	15886.0	18972.0	12588.0	14783.0	9665.0	16386.0	7331.0	12787.0	14666.0	15202.0	14945.0	14088.0	18418.0	14368.0	0.0	20417.0	15264.0	14599.0	15190.0	13039.0	9910.0	9871.0	13769.0	9397.0	13816.0	18080.0
QinJ_2012__CON-083__bin.1	19854.0	21151.0	18978.0	10182.0	16984.0	18658.0	16874.0	10182.0	10809.0	11812.0	16703.0	15883.0	20181.0	19666.0	15239.0	20425.0	17289.0	20350.0	20019.0	18726.0	18387.0	15984.0	18043.0	18623.0	20417.0	0.0	20263.0	19292.0	16181.0	18372.0	14775.0	16002.0	17714.0	20327.0	18607.0	18108.0
LiJ_2014__MH0399__bin.87	14355.0	17120.0	14857.0	19728.0	14674.0	15009.0	12855.0	17277.0	24336.0	20909.0	17522.0	22397.0	16069.0	17062.0	11704.0	19793.0	14017.0	16101.0	16818.0	16217.0	15265.0	14332.0	19709.0	15705.0	15264.0	20263.0	0.0	18071.0	15938.0	15227.0	12145.0	12161.0	14509.0	15538.0	19068.0	20876.0
ZeeviD_2015__PNP_Main_599__bin.21	17010.0	17895.0	14192.0	19028.0	14131.0	15460.0	13738.0	18167.0	21009.0	21408.0	18073.0	21456.0	16914.0	18845.0	12401.0	18424.0	13269.0	17073.0	18987.0	16644.0	16326.0	15146.0	20215.0	14645.0	14599.0	19292.0	18071.0	0.0	16694.0	12553.0	11747.0	11755.0	14991.0	14448.0	18094.0	19961.0
HeQ_2017__SZAXPI029573-88__bin.45	14496.0	15370.0	14877.0	16173.0	14876.0	13929.0	12179.0	13442.0	15781.0	16675.0	15168.0	18284.0	14655.0	16748.0	11484.0	17234.0	13672.0	14479.0	16724.0	16700.0	15584.0	14543.0	18103.0	15100.0	15190.0	16181.0	15938.0	16694.0	0.0	14584.0	11696.0	11909.0	15215.0	15384.0	15314.0	18018.0
LeChatelierE_2013__MH0229__bin.57	14526.0	17397.0	10208.0	16402.0	13104.0	13711.0	11932.0	16902.0	20004.0	19480.0	15563.0	19130.0	14463.0	16873.0	9679.0	16593.0	11595.0	14428.0	17406.0	14910.0	15809.0	14078.0	18143.0	15471.0	13039.0	18372.0	15227.0	12553.0	14584.0	0.0	9725.0	11311.0	12943.0	13098.0	16848.0	19779.0
ZeeviD_2015__PNP_Main_467__bin.22	3949.0	10206.0	10456.0	13564.0	9882.0	9538.0	3540.0	12488.0	15361.0	15366.0	11554.0	14153.0	3568.0	11365.0	7346.0	13437.0	9466.0	3814.0	11375.0	12207.0	11045.0	10615.0	14255.0	10478.0	9910.0	14775.0	12145.0	11747.0	11696.0	9725.0	0.0	7932.0	10514.0	10436.0	11844.0	14041.0
ZeeviD_2015__PNP_Main_409__bin.35	10857.0	11243.0	9331.0	14778.0	10365.0	9297.0	8332.0	14556.0	15863.0	15564.0	11443.0	15476.0	10158.0	11855.0	7043.0	13763.0	9294.0	10319.0	11907.0	13207.0	11560.0	12050.0	14885.0	11602.0	9871.0	16002.0	12161.0	11755.0	11909.0	11311.0	7932.0	0.0	10303.0	10447.0	11783.0	15454.0
LeChatelierE_2013__MH0431__bin.12	13198.0	14973.0	11858.0	17408.0	13595.0	14864.0	12349.0	15972.0	20367.0	20483.0	15775.0	19976.0	14542.0	15770.0	11772.0	18188.0	13606.0	14885.0	16346.0	15337.0	12894.0	11805.0	18821.0	13769.0	13769.0	17714.0	14509.0	14991.0	15215.0	12943.0	10514.0	10303.0	0.0	12625.0	17528.0	17455.0
ZeeviD_2015__PNP_Main_662__bin.2	13923.0	13894.0	13580.0	18370.0	12957.0	12629.0	11470.0	17851.0	19644.0	21305.0	15900.0	19710.0	13647.0	16559.0	9857.0	16819.0	7990.0	13876.0	16318.0	16330.0	15100.0	13731.0	19378.0	14839.0	9397.0	20327.0	15538.0	14448.0	15384.0	13098.0	10436.0	10447.0	12625.0	0.0	14976.0	19100.0
FengQ_2015__SID31428__bin.21	14888.0	15944.0	16528.0	17760.0	15382.0	15608.0	12758.0	17207.0	19911.0	19080.0	18669.0	22005.0	16576.0	17804.0	12130.0	19153.0	12398.0	16744.0	18512.0	19214.0	17056.0	17072.0	21389.0	16410.0	13816.0	18607.0	19068.0	18094.0	15314.0	16848.0	11844.0	11783.0	17528.0	14976.0	0.0	20268.0
XieH_2016__YSZC12003_36674__bin.4	23240.0	19532.0	19227.0	17789.0	16494.0	17376.0	21380.0	18705.0	20870.0	19887.0	17705.0	19332.0	18795.0	18832.0	18188.0	19180.0	17259.0	18967.0	18353.0	18395.0	23772.0	15883.0	4399.0	17937.0	18080.0	18108.0	20876.0	19961.0	18018.0	19779.0	14041.0	15454.0	17455.0	19100.0	20268.0	0.0
