	HMP_2012__SRS022536__bin.11	HMP_2012__SRS063603__bin.51	HMP_2012__SRS014578__bin.3	HMP_2012__SRS043755__bin.17	HMP_2012__SRS064449__bin.29	HMP_2012__SRS013533__bin.32	HMP_2012__SRS013252__bin.10	HMP_2012__SRS075410__bin.24	HMP_2012__SRS024649__bin.34	HMP_2012__SRS011098__bin.20	HMP_2012__SRS047113__bin.58	HMP_2012__SRS065099__bin.2	HMP_2012__SRS018394__bin.36	HMP_2012__SRS024561__bin.37	HMP_2012__SRS016043__bin.29	HMP_2012__SRS055401__bin.30	HMP_2012__SRS018665__bin.15	HMP_2012__SRS011126__bin.26	HMP_2012__SRS047634__bin.13	HMP_2012__SRS019906__bin.5	HMP_2012__SRS018157__bin.6	HMP_2012__SRS014690__bin.19	HMP_2012__SRS054430__bin.12	HMP_2012__SRS023841__bin.32	HMP_2012__SRS014476__bin.2	HMP_2012__SRS063932__bin.48
HMP_2012__SRS047113__bin.58	860233.0	873454.0	855234.0	832296.0	739627.0	718083.0	829190.0	860909.0	767285.0	651762.0	1002872.0	787352.0	802329.0	772432.0	784246.0	773698.0	862190.0	867567.0	588944.0	810580.0	856737.0	841826.0	783633.0	788122.0	780332.0	833398.0
HMP_2012__SRS065099__bin.2	901059.0	853307.0	869045.0	842680.0	747918.0	739676.0	839711.0	872734.0	756891.0	650967.0	787352.0	927666.0	789665.0	789855.0	772343.0	806005.0	872184.0	905933.0	591569.0	842694.0	860581.0	824885.0	794448.0	807527.0	769337.0	865550.0
HMP_2012__SRS018394__bin.36	864180.0	863645.0	866724.0	841542.0	733645.0	733899.0	851097.0	869827.0	767344.0	693513.0	802329.0	789665.0	1021618.0	797485.0	777087.0	810960.0	864653.0	885606.0	591819.0	831585.0	870473.0	848964.0	803762.0	807994.0	772219.0	854343.0
HMP_2012__SRS024561__bin.37	871826.0	849302.0	865390.0	856721.0	745705.0	744392.0	898434.0	878059.0	748301.0	686605.0	772432.0	789855.0	797485.0	947219.0	766329.0	824758.0	865160.0	889604.0	609200.0	839878.0	854696.0	831254.0	812918.0	827001.0	769178.0	868396.0
HMP_2012__SRS016043__bin.29	828654.0	857187.0	827760.0	831080.0	720854.0	709011.0	817701.0	830170.0	756837.0	644030.0	784246.0	772343.0	777087.0	766329.0	900735.0	777573.0	838010.0	837877.0	582723.0	796534.0	845470.0	829090.0	774547.0	776040.0	772510.0	827611.0
HMP_2012__SRS055401__bin.30	891106.0	868322.0	896454.0	886407.0	772488.0	747706.0	886997.0	900009.0	757384.0	681169.0	773698.0	806005.0	810960.0	824758.0	777573.0	1008339.0	899149.0	913371.0	600003.0	865103.0	878761.0	838174.0	826706.0	837133.0	775862.0	931561.0
HMP_2012__SRS018665__bin.15	960892.0	934394.0	1010757.0	924957.0	834687.0	809077.0	939749.0	1011838.0	820394.0	716077.0	862190.0	872184.0	864653.0	865160.0	838010.0	899149.0	1085589.0	989284.0	633292.0	954024.0	963440.0	906619.0	861617.0	916472.0	836175.0	950776.0
HMP_2012__SRS011126__bin.26	1059127.0	950822.0	994834.0	953328.0	828646.0	813692.0	964733.0	1008479.0	831403.0	734722.0	867567.0	905933.0	885606.0	889604.0	837877.0	913371.0	989284.0	1110325.0	637819.0	941323.0	944279.0	929740.0	886239.0	913152.0	859366.0	964017.0
HMP_2012__SRS047634__bin.13	634597.0	633804.0	638998.0	628381.0	572485.0	553867.0	629426.0	637531.0	570062.0	589660.0	588944.0	591569.0	591819.0	609200.0	582723.0	600003.0	633292.0	637819.0	676719.0	610703.0	647080.0	618248.0	609274.0	618804.0	578155.0	635807.0
HMP_2012__SRS019906__bin.5	918476.0	891576.0	952096.0	885832.0	793224.0	780212.0	909812.0	952707.0	789663.0	696684.0	810580.0	842694.0	831585.0	839878.0	796534.0	865103.0	954024.0	941323.0	610703.0	1001687.0	908702.0	861576.0	829501.0	878366.0	796660.0	912120.0
HMP_2012__SRS018157__bin.6	932748.0	943612.0	975653.0	916947.0	810075.0	800063.0	914557.0	962267.0	820663.0	718722.0	856737.0	860581.0	870473.0	854696.0	845470.0	878761.0	963440.0	944279.0	647080.0	908702.0	1064022.0	905169.0	868418.0	884199.0	852854.0	924114.0
HMP_2012__SRS014690__bin.19	909774.0	975661.0	902818.0	889424.0	768244.0	762638.0	884311.0	903220.0	817889.0	705450.0	841826.0	824885.0	848964.0	831254.0	829090.0	838174.0	906619.0	929740.0	618248.0	861576.0	905169.0	1067929.0	843551.0	829061.0	846953.0	894063.0
HMP_2012__SRS054430__bin.12	863458.0	867806.0	872254.0	851798.0	749012.0	744166.0	854257.0	871132.0	771625.0	686064.0	783633.0	794448.0	803762.0	812918.0	774547.0	826706.0	861617.0	886239.0	609274.0	829501.0	868418.0	843551.0	955348.0	817456.0	774663.0	868882.0
HMP_2012__SRS023841__bin.32	890701.0	858634.0	921942.0	870239.0	774195.0	773848.0	874800.0	967052.0	764329.0	688070.0	788122.0	807527.0	807994.0	827001.0	776040.0	837133.0	916472.0	913152.0	618804.0	878366.0	884199.0	829061.0	817456.0	1010134.0	770796.0	884578.0
HMP_2012__SRS014476__bin.2	848487.0	849761.0	840816.0	825672.0	719238.0	702207.0	811554.0	835130.0	746980.0	640723.0	780332.0	769337.0	772219.0	769178.0	772510.0	775862.0	836175.0	859366.0	578155.0	796660.0	852854.0	846953.0	774663.0	770796.0	952228.0	824770.0
HMP_2012__SRS063932__bin.48	938149.0	927542.0	950119.0	940931.0	815277.0	794686.0	932432.0	953822.0	809466.0	723575.0	833398.0	865550.0	854343.0	868396.0	827611.0	931561.0	950776.0	964017.0	635807.0	912120.0	924114.0	894063.0	868882.0	884578.0	824770.0	1115040.0
