	ZeeviD_2015__PNP_Main_415__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES24__bin.8	BritoIL_2016__WL.15.ST__bin.16	ZeeviD_2015__PNP_Main_487__bin.14	BritoIL_2016__WL.39.ST__bin.32	ZeeviD_2015__PNP_Main_607__bin.26	LiuW_2016__SRR3993015__bin.15	ZeeviD_2015__PNP_Validation_27__bin.17	ZellerG_2014__CCIS22958137ST-20-0__bin.2	ZeeviD_2015__PNP_Main_16__bin.15	ZeeviD_2015__PNP_Main_727__bin.17	ZeeviD_2015__PNP_Main_602__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES23__bin.47	ZeeviD_2015__PNP_Main_769__bin.12	ZeeviD_2015__PNP_Main_539__bin.51	BritoIL_2016__W2.46.ST__bin.25	ZeeviD_2015__PNP_Main_741__bin.63	ZeeviD_2015__PNP_Main_547__bin.27	LiJ_2014__MH0401__bin.50	ZeeviD_2015__PNP_Main_38__bin.17	LiSS_2016__FAT_017-22-84-0__bin.29	ZeeviD_2015__PNP_Main_29__bin.19	ZeeviD_2015__PNP_Main_561__bin.28	ZeeviD_2015__PNP_Main_482__bin.15	NielsenHB_2014__V1_UC23_1__bin.16	LiuW_2016__SRR3992960__bin.11	ZeeviD_2015__PNP_Main_122__bin.30	ZeeviD_2015__PNP_Main_668__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.108	ZeeviD_2015__PNP_Main_650__bin.28	RaymondF_2016__P9E0__bin.30	ZeeviD_2015__PNP_Validation_74__bin.28
ZeeviD_2015__PNP_Main_727__bin.17	1209510.0	1873305.0	1157034.0	2009124.0	966708.0	1768082.0	1903874.0	1103598.0	977321.0	1767227.0	2112001.0	1268082.0	1768309.0	1641139.0	1672031.0	1843916.0	1137345.0	1742274.0	1471473.0	1853642.0	832819.0	1532333.0	1606563.0	1880744.0	1291590.0	1203870.0	1749371.0	929197.0	1784059.0	1879574.0	1833544.0	1903811.0
ZeeviD_2015__PNP_Main_602__bin.12	1000684.0	1401869.0	980102.0	1429100.0	857588.0	1334328.0	1370310.0	951822.0	845682.0	1342764.0	1268082.0	1525113.0	1177905.0	1289026.0	1265157.0	1399221.0	984213.0	1293331.0	1150417.0	1365134.0	782814.0	1202990.0	1251474.0	1415675.0	1094182.0	951802.0	1322582.0	848367.0	1189876.0	1393624.0	1296821.0	1262262.0
Bengtsson-PalmeJ_2015__TRAVELRES23__bin.47	1142783.0	1942330.0	1103103.0	1810129.0	905734.0	1679452.0	1767150.0	1008982.0	870621.0	1683974.0	1768309.0	1177905.0	2001374.0	1581033.0	1556511.0	1756797.0	1055692.0	1697721.0	1418318.0	1737270.0	742998.0	1393333.0	1437603.0	1736671.0	1218697.0	1156239.0	1671615.0	895468.0	1727190.0	1714879.0	1703124.0	1810316.0
ZeeviD_2015__PNP_Main_769__bin.12	1440501.0	1810468.0	1174404.0	1820753.0	980989.0	2150860.0	1772400.0	1122524.0	1003092.0	2084754.0	1641139.0	1289026.0	1581033.0	2331450.0	1615242.0	1782997.0	1165324.0	1710777.0	1419886.0	1758678.0	860454.0	1491868.0	1511503.0	1773514.0	1315041.0	1183044.0	1669156.0	1147216.0	2037976.0	1746555.0	1661605.0	1656535.0
ZeeviD_2015__PNP_Main_539__bin.51	1168861.0	1772577.0	1152809.0	1872003.0	973765.0	1691095.0	1745414.0	1116783.0	1002313.0	1687726.0	1672031.0	1265157.0	1556511.0	1615242.0	1946340.0	1766110.0	1158378.0	1658806.0	1372149.0	1771599.0	867529.0	1501885.0	1511385.0	1811202.0	1283508.0	1171653.0	1648415.0	982891.0	1570223.0	1752449.0	1678330.0	1699576.0
BritoIL_2016__W2.46.ST__bin.25	1286530.0	2024345.0	1267062.0	2036338.0	1073737.0	1884123.0	2027195.0	1203490.0	1057938.0	1901666.0	1843916.0	1399221.0	1756797.0	1782997.0	1766110.0	2200741.0	1261340.0	1874705.0	1569545.0	1957231.0	938790.0	1628158.0	1659414.0	1978772.0	1430845.0	1302083.0	1910129.0	1035968.0	1788959.0	1938952.0	1876413.0	1884457.0
ZeeviD_2015__PNP_Main_741__bin.63	931310.0	1253661.0	879776.0	1303968.0	755377.0	1223110.0	1231163.0	904150.0	769201.0	1217942.0	1137345.0	984213.0	1055692.0	1165324.0	1158378.0	1261340.0	1363259.0	1188474.0	1017405.0	1255817.0	698074.0	1107397.0	1123330.0	1271314.0	998102.0	881231.0	1193190.0	771709.0	1099078.0	1264005.0	1163028.0	1160279.0
ZeeviD_2015__PNP_Main_547__bin.27	1218241.0	1947801.0	1187420.0	1931286.0	994187.0	1808693.0	1887745.0	1123911.0	1018308.0	1828911.0	1742274.0	1293331.0	1697721.0	1710777.0	1658806.0	1874705.0	1188474.0	2134704.0	1459796.0	1827757.0	885881.0	1548802.0	1580295.0	1865937.0	1329698.0	1211412.0	1758634.0	989096.0	1718771.0	1841996.0	1741698.0	1747160.0
LiJ_2014__MH0401__bin.50	1056147.0	1561459.0	1043548.0	1576595.0	894640.0	1476291.0	1567226.0	973067.0	893845.0	1479243.0	1471473.0	1150417.0	1418318.0	1419886.0	1372149.0	1569545.0	1017405.0	1459796.0	1701575.0	1531875.0	755318.0	1276024.0	1324723.0	1545262.0	1155485.0	1055443.0	1502018.0	850628.0	1438200.0	1512414.0	1442416.0	1502120.0
ZeeviD_2015__PNP_Main_38__bin.17	1287334.0	1982006.0	1258604.0	2054671.0	1073900.0	1853354.0	1948576.0	1239936.0	1086536.0	1878742.0	1853642.0	1365134.0	1737270.0	1758678.0	1771599.0	1957231.0	1255817.0	1827757.0	1531875.0	2171534.0	923935.0	1634850.0	1682629.0	1982175.0	1423415.0	1297054.0	1862334.0	1043517.0	1778682.0	1950459.0	1842505.0	1906414.0
LiSS_2016__FAT_017-22-84-0__bin.29	683723.0	945344.0	673223.0	970285.0	622995.0	895814.0	911316.0	693454.0	632506.0	898828.0	832819.0	782814.0	742998.0	860454.0	867529.0	938790.0	698074.0	885881.0	755318.0	923935.0	988506.0	859876.0	886446.0	958381.0	778754.0	634320.0	892478.0	608421.0	757257.0	943290.0	882570.0	816403.0
ZeeviD_2015__PNP_Main_29__bin.19	1122205.0	1631262.0	1087077.0	1724177.0	910794.0	1567426.0	1628963.0	1079407.0	965980.0	1589681.0	1532333.0	1202990.0	1393333.0	1491868.0	1501885.0	1628158.0	1107397.0	1548802.0	1276024.0	1634850.0	859876.0	1770937.0	1464338.0	1664423.0	1246633.0	1079382.0	1545352.0	926408.0	1453734.0	1664576.0	1542366.0	1533197.0
ZeeviD_2015__PNP_Main_561__bin.28	1133873.0	1674863.0	1089022.0	1813998.0	950961.0	1605882.0	1667001.0	1080334.0	981698.0	1601106.0	1606563.0	1251474.0	1437603.0	1511503.0	1511385.0	1659414.0	1123330.0	1580295.0	1324723.0	1682629.0	886446.0	1464338.0	1904834.0	1712303.0	1278264.0	1091432.0	1595961.0	943740.0	1459332.0	1723990.0	1601502.0	1598625.0
ZeeviD_2015__PNP_Main_482__bin.15	1294517.0	1990538.0	1259434.0	2112676.0	1076276.0	1870916.0	1970401.0	1221195.0	1082700.0	1896006.0	1880744.0	1415675.0	1736671.0	1773514.0	1811202.0	1978772.0	1271314.0	1865937.0	1545262.0	1982175.0	958381.0	1664423.0	1712303.0	2194537.0	1448931.0	1292474.0	1869904.0	1044647.0	1782089.0	2006905.0	1898857.0	1885360.0
NielsenHB_2014__V1_UC23_1__bin.16	989012.0	1441022.0	949053.0	1473724.0	846385.0	1366000.0	1381602.0	951441.0	879982.0	1375427.0	1291590.0	1094182.0	1218697.0	1315041.0	1283508.0	1430845.0	998102.0	1329698.0	1155485.0	1423415.0	778754.0	1246633.0	1278264.0	1448931.0	1570918.0	945529.0	1365978.0	819876.0	1234988.0	1405373.0	1316894.0	1302506.0
LiuW_2016__SRR3992960__bin.11	907170.0	1306601.0	864084.0	1317932.0	766856.0	1245732.0	1326264.0	849229.0	711016.0	1248068.0	1203870.0	951802.0	1156239.0	1183044.0	1171653.0	1302083.0	881231.0	1211412.0	1055443.0	1297054.0	634320.0	1079382.0	1091432.0	1292474.0	945529.0	1507678.0	1251056.0	752128.0	1183216.0	1266626.0	1221846.0	1231304.0
ZeeviD_2015__PNP_Main_122__bin.30	1224322.0	1883216.0	1214600.0	1930474.0	1025305.0	1762674.0	1914665.0	1160030.0	1022944.0	1796268.0	1749371.0	1322582.0	1671615.0	1669156.0	1648415.0	1910129.0	1193190.0	1758634.0	1502018.0	1862334.0	892478.0	1545352.0	1595961.0	1869904.0	1365978.0	1251056.0	2122032.0	981396.0	1696744.0	1850861.0	1753817.0	1783638.0
ZeeviD_2015__PNP_Main_668__bin.7	887895.0	1056333.0	743390.0	1059236.0	666311.0	1179510.0	1022297.0	755078.0	689837.0	1151604.0	929197.0	848367.0	895468.0	1147216.0	982891.0	1035968.0	771709.0	989096.0	850628.0	1043517.0	608421.0	926408.0	943740.0	1044647.0	819876.0	752128.0	981396.0	1320903.0	1044070.0	1041219.0	953327.0	937913.0
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.108	1412095.0	1841667.0	1116498.0	1831142.0	932145.0	2154204.0	1821593.0	1054738.0	931000.0	2148372.0	1784059.0	1189876.0	1727190.0	2037976.0	1570223.0	1788959.0	1099078.0	1718771.0	1438200.0	1778682.0	757257.0	1453734.0	1459332.0	1782089.0	1234988.0	1183216.0	1696744.0	1044070.0	2430194.0	1737986.0	1714836.0	1781845.0
ZeeviD_2015__PNP_Main_650__bin.28	1274582.0	1943174.0	1235049.0	2120424.0	1042290.0	1843148.0	1955562.0	1223650.0	1058981.0	1859480.0	1879574.0	1393624.0	1714879.0	1746555.0	1752449.0	1938952.0	1264005.0	1841996.0	1512414.0	1950459.0	943290.0	1664576.0	1723990.0	2006905.0	1405373.0	1266626.0	1850861.0	1041219.0	1737986.0	2205937.0	1850813.0	1860305.0
RaymondF_2016__P9E0__bin.30	1196230.0	1883545.0	1156820.0	1972751.0	965965.0	1789747.0	1864370.0	1119436.0	977413.0	1784546.0	1833544.0	1296821.0	1703124.0	1661605.0	1678330.0	1876413.0	1163028.0	1741698.0	1442416.0	1842505.0	882570.0	1542366.0	1601502.0	1898857.0	1316894.0	1221846.0	1753817.0	953327.0	1714836.0	1850813.0	2139538.0	1877681.0
ZeeviD_2015__PNP_Validation_74__bin.28	1212298.0	1922477.0	1162303.0	1999846.0	975891.0	1788345.0	1900458.0	1124702.0	968725.0	1778970.0	1903811.0	1262262.0	1810316.0	1656535.0	1699576.0	1884457.0	1160279.0	1747160.0	1502120.0	1906414.0	816403.0	1533197.0	1598625.0	1885360.0	1302506.0	1231304.0	1783638.0	937913.0	1781845.0	1860305.0	1877681.0	2131164.0
