	VincentC_2016__MM094.1__bin.1	VincentC_2016__MM002.2__bin.21	GeversD_2014__SKBSTL066__bin.20	VincentC_2016__MM103.2__bin.9	VincentC_2016__MM060.2__bin.9	VincentC_2016__MM004.2__bin.16	VincentC_2016__MM089.1__bin.24	VincentC_2016__MM096__bin.15	NielsenHB_2014__O2_UC1_2__bin.30	OhJ_2014__MET0251__bin.45	BackhedF_2015__SID521_12M__bin.19	VincentC_2016__MM103.3__bin.7	VincentC_2016__MM074.1__bin.3	NielsenHB_2014__O2_UC1_0__bin.2	VincentC_2016__MM019.2__bin.16	DavidLA_2015__LD-Run1-09__bin.15	BackhedF_2015__SID622_12M__bin.11	VincentC_2016__MM017__bin.17	VincentC_2016__MM083.3__bin.3	VincentC_2016__MM048.2__bin.13	LiJ_2014__O2.UC1-1__bin.41	VincentC_2016__MM034.1__bin.8	VincentC_2016__MM083.2__bin.5	BackhedF_2015__SID338_12M__bin.15	VincentC_2016__MM002.1__bin.10	VincentC_2016__MM083.1__bin.13	VincentC_2016__MM092__bin.2	VatanenT_2016__G80273__bin.12	VincentC_2016__MM056.2__bin.7	VatanenT_2016__G80280__bin.5
BackhedF_2015__SID521_12M__bin.19	8531.0	16547.0	11593.0	9586.0	9435.0	9439.0	16175.0	19576.0	8585.0	16547.0	0.0	10478.0	10193.0	8081.0	11662.0	9550.0	13765.0	7727.0	11270.0	9920.0	11249.0	8648.0	8357.0	6404.0	13946.0	8554.0	8336.0	11400.0	16691.0	8204.0
VincentC_2016__MM103.3__bin.7	7094.0	9924.0	16079.0	1187.0	6193.0	19438.0	21379.0	12681.0	18590.0	11491.0	10478.0	0.0	16449.0	16650.0	21175.0	17587.0	21980.0	8231.0	21591.0	7348.0	19257.0	16526.0	17247.0	12851.0	10942.0	8377.0	18069.0	12013.0	20545.0	5654.0
VincentC_2016__MM074.1__bin.3	7109.0	10872.0	15672.0	20264.0	2327.0	22583.0	13630.0	28814.0	20733.0	10006.0	10193.0	16449.0	0.0	18369.0	23094.0	20580.0	25061.0	8612.0	22842.0	5792.0	21170.0	12351.0	17174.0	15006.0	12345.0	7801.0	327.0	13395.0	21363.0	5835.0
NielsenHB_2014__O2_UC1_0__bin.2	5801.0	7395.0	16209.0	22992.0	3144.0	29019.0	23342.0	26900.0	452.0	8747.0	8081.0	16650.0	18369.0	0.0	30467.0	21625.0	24220.0	7866.0	23434.0	5449.0	622.0	22388.0	17267.0	16968.0	9597.0	5888.0	23475.0	11895.0	24781.0	4235.0
VincentC_2016__MM019.2__bin.16	8718.0	12787.0	19586.0	29466.0	3936.0	11928.0	30529.0	37306.0	34464.0	12782.0	11662.0	21175.0	23094.0	30467.0	0.0	32374.0	35144.0	11356.0	33586.0	7220.0	34092.0	30265.0	23896.0	24114.0	14530.0	8781.0	30831.0	17619.0	18978.0	4977.0
DavidLA_2015__LD-Run1-09__bin.15	7936.0	12320.0	19720.0	23271.0	6667.0	31499.0	25968.0	33289.0	25117.0	13272.0	9550.0	17587.0	20580.0	21625.0	32374.0	0.0	26831.0	9558.0	25830.0	8464.0	25743.0	23865.0	19352.0	17834.0	13446.0	8820.0	25514.0	14484.0	28145.0	6690.0
BackhedF_2015__SID622_12M__bin.11	12169.0	18339.0	23878.0	26838.0	10323.0	32883.0	33618.0	40792.0	27543.0	18307.0	13765.0	21980.0	25061.0	24220.0	35144.0	26831.0	0.0	13570.0	31268.0	12064.0	28866.0	25629.0	24287.0	18517.0	18392.0	13354.0	27793.0	19437.0	34312.0	6328.0
VincentC_2016__MM017__bin.17	6150.0	9753.0	11155.0	8165.0	6956.0	9431.0	14421.0	15858.0	9401.0	11046.0	7727.0	8231.0	8612.0	7866.0	11356.0	9558.0	13570.0	0.0	11497.0	7837.0	10743.0	8256.0	8793.0	7969.0	10189.0	7211.0	9102.0	9920.0	13751.0	5307.0
VincentC_2016__MM083.3__bin.3	11692.0	18855.0	22950.0	25743.0	9550.0	31524.0	31627.0	38116.0	26919.0	16825.0	11270.0	21591.0	22842.0	23434.0	33586.0	25830.0	31268.0	11497.0	0.0	11083.0	27917.0	25052.0	6792.0	16665.0	18205.0	1790.0	25812.0	19049.0	33918.0	9592.0
VincentC_2016__MM048.2__bin.13	5256.0	10591.0	7905.0	6688.0	4819.0	6592.0	9767.0	13346.0	6530.0	8861.0	9920.0	7348.0	5792.0	5449.0	7220.0	8464.0	12064.0	7837.0	11083.0	0.0	7877.0	5562.0	9732.0	7751.0	10146.0	7457.0	6274.0	9533.0	10057.0	6368.0
LiJ_2014__O2.UC1-1__bin.41	8247.0	12019.0	19205.0	25650.0	4998.0	31848.0	27452.0	32430.0	816.0	12920.0	11249.0	19257.0	21170.0	622.0	34092.0	25743.0	28866.0	10743.0	27917.0	7877.0	0.0	24950.0	20947.0	20926.0	13112.0	9180.0	26667.0	16060.0	27887.0	6239.0
VincentC_2016__MM034.1__bin.8	6221.0	9650.0	16075.0	23994.0	1323.0	27865.0	13530.0	29475.0	25132.0	8986.0	8648.0	16526.0	12351.0	22388.0	30265.0	23865.0	25629.0	8256.0	25052.0	5562.0	24950.0	0.0	18374.0	17540.0	11053.0	5712.0	16399.0	12810.0	23197.0	4651.0
VincentC_2016__MM083.2__bin.5	10207.0	15322.0	18171.0	19131.0	8397.0	22078.0	23960.0	29132.0	19564.0	13985.0	8357.0	17247.0	17174.0	17267.0	23896.0	19352.0	24287.0	8793.0	6792.0	9732.0	20947.0	18374.0	0.0	11157.0	15478.0	2771.0	18663.0	15177.0	25880.0	7972.0
BackhedF_2015__SID338_12M__bin.15	7632.0	11714.0	14207.0	17880.0	5396.0	21786.0	20344.0	24012.0	19641.0	11688.0	6404.0	12851.0	15006.0	16968.0	24114.0	17834.0	18517.0	7969.0	16665.0	7751.0	20926.0	17540.0	11157.0	0.0	12531.0	7842.0	18841.0	12559.0	20914.0	6169.0
VincentC_2016__MM002.1__bin.10	7176.0	9513.0	13922.0	10521.0	9261.0	12881.0	18582.0	19410.0	11090.0	15581.0	13946.0	10942.0	12345.0	9597.0	14530.0	13446.0	18392.0	10189.0	18205.0	10146.0	13112.0	11053.0	15478.0	12531.0	0.0	11411.0	12024.0	14345.0	18146.0	7547.0
VincentC_2016__MM083.1__bin.13	7623.0	12776.0	9023.0	6983.0	6766.0	7863.0	12330.0	14729.0	7117.0	10967.0	8554.0	8377.0	7801.0	5888.0	8781.0	8820.0	13354.0	7211.0	1790.0	7457.0	9180.0	5712.0	2771.0	7842.0	11411.0	0.0	6255.0	10387.0	13727.0	7248.0
VincentC_2016__MM092__bin.2	6488.0	9391.0	16452.0	26359.0	1963.0	31058.0	16540.0	31880.0	27969.0	10873.0	8336.0	18069.0	327.0	23475.0	30831.0	25514.0	27793.0	9102.0	25812.0	6274.0	26667.0	16399.0	18663.0	18841.0	12024.0	6255.0	0.0	14340.0	23029.0	4497.0
VatanenT_2016__G80273__bin.12	8506.0	15200.0	13751.0	12422.0	8514.0	15805.0	19756.0	23168.0	14201.0	14556.0	11400.0	12013.0	13395.0	11895.0	17619.0	14484.0	19437.0	9920.0	19049.0	9533.0	16060.0	12810.0	15177.0	12559.0	14345.0	10387.0	14340.0	0.0	20603.0	7917.0
VincentC_2016__MM056.2__bin.7	11832.0	17296.0	21517.0	24875.0	7985.0	16728.0	28106.0	36306.0	26783.0	15484.0	16691.0	20545.0	21363.0	24781.0	18978.0	28145.0	34312.0	13751.0	33918.0	10057.0	27887.0	23197.0	25880.0	20914.0	18146.0	13727.0	23029.0	20603.0	0.0	9478.0
VatanenT_2016__G80280__bin.5	4857.0	7619.0	8130.0	4661.0	6185.0	3925.0	10044.0	10843.0	4658.0	9349.0	8204.0	5654.0	5835.0	4235.0	4977.0	6690.0	6328.0	5307.0	9592.0	6368.0	6239.0	4651.0	7972.0	6169.0	7547.0	7248.0	4497.0	7917.0	9478.0	0.0
