	VincentC_2016__MM094.1__bin.1	VincentC_2016__MM002.2__bin.21	GeversD_2014__SKBSTL066__bin.20	VincentC_2016__MM103.2__bin.9	VincentC_2016__MM060.2__bin.9	VincentC_2016__MM004.2__bin.16	VincentC_2016__MM089.1__bin.24	VincentC_2016__MM096__bin.15	NielsenHB_2014__O2_UC1_2__bin.30	OhJ_2014__MET0251__bin.45	BackhedF_2015__SID521_12M__bin.19	VincentC_2016__MM103.3__bin.7	VincentC_2016__MM074.1__bin.3	NielsenHB_2014__O2_UC1_0__bin.2	VincentC_2016__MM019.2__bin.16	DavidLA_2015__LD-Run1-09__bin.15	BackhedF_2015__SID622_12M__bin.11	VincentC_2016__MM017__bin.17	VincentC_2016__MM083.3__bin.3	VincentC_2016__MM048.2__bin.13	LiJ_2014__O2.UC1-1__bin.41	VincentC_2016__MM034.1__bin.8	VincentC_2016__MM083.2__bin.5	BackhedF_2015__SID338_12M__bin.15	VincentC_2016__MM002.1__bin.10	VincentC_2016__MM083.1__bin.13	VincentC_2016__MM092__bin.2	VatanenT_2016__G80273__bin.12	VincentC_2016__MM056.2__bin.7	VatanenT_2016__G80280__bin.5
BackhedF_2015__SID521_12M__bin.19	421140.0	689694.0	586706.0	345543.0	400755.0	266233.0	681830.0	690890.0	350822.0	651927.0	855935.0	373417.0	409511.0	307066.0	330995.0	468324.0	728301.0	472284.0	702773.0	430161.0	443730.0	316793.0	609930.0	464014.0	626843.0	505018.0	306806.0	599717.0	598174.0	399245.0
VincentC_2016__MM103.3__bin.7	287160.0	372323.0	517780.0	515727.0	227489.0	426843.0	635919.0	700735.0	507800.0	386533.0	373417.0	1016875.0	472920.0	476101.0	460882.0	542879.0	677544.0	297062.0	666545.0	259882.0	546454.0	464860.0	556924.0	402628.0	405113.0	296336.0	474952.0	412465.0	566277.0	224575.0
VincentC_2016__MM074.1__bin.3	337716.0	404895.0	670870.0	575370.0	240814.0	630911.0	863425.0	834541.0	677791.0	422463.0	409511.0	472920.0	1031065.0	606834.0	645326.0	718522.0	869376.0	335650.0	848133.0	284641.0	695548.0	680423.0	661948.0	526832.0	458841.0	326469.0	730837.0	481403.0	717734.0	236233.0
NielsenHB_2014__O2_UC1_0__bin.2	266241.0	284355.0	627975.0	678021.0	120754.0	739501.0	795633.0	826064.0	909686.0	305855.0	307066.0	476101.0	606834.0	1082472.0	780059.0	796122.0	866435.0	295590.0	855194.0	194629.0	935279.0	779605.0	647400.0	614915.0	370706.0	215947.0	768522.0	406173.0	725974.0	160352.0
VincentC_2016__MM019.2__bin.16	258586.0	311541.0	648082.0	677903.0	126329.0	926997.0	840677.0	866933.0	866012.0	337838.0	330995.0	460882.0	645326.0	780059.0	1075564.0	823015.0	902618.0	296424.0	862905.0	216013.0	850602.0	867568.0	641020.0	641285.0	369212.0	223729.0	863982.0	431920.0	750514.0	152134.0
DavidLA_2015__LD-Run1-09__bin.15	389123.0	484652.0	773588.0	748515.0	249708.0	783620.0	978776.0	1012225.0	910803.0	488101.0	468324.0	542879.0	718522.0	796122.0	823015.0	1187707.0	1084942.0	420373.0	1032806.0	320579.0	942708.0	838244.0	808518.0	751190.0	555025.0	375764.0	871818.0	580768.0	857004.0	293225.0
BackhedF_2015__SID622_12M__bin.11	568663.0	738949.0	1021291.0	826793.0	427526.0	853130.0	1264679.0	1280101.0	990016.0	716710.0	728301.0	677544.0	869376.0	866435.0	902618.0	1084942.0	1571197.0	605559.0	1361838.0	518891.0	1031044.0	911041.0	1092898.0	864724.0	787039.0	597549.0	936572.0	856831.0	1091002.0	457759.0
VincentC_2016__MM017__bin.17	333636.0	488388.0	489635.0	288219.0	295780.0	237779.0	567658.0	549550.0	336704.0	474062.0	472284.0	297062.0	335650.0	295590.0	296424.0	420373.0	605559.0	658578.0	586328.0	337620.0	390959.0	287984.0	509168.0	421177.0	494826.0	379681.0	296373.0	473315.0	499295.0	309899.0
VincentC_2016__MM083.3__bin.3	537907.0	717861.0	980699.0	802031.0	411765.0	815745.0	1216848.0	1224644.0	957699.0	689792.0	702773.0	666545.0	848133.0	855194.0	862905.0	1032806.0	1361838.0	586328.0	1589215.0	488412.0	990885.0	887515.0	1118359.0	826461.0	760220.0	624417.0	902907.0	811378.0	1069804.0	434853.0
VincentC_2016__MM048.2__bin.13	289526.0	421313.0	424650.0	221340.0	297345.0	180417.0	501036.0	469114.0	229184.0	435672.0	430161.0	259882.0	284641.0	194629.0	216013.0	320579.0	518891.0	337620.0	488412.0	593116.0	282744.0	224135.0	436829.0	313100.0	433029.0	337226.0	235757.0	418161.0	402229.0	276563.0
LiJ_2014__O2.UC1-1__bin.41	365736.0	448041.0	739560.0	759561.0	191520.0	789305.0	927649.0	962017.0	1055921.0	443068.0	443730.0	546454.0	695548.0	935279.0	850602.0	942708.0	1031044.0	390959.0	990885.0	282744.0	1203213.0	845174.0	764173.0	750756.0	513266.0	341174.0	880165.0	550945.0	833187.0	244770.0
VincentC_2016__MM034.1__bin.8	262612.0	302274.0	666578.0	673505.0	134368.0	822343.0	887641.0	851427.0	865032.0	332384.0	316793.0	464860.0	680423.0	779605.0	867568.0	838244.0	911041.0	287984.0	887515.0	224135.0	845174.0	1026984.0	667097.0	630369.0	370039.0	208712.0	894140.0	414779.0	750940.0	156422.0
VincentC_2016__MM083.2__bin.5	483206.0	617777.0	812366.0	625317.0	370159.0	593926.0	976479.0	987772.0	713557.0	602053.0	609930.0	556924.0	661948.0	647400.0	641020.0	808518.0	1092898.0	509168.0	1118359.0	436829.0	764173.0	667097.0	1286761.0	664749.0	658127.0	543289.0	672035.0	685278.0	862196.0	387152.0
BackhedF_2015__SID338_12M__bin.15	350977.0	479327.0	601411.0	566821.0	229302.0	566927.0	786919.0	776238.0	701846.0	466979.0	464014.0	402628.0	526832.0	614915.0	641285.0	751190.0	864724.0	421177.0	826461.0	313100.0	750756.0	630369.0	664749.0	951304.0	520039.0	359878.0	645770.0	551586.0	684026.0	276937.0
VincentC_2016__MM002.1__bin.10	440384.0	667505.0	623806.0	385004.0	399246.0	319035.0	742565.0	730611.0	430825.0	633965.0	626843.0	405113.0	458841.0	370706.0	369212.0	555025.0	787039.0	494826.0	760220.0	433029.0	513266.0	370039.0	658127.0	520039.0	869847.0	486406.0	399447.0	632643.0	634294.0	404403.0
VincentC_2016__MM083.1__bin.13	342583.0	516164.0	437737.0	256102.0	315100.0	195530.0	530640.0	534744.0	266436.0	474926.0	505018.0	296336.0	326469.0	215947.0	223729.0	375764.0	597549.0	379681.0	624417.0	337226.0	341174.0	208712.0	543289.0	359878.0	486406.0	725588.0	232129.0	481412.0	474398.0	331864.0
VincentC_2016__MM092__bin.2	290164.0	312783.0	665442.0	718474.0	144665.0	859006.0	940637.0	893381.0	928466.0	369271.0	306806.0	474952.0	730837.0	768522.0	863982.0	871818.0	936572.0	296373.0	902907.0	235757.0	880165.0	894140.0	672035.0	645770.0	399447.0	232129.0	1048917.0	452194.0	750805.0	160266.0
VatanenT_2016__G80273__bin.12	424127.0	625390.0	633271.0	404124.0	374582.0	385800.0	773143.0	763285.0	480661.0	614739.0	599717.0	412465.0	481403.0	406173.0	431920.0	580768.0	856831.0	473315.0	811378.0	418161.0	550945.0	414779.0	685278.0	551586.0	632643.0	481412.0	452194.0	1240028.0	673633.0	378252.0
VincentC_2016__MM056.2__bin.7	467753.0	611106.0	856636.0	675590.0	349604.0	699350.0	1015180.0	1027808.0	791856.0	593480.0	598174.0	566277.0	717734.0	725974.0	750514.0	857004.0	1091002.0	499295.0	1069804.0	402229.0	833187.0	750940.0	862196.0	684026.0	634294.0	474398.0	750805.0	673633.0	1322323.0	355442.0
VatanenT_2016__G80280__bin.5	274931.0	409869.0	371845.0	187738.0	275123.0	117376.0	415205.0	407725.0	182250.0	389363.0	399245.0	224575.0	236233.0	160352.0	152134.0	293225.0	457759.0	309899.0	434853.0	276563.0	244770.0	156422.0	387152.0	276937.0	404403.0	331864.0	160266.0	378252.0	355442.0	637573.0
