	HMP_2012__SRS024561__bin.28	CM_periimplantitis__SP_261SPT_T016__bin.3	HMP_2012__SRS014578__bin.49	CM_periimplantitis__SP_201SPI_T016__bin.7	CM_periimplantitis__SP_304SPI_T016__bin.6	HMP_2012__SRS051941__bin.47	HMP_2012__SRS014107__bin.7	HMP_2012__SRS049268__bin.47	HMP_2012__SRS018157__bin.52	CM_periimplantitis__SP_326SPI_T016__bin.3	HMP_2012__SRS015650__bin.14	CM_periimplantitis__SP_125SPI_T016__bin.4	HMP_2012__SRS017691__bin.13	HMP_2012__SRS022602__bin.81	HMP_2012__SRS023964__bin.22	CM_periimplantitis__SP_325SPI_T016__bin.2	HMP_2012__SRS011126__bin.74	HMP_2012__SRS047634__bin.17	CM_periimplantitis__SP_189SPI_T016__bin.38	HMP_2012__SRS063603__bin.41	HMP_2012__SRS019128__bin.42	CM_periimplantitis__SP_281SPI_T016__bin.1	HMP_2012__SRS058808__bin.44	HMP_2012__SRS016043__bin.17	HMP_2012__SRS063999__bin.47	HMP_2012__SRS064449__bin.46	HMP_2012__SRS019029__bin.15	HMP_2012__SRS055378__bin.37	HMP_2012__SRS017511__bin.27	HMP_2012__SRS020226__bin.25	HMP_2012__SRS015215__bin.13	HMP_2012__SRS014476__bin.36	HMP_2012__SRS024087__bin.47	HMP_2012__SRS011255__bin.25	HMP_2012__SRS016331__bin.45
CM_periimplantitis__SP_125SPI_T016__bin.4	1853047.0	1833372.0	1939899.0	1891514.0	1772414.0	1408628.0	1210780.0	1858798.0	1860458.0	1473246.0	1898208.0	2032081.0	1847314.0	1736902.0	1209379.0	1101647.0	1383481.0	1819350.0	1813481.0	1236367.0	1696057.0	1493793.0	1825258.0	1889293.0	1944639.0	1797532.0	1790131.0	1267069.0	1754249.0	964149.0	866600.0	1834733.0	1154567.0	1730084.0	1455771.0
HMP_2012__SRS017691__bin.13	1903005.0	1794153.0	1845704.0	1860537.0	1725901.0	1442731.0	1183357.0	1901949.0	1914224.0	1483492.0	1804344.0	1847314.0	2039517.0	1774861.0	1216476.0	1077606.0	1392041.0	1854063.0	1789087.0	1242898.0	1728528.0	1460971.0	1873047.0	1841997.0	1847615.0	1834359.0	1780852.0	1207613.0	1735137.0	986545.0	876925.0	1824278.0	1109416.0	1697200.0	1465786.0
HMP_2012__SRS022602__bin.81	1774261.0	1685814.0	1719679.0	1729802.0	1625723.0	1355103.0	1126419.0	1767700.0	1757036.0	1388912.0	1699024.0	1736902.0	1774861.0	1906192.0	1178118.0	1026802.0	1300743.0	1724530.0	1673383.0	1198985.0	1634630.0	1389309.0	1729829.0	1721803.0	1710328.0	1707550.0	1652453.0	1151480.0	1664541.0	932881.0	832860.0	1687955.0	1063129.0	1607066.0	1384256.0
HMP_2012__SRS023964__bin.22	1236636.0	1186536.0	1185285.0	1217482.0	1144521.0	953177.0	822363.0	1221267.0	1230175.0	1018410.0	1186934.0	1209379.0	1216476.0	1178118.0	1269062.0	773092.0	870106.0	1209399.0	1173161.0	800083.0	1122983.0	1007518.0	1208909.0	1185160.0	1191955.0	1196817.0	1160064.0	789469.0	1186630.0	676969.0	567105.0	1187397.0	716376.0	1140493.0	1011306.0
CM_periimplantitis__SP_325SPI_T016__bin.2	1091133.0	1133724.0	1087320.0	1080279.0	1091034.0	871940.0	747701.0	1071031.0	1090156.0	928109.0	1092396.0	1101647.0	1077606.0	1026802.0	773092.0	1164611.0	876141.0	1062288.0	1133371.0	738588.0	989436.0	951307.0	1072852.0	1091105.0	1092391.0	1045613.0	1086649.0	736125.0	1036318.0	626548.0	569845.0	1143503.0	677857.0	1035351.0	887860.0
HMP_2012__SRS011126__bin.74	1390542.0	1510475.0	1406992.0	1355843.0	1457596.0	1075900.0	894547.0	1364732.0	1396953.0	1137248.0	1378455.0	1383481.0	1392041.0	1300743.0	870106.0	876141.0	1590375.0	1366968.0	1521796.0	1138204.0	1292298.0	1223058.0	1376401.0	1393793.0	1416656.0	1332855.0	1396770.0	1141245.0	1303572.0	720577.0	883446.0	1554975.0	1034251.0	1324380.0	1061292.0
HMP_2012__SRS047634__bin.17	1890146.0	1776640.0	1807682.0	1852684.0	1710530.0	1438423.0	1167808.0	1869680.0	1999902.0	1458968.0	1764278.0	1819350.0	1854063.0	1724530.0	1209399.0	1062288.0	1366968.0	2021812.0	1766063.0	1235422.0	1717602.0	1442582.0	1863566.0	1805544.0	1809074.0	1803022.0	1754559.0	1192648.0	1740704.0	958338.0	849931.0	1790894.0	1085717.0	1689690.0	1449563.0
CM_periimplantitis__SP_189SPI_T016__bin.38	1808951.0	1948142.0	1839116.0	1792786.0	1896112.0	1355727.0	1210515.0	1786600.0	1819422.0	1499618.0	1798274.0	1813481.0	1789087.0	1673383.0	1173161.0	1133371.0	1521796.0	1766063.0	2029162.0	1181794.0	1637272.0	1557614.0	1767832.0	1823442.0	1842773.0	1725700.0	1812568.0	1170303.0	1689869.0	927093.0	912112.0	1987021.0	1078957.0	1727412.0	1420437.0
HMP_2012__SRS063603__bin.41	1263175.0	1198036.0	1218501.0	1232641.0	1153394.0	1003435.0	760382.0	1226923.0	1250200.0	961862.0	1213192.0	1236367.0	1242898.0	1198985.0	800083.0	738588.0	1138204.0	1235422.0	1181794.0	1367100.0	1212105.0	1000374.0	1252549.0	1227420.0	1215712.0	1217279.0	1215614.0	1137664.0	1180093.0	668994.0	802706.0	1204316.0	1033845.0	1134961.0	985271.0
HMP_2012__SRS019128__bin.42	1742685.0	1647357.0	1687298.0	1700752.0	1577697.0	1341489.0	1078068.0	1732876.0	1756807.0	1348099.0	1662518.0	1696057.0	1728528.0	1634630.0	1122983.0	989436.0	1292298.0	1717602.0	1637272.0	1212105.0	1855779.0	1356373.0	1721453.0	1679011.0	1684537.0	1675460.0	1629199.0	1179561.0	1610789.0	914538.0	845369.0	1649998.0	1083082.0	1555746.0	1352948.0
CM_periimplantitis__SP_281SPI_T016__bin.1	1478586.0	1567521.0	1479668.0	1470209.0	1495668.0	1133468.0	999426.0	1452598.0	1466084.0	1236510.0	1466711.0	1493793.0	1460971.0	1389309.0	1007518.0	951307.0	1223058.0	1442582.0	1557614.0	1000374.0	1356373.0	1600511.0	1434879.0	1471261.0	1481118.0	1412112.0	1450779.0	1009403.0	1401158.0	803367.0	764447.0	1570380.0	914068.0	1418518.0	1196377.0
HMP_2012__SRS058808__bin.44	1907879.0	1787858.0	1808405.0	1848996.0	1705009.0	1445436.0	1160674.0	1853339.0	1912774.0	1454651.0	1790348.0	1825258.0	1873047.0	1729829.0	1208909.0	1072852.0	1376401.0	1863566.0	1767832.0	1252549.0	1721453.0	1434879.0	2022799.0	1826719.0	1808604.0	1804829.0	1759464.0	1202379.0	1721066.0	962999.0	874533.0	1793110.0	1108221.0	1679078.0	1442717.0
HMP_2012__SRS016043__bin.17	1877264.0	1833040.0	1891159.0	1873309.0	1762302.0	1399975.0	1202723.0	1856634.0	1855915.0	1473194.0	1847525.0	1889293.0	1841997.0	1721803.0	1185160.0	1091105.0	1393793.0	1805544.0	1823442.0	1227420.0	1679011.0	1471261.0	1826719.0	2060423.0	1891385.0	1773132.0	1788567.0	1209500.0	1715839.0	949451.0	890254.0	1836011.0	1136118.0	1720757.0	1440793.0
HMP_2012__SRS063999__bin.47	1837231.0	1834964.0	2068686.0	1867094.0	1792879.0	1393934.0	1207538.0	1862713.0	1857846.0	1478174.0	1897857.0	1944639.0	1847615.0	1710328.0	1191955.0	1092391.0	1416656.0	1809074.0	1842773.0	1215712.0	1684537.0	1481118.0	1808604.0	1891385.0	2098242.0	1782517.0	1788406.0	1249924.0	1734375.0	946524.0	881318.0	1855264.0	1153672.0	1721916.0	1440062.0
HMP_2012__SRS064449__bin.46	1832247.0	1735335.0	1774662.0	1802285.0	1663307.0	1403459.0	1142779.0	1905610.0	1839967.0	1434488.0	1748172.0	1797532.0	1834359.0	1707550.0	1196817.0	1045613.0	1332855.0	1803022.0	1725700.0	1217279.0	1675460.0	1412112.0	1804829.0	1773132.0	1782517.0	1939784.0	1722602.0	1184745.0	1697898.0	953005.0	845273.0	1742703.0	1071551.0	1649993.0	1427306.0
HMP_2012__SRS019029__bin.15	1788586.0	1823509.0	1786380.0	1782254.0	1761332.0	1351241.0	1183061.0	1780596.0	1805802.0	1490314.0	1767262.0	1790131.0	1780852.0	1652453.0	1160064.0	1086649.0	1396770.0	1754559.0	1812568.0	1215614.0	1629199.0	1450779.0	1759464.0	1788567.0	1788406.0	1722602.0	2095728.0	1141633.0	1665905.0	924829.0	894934.0	1847361.0	1071845.0	1698698.0	1410272.0
HMP_2012__SRS055378__bin.37	1205129.0	1174224.0	1247696.0	1209342.0	1138607.0	967432.0	765639.0	1189577.0	1201865.0	950347.0	1223190.0	1267069.0	1207613.0	1151480.0	789469.0	736125.0	1141245.0	1192648.0	1170303.0	1137664.0	1179561.0	1009403.0	1202379.0	1209500.0	1249924.0	1184745.0	1141633.0	1296363.0	1140506.0	647831.0	819942.0	1183924.0	1073116.0	1107780.0	980266.0
HMP_2012__SRS017511__bin.27	1745262.0	1710055.0	1725959.0	1747042.0	1644848.0	1347238.0	1139160.0	1748823.0	1766500.0	1396475.0	1706428.0	1754249.0	1735137.0	1664541.0	1186630.0	1036318.0	1303572.0	1740704.0	1689869.0	1180093.0	1610789.0	1401158.0	1721066.0	1715839.0	1734375.0	1697898.0	1665905.0	1140506.0	1867663.0	928680.0	818594.0	1714052.0	1038064.0	1627050.0	1388007.0
HMP_2012__SRS020226__bin.25	973599.0	943118.0	949268.0	967879.0	910025.0	781983.0	647208.0	967930.0	970720.0	808106.0	939427.0	964149.0	986545.0	932881.0	676969.0	626548.0	720577.0	958338.0	927093.0	668994.0	914538.0	803367.0	962999.0	949451.0	946524.0	953005.0	924829.0	647831.0	928680.0	1012704.0	476709.0	945499.0	590756.0	909306.0	799697.0
HMP_2012__SRS015215__bin.13	883858.0	909894.0	882737.0	852555.0	883445.0	713482.0	560843.0	863679.0	878755.0	751583.0	871517.0	866600.0	876925.0	832860.0	567105.0	569845.0	883446.0	849931.0	912112.0	802706.0	845369.0	764447.0	874533.0	890254.0	881318.0	845273.0	894934.0	819942.0	818594.0	476709.0	1003023.0	923513.0	777210.0	848560.0	708873.0
HMP_2012__SRS014476__bin.36	1828951.0	2012211.0	1852082.0	1802780.0	1933086.0	1383410.0	1221607.0	1804816.0	1838587.0	1516198.0	1809465.0	1834733.0	1824278.0	1687955.0	1187397.0	1143503.0	1554975.0	1790894.0	1987021.0	1204316.0	1649998.0	1570380.0	1793110.0	1836011.0	1855264.0	1742703.0	1847361.0	1183924.0	1714052.0	945499.0	923513.0	2121526.0	1088336.0	1755753.0	1433803.0
HMP_2012__SRS024087__bin.47	1114849.0	1079640.0	1158508.0	1104706.0	1052819.0	898255.0	707001.0	1099865.0	1109683.0	888317.0	1135971.0	1154567.0	1109416.0	1063129.0	716376.0	677857.0	1034251.0	1085717.0	1078957.0	1033845.0	1083082.0	914068.0	1108221.0	1136118.0	1153672.0	1071551.0	1071845.0	1073116.0	1038064.0	590756.0	777210.0	1088336.0	1220283.0	1031345.0	886695.0
HMP_2012__SRS011255__bin.25	1702376.0	1758777.0	1719632.0	1713354.0	1677776.0	1306692.0	1192564.0	1736331.0	1717881.0	1425512.0	1689376.0	1730084.0	1697200.0	1607066.0	1140493.0	1035351.0	1324380.0	1689690.0	1727412.0	1134961.0	1555746.0	1418518.0	1679078.0	1720757.0	1721916.0	1649993.0	1698698.0	1107780.0	1627050.0	909306.0	848560.0	1755753.0	1031345.0	1877134.0	1353443.0
HMP_2012__SRS016331__bin.45	1474640.0	1426384.0	1436579.0	1456888.0	1378727.0	1137095.0	962008.0	1467189.0	1481560.0	1207658.0	1436106.0	1455771.0	1465786.0	1384256.0	1011306.0	887860.0	1061292.0	1449563.0	1420437.0	985271.0	1352948.0	1196377.0	1442717.0	1440793.0	1440062.0	1427306.0	1410272.0	980266.0	1388007.0	799697.0	708873.0	1433803.0	886695.0	1353443.0	1505244.0
