	CosteaPI_2017__SID713B014-11-0-0__bin.32	LeChatelierE_2013__MH0013__bin.12	ZeeviD_2015__PNP_Main_172__bin.54	FengQ_2015__SID31866__bin.74	CM_madagascar__A79_02_1FE__bin.27	BritoIL_2016__W3.22.ST__bin.39	ZeeviD_2015__PNP_Main_587__bin.15	Obregon-TitoAJ_2015__SM20__bin.34	XieH_2016__YSZC12003_37100__bin.77	BritoIL_2016__W2.9.ST__bin.25	LeChatelierE_2013__MH0437__bin.97	XieH_2016__YSZC12003_36244__bin.27	FengQ_2015__SID31223__bin.56	BritoIL_2016__M1.61.ST__bin.72	BritoIL_2016__M1.16.ST__bin.34	NielsenHB_2014__V1_UC21_4__bin.3	BritoIL_2016__W1.41.ST__bin.31	ZeeviD_2015__PNP_Main_113__bin.57	BritoIL_2016__W2.69.ST__bin.15	XieH_2016__YSZC12003_35980__bin.71	FengQ_2015__SID530295__bin.42	BritoIL_2016__W1.11.ST__bin.11	BritoIL_2016__W1.9.ST__bin.39	BritoIL_2016__M1.15.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.14	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.29	NielsenHB_2014__MH0013__bin.1	NielsenHB_2014__V1_UC40_0__bin.13	BritoIL_2016__M1.29.ST__bin.3	ZeeviD_2015__PNP_Main_134__bin.48	BritoIL_2016__W2.39.ST__bin.73	ZeeviD_2015__PNP_Main_238__bin.8	Obregon-TitoAJ_2015__HCO07__bin.22
FengQ_2015__SID31223__bin.56	1211023.0	1630788.0	1113998.0	1669506.0	1694670.0	1453086.0	1703522.0	1657915.0	1516152.0	1590578.0	1266465.0	1521565.0	1895262.0	1268258.0	1539332.0	1311204.0	1491798.0	1687511.0	971084.0	1655476.0	1293557.0	1636822.0	1620355.0	1538630.0	1714900.0	1340999.0	1501900.0	1446294.0	1662873.0	1564634.0	1466114.0	1177860.0	1498647.0
BritoIL_2016__M1.61.ST__bin.72	856291.0	1205339.0	877489.0	1221085.0	1251946.0	1121268.0	1236530.0	1241224.0	1187986.0	1230256.0	978806.0	1171378.0	1268258.0	1418581.0	1198862.0	972592.0	1173126.0	1244494.0	798309.0	1264558.0	972930.0	1211126.0	1238957.0	1213003.0	1263625.0	1032345.0	1143724.0	1125658.0	1247274.0	1198050.0	1106991.0	927032.0	1136501.0
BritoIL_2016__M1.16.ST__bin.34	1097574.0	1466624.0	1044847.0	1482519.0	1506934.0	1358497.0	1488302.0	1514960.0	1434660.0	1528835.0	1155849.0	1409364.0	1539332.0	1198862.0	1701234.0	1173539.0	1386933.0	1506088.0	938136.0	1515052.0	1167587.0	1485803.0	1484872.0	1498985.0	1537542.0	1238798.0	1371415.0	1352734.0	1513817.0	1424890.0	1360191.0	1070662.0	1390172.0
NielsenHB_2014__V1_UC21_4__bin.3	910975.0	1303939.0	909476.0	1272975.0	1315783.0	1116799.0	1260497.0	1304348.0	1184796.0	1218753.0	1043098.0	1158654.0	1311204.0	972592.0	1173539.0	1493490.0	1151972.0	1297099.0	759095.0	1260328.0	1001694.0	1251697.0	1233953.0	1176586.0	1304900.0	1062416.0	1234278.0	1144513.0	1269599.0	1232200.0	1115654.0	925746.0	1127571.0
BritoIL_2016__W1.41.ST__bin.31	1057995.0	1410684.0	1003280.0	1442605.0	1471803.0	1315715.0	1453163.0	1460477.0	1369679.0	1442984.0	1147664.0	1380280.0	1491798.0	1173126.0	1386933.0	1151972.0	1683544.0	1458929.0	903470.0	1497802.0	1157533.0	1492429.0	1490667.0	1403626.0	1476567.0	1208075.0	1338550.0	1329857.0	1506927.0	1388865.0	1345146.0	1057741.0	1323051.0
ZeeviD_2015__PNP_Main_113__bin.57	1145978.0	1602621.0	1108527.0	1652952.0	1647754.0	1401736.0	1656560.0	1614128.0	1499887.0	1560915.0	1257061.0	1521636.0	1687511.0	1244494.0	1506088.0	1297099.0	1458929.0	1823984.0	965870.0	1635891.0	1275198.0	1590930.0	1588252.0	1528405.0	1731161.0	1300750.0	1487568.0	1459613.0	1626324.0	1537981.0	1456945.0	1179134.0	1475001.0
BritoIL_2016__W2.69.ST__bin.15	672018.0	935267.0	674250.0	941439.0	971529.0	858197.0	952748.0	947675.0	905921.0	955473.0	728896.0	914878.0	971084.0	798309.0	938136.0	759095.0	903470.0	965870.0	1041438.0	967185.0	751349.0	947259.0	950436.0	939543.0	980704.0	808249.0	872900.0	869648.0	960880.0	916924.0	858529.0	710947.0	871448.0
XieH_2016__YSZC12003_35980__bin.71	1170667.0	1565905.0	1101076.0	1602894.0	1631143.0	1410572.0	1629296.0	1622986.0	1490156.0	1565736.0	1255237.0	1522342.0	1655476.0	1264558.0	1515052.0	1260328.0	1497802.0	1635891.0	967185.0	1787766.0	1273080.0	1600177.0	1608875.0	1538688.0	1644431.0	1299764.0	1458023.0	1442345.0	1614306.0	1530308.0	1456631.0	1151503.0	1478004.0
FengQ_2015__SID530295__bin.42	944380.0	1239735.0	847073.0	1270914.0	1270196.0	1088914.0	1261413.0	1254318.0	1157711.0	1208370.0	967027.0	1169306.0	1293557.0	972930.0	1167587.0	1001694.0	1157533.0	1275198.0	751349.0	1273080.0	1430505.0	1231953.0	1233240.0	1194454.0	1306761.0	1014267.0	1168305.0	1115023.0	1269469.0	1221702.0	1137786.0	916341.0	1144223.0
BritoIL_2016__W1.11.ST__bin.11	1144604.0	1535511.0	1053986.0	1596930.0	1614780.0	1378685.0	1561891.0	1566545.0	1441691.0	1532209.0	1213796.0	1448698.0	1636822.0	1211126.0	1485803.0	1251697.0	1492429.0	1590930.0	947259.0	1600177.0	1231953.0	1936327.0	1717633.0	1492832.0	1634931.0	1289964.0	1437689.0	1373731.0	1671216.0	1481459.0	1632110.0	1117730.0	1400672.0
BritoIL_2016__W1.9.ST__bin.39	1101982.0	1525608.0	1060923.0	1595031.0	1587770.0	1367257.0	1578247.0	1580789.0	1431537.0	1520978.0	1205501.0	1461576.0	1620355.0	1238957.0	1484872.0	1233953.0	1490667.0	1588252.0	950436.0	1608875.0	1233240.0	1717633.0	1875226.0	1497869.0	1602594.0	1268994.0	1414226.0	1383745.0	1609046.0	1485441.0	1589712.0	1134182.0	1421311.0
BritoIL_2016__M1.15.ST__bin.24	1089052.0	1468444.0	1054084.0	1499836.0	1526271.0	1332285.0	1503701.0	1507395.0	1454302.0	1520298.0	1169176.0	1442460.0	1538630.0	1213003.0	1498985.0	1176586.0	1403626.0	1528405.0	939543.0	1538688.0	1194454.0	1492832.0	1497869.0	1650233.0	1555600.0	1246132.0	1379972.0	1374413.0	1518273.0	1444105.0	1350181.0	1080948.0	1388199.0
ZeeviD_2015__PNP_Main_438__bin.14	1179454.0	1641800.0	1123617.0	1661334.0	1679430.0	1424577.0	1651603.0	1634120.0	1517457.0	1580348.0	1263494.0	1527165.0	1714900.0	1263625.0	1537542.0	1304900.0	1476567.0	1731161.0	980704.0	1644431.0	1306761.0	1634931.0	1602594.0	1555600.0	1885592.0	1336797.0	1509905.0	1470004.0	1652648.0	1565159.0	1459717.0	1179151.0	1489427.0
VogtmannE_2016__MMRS21365932ST-27-0-0__bin.29	961964.0	1304255.0	915369.0	1298433.0	1345706.0	1156679.0	1280096.0	1299805.0	1234165.0	1272697.0	1029680.0	1213549.0	1340999.0	1032345.0	1238798.0	1062416.0	1208075.0	1300750.0	808249.0	1299764.0	1014267.0	1289964.0	1268994.0	1246132.0	1336797.0	1567149.0	1227026.0	1170255.0	1316805.0	1222858.0	1140902.0	951773.0	1181957.0
NielsenHB_2014__MH0013__bin.1	1046739.0	1678408.0	1012877.0	1465008.0	1473422.0	1305478.0	1457414.0	1472545.0	1373040.0	1424753.0	1140917.0	1352502.0	1501900.0	1143724.0	1371415.0	1234278.0	1338550.0	1487568.0	872900.0	1458023.0	1168305.0	1437689.0	1414226.0	1379972.0	1509905.0	1227026.0	1809295.0	1321968.0	1465298.0	1433888.0	1301083.0	1064483.0	1321457.0
NielsenHB_2014__V1_UC40_0__bin.13	1034868.0	1402500.0	996343.0	1409280.0	1428354.0	1248915.0	1425209.0	1416791.0	1342866.0	1411567.0	1135649.0	1339391.0	1446294.0	1125658.0	1352734.0	1144513.0	1329857.0	1459613.0	869648.0	1442345.0	1115023.0	1373731.0	1383745.0	1374413.0	1470004.0	1170255.0	1321968.0	1546373.0	1409766.0	1355696.0	1252212.0	1011841.0	1304399.0
BritoIL_2016__M1.29.ST__bin.3	1154002.0	1575781.0	1100723.0	1606571.0	1631875.0	1434448.0	1601801.0	1607817.0	1490865.0	1568297.0	1234656.0	1490489.0	1662873.0	1247274.0	1513817.0	1269599.0	1506927.0	1626324.0	960880.0	1614306.0	1269469.0	1671216.0	1609046.0	1518273.0	1652648.0	1316805.0	1465298.0	1409766.0	1869761.0	1512935.0	1472475.0	1146449.0	1442973.0
ZeeviD_2015__PNP_Main_134__bin.48	1061460.0	1530757.0	1048569.0	1520059.0	1518193.0	1300924.0	1535687.0	1526739.0	1406882.0	1488232.0	1163265.0	1419277.0	1564634.0	1198050.0	1424890.0	1232200.0	1388865.0	1537981.0	916924.0	1530308.0	1221702.0	1481459.0	1485441.0	1444105.0	1565159.0	1222858.0	1433888.0	1355696.0	1512935.0	1681437.0	1366406.0	1091155.0	1384872.0
BritoIL_2016__W2.39.ST__bin.73	1023460.0	1383964.0	975734.0	1465079.0	1432841.0	1230232.0	1451237.0	1443455.0	1297333.0	1396204.0	1081072.0	1330898.0	1466114.0	1106991.0	1360191.0	1115654.0	1345146.0	1456945.0	858529.0	1456631.0	1137786.0	1632110.0	1589712.0	1350181.0	1459717.0	1140902.0	1301083.0	1252212.0	1472475.0	1366406.0	1777101.0	1015728.0	1318043.0
ZeeviD_2015__PNP_Main_238__bin.8	792417.0	1133662.0	814185.0	1151511.0	1158866.0	1037031.0	1155281.0	1144449.0	1072825.0	1092513.0	899678.0	1071112.0	1177860.0	927032.0	1070662.0	925746.0	1057741.0	1179134.0	710947.0	1151503.0	916341.0	1117730.0	1134182.0	1080948.0	1179151.0	951773.0	1064483.0	1011841.0	1146449.0	1091155.0	1015728.0	1381491.0	1030597.0
Obregon-TitoAJ_2015__HCO07__bin.22	1040888.0	1413703.0	1009012.0	1445649.0	1449814.0	1278808.0	1467863.0	1456871.0	1358414.0	1417221.0	1115278.0	1363514.0	1498647.0	1136501.0	1390172.0	1127571.0	1323051.0	1475001.0	871448.0	1478004.0	1144223.0	1400672.0	1421311.0	1388199.0	1489427.0	1181957.0	1321457.0	1304399.0	1442973.0	1384872.0	1318043.0	1030597.0	1679688.0
