	CosteaPI_2017__SID713B072-11-0-0__bin.18	LiuW_2016__SRR3993030__bin.73	CosteaPI_2017__SID713B064-11-90-0__bin.6	LiuW_2016__SRR3993012__bin.46	CosteaPI_2017__SID713A023-11-0-0__bin.73	NielsenHB_2014__MH0006__bin.37	SchirmerM_2016__G88960__bin.8	CosteaPI_2017__SID713A081-11-90-0__bin.19	CosteaPI_2017__SID713A040-11-0-0__bin.53	ChengpingW_2017__AS119raw__bin.13	BritoIL_2016__M1.4.ST__bin.14	FengQ_2015__SID530743__bin.84	QinN_2014__LD-17__bin.18	LiuW_2016__SRR3993058__bin.36	CosteaPI_2017__SID713B058-11-0-0__bin.63	CosteaPI_2017__SID713A057-11-90-0__bin.38	LeChatelierE_2013__MH0006__bin.11	RampelliS_2015__H10__bin.1	CosteaPI_2017__SID713A038-11-90-0__bin.47	CosteaPI_2017__SID713B065-11-0-0__bin.30	LeChatelierE_2013__MH0175__bin.3	WenC_2017__RA042__bin.45	RampelliS_2015__H14__bin.88	CosteaPI_2017__SID713A058-11-0-0__bin.5	CosteaPI_2017__SID713A014-11-0-0__bin.4	CosteaPI_2017__SID713B072-11-90-0__bin.33	CosteaPI_2017__SID713B002-11-90-0__bin.87	CM_madagascar__A89_02_1FE__bin.65	CosteaPI_2017__SID713A028-11-90-0__bin.22	CosteaPI_2017__SID713B016-11-90-0__bin.43	BritoIL_2016__M2.39.ST__bin.73	CosteaPI_2017__SID713A073-11-0-0__bin.29	SchirmerM_2016__G88808__bin.1	ZeeviD_2015__PNP_Main_60__bin.58	RampelliS_2015__H17__bin.31	NielsenHB_2014__MH0175__bin.17	LiJ_2014__V1.CD6-0-PT__bin.10	CosteaPI_2017__SID713A058-11-90-0__bin.72	LeChatelierE_2013__MH0189__bin.83	CM_madagascar__A43_02_1FE__bin.25	LiJ_2014__O2.CD2-0__bin.23	LiuW_2016__SRR3993041__bin.71	CosteaPI_2017__SID713B058-11-90-0__bin.39	CosteaPI_2017__SID713B056-11-90-0__bin.21	CosteaPI_2017__SID713A013-11-0-0__bin.83	FerrettiP_2018__CA_C10031MS2526FE_t0M15__bin.50	ZeeviD_2015__PNP_Main_763__bin.39	CosteaPI_2017__SID713B002-11-0-0__bin.27	YuJ_2015__SZAXPI015220-136__bin.55
LiuW_2016__SRR3993058__bin.36	2397982.0	2372117.0	2503948.0	2496845.0	2522475.0	2415662.0	1550204.0	2508577.0	2504304.0	2520629.0	2479206.0	2202585.0	2202600.0	2720454.0	2452175.0	2557724.0	2419538.0	2114822.0	2502076.0	1896630.0	1725916.0	2427627.0	2463664.0	2443921.0	2454956.0	2136421.0	2488905.0	1940964.0	2427152.0	2575525.0	2572309.0	1967445.0	2134779.0	1692511.0	2419405.0	2143776.0	2481957.0	2539983.0	2380874.0	2461371.0	2557636.0	2529067.0	1670658.0	2336351.0	2563394.0	2339854.0	2469858.0	2373576.0	2324178.0
CosteaPI_2017__SID713B058-11-0-0__bin.63	2425158.0	2276477.0	2443586.0	2404832.0	2629825.0	2429457.0	1535353.0	2528116.0	2584521.0	2558259.0	2508356.0	2168996.0	2177015.0	2452175.0	2939403.0	2580471.0	2411723.0	2051556.0	2537511.0	1857226.0	1708761.0	2429850.0	2421683.0	2406247.0	2469049.0	2127056.0	2455351.0	1889004.0	2442536.0	2670352.0	2608768.0	1915510.0	2120974.0	1721952.0	2324891.0	2133816.0	2532577.0	2602542.0	2402999.0	2434675.0	2597620.0	2519621.0	1640520.0	2273158.0	2631795.0	2321448.0	2516120.0	2336360.0	2293940.0
CosteaPI_2017__SID713A057-11-90-0__bin.38	2497914.0	2350058.0	2552164.0	2494882.0	2654714.0	2501501.0	1585636.0	2599136.0	2591473.0	2635721.0	2591434.0	2245243.0	2246958.0	2557724.0	2580471.0	2920225.0	2482374.0	2126652.0	2587039.0	1890504.0	1730808.0	2501609.0	2512782.0	2460122.0	2469756.0	2181666.0	2542530.0	1952777.0	2521262.0	2694613.0	2691358.0	1964562.0	2185109.0	1782885.0	2417598.0	2211633.0	2594670.0	2661336.0	2483801.0	2505884.0	2661011.0	2621984.0	1662663.0	2332265.0	2657234.0	2371371.0	2574127.0	2396510.0	2372064.0
LeChatelierE_2013__MH0006__bin.11	2322792.0	2261713.0	2374720.0	2403424.0	2479087.0	2568296.0	1535194.0	2437820.0	2462485.0	2533654.0	2431686.0	2180678.0	2166085.0	2419538.0	2411723.0	2482374.0	2713357.0	2058406.0	2428638.0	1822013.0	1707771.0	2393231.0	2398331.0	2360416.0	2365514.0	2063588.0	2412177.0	1870457.0	2348793.0	2510482.0	2496207.0	1901651.0	2145475.0	1705796.0	2310121.0	2152266.0	2526697.0	2500292.0	2354984.0	2396448.0	2501749.0	2454895.0	1610323.0	2251089.0	2493567.0	2312453.0	2401233.0	2296041.0	2275614.0
RampelliS_2015__H10__bin.1	1986639.0	1968308.0	2051082.0	2073613.0	2092139.0	2039055.0	1326897.0	2089005.0	2083877.0	2115660.0	2085887.0	1881758.0	1886726.0	2114822.0	2051556.0	2126652.0	2058406.0	2286405.0	2097310.0	1594167.0	1448178.0	2013765.0	2117328.0	2049650.0	2061925.0	1805018.0	2080395.0	1654397.0	2035448.0	2146482.0	2134604.0	1656147.0	1823756.0	1463192.0	2104847.0	1852221.0	2087777.0	2114430.0	2018943.0	2054992.0	2131044.0	2105783.0	1358155.0	1957620.0	2121038.0	1968308.0	2053782.0	1994672.0	1958595.0
CosteaPI_2017__SID713A038-11-90-0__bin.47	2475706.0	2324511.0	2485354.0	2445446.0	2673181.0	2440418.0	1555274.0	2596150.0	2539514.0	2561101.0	2510791.0	2213633.0	2189937.0	2502076.0	2537511.0	2587039.0	2428638.0	2097310.0	2769588.0	1886503.0	1719649.0	2430064.0	2477428.0	2487866.0	2479616.0	2180162.0	2509845.0	1944108.0	2465678.0	2627975.0	2631637.0	1948585.0	2157286.0	1722549.0	2388567.0	2161497.0	2536048.0	2668315.0	2426373.0	2475547.0	2633706.0	2552395.0	1641436.0	2334096.0	2621397.0	2353040.0	2532424.0	2375459.0	2328938.0
CosteaPI_2017__SID713B065-11-0-0__bin.30	1797551.0	1838844.0	1827266.0	1845309.0	1885272.0	1814275.0	1169503.0	1876177.0	1859473.0	1895064.0	1857312.0	1701008.0	1696034.0	1896630.0	1857226.0	1890504.0	1822013.0	1594167.0	1886503.0	1939205.0	1356057.0	1790022.0	1848536.0	1894747.0	1863317.0	1625575.0	1889368.0	1501802.0	1821509.0	1907081.0	1912221.0	1637533.0	1622232.0	1211946.0	1791998.0	1593850.0	1864021.0	1905935.0	1801900.0	1840612.0	1904184.0	1857116.0	1411055.0	1816469.0	1905539.0	1803124.0	1850351.0	1863555.0	1784030.0
LeChatelierE_2013__MH0175__bin.3	1615418.0	1653711.0	1683591.0	1706189.0	1714740.0	1698122.0	1089946.0	1705788.0	1723078.0	1751802.0	1702606.0	1560577.0	1547716.0	1725916.0	1708761.0	1730808.0	1707771.0	1448178.0	1719649.0	1356057.0	1784340.0	1671299.0	1712642.0	1704876.0	1681748.0	1470317.0	1720593.0	1364932.0	1657413.0	1740490.0	1738211.0	1449121.0	1530571.0	1110574.0	1641821.0	1611907.0	1749153.0	1722107.0	1686623.0	1663542.0	1733151.0	1714450.0	1274714.0	1651888.0	1717434.0	1683200.0	1702792.0	1700338.0	1644568.0
WenC_2017__RA042__bin.45	2338513.0	2231856.0	2418356.0	2403728.0	2509398.0	2387135.0	1516622.0	2432358.0	2450677.0	2545085.0	2434070.0	2143094.0	2175349.0	2427627.0	2429850.0	2501609.0	2393231.0	2013765.0	2430064.0	1790022.0	1671299.0	2779397.0	2372464.0	2320540.0	2340163.0	2058550.0	2395034.0	1853490.0	2344304.0	2509818.0	2534357.0	1891259.0	2100695.0	1747452.0	2288121.0	2114501.0	2491158.0	2484159.0	2353488.0	2372172.0	2507764.0	2465734.0	1617948.0	2228408.0	2484417.0	2299734.0	2424024.0	2271912.0	2350787.0
RampelliS_2015__H14__bin.88	2353174.0	2302995.0	2420255.0	2453046.0	2492827.0	2374037.0	1536803.0	2468115.0	2451803.0	2488151.0	2439824.0	2176931.0	2154149.0	2463664.0	2421683.0	2512782.0	2398331.0	2117328.0	2477428.0	1848536.0	1712642.0	2372464.0	2702815.0	2410522.0	2413729.0	2105285.0	2424968.0	1932508.0	2386088.0	2514682.0	2539665.0	1922754.0	2120397.0	1674191.0	2401251.0	2120033.0	2462202.0	2515640.0	2351583.0	2425413.0	2509601.0	2488881.0	1623521.0	2295436.0	2503396.0	2298816.0	2430609.0	2320831.0	2296670.0
CosteaPI_2017__SID713A058-11-0-0__bin.5	2335192.0	2337381.0	2381556.0	2383712.0	2524393.0	2352286.0	1504498.0	2473420.0	2439044.0	2451306.0	2393669.0	2165721.0	2155557.0	2443921.0	2406247.0	2460122.0	2360416.0	2049650.0	2487866.0	1894747.0	1704876.0	2320540.0	2410522.0	2581339.0	2410935.0	2091541.0	2458308.0	1911566.0	2389502.0	2509594.0	2501139.0	1980897.0	2102139.0	1626550.0	2319040.0	2082059.0	2425905.0	2579095.0	2336043.0	2386150.0	2482565.0	2438583.0	1674588.0	2323508.0	2493356.0	2298731.0	2406544.0	2370261.0	2263055.0
CosteaPI_2017__SID713A014-11-0-0__bin.4	2362723.0	2286307.0	2401879.0	2380598.0	2494060.0	2366821.0	1521132.0	2473885.0	2438316.0	2455573.0	2417099.0	2149266.0	2146237.0	2454956.0	2469049.0	2469756.0	2365514.0	2061925.0	2479616.0	1863317.0	1681748.0	2340163.0	2413729.0	2410935.0	2611455.0	2118276.0	2436161.0	1902921.0	2386027.0	2520366.0	2516841.0	1926738.0	2097771.0	1653215.0	2322798.0	2099760.0	2437912.0	2508390.0	2328056.0	2403947.0	2503879.0	2447534.0	1622392.0	2293225.0	2502647.0	2279938.0	2424609.0	2340928.0	2268813.0
CosteaPI_2017__SID713B072-11-90-0__bin.33	2210327.0	2000809.0	2116763.0	2076137.0	2208276.0	2062525.0	1351104.0	2177017.0	2152396.0	2156747.0	2124228.0	1925471.0	1870189.0	2136421.0	2127056.0	2181666.0	2063588.0	1805018.0	2180162.0	1625575.0	1470317.0	2058550.0	2105285.0	2091541.0	2118276.0	2347896.0	2160169.0	1652586.0	2087395.0	2218517.0	2219301.0	1684390.0	1826315.0	1450360.0	2027452.0	1848514.0	2117493.0	2205906.0	2051875.0	2105479.0	2194403.0	2145741.0	1412143.0	2002234.0	2209129.0	1997092.0	2128740.0	2048509.0	1989375.0
CosteaPI_2017__SID713B002-11-90-0__bin.87	2431277.0	2327543.0	2420094.0	2433094.0	2527480.0	2404579.0	1529938.0	2499799.0	2480521.0	2524933.0	2467776.0	2198009.0	2179976.0	2488905.0	2455351.0	2542530.0	2412177.0	2080395.0	2509845.0	1889368.0	1720593.0	2395034.0	2424968.0	2458308.0	2436161.0	2160169.0	2636252.0	1919846.0	2391485.0	2551172.0	2552943.0	1981894.0	2122053.0	1687850.0	2358661.0	2130384.0	2489746.0	2530013.0	2385970.0	2418381.0	2547946.0	2480444.0	1676367.0	2318280.0	2520657.0	2331928.0	2449959.0	2438086.0	2298178.0
CM_madagascar__A89_02_1FE__bin.65	1842253.0	1842044.0	1887437.0	1907253.0	1955194.0	1867811.0	1184431.0	1938716.0	1907192.0	1950639.0	1913586.0	1700413.0	1720865.0	1940964.0	1889004.0	1952777.0	1870457.0	1654397.0	1944108.0	1501802.0	1364932.0	1853490.0	1932508.0	1911566.0	1902921.0	1652586.0	1919846.0	2120183.0	1880769.0	1949217.0	1987346.0	1568595.0	1681859.0	1290270.0	1863614.0	1657625.0	1922536.0	1964638.0	1846103.0	1915232.0	1974270.0	1924819.0	1348818.0	1813749.0	1952128.0	1828539.0	1893335.0	1853826.0	1796568.0
CosteaPI_2017__SID713A028-11-90-0__bin.22	2364907.0	2289116.0	2437280.0	2357870.0	2552967.0	2351880.0	1511503.0	2491300.0	2528254.0	2493208.0	2416175.0	2139438.0	2153576.0	2427152.0	2442536.0	2521262.0	2348793.0	2035448.0	2465678.0	1821509.0	1657413.0	2344304.0	2386088.0	2389502.0	2386027.0	2087395.0	2391485.0	1880769.0	2779697.0	2609332.0	2560575.0	1892671.0	2090591.0	1673979.0	2306821.0	2075198.0	2454320.0	2551849.0	2337148.0	2427445.0	2519741.0	2469801.0	1597280.0	2241863.0	2604994.0	2258360.0	2428424.0	2288025.0	2238834.0
CosteaPI_2017__SID713B016-11-90-0__bin.43	2529759.0	2369784.0	2597181.0	2501939.0	2728057.0	2521916.0	1593373.0	2623555.0	2800702.0	2662779.0	2609730.0	2256579.0	2273269.0	2575525.0	2670352.0	2694613.0	2510482.0	2146482.0	2627975.0	1907081.0	1740490.0	2509818.0	2514682.0	2509594.0	2520366.0	2218517.0	2551172.0	1949217.0	2609332.0	3017854.0	2713834.0	1994057.0	2203017.0	1797031.0	2437750.0	2211735.0	2620217.0	2711650.0	2493068.0	2557149.0	2705211.0	2625629.0	1674375.0	2353817.0	2859962.0	2404653.0	2616718.0	2423511.0	2387792.0
BritoIL_2016__M2.39.ST__bin.73	2537706.0	2387038.0	2587378.0	2514220.0	2705492.0	2505319.0	1582959.0	2647138.0	2625513.0	2648445.0	2605638.0	2244077.0	2255704.0	2572309.0	2608768.0	2691358.0	2496207.0	2134604.0	2631637.0	1912221.0	1738211.0	2534357.0	2539665.0	2501139.0	2516841.0	2219301.0	2552943.0	1987346.0	2560575.0	2713834.0	2955204.0	1984117.0	2188128.0	1790473.0	2447560.0	2205339.0	2603166.0	2710819.0	2463058.0	2575210.0	2735509.0	2635679.0	1676756.0	2366002.0	2706086.0	2394187.0	2594589.0	2412121.0	2375249.0
CosteaPI_2017__SID713A073-11-0-0__bin.29	1883563.0	1931413.0	1895148.0	1936573.0	1959843.0	1893062.0	1221540.0	1944260.0	1973464.0	1968929.0	1929941.0	1765265.0	1771988.0	1967445.0	1915510.0	1964562.0	1901651.0	1656147.0	1948585.0	1637533.0	1449121.0	1891259.0	1922754.0	1980897.0	1926738.0	1684390.0	1981894.0	1568595.0	1892671.0	1994057.0	1984117.0	2009319.0	1701117.0	1252997.0	1856550.0	1648286.0	1950203.0	1972175.0	1888587.0	1913271.0	1970215.0	1930241.0	1575123.0	1902180.0	1980412.0	1888587.0	1910430.0	1967725.0	1840933.0
SchirmerM_2016__G88808__bin.1	2042644.0	2014130.0	2091750.0	2138245.0	2204391.0	2138570.0	1395465.0	2151139.0	2158983.0	2222329.0	2148264.0	1939125.0	1953552.0	2134779.0	2120974.0	2185109.0	2145475.0	1823756.0	2157286.0	1622232.0	1530571.0	2100695.0	2120397.0	2102139.0	2097771.0	1826315.0	2122053.0	1681859.0	2090591.0	2203017.0	2188128.0	1701117.0	2351096.0	1468519.0	2037509.0	1910979.0	2227710.0	2198115.0	2059952.0	2118604.0	2193085.0	2169350.0	1422746.0	2007702.0	2180517.0	2049178.0	2133566.0	2046221.0	2049420.0
ZeeviD_2015__PNP_Main_60__bin.58	1682492.0	1560181.0	1717126.0	1690956.0	1808177.0	1716247.0	1099666.0	1740844.0	1748464.0	1850392.0	1725367.0	1498823.0	1546501.0	1692511.0	1721952.0	1782885.0	1705796.0	1463192.0	1722549.0	1211946.0	1110574.0	1747452.0	1674191.0	1626550.0	1653215.0	1450360.0	1687850.0	1290270.0	1673979.0	1797031.0	1790473.0	1252997.0	1468519.0	2070661.0	1632453.0	1566137.0	1804959.0	1764706.0	1678573.0	1654764.0	1791795.0	1756625.0	1001081.0	1575885.0	1796933.0	1588185.0	1701028.0	1586636.0	1628342.0
RampelliS_2015__H17__bin.31	2265359.0	2240749.0	2340646.0	2346953.0	2391208.0	2296143.0	1474951.0	2379281.0	2364506.0	2393387.0	2351677.0	2105109.0	2112765.0	2419405.0	2324891.0	2417598.0	2310121.0	2104847.0	2388567.0	1791998.0	1641821.0	2288121.0	2401251.0	2319040.0	2322798.0	2027452.0	2358661.0	1863614.0	2306821.0	2437750.0	2447560.0	1856550.0	2037509.0	1632453.0	2592925.0	2066725.0	2362629.0	2410281.0	2271137.0	2345136.0	2431567.0	2406602.0	1553901.0	2214174.0	2421652.0	2231181.0	2347624.0	2250817.0	2223859.0
NielsenHB_2014__MH0175__bin.17	2058760.0	1980624.0	2091448.0	2117494.0	2204730.0	2162111.0	1403135.0	2145761.0	2144525.0	2261208.0	2148617.0	1921903.0	1922829.0	2143776.0	2133816.0	2211633.0	2152266.0	1852221.0	2161497.0	1593850.0	1611907.0	2114501.0	2120033.0	2082059.0	2099760.0	1848514.0	2130384.0	1657625.0	2075198.0	2211735.0	2205339.0	1648286.0	1910979.0	1566137.0	2066725.0	2372243.0	2225418.0	2202894.0	2097388.0	2076777.0	2215050.0	2192194.0	1381646.0	1988005.0	2205777.0	2027409.0	2125293.0	2025700.0	2023211.0
