	RaymondF_2016__P7C0__bin.13	CosteaPI_2017__SID713A073-11-90-0__bin.30	CosteaPI_2017__SID713A058-11-90-0__bin.32	XieH_2016__YSZC12003_37322__bin.16	LiuW_2016__SRR3992983__bin.32	BritoIL_2016__M2.37.ST__bin.52	RaymondF_2016__P7C7__bin.83	YuJ_2015__SZAXPI003412-1__bin.62	BritoIL_2016__M1.48.ST__bin.71	QinJ_2012__T2D-099__bin.10	RaymondF_2016__P7C90__bin.37	BritoIL_2016__M1.59.ST__bin.76	XieH_2016__YSZC12003_36666__bin.31	ZellerG_2014__CCIS07539127ST-4-0__bin.34	CosteaPI_2017__SID713B016-11-90-0__bin.11	LiJ_2014__MH0245__bin.25	BritoIL_2016__W2.59.ST__bin.17	NielsenHB_2014__V1_UC9_0__bin.13	ZellerG_2014__CCIS41222843ST-4-0__bin.49	LiSS_2016__FAT_008-22-42-0__bin.15	BritoIL_2016__M2.50.ST__bin.12	XieH_2016__YSZC12003_36474__bin.114	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.29	CM_madagascar__A73_01_1FE__bin.1	BritoIL_2016__M1.1.ST__bin.41	CosteaPI_2017__SID713A073-11-0-0__bin.1	YuJ_2015__SZAXPI015249-37__bin.28	LeChatelierE_2013__MH0200__bin.5	LiJ_2014__V1.FI14__bin.38	BritoIL_2016__W1.18.ST__bin.80	CosteaPI_2017__SID713A045-11-90-0__bin.3	BritoIL_2016__M2.40.ST__bin.87	KarlssonFH_2013__S144__bin.41	BritoIL_2016__M1.22.ST__bin.28
RaymondF_2016__P7C90__bin.37	1511.0	29189.0	31841.0	28757.0	22383.0	30960.0	647.0	33037.0	24700.0	26933.0	0.0	27154.0	37027.0	32662.0	29041.0	32455.0	36740.0	27044.0	35048.0	28325.0	24407.0	34759.0	30809.0	32632.0	34506.0	38101.0	28079.0	32885.0	32559.0	32952.0	25346.0	19029.0	33729.0	30974.0
BritoIL_2016__M1.59.ST__bin.76	26730.0	21881.0	24837.0	23317.0	19110.0	22466.0	27427.0	25728.0	18500.0	22399.0	27154.0	0.0	25849.0	25656.0	23078.0	25427.0	27170.0	21140.0	25719.0	21731.0	19353.0	25383.0	24133.0	22489.0	7632.0	25266.0	24595.0	25385.0	25542.0	25212.0	21140.0	15763.0	23943.0	23970.0
XieH_2016__YSZC12003_36666__bin.31	36395.0	27439.0	34023.0	30159.0	22905.0	28789.0	37518.0	36078.0	23461.0	30058.0	37027.0	25849.0	0.0	34856.0	30043.0	34209.0	36556.0	28106.0	35274.0	29796.0	24912.0	34616.0	28986.0	30492.0	32847.0	33429.0	32790.0	33118.0	34011.0	32500.0	26747.0	19544.0	31527.0	31398.0
ZellerG_2014__CCIS07539127ST-4-0__bin.34	32584.0	26291.0	28098.0	25063.0	20887.0	28495.0	33154.0	32887.0	23294.0	26964.0	32662.0	25656.0	34856.0	0.0	24176.0	28377.0	34922.0	22532.0	28721.0	23743.0	23012.0	28510.0	30057.0	29835.0	32810.0	32122.0	28636.0	26910.0	27574.0	30712.0	23389.0	16717.0	31375.0	28846.0
CosteaPI_2017__SID713B016-11-90-0__bin.11	28195.0	24353.0	24753.0	23490.0	18293.0	26567.0	28983.0	28406.0	22687.0	24588.0	29041.0	23078.0	30043.0	24176.0	0.0	24817.0	31328.0	20825.0	26491.0	22579.0	21273.0	24887.0	27004.0	27939.0	28141.0	28161.0	26444.0	25043.0	24582.0	28026.0	21659.0	16774.0	28326.0	25999.0
LiJ_2014__MH0245__bin.25	32512.0	27596.0	20337.0	26325.0	20435.0	29418.0	33502.0	32602.0	23054.0	26581.0	32455.0	25427.0	34209.0	28377.0	24817.0	0.0	36026.0	24394.0	30005.0	24865.0	24584.0	28004.0	29836.0	31505.0	32931.0	33592.0	29297.0	27011.0	27971.0	30167.0	23702.0	17057.0	32611.0	29121.0
BritoIL_2016__W2.59.ST__bin.17	37267.0	32043.0	35189.0	31901.0	20525.0	30278.0	36942.0	35480.0	25316.0	30147.0	36740.0	27170.0	36556.0	34922.0	31328.0	36026.0	0.0	29564.0	36956.0	31154.0	17876.0	34996.0	31233.0	32317.0	34833.0	36748.0	32423.0	33506.0	35221.0	31359.0	22665.0	18012.0	34112.0	22611.0
NielsenHB_2014__V1_UC9_0__bin.13	26874.0	23470.0	23075.0	21986.0	18695.0	24981.0	28044.0	27941.0	20416.0	23277.0	27044.0	21140.0	28106.0	22532.0	20825.0	24394.0	29564.0	0.0	24038.0	21591.0	19907.0	22886.0	25973.0	26560.0	26582.0	27273.0	25787.0	23603.0	23287.0	25768.0	20830.0	15598.0	26996.0	25827.0
ZellerG_2014__CCIS41222843ST-4-0__bin.49	34623.0	28404.0	29253.0	26665.0	21498.0	29232.0	34830.0	34630.0	24225.0	27375.0	35048.0	25719.0	35274.0	28721.0	26491.0	30005.0	36956.0	24038.0	0.0	25889.0	24404.0	29641.0	30640.0	31978.0	32968.0	35204.0	29867.0	28825.0	28890.0	30496.0	23829.0	17316.0	33005.0	29599.0
LiSS_2016__FAT_008-22-42-0__bin.15	27949.0	24645.0	24988.0	23439.0	18772.0	25780.0	28008.0	28994.0	21119.0	23045.0	28325.0	21731.0	29796.0	23743.0	22579.0	24865.0	31154.0	21591.0	25889.0	0.0	20746.0	24199.0	26518.0	27406.0	27307.0	29234.0	26428.0	24012.0	24206.0	26626.0	19424.0	15425.0	27068.0	25746.0
BritoIL_2016__M2.50.ST__bin.12	24429.0	21304.0	23021.0	23593.0	14826.0	22160.0	24889.0	23879.0	18530.0	19710.0	24407.0	19353.0	24912.0	23012.0	21273.0	24584.0	17876.0	19907.0	24404.0	20746.0	0.0	23719.0	22181.0	23522.0	23020.0	24991.0	22903.0	23140.0	23580.0	22521.0	16272.0	13796.0	23586.0	16978.0
XieH_2016__YSZC12003_36474__bin.114	33863.0	26367.0	27967.0	22868.0	21337.0	29270.0	35551.0	34070.0	22851.0	27045.0	34759.0	25383.0	34616.0	28510.0	24887.0	28004.0	34996.0	22886.0	29641.0	24199.0	23719.0	0.0	29558.0	30736.0	32179.0	33280.0	29489.0	27601.0	28151.0	31123.0	24178.0	16798.0	31280.0	29165.0
Bengtsson-PalmeJ_2015__TRAVELRES48__bin.29	30992.0	26370.0	29526.0	27589.0	21206.0	25999.0	31395.0	31467.0	22214.0	25882.0	30809.0	24133.0	28986.0	30057.0	27004.0	29836.0	31233.0	25973.0	30640.0	26518.0	22181.0	29558.0	0.0	26704.0	30334.0	30718.0	29777.0	29663.0	30086.0	28204.0	23646.0	18361.0	28501.0	27939.0
CM_madagascar__A73_01_1FE__bin.1	32094.0	26285.0	30102.0	28306.0	20671.0	24564.0	32829.0	32033.0	21645.0	27401.0	32632.0	22489.0	30492.0	29835.0	27939.0	31505.0	32317.0	26560.0	31978.0	27406.0	23522.0	30736.0	26704.0	0.0	29075.0	31071.0	29549.0	30933.0	30806.0	28239.0	24022.0	18141.0	29217.0	27213.0
BritoIL_2016__M1.1.ST__bin.41	34818.0	26548.0	32103.0	29507.0	22350.0	26812.0	35385.0	33381.0	21574.0	29191.0	34506.0	7632.0	32847.0	32810.0	28141.0	32931.0	34833.0	26582.0	32968.0	27307.0	23020.0	32179.0	30334.0	29075.0	0.0	32543.0	30746.0	31712.0	31845.0	30839.0	24658.0	18297.0	30731.0	29159.0
CosteaPI_2017__SID713A073-11-0-0__bin.1	36390.0	1805.0	32715.0	30556.0	21832.0	28007.0	40213.0	36514.0	23072.0	29455.0	38101.0	25266.0	33429.0	32122.0	28161.0	33592.0	36748.0	27273.0	35204.0	29234.0	24991.0	33280.0	30718.0	31071.0	32543.0	0.0	30895.0	32957.0	32718.0	31467.0	26006.0	18630.0	32211.0	30170.0
YuJ_2015__SZAXPI015249-37__bin.28	27720.0	26567.0	29184.0	26877.0	21991.0	28319.0	28518.0	27550.0	23513.0	22157.0	28079.0	24595.0	32790.0	28636.0	26444.0	29297.0	32423.0	25787.0	29867.0	26428.0	22903.0	29489.0	29777.0	29549.0	30746.0	30895.0	0.0	29467.0	29861.0	29573.0	23433.0	18209.0	30426.0	28181.0
LeChatelierE_2013__MH0200__bin.5	32651.0	27420.0	26455.0	26647.0	21147.0	29305.0	33406.0	32754.0	23827.0	26642.0	32885.0	25385.0	33118.0	26910.0	25043.0	27011.0	33506.0	23603.0	28825.0	24012.0	23140.0	27601.0	29663.0	30933.0	31712.0	32957.0	29467.0	0.0	27551.0	29886.0	22934.0	16865.0	30672.0	27709.0
LiJ_2014__V1.FI14__bin.38	31728.0	27187.0	27674.0	25539.0	21588.0	29320.0	32895.0	32712.0	23844.0	27474.0	32559.0	25542.0	34011.0	27574.0	24582.0	27971.0	35221.0	23287.0	28890.0	24206.0	23580.0	28151.0	30086.0	30806.0	31845.0	32718.0	29861.0	27551.0	0.0	30155.0	23489.0	17105.0	31122.0	29831.0
BritoIL_2016__W1.18.ST__bin.80	32595.0	26867.0	29639.0	28209.0	21292.0	28069.0	33404.0	32007.0	23318.0	27102.0	32952.0	25212.0	32500.0	30712.0	28026.0	30167.0	31359.0	25768.0	30496.0	26626.0	22521.0	31123.0	28204.0	28239.0	30839.0	31467.0	29573.0	29886.0	30155.0	0.0	22618.0	17799.0	30499.0	26694.0
CosteaPI_2017__SID713A045-11-90-0__bin.3	25001.0	23149.0	22517.0	21778.0	14355.0	23474.0	26185.0	25337.0	19334.0	21541.0	25346.0	21140.0	26747.0	23389.0	21659.0	23702.0	22665.0	20830.0	23829.0	19424.0	16272.0	24178.0	23646.0	24022.0	24658.0	26006.0	23433.0	22934.0	23489.0	22618.0	0.0	14049.0	24929.0	18473.0
BritoIL_2016__M2.40.ST__bin.87	18823.0	16775.0	16704.0	16110.0	13023.0	18022.0	19323.0	19191.0	15490.0	16234.0	19029.0	15763.0	19544.0	16717.0	16774.0	17057.0	18012.0	15598.0	17316.0	15425.0	13796.0	16798.0	18361.0	18141.0	18297.0	18630.0	18209.0	16865.0	17105.0	17799.0	14049.0	0.0	18155.0	14599.0
KarlssonFH_2013__S144__bin.41	34043.0	27177.0	30534.0	29047.0	21462.0	27588.0	34118.0	33794.0	21869.0	28249.0	33729.0	23943.0	31527.0	31375.0	28326.0	32611.0	34112.0	26996.0	33005.0	27068.0	23586.0	31280.0	28501.0	29217.0	30731.0	32211.0	30426.0	30672.0	31122.0	30499.0	24929.0	18155.0	0.0	28955.0
BritoIL_2016__M1.22.ST__bin.28	30789.0	26492.0	28373.0	27399.0	17815.0	27463.0	31312.0	31016.0	22611.0	25365.0	30974.0	23970.0	31398.0	28846.0	25999.0	29121.0	22611.0	25827.0	29599.0	25746.0	16978.0	29165.0	27939.0	27213.0	29159.0	30170.0	28181.0	27709.0	29831.0	26694.0	18473.0	14599.0	28955.0	0.0
