	XieH_2016__YSZC12003_37270__bin.2	XieH_2016__YSZC12003_36033__bin.55	LeChatelierE_2013__MH0305__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES53__bin.75	CosteaPI_2017__SID713A052-11-90-0__bin.22	BackhedF_2015__SID532_M__bin.11	NielsenHB_2014__V1_UC35_4__bin.75	NielsenHB_2014__O2_UC49_2__bin.47	XieH_2016__YSZC12003_37264__bin.57	CosteaPI_2017__SID713B026-11-0-0__bin.2	NielsenHB_2014__O2_UC21_2__bin.29	XieH_2016__YSZC12003_37172__bin.8	CosteaPI_2017__halbarad-11-2-0__bin.19	CosteaPI_2017__halbarad-11-0-0__bin.24	BackhedF_2015__SID377_M__bin.5	RaymondF_2016__P12E0__bin.20	ZellerG_2014__CCMD25511638ST-21-0__bin.46	XieH_2016__YSZC12003_37138__bin.8	RaymondF_2016__P23C0__bin.13	XieH_2016__YSZC12003_37348__bin.40	LeChatelierE_2013__MH0440__bin.36	Obregon-TitoAJ_2015__NO21__bin.26	LiJ_2014__V1.FI15__bin.3	HeQ_2017__RSZAXPI003077-109__bin.50	XieH_2016__YSZC12003_37255__bin.85	CosteaPI_2017__SID713B032-11-0-0__bin.61	LeChatelierE_2013__MH0203__bin.118	RaymondF_2016__P22E0__bin.15	XieH_2016__YSZC12003_37308R1__bin.82	CosteaPI_2017__pluto2-11-30-0__bin.1	HeQ_2017__RSZAXPI003105-143__bin.51	KarlssonFH_2013__S312__bin.7	ZellerG_2014__CCMD13934959ST-21-0__bin.7	XieH_2016__YSZC12003_36052__bin.73	XieH_2016__YSZC12003_36694__bin.98	QinN_2014__LD-35__bin.32	VogtmannE_2016__MMRS73787048ST-27-0-0__bin.66	ChengpingW_2017__AS38raw__bin.1	CosteaPI_2017__mickey2-11-7-0__bin.54	ZellerG_2014__MMPU68403337ST__bin.4	LoombaR_2017__SID5639_uuc__bin.14	NielsenHB_2014__V1_UC5_3__bin.31	FengQ_2015__SID530373__bin.60	RaymondF_2016__P22E90__bin.67	CosteaPI_2017__halbarad-11-7-0__bin.51	LiJ_2014__V1.FI17__bin.17	LeChatelierE_2013__MH0456__bin.69	ZellerG_2014__CCMD19497912ST-21-0__bin.24
NielsenHB_2014__O2_UC21_2__bin.29	23204.0	26105.0	26565.0	28083.0	27581.0	24620.0	28327.0	24276.0	22595.0	27801.0	0.0	20928.0	24447.0	27012.0	27270.0	27366.0	26670.0	29543.0	26382.0	16855.0	23467.0	14812.0	24699.0	24262.0	23758.0	22438.0	29466.0	29217.0	24797.0	28415.0	17880.0	31971.0	22362.0	22640.0	25216.0	33661.0	19315.0	29893.0	21009.0	27570.0	29592.0	29085.0	23746.0	28445.0	25748.0	27627.0	27377.0	20840.0
XieH_2016__YSZC12003_37172__bin.8	24556.0	28449.0	34247.0	35184.0	33761.0	27597.0	34740.0	25175.0	24101.0	39262.0	20928.0	0.0	30530.0	33213.0	32272.0	32778.0	27655.0	35038.0	34291.0	15747.0	26222.0	13627.0	27680.0	29167.0	22909.0	25093.0	30592.0	35186.0	28569.0	34378.0	18485.0	40282.0	24195.0	22956.0	27218.0	46136.0	19758.0	36622.0	20796.0	35274.0	37661.0	37572.0	24304.0	33421.0	31721.0	32232.0	30483.0	22212.0
CosteaPI_2017__halbarad-11-2-0__bin.19	28562.0	33489.0	33705.0	35392.0	35373.0	29697.0	36061.0	27766.0	27924.0	37393.0	24447.0	30530.0	0.0	541.0	34238.0	35923.0	33412.0	39247.0	36523.0	22199.0	28074.0	17585.0	32399.0	30858.0	29420.0	27595.0	37241.0	39711.0	32155.0	36003.0	23087.0	42986.0	28448.0	29078.0	32419.0	44960.0	23075.0	39801.0	25014.0	454.0	39126.0	39133.0	29412.0	38046.0	358.0	35659.0	34576.0	24937.0
CosteaPI_2017__halbarad-11-0-0__bin.24	31186.0	36226.0	36739.0	38983.0	38074.0	32591.0	39644.0	30383.0	30381.0	40458.0	27012.0	33213.0	541.0	0.0	36708.0	38238.0	36615.0	42380.0	39901.0	23622.0	31367.0	18853.0	34150.0	33830.0	32145.0	29930.0	40168.0	43497.0	34978.0	38944.0	25386.0	46667.0	30804.0	31240.0	34212.0	48750.0	24951.0	42553.0	27273.0	517.0	42201.0	42098.0	31593.0	40871.0	533.0	39461.0	38025.0	27653.0
BackhedF_2015__SID377_M__bin.5	29413.0	34271.0	38005.0	38223.0	37635.0	31318.0	37473.0	31156.0	28732.0	40373.0	27270.0	32272.0	34238.0	36708.0	0.0	37616.0	36234.0	41508.0	37708.0	21448.0	32479.0	18606.0	32412.0	33579.0	32002.0	29962.0	39052.0	40376.0	34132.0	39808.0	24364.0	45800.0	31110.0	29629.0	31075.0	50038.0	24804.0	41352.0	27113.0	38792.0	42862.0	40462.0	30602.0	39717.0	35221.0	36884.0	36585.0	27937.0
RaymondF_2016__P12E0__bin.20	31251.0	35710.0	37094.0	41071.0	38149.0	31747.0	39795.0	29982.0	30591.0	41078.0	27366.0	32778.0	35923.0	38238.0	37616.0	0.0	36347.0	43887.0	40079.0	22749.0	30417.0	18206.0	34290.0	34489.0	31544.0	30283.0	40033.0	43245.0	34847.0	40600.0	25732.0	46991.0	30472.0	31115.0	33069.0	50649.0	25580.0	41654.0	26942.0	40977.0	43150.0	42243.0	32185.0	42052.0	36960.0	40096.0	37602.0	27559.0
ZellerG_2014__CCMD25511638ST-21-0__bin.46	29516.0	32060.0	36940.0	38214.0	36997.0	31529.0	37980.0	28314.0	29330.0	39019.0	26670.0	27655.0	33412.0	36615.0	36234.0	36347.0	0.0	36726.0	36957.0	20329.0	29876.0	17065.0	33340.0	34600.0	29465.0	28060.0	35293.0	36840.0	34253.0	38594.0	24726.0	44373.0	28264.0	28493.0	33011.0	48343.0	25917.0	41015.0	25693.0	38145.0	40833.0	39964.0	31198.0	35838.0	35018.0	36941.0	34477.0	26097.0
XieH_2016__YSZC12003_37138__bin.8	33164.0	36303.0	43281.0	44748.0	42466.0	35453.0	43750.0	31048.0	33386.0	47210.0	29543.0	35038.0	39247.0	42380.0	41508.0	43887.0	36726.0	0.0	44182.0	22693.0	34227.0	19752.0	37449.0	39026.0	31527.0	32270.0	39665.0	44752.0	38512.0	45663.0	27525.0	52290.0	31757.0	31885.0	36706.0	59305.0	27909.0	46414.0	27775.0	44798.0	48702.0	47931.0	34313.0	42763.0	40431.0	42916.0	39908.0	30329.0
RaymondF_2016__P23C0__bin.13	31844.0	36973.0	38624.0	41441.0	39947.0	33584.0	42356.0	31314.0	32315.0	44564.0	26382.0	34291.0	36523.0	39901.0	37708.0	40079.0	36957.0	44182.0	0.0	23248.0	31288.0	18573.0	34316.0	34074.0	32240.0	31043.0	40327.0	45656.0	36757.0	41394.0	26252.0	47709.0	32072.0	30486.0	33579.0	51858.0	24963.0	42847.0	27157.0	42001.0	44852.0	43914.0	32520.0	42955.0	37960.0	39797.0	38696.0	28358.0
XieH_2016__YSZC12003_37348__bin.40	18770.0	20649.0	22295.0	23362.0	23251.0	19415.0	23182.0	18084.0	18891.0	24352.0	16855.0	15747.0	22199.0	23622.0	21448.0	22749.0	20329.0	22693.0	23248.0	0.0	18623.0	12004.0	21641.0	19169.0	18727.0	17508.0	22315.0	23319.0	20690.0	23499.0	16034.0	26788.0	18815.0	19086.0	20777.0	28585.0	15957.0	25115.0	15620.0	24417.0	24821.0	24531.0	19516.0	22621.0	23156.0	23348.0	22033.0	16095.0
LeChatelierE_2013__MH0440__bin.36	25371.0	29173.0	32890.0	32517.0	31864.0	28908.0	33159.0	26652.0	24942.0	34547.0	23467.0	26222.0	28074.0	31367.0	32479.0	30417.0	29876.0	34227.0	31288.0	18623.0	0.0	16004.0	28145.0	27627.0	27069.0	25547.0	34179.0	34097.0	29709.0	32237.0	20417.0	35222.0	27213.0	25266.0	27941.0	37542.0	21684.0	33241.0	23852.0	32288.0	34088.0	33806.0	27122.0	32594.0	29540.0	31707.0	31734.0	23813.0
Obregon-TitoAJ_2015__NO21__bin.26	16195.0	17492.0	18269.0	19565.0	19175.0	16388.0	19029.0	15947.0	16054.0	19224.0	14812.0	13627.0	17585.0	18853.0	18606.0	18206.0	17065.0	19752.0	18573.0	12004.0	16004.0	0.0	16853.0	15750.0	16139.0	15120.0	18832.0	19766.0	17752.0	18691.0	13382.0	22353.0	15485.0	15847.0	16711.0	23617.0	14200.0	19428.0	14137.0	19666.0	19240.0	19064.0	16375.0	19438.0	18469.0	19172.0	18490.0	13538.0
LiJ_2014__V1.FI15__bin.3	27658.0	32238.0	31662.0	34817.0	34892.0	27200.0	34439.0	27103.0	27500.0	36722.0	24699.0	27680.0	32399.0	34150.0	32412.0	34290.0	33340.0	37449.0	34316.0	21641.0	28145.0	16853.0	0.0	28763.0	30435.0	27775.0	36356.0	39742.0	31129.0	35079.0	23241.0	40824.0	29894.0	28935.0	29434.0	42654.0	22999.0	36510.0	25426.0	35617.0	38024.0	36401.0	29892.0	38317.0	33548.0	34675.0	32660.0	23949.0
HeQ_2017__RSZAXPI003077-109__bin.50	27584.0	30500.0	34758.0	36179.0	33742.0	28618.0	36328.0	26916.0	26361.0	37206.0	24262.0	29167.0	30858.0	33830.0	33579.0	34489.0	34600.0	39026.0	34074.0	19169.0	27627.0	15750.0	28763.0	0.0	30154.0	27377.0	36735.0	37785.0	31103.0	36807.0	20726.0	37513.0	26385.0	25600.0	30790.0	39791.0	23370.0	35499.0	24336.0	35975.0	42668.0	38544.0	28370.0	36182.0	31618.0	33861.0	33687.0	23588.0
XieH_2016__YSZC12003_37255__bin.85	26161.0	28354.0	31754.0	32221.0	33574.0	27315.0	32810.0	25876.0	27148.0	33339.0	23758.0	22909.0	29420.0	32145.0	32002.0	31544.0	29465.0	31527.0	32240.0	18727.0	27069.0	16139.0	30435.0	30154.0	0.0	25242.0	31470.0	32567.0	30697.0	33166.0	22573.0	40536.0	25490.0	26788.0	28638.0	41811.0	22950.0	36451.0	23108.0	33677.0	36030.0	34877.0	28341.0	31851.0	30566.0	33152.0	30716.0	23284.0
CosteaPI_2017__SID713B032-11-0-0__bin.61	24121.0	27623.0	29319.0	30960.0	30871.0	27573.0	31039.0	24570.0	24523.0	32041.0	22438.0	25093.0	27595.0	29930.0	29962.0	30283.0	28060.0	32270.0	31043.0	17508.0	25547.0	15120.0	27775.0	27377.0	25242.0	0.0	30846.0	31227.0	28802.0	30821.0	20348.0	35730.0	24364.0	23764.0	26702.0	38595.0	21907.0	32721.0	21774.0	31131.0	32931.0	32852.0	26665.0	30767.0	28580.0	31534.0	28337.0	21345.0
LeChatelierE_2013__MH0203__bin.118	32203.0	34961.0	39758.0	40971.0	41591.0	35368.0	41508.0	32243.0	32237.0	42500.0	29466.0	30592.0	37241.0	40168.0	39052.0	40033.0	35293.0	39665.0	40327.0	22315.0	34179.0	18832.0	36356.0	36735.0	31470.0	30846.0	0.0	40640.0	36401.0	42012.0	26883.0	48657.0	31082.0	33054.0	35355.0	53141.0	27656.0	46620.0	27761.0	42314.0	43809.0	43903.0	34841.0	39325.0	38609.0	40484.0	39119.0	28864.0
RaymondF_2016__P22E0__bin.15	33218.0	36451.0	41403.0	44421.0	44164.0	35183.0	43763.0	31293.0	34339.0	45801.0	29217.0	35186.0	39711.0	43497.0	40376.0	43245.0	36840.0	44752.0	45656.0	23319.0	34097.0	19766.0	39742.0	37785.0	32567.0	31227.0	40640.0	0.0	38960.0	44071.0	28026.0	50148.0	33464.0	33837.0	37091.0	53413.0	28266.0	47793.0	28408.0	44976.0	47710.0	46580.0	36781.0	1335.0	40728.0	43762.0	39479.0	29042.0
XieH_2016__YSZC12003_37308R1__bin.82	28729.0	33147.0	34265.0	36502.0	35169.0	30273.0	35627.0	27906.0	28175.0	38107.0	24797.0	28569.0	32155.0	34978.0	34132.0	34847.0	34253.0	38512.0	36757.0	20690.0	29709.0	17752.0	31129.0	31103.0	30697.0	28802.0	36401.0	38960.0	0.0	36517.0	23467.0	42776.0	29800.0	28231.0	30875.0	45457.0	23993.0	37771.0	25959.0	36638.0	39525.0	38262.0	29913.0	37382.0	33693.0	35264.0	35178.0	26163.0
CosteaPI_2017__pluto2-11-30-0__bin.1	32676.0	36955.0	39812.0	43427.0	41078.0	33350.0	41673.0	30811.0	31753.0	44112.0	28415.0	34378.0	36003.0	38944.0	39808.0	40600.0	38594.0	45663.0	41394.0	23499.0	32237.0	18691.0	35079.0	36807.0	33166.0	30821.0	42012.0	44071.0	36517.0	0.0	26010.0	48063.0	32007.0	32448.0	35413.0	51742.0	26241.0	45026.0	27522.0	41456.0	45900.0	44756.0	33527.0	42848.0	37672.0	40462.0	38774.0	29012.0
HeQ_2017__RSZAXPI003105-143__bin.51	22020.0	24107.0	24700.0	26773.0	25980.0	21661.0	25883.0	21099.0	21463.0	26400.0	17880.0	18485.0	23087.0	25386.0	24364.0	25732.0	24726.0	27525.0	26252.0	16034.0	20417.0	13382.0	23241.0	20726.0	22573.0	20348.0	26883.0	28026.0	23467.0	26010.0	0.0	29689.0	20990.0	21577.0	22710.0	30088.0	17764.0	26445.0	18850.0	26140.0	27213.0	27035.0	22116.0	27194.0	24426.0	25678.0	25101.0	18943.0
KarlssonFH_2013__S312__bin.7	38087.0	42605.0	44861.0	48823.0	46745.0	38509.0	49013.0	36072.0	36775.0	49774.0	31971.0	40282.0	42986.0	46667.0	45800.0	46991.0	44373.0	52290.0	47709.0	26788.0	35222.0	22353.0	40824.0	37513.0	40536.0	35730.0	48657.0	50148.0	42776.0	48063.0	29689.0	0.0	37407.0	36810.0	42569.0	46348.0	30297.0	47210.0	32051.0	49560.0	52338.0	51403.0	37942.0	48259.0	45051.0	47553.0	45851.0	32897.0
ZellerG_2014__CCMD13934959ST-21-0__bin.7	25487.0	29859.0	30717.0	31896.0	31568.0	27213.0	32239.0	25789.0	26504.0	34236.0	22362.0	24195.0	28448.0	30804.0	31110.0	30472.0	28264.0	31757.0	32072.0	18815.0	27213.0	15485.0	29894.0	26385.0	25490.0	24364.0	31082.0	33464.0	29800.0	32007.0	20990.0	37407.0	0.0	24553.0	26702.0	39269.0	21618.0	33664.0	22414.0	32003.0	33620.0	34317.0	26365.0	32821.0	29760.0	31020.0	29131.0	23266.0
XieH_2016__YSZC12003_36052__bin.73	25057.0	28122.0	29419.0	31175.0	31355.0	25854.0	30902.0	24868.0	25462.0	31827.0	22640.0	22956.0	29078.0	31240.0	29629.0	31115.0	28493.0	31885.0	30486.0	19086.0	25266.0	15847.0	28935.0	25600.0	26788.0	23764.0	33054.0	33837.0	28231.0	32448.0	21577.0	36810.0	24553.0	0.0	27344.0	39303.0	20512.0	34884.0	21603.0	31982.0	33223.0	33304.0	27273.0	32824.0	30492.0	32212.0	29227.0	22669.0
XieH_2016__YSZC12003_36694__bin.98	23594.0	31391.0	33045.0	34784.0	34262.0	28502.0	34680.0	27986.0	26574.0	35438.0	25216.0	27218.0	32419.0	34212.0	31075.0	33069.0	33011.0	36706.0	33579.0	20777.0	27941.0	16711.0	29434.0	30790.0	28638.0	26702.0	35355.0	37091.0	30875.0	35413.0	22710.0	42569.0	26702.0	27344.0	0.0	44812.0	23094.0	36984.0	23848.0	35951.0	38595.0	36235.0	28980.0	36360.0	32816.0	33532.0	33425.0	25167.0
QinN_2014__LD-35__bin.32	41428.0	47573.0	48527.0	53270.0	50342.0	40640.0	52832.0	37622.0	38998.0	54335.0	33661.0	46136.0	44960.0	48750.0	50038.0	50649.0	48343.0	59305.0	51858.0	28585.0	37542.0	23617.0	42654.0	39791.0	41811.0	38595.0	53141.0	53413.0	45457.0	51742.0	30088.0	46348.0	39269.0	39303.0	44812.0	0.0	31385.0	49840.0	35071.0	51255.0	57753.0	55461.0	39825.0	50913.0	46610.0	50467.0	49389.0	34612.0
VogtmannE_2016__MMRS73787048ST-27-0-0__bin.66	21292.0	24727.0	16180.0	26502.0	25336.0	22381.0	27078.0	22459.0	21296.0	26719.0	19315.0	19758.0	23075.0	24951.0	24804.0	25580.0	25917.0	27909.0	24963.0	15957.0	21684.0	14200.0	22999.0	23370.0	22950.0	21907.0	27656.0	28266.0	23993.0	26241.0	17764.0	30297.0	21618.0	20512.0	23094.0	31385.0	0.0	26965.0	19995.0	26149.0	28236.0	28085.0	22889.0	27024.0	24017.0	25999.0	26182.0	18770.0
ChengpingW_2017__AS38raw__bin.1	33143.0	38196.0	39821.0	44505.0	41839.0	34204.0	42958.0	33577.0	33254.0	43958.0	29893.0	36622.0	39801.0	42553.0	41352.0	41654.0	41015.0	46414.0	42847.0	25115.0	33241.0	19428.0	36510.0	35499.0	36451.0	32721.0	46620.0	47793.0	37771.0	45026.0	26445.0	47210.0	33664.0	34884.0	36984.0	49840.0	26965.0	0.0	29838.0	45123.0	47817.0	45726.0	35907.0	45270.0	41324.0	42686.0	40805.0	30129.0
CosteaPI_2017__mickey2-11-7-0__bin.54	22387.0	25282.0	27336.0	27815.0	26997.0	25682.0	28411.0	23588.0	22047.0	28944.0	21009.0	20796.0	25014.0	27273.0	27113.0	26942.0	25693.0	27775.0	27157.0	15620.0	23852.0	14137.0	25426.0	24336.0	23108.0	21774.0	27761.0	28408.0	25959.0	27522.0	18850.0	32051.0	22414.0	21603.0	23848.0	35071.0	19995.0	29838.0	0.0	28207.0	30809.0	28986.0	24285.0	27722.0	25743.0	26522.0	26115.0	19824.0
ZellerG_2014__MMPU68403337ST__bin.4	32727.0	38285.0	38718.0	41101.0	40386.0	34183.0	41449.0	31753.0	31944.0	42070.0	27570.0	35274.0	454.0	517.0	38792.0	40977.0	38145.0	44798.0	42001.0	24417.0	32288.0	19666.0	35617.0	35975.0	33677.0	31131.0	42314.0	44976.0	36638.0	41456.0	26140.0	49560.0	32003.0	31982.0	35951.0	51255.0	26149.0	45123.0	28207.0	0.0	45511.0	43870.0	33220.0	42848.0	266.0	40648.0	39525.0	28800.0
LoombaR_2017__SID5639_uuc__bin.14	33956.0	39731.0	42284.0	46926.0	43366.0	36400.0	45884.0	32970.0	33093.0	47415.0	29592.0	37661.0	39126.0	42201.0	42862.0	43150.0	40833.0	48702.0	44852.0	24821.0	34088.0	19240.0	38024.0	42668.0	36030.0	32931.0	43809.0	47710.0	39525.0	45900.0	27213.0	52338.0	33620.0	33223.0	38595.0	57753.0	28236.0	47817.0	30809.0	45511.0	0.0	48359.0	35577.0	44960.0	40598.0	43530.0	41700.0	30977.0
NielsenHB_2014__V1_UC5_3__bin.31	32595.0	38684.0	40546.0	43510.0	41182.0	35322.0	44379.0	32819.0	31763.0	45028.0	29085.0	37572.0	39133.0	42098.0	40462.0	42243.0	39964.0	47931.0	43914.0	24531.0	33806.0	19064.0	36401.0	38544.0	34877.0	32852.0	43903.0	46580.0	38262.0	44756.0	27035.0	51403.0	34317.0	33304.0	36235.0	55461.0	28085.0	45726.0	28986.0	43870.0	48359.0	0.0	34245.0	43600.0	39696.0	41603.0	40275.0	29362.0
FengQ_2015__SID530373__bin.60	26035.0	30182.0	31261.0	32675.0	32472.0	27141.0	31409.0	26145.0	25723.0	33573.0	23746.0	24304.0	29412.0	31593.0	30602.0	32185.0	31198.0	34313.0	32520.0	19516.0	27122.0	16375.0	29892.0	28370.0	28341.0	26665.0	34841.0	36781.0	29913.0	33527.0	22116.0	37942.0	26365.0	27273.0	28980.0	39825.0	22889.0	35907.0	24285.0	33220.0	35577.0	34245.0	0.0	34480.0	31073.0	32005.0	31339.0	22118.0
RaymondF_2016__P22E90__bin.67	32436.0	35159.0	39720.0	42334.0	42939.0	33646.0	42310.0	30334.0	33703.0	43498.0	28445.0	33421.0	38046.0	40871.0	39717.0	42052.0	35838.0	42763.0	42955.0	22621.0	32594.0	19438.0	38317.0	36182.0	31851.0	30767.0	39325.0	1335.0	37382.0	42848.0	27194.0	48259.0	32821.0	32824.0	36360.0	50913.0	27024.0	45270.0	27722.0	42848.0	44960.0	43600.0	34480.0	0.0	39664.0	42159.0	37745.0	28158.0
