	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.143	ZeeviD_2015__PNP_Main_481__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.105	ZeeviD_2015__PNP_Main_415__bin.82	FengQ_2015__SID530623__bin.43	KarlssonFH_2013__S54__bin.3	ZeeviD_2015__PNP_Main_470__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.35	ZellerG_2014__CCMD42428553ST-21-0__bin.23	ZeeviD_2015__PNP_Main_97__bin.31	SchirmerM_2016__G88838__bin.26	XieH_2016__YSZC12003_35837__bin.7	ZeeviD_2015__PNP_Main_38__bin.43	QinN_2014__HD-35__bin.31	ZellerG_2014__CCIS81139242ST-4-0__bin.51	YuJ_2015__SZAXPI015235-21__bin.73	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.20	ZeeviD_2015__PNP_Main_39__bin.62	ZeeviD_2015__PNP_Main_133__bin.53	ZeeviD_2015__PNP_Main_231__bin.42	XieH_2016__YSZC12003_35520__bin.27	QinN_2014__HD-36__bin.36	HeQ_2017__SZAXPI029490-88__bin.96	KarlssonFH_2013__S77__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.40	FengQ_2015__SID31874__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES65__bin.58	VogtmannE_2016__MMRS66868025ST-27-0-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.27	QinN_2014__HD-47__bin.27	ZellerG_2014__CCIS90443472ST-4-0__bin.5	YuJ_2015__SZAXPI017591-140__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.45	YuJ_2015__SZAXPI015222-123__bin.14
XieH_2016__YSZC12003_35520__bin.27	32020.0	29918.0	44913.0	20450.0	29944.0	39957.0	17982.0	26699.0	27887.0	20327.0	24323.0	33081.0	42723.0	24054.0	47669.0	28116.0	27299.0	17142.0	23768.0	38019.0	42263.0	21740.0	0.0	29248.0	28811.0	25424.0	20434.0	19810.0	30009.0	25647.0	26152.0	21967.0	25229.0	44938.0	30160.0	29182.0
QinN_2014__HD-36__bin.36	21397.0	29749.0	42821.0	30535.0	19590.0	37229.0	30349.0	25153.0	30521.0	30306.0	23102.0	32059.0	39123.0	33259.0	45884.0	19305.0	32323.0	10758.0	24532.0	36308.0	39964.0	15880.0	29248.0	0.0	20779.0	23941.0	30189.0	26275.0	19654.0	30059.0	16906.0	16645.0	33553.0	43322.0	30048.0	20515.0
HeQ_2017__SZAXPI029490-88__bin.96	22478.0	31127.0	43399.0	30141.0	21901.0	38278.0	28102.0	25364.0	31453.0	29913.0	23111.0	32908.0	42487.0	32823.0	46213.0	21251.0	32207.0	12184.0	23171.0	36439.0	42273.0	15210.0	28811.0	20779.0	0.0	23890.0	29778.0	25773.0	21797.0	29027.0	17908.0	16212.0	33763.0	43208.0	31188.0	22579.0
KarlssonFH_2013__S77__bin.4	25867.0	27744.0	40288.0	27376.0	25226.0	36802.0	26219.0	21899.0	30217.0	27100.0	20853.0	31712.0	39813.0	30054.0	42370.0	24043.0	31260.0	13225.0	22546.0	34035.0	38975.0	17836.0	25424.0	23941.0	23890.0	0.0	27309.0	23941.0	24573.0	27328.0	20521.0	19531.0	31392.0	41262.0	27750.0	25529.0
Bengtsson-PalmeJ_2015__TRAVELRES35__bin.40	32777.0	30713.0	45750.0	13.0	30651.0	39370.0	11644.0	26452.0	28079.0	91.0	23235.0	33929.0	42532.0	26224.0	49037.0	28534.0	28818.0	17189.0	24867.0	37755.0	41887.0	22088.0	20434.0	30189.0	29778.0	27309.0	0.0	20495.0	30722.0	24790.0	26815.0	22181.0	28039.0	48039.0	31126.0	30088.0
FengQ_2015__SID31874__bin.19	27128.0	21228.0	34842.0	20532.0	26462.0	30628.0	18912.0	22677.0	16783.0	20360.0	18387.0	25152.0	33883.0	9547.0	37382.0	24081.0	15623.0	14898.0	20928.0	30564.0	31266.0	20072.0	19810.0	26275.0	25773.0	23941.0	20495.0	0.0	26327.0	14572.0	22730.0	19934.0	7651.0	36673.0	21146.0	26141.0
Bengtsson-PalmeJ_2015__TRAVELRES65__bin.58	22838.0	32273.0	46810.0	31041.0	195.0	39854.0	28957.0	26265.0	33103.0	30757.0	23862.0	36207.0	43982.0	35659.0	50946.0	19147.0	35085.0	12386.0	23698.0	38253.0	44930.0	14583.0	30009.0	19654.0	21797.0	24573.0	30722.0	26327.0	0.0	30329.0	18263.0	16286.0	35784.0	46431.0	32175.0	23879.0
VogtmannE_2016__MMRS66868025ST-27-0-0__bin.44	31842.0	24184.0	41183.0	24986.0	30300.0	36674.0	23801.0	24340.0	21993.0	24771.0	20286.0	29337.0	39736.0	19338.0	43093.0	28488.0	18880.0	16182.0	22041.0	34973.0	37050.0	21877.0	25647.0	30059.0	29027.0	27328.0	24790.0	14572.0	30329.0	0.0	26699.0	22845.0	16914.0	42614.0	24337.0	30321.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.27	125.0	26453.0	40326.0	27368.0	18070.0	32124.0	25017.0	23816.0	28949.0	26876.0	23212.0	27693.0	33358.0	29685.0	40408.0	17975.0	27757.0	8125.0	21518.0	30737.0	35924.0	12600.0	26152.0	16906.0	17908.0	20521.0	26815.0	22730.0	18263.0	26699.0	0.0	13588.0	29434.0	38377.0	26486.0	18163.0
QinN_2014__HD-47__bin.27	17649.0	22302.0	33553.0	22228.0	16401.0	29027.0	20510.0	18212.0	23583.0	21968.0	16853.0	24515.0	31656.0	24068.0	36007.0	17023.0	24308.0	10080.0	17732.0	30261.0	30944.0	11933.0	21967.0	16645.0	16212.0	19531.0	22181.0	19934.0	16286.0	22845.0	13588.0	0.0	25228.0	33467.0	22263.0	17564.0
ZellerG_2014__CCIS90443472ST-4-0__bin.5	36859.0	29662.0	45917.0	28749.0	37758.0	42111.0	27531.0	29314.0	24763.0	28658.0	22311.0	35948.0	47737.0	7168.0	50497.0	32388.0	21203.0	19692.0	27179.0	38655.0	41765.0	25140.0	25229.0	33553.0	33763.0	31392.0	28039.0	7651.0	35784.0	16914.0	29434.0	25228.0	0.0	50419.0	29991.0	37189.0
YuJ_2015__SZAXPI017591-140__bin.22	47952.0	47588.0	44466.0	48126.0	49303.0	39914.0	48607.0	42170.0	48663.0	47698.0	28519.0	45386.0	43414.0	48320.0	46483.0	42494.0	50477.0	24992.0	39317.0	36771.0	44476.0	32303.0	44938.0	43322.0	43208.0	41262.0	48039.0	36673.0	46431.0	42614.0	38377.0	33467.0	50419.0	0.0	48056.0	48376.0
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.45	33382.0	73.0	44599.0	31390.0	34377.0	38607.0	31928.0	24458.0	29579.0	31002.0	20149.0	30218.0	44954.0	28602.0	48810.0	28630.0	29475.0	17117.0	22758.0	37980.0	40350.0	21119.0	30160.0	30048.0	31188.0	27750.0	31126.0	21146.0	32175.0	24337.0	26486.0	22263.0	29991.0	48056.0	0.0	33639.0
YuJ_2015__SZAXPI015222-123__bin.14	23391.0	33336.0	45287.0	30460.0	25431.0	40976.0	31031.0	25981.0	35087.0	30348.0	22822.0	37760.0	46863.0	35121.0	49673.0	20322.0	35048.0	13683.0	24573.0	37450.0	42958.0	15714.0	29182.0	20515.0	22579.0	25529.0	30088.0	26141.0	23879.0	30321.0	18163.0	17564.0	37189.0	48376.0	33639.0	0.0
