	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.143	ZeeviD_2015__PNP_Main_481__bin.39	Bengtsson-PalmeJ_2015__TRAVELRES36__bin.41	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.105	ZeeviD_2015__PNP_Main_415__bin.82	FengQ_2015__SID530623__bin.43	KarlssonFH_2013__S54__bin.3	ZeeviD_2015__PNP_Main_470__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.35	ZellerG_2014__CCMD42428553ST-21-0__bin.23	ZeeviD_2015__PNP_Main_97__bin.31	SchirmerM_2016__G88838__bin.26	XieH_2016__YSZC12003_35837__bin.7	ZeeviD_2015__PNP_Main_38__bin.43	QinN_2014__HD-35__bin.31	ZellerG_2014__CCIS81139242ST-4-0__bin.51	YuJ_2015__SZAXPI015235-21__bin.73	VogtmannE_2016__MMRS11932626ST-27-0-0__bin.20	ZeeviD_2015__PNP_Main_39__bin.62	ZeeviD_2015__PNP_Main_133__bin.53	ZeeviD_2015__PNP_Main_231__bin.42	XieH_2016__YSZC12003_35520__bin.27	QinN_2014__HD-36__bin.36	HeQ_2017__SZAXPI029490-88__bin.96	KarlssonFH_2013__S77__bin.4	Bengtsson-PalmeJ_2015__TRAVELRES35__bin.40	FengQ_2015__SID31874__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES65__bin.58	VogtmannE_2016__MMRS66868025ST-27-0-0__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.27	QinN_2014__HD-47__bin.27	ZellerG_2014__CCIS90443472ST-4-0__bin.5	YuJ_2015__SZAXPI017591-140__bin.22	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.45	YuJ_2015__SZAXPI015222-123__bin.14
ZellerG_2014__CCMD42428553ST-21-0__bin.23	1290274.0	1266763.0	1301632.0	1243332.0	1294875.0	1117433.0	1256384.0	1270652.0	1238470.0	1242592.0	1367277.0	1216790.0	1258606.0	1271332.0	1269481.0	1175136.0	1286780.0	712117.0	1224171.0	957897.0	1253847.0	950591.0	1278378.0	1187144.0	1283351.0	1100685.0	1241265.0	1005473.0	1300528.0	1260704.0	1285461.0	944299.0	1278782.0	1237782.0	1279083.0	1247523.0
ZeeviD_2015__PNP_Main_97__bin.31	2179774.0	2224198.0	1857817.0	2062899.0	2287290.0	1892210.0	2180077.0	1813262.0	2079433.0	2050668.0	1216790.0	2469671.0	2087010.0	2063427.0	2030505.0	1923607.0	2199384.0	1134011.0	1794378.0	1609213.0	2018381.0	1463898.0	1980104.0	1837346.0	2010613.0	1867927.0	2058612.0	1556530.0	2110776.0	1944634.0	1597267.0	1523860.0	2216965.0	2099783.0	2240177.0	2239288.0
SchirmerM_2016__G88838__bin.26	2072511.0	2155052.0	1780434.0	1945352.0	2194821.0	1851728.0	2083004.0	1703947.0	2049889.0	1939662.0	1258606.0	2087010.0	2387934.0	1955675.0	2008423.0	1861071.0	2171933.0	1151438.0	1722247.0	1544414.0	1961467.0	1386597.0	1898930.0	1714682.0	1952203.0	1785150.0	1944168.0	1502139.0	1958249.0	1851176.0	1472936.0	1462064.0	2169446.0	2072755.0	2162022.0	2182252.0
XieH_2016__YSZC12003_35837__bin.7	2192162.0	2181138.0	1922884.0	2079445.0	2171545.0	1802694.0	2119398.0	1837686.0	2088714.0	2067527.0	1271332.0	2063427.0	1955675.0	2425486.0	2093297.0	1918165.0	2270175.0	1166909.0	1842770.0	1600624.0	1997871.0	1478044.0	1994437.0	1868280.0	1990994.0	1818316.0	2065400.0	1641503.0	2116012.0	1988345.0	1686546.0	1526859.0	2389759.0	2039472.0	2204358.0	2124905.0
ZeeviD_2015__PNP_Main_38__bin.43	2137014.0	2130201.0	1888997.0	2013366.0	2153942.0	1782152.0	2052865.0	1820327.0	2020856.0	1992830.0	1269481.0	2030505.0	2008423.0	2093297.0	2468812.0	1874709.0	2121310.0	1179962.0	1799685.0	1670958.0	2003096.0	1441926.0	1941464.0	1836454.0	1976672.0	1793846.0	1992423.0	1586851.0	2092204.0	1938388.0	1612689.0	1508159.0	2144299.0	2024396.0	2155219.0	2122396.0
QinN_2014__HD-35__bin.31	2023802.0	2002554.0	1769540.0	1947229.0	2055213.0	1700210.0	1965140.0	1757249.0	1888824.0	1940149.0	1175136.0	1923607.0	1861071.0	1918165.0	1874709.0	2125176.0	1989451.0	1069860.0	1711829.0	1523704.0	1875582.0	1444907.0	1902849.0	1773434.0	1913662.0	1752115.0	1944840.0	1520364.0	1996086.0	1880588.0	1549473.0	1516174.0	1988917.0	1916485.0	2011076.0	2019818.0
ZellerG_2014__CCIS81139242ST-4-0__bin.51	2262202.0	2388188.0	1931649.0	2152783.0	2360583.0	1928239.0	2252450.0	1865531.0	2253860.0	2142794.0	1286780.0	2199384.0	2171933.0	2270175.0	2121310.0	1989451.0	2648730.0	1182977.0	1869927.0	1656389.0	2047290.0	1485913.0	2038476.0	1892283.0	2091859.0	1907358.0	2143575.0	1651183.0	2130037.0	2033324.0	1662582.0	1565636.0	2495401.0	2210520.0	2412737.0	2327350.0
YuJ_2015__SZAXPI015235-21__bin.73	1190110.0	1165432.0	985472.0	1158644.0	1200885.0	977789.0	1148973.0	973491.0	1062984.0	1136036.0	712117.0	1134011.0	1151438.0	1166909.0	1179962.0	1069860.0	1182977.0	1263670.0	1098083.0	906640.0	1103699.0	821893.0	1132936.0	1055011.0	1130695.0	991297.0	1158212.0	921564.0	1174938.0	1102334.0	837586.0	872640.0	1177246.0	1123761.0	1183428.0	1172082.0
VogtmannE_2016__MMRS11932626ST-27-0-0__bin.20	1891895.0	1879461.0	1722488.0	1821324.0	1881875.0	1597809.0	1825955.0	1691829.0	1763884.0	1806220.0	1224171.0	1794378.0	1722247.0	1842770.0	1799685.0	1711829.0	1869927.0	1098083.0	2004727.0	1429539.0	1782466.0	1331555.0	1776903.0	1716195.0	1770098.0	1623852.0	1813439.0	1440189.0	1878308.0	1791411.0	1499911.0	1401264.0	1878490.0	1766147.0	1895382.0	1849205.0
ZeeviD_2015__PNP_Main_39__bin.62	1661409.0	1658614.0	1471522.0	1590093.0	1653343.0	1433173.0	1588321.0	1436975.0	1561630.0	1581209.0	957897.0	1609213.0	1544414.0	1600624.0	1670958.0	1523704.0	1656389.0	906640.0	1429539.0	1774226.0	1564930.0	1208334.0	1550945.0	1485491.0	1571458.0	1450433.0	1583502.0	1299654.0	1619670.0	1553746.0	1243417.0	1262056.0	1661000.0	1598422.0	1673425.0	1631804.0
ZeeviD_2015__PNP_Main_133__bin.53	2087838.0	2051649.0	1881123.0	1999003.0	2084259.0	1840621.0	2002566.0	1822713.0	1936659.0	1986601.0	1253847.0	2018381.0	1961467.0	1997871.0	2003096.0	1875582.0	2047290.0	1103699.0	1782466.0	1564930.0	2317764.0	1473984.0	1944931.0	1816986.0	1990704.0	1784019.0	1986148.0	1547769.0	2049062.0	1923581.0	1612157.0	1510490.0	2062287.0	1975039.0	2064229.0	2050069.0
ZeeviD_2015__PNP_Main_231__bin.42	1529186.0	1481695.0	1406435.0	1490035.0	1546904.0	1325118.0	1472306.0	1402160.0	1423825.0	1472913.0	950591.0	1463898.0	1386597.0	1478044.0	1441926.0	1444907.0	1485913.0	821893.0	1331555.0	1208334.0	1473984.0	1593305.0	1468559.0	1443749.0	1485893.0	1359199.0	1482641.0	1201494.0	1545902.0	1484085.0	1267930.0	1188102.0	1499765.0	1455216.0	1492639.0	1515223.0
XieH_2016__YSZC12003_35520__bin.27	2070859.0	2040191.0	1872738.0	2067572.0	2080460.0	1760774.0	2047483.0	1819857.0	1929315.0	2050848.0	1278378.0	1980104.0	1898930.0	1994437.0	1941464.0	1902849.0	2038476.0	1132936.0	1776903.0	1550945.0	1944931.0	1468559.0	2160916.0	1848048.0	2015320.0	1807114.0	2055354.0	1557824.0	2047301.0	1972024.0	1614868.0	1527137.0	2043889.0	1969008.0	2057416.0	2016087.0
QinN_2014__HD-36__bin.36	1948476.0	1903159.0	1785105.0	1894828.0	1951549.0	1632477.0	1884670.0	1790921.0	1773200.0	1875531.0	1187144.0	1837346.0	1714682.0	1868280.0	1836454.0	1773434.0	1892283.0	1055011.0	1716195.0	1485491.0	1816986.0	1443749.0	1848048.0	2171431.0	1890562.0	1674514.0	1882586.0	1485293.0	1954560.0	1868224.0	1594055.0	1457369.0	1901077.0	1816255.0	1918751.0	1928846.0
HeQ_2017__SZAXPI029490-88__bin.96	2124718.0	2109346.0	1900172.0	2069381.0	2145235.0	1771501.0	2058504.0	1885072.0	1971771.0	2059300.0	1283351.0	2010613.0	1952203.0	1990994.0	1976672.0	1913662.0	2091859.0	1130695.0	1770098.0	1571458.0	1990704.0	1485893.0	2015320.0	1890562.0	2261269.0	1821879.0	2057780.0	1564851.0	2078373.0	1979259.0	1649152.0	1551063.0	2090469.0	1989732.0	2120249.0	2096022.0
KarlssonFH_2013__S77__bin.4	1921790.0	1942033.0	1656484.0	1850806.0	1951384.0	1661624.0	1900403.0	1646947.0	1818458.0	1841659.0	1100685.0	1867927.0	1785150.0	1818316.0	1793846.0	1752115.0	1907358.0	991297.0	1623852.0	1450433.0	1784019.0	1359199.0	1807114.0	1674514.0	1821879.0	2013006.0	1848066.0	1432053.0	1843592.0	1778517.0	1424318.0	1432146.0	1928948.0	1808485.0	1951649.0	1910886.0
Bengtsson-PalmeJ_2015__TRAVELRES35__bin.40	2172662.0	2144438.0	1889581.0	2299603.0	2191089.0	1802026.0	2166128.0	1853546.0	2012190.0	2275551.0	1241265.0	2058612.0	1944168.0	2065400.0	1992423.0	1944840.0	2143575.0	1158212.0	1813439.0	1583502.0	1986148.0	1482641.0	2055354.0	1882586.0	2057780.0	1848066.0	2311916.0	1600145.0	2136023.0	1979892.0	1645113.0	1560305.0	2173382.0	2067961.0	2165638.0	2120936.0
FengQ_2015__SID31874__bin.19	1632743.0	1654854.0	1464891.0	1602998.0	1627550.0	1401924.0	1591785.0	1451763.0	1550243.0	1596688.0	1005473.0	1556530.0	1502139.0	1641503.0	1586851.0	1520364.0	1651183.0	921564.0	1440189.0	1299654.0	1547769.0	1201494.0	1557824.0	1485293.0	1564851.0	1432053.0	1600145.0	1701495.0	1615218.0	1577337.0	1284799.0	1245793.0	1682132.0	1559432.0	1663977.0	1595834.0
Bengtsson-PalmeJ_2015__TRAVELRES65__bin.58	2227700.0	2144566.0	1963993.0	2157333.0	2404471.0	1810682.0	2121031.0	1945549.0	2018586.0	2137057.0	1300528.0	2110776.0	1958249.0	2116012.0	2092204.0	1996086.0	2130037.0	1174938.0	1878308.0	1619670.0	2049062.0	1545902.0	2047301.0	1954560.0	2078373.0	1843592.0	2136023.0	1615218.0	2414499.0	2041771.0	1762804.0	1581468.0	2147779.0	2053685.0	2160710.0	2202498.0
VogtmannE_2016__MMRS66868025ST-27-0-0__bin.44	2045396.0	2036628.0	1886074.0	1991090.0	2051261.0	1729524.0	1974385.0	1835518.0	1915053.0	1980013.0	1260704.0	1944634.0	1851176.0	1988345.0	1938388.0	1880588.0	2033324.0	1102334.0	1791411.0	1553746.0	1923581.0	1484085.0	1972024.0	1868224.0	1979259.0	1778517.0	1979892.0	1577337.0	2041771.0	2120160.0	1637519.0	1530855.0	2033776.0	1943432.0	2051949.0	2002878.0
Bengtsson-PalmeJ_2015__TRAVELRES26__bin.27	1814158.0	1666087.0	1691077.0	1659336.0	1756804.0	1417719.0	1636914.0	1658256.0	1616937.0	1647311.0	1285461.0	1597267.0	1472936.0	1686546.0	1612689.0	1549473.0	1662582.0	837586.0	1499911.0	1243417.0	1612157.0	1267930.0	1614868.0	1594055.0	1649152.0	1424318.0	1645113.0	1284799.0	1762804.0	1637519.0	1840119.0	1221467.0	1689957.0	1611826.0	1677550.0	1669592.0
QinN_2014__HD-47__bin.27	1593991.0	1576908.0	1444117.0	1562348.0	1600394.0	1363795.0	1547699.0	1417093.0	1469237.0	1547535.0	944299.0	1523860.0	1462064.0	1526859.0	1508159.0	1516174.0	1565636.0	872640.0	1401264.0	1262056.0	1510490.0	1188102.0	1527137.0	1457369.0	1551063.0	1432146.0	1560305.0	1245793.0	1581468.0	1530855.0	1221467.0	1643172.0	1565154.0	1532973.0	1586051.0	1577553.0
ZellerG_2014__CCIS90443472ST-4-0__bin.5	2286376.0	2396870.0	1940297.0	2189560.0	2372007.0	1941193.0	2269364.0	1875870.0	2283614.0	2177304.0	1278782.0	2216965.0	2169446.0	2389759.0	2144299.0	1988917.0	2495401.0	1177246.0	1878490.0	1661000.0	2062287.0	1499765.0	2043889.0	1901077.0	2090469.0	1928948.0	2173382.0	1682132.0	2147779.0	2033776.0	1689957.0	1565154.0	2774972.0	2227464.0	2420174.0	2339300.0
YuJ_2015__SZAXPI017591-140__bin.22	2138273.0	2204563.0	1915637.0	2075864.0	2240467.0	1852120.0	2126103.0	1790337.0	2088648.0	2063651.0	1237782.0	2099783.0	2072755.0	2039472.0	2024396.0	1916485.0	2210520.0	1123761.0	1766147.0	1598422.0	1975039.0	1455216.0	1969008.0	1816255.0	1989732.0	1808485.0	2067961.0	1559432.0	2053685.0	1943432.0	1611826.0	1532973.0	2227464.0	2455239.0	2219198.0	2206656.0
Bengtsson-PalmeJ_2015__TRAVELRES45__bin.45	2281403.0	2590986.0	1960616.0	2178107.0	2385944.0	1941012.0	2281220.0	1909036.0	2258241.0	2162878.0	1279083.0	2240177.0	2162022.0	2204358.0	2155219.0	2011076.0	2412737.0	1183428.0	1895382.0	1673425.0	2064229.0	1492639.0	2057416.0	1918751.0	2120249.0	1951649.0	2165638.0	1663977.0	2160710.0	2051949.0	1677550.0	1586051.0	2420174.0	2219198.0	2616929.0	2351294.0
YuJ_2015__SZAXPI015222-123__bin.14	2266120.0	2327309.0	1905073.0	2128837.0	2437332.0	1920723.0	2244767.0	1871391.0	2196956.0	2117479.0	1247523.0	2239288.0	2182252.0	2124905.0	2122396.0	2019818.0	2327350.0	1172082.0	1849205.0	1631804.0	2050069.0	1515223.0	2016087.0	1928846.0	2096022.0	1910886.0	2120936.0	1595834.0	2202498.0	2002878.0	1669592.0	1577553.0	2339300.0	2206656.0	2351294.0	2688902.0
