	QinN_2014__LD-44__bin.36	BackhedF_2015__SID582_12M__bin.30	HeQ_2017__SZAXPI029475-44__bin.13	QinN_2014__LD-91__bin.21	XieH_2016__YSZC12003_36212__bin.18	VatanenT_2016__G80274__bin.12	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	LiJ_2017__nHM612709__bin.42	BackhedF_2015__SID504_12M__bin.16	QinN_2014__LD-21__bin.7	LomanNJ_2013__OBK2535b__bin.9	QinN_2014__LD-78__bin.30	VatanenT_2016__G78889__bin.6	VatanenT_2016__G80445__bin.7	VatanenT_2016__G80267__bin.3	QinN_2014__LD-63__bin.9	GeversD_2014__SKBSTL021__bin.6	QinN_2014__LD-36__bin.6	BackhedF_2015__SID180_12M__bin.10	BackhedF_2015__SID195_12M__bin.33	QinJ_2012__CON-060__bin.43	BackhedF_2015__SID526_12M__bin.22	BackhedF_2015__SID256_12M__bin.21	CosteaPI_2017__alien-11-600-0__bin.10	NielsenHB_2014__V1_UC14_1__bin.34	BackhedF_2015__SID275_12M__bin.27	VatanenT_2016__G78672__bin.6	QinJ_2012__T2D-016__bin.32	QinN_2014__LV-10__bin.11	QinJ_2012__T2D-101__bin.23	Obregon-TitoAJ_2015__NO01__bin.15	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.64	VatanenT_2016__G69175__bin.1
LomanNJ_2013__OBK2535b__bin.9	21641.0	21844.0	22055.0	13447.0	23516.0	20802.0	11455.0	18721.0	19683.0	11625.0	0.0	21928.0	20940.0	23944.0	21461.0	22334.0	13086.0	11764.0	23430.0	21326.0	22526.0	19192.0	21765.0	9830.0	23722.0	6563.0	21848.0	23573.0	23643.0	18195.0	21222.0	20779.0	23221.0
QinN_2014__LD-78__bin.30	22831.0	27926.0	25830.0	15401.0	27305.0	28024.0	14641.0	21218.0	26038.0	14134.0	21928.0	0.0	29059.0	30792.0	24719.0	26063.0	18710.0	14861.0	28634.0	25042.0	26862.0	22875.0	28919.0	14380.0	29844.0	20142.0	27437.0	24644.0	25652.0	19695.0	23119.0	27796.0	28128.0
VatanenT_2016__G78889__bin.6	25838.0	30401.0	29461.0	20925.0	28313.0	28107.0	16132.0	21266.0	25724.0	17807.0	20940.0	29059.0	0.0	39815.0	23370.0	32082.0	23199.0	20921.0	32992.0	25244.0	29124.0	24915.0	30093.0	23087.0	36147.0	28270.0	2579.0	28778.0	31027.0	22229.0	25260.0	32795.0	29139.0
VatanenT_2016__G80445__bin.7	27872.0	34274.0	31013.0	22468.0	4629.0	30025.0	16293.0	24798.0	25751.0	17427.0	23944.0	30792.0	39815.0	0.0	25198.0	34596.0	18703.0	21628.0	32477.0	26735.0	32217.0	25714.0	33482.0	21694.0	33199.0	31077.0	30990.0	31782.0	33325.0	25270.0	28646.0	28466.0	31734.0
VatanenT_2016__G80267__bin.3	24312.0	24221.0	25073.0	13694.0	25946.0	23285.0	13130.0	22921.0	20399.0	11898.0	21461.0	24719.0	23370.0	25198.0	0.0	25511.0	13329.0	12831.0	26765.0	24488.0	25829.0	22774.0	23935.0	9092.0	25708.0	17406.0	24519.0	27087.0	25858.0	20877.0	24028.0	21807.0	26227.0
QinN_2014__LD-63__bin.9	24431.0	31451.0	28150.0	19444.0	29932.0	29866.0	17117.0	21689.0	27334.0	15186.0	22334.0	26063.0	32082.0	34596.0	25511.0	0.0	21178.0	17767.0	32484.0	27216.0	29277.0	24417.0	30157.0	19105.0	32638.0	21931.0	27913.0	26492.0	28187.0	20579.0	23876.0	30757.0	30248.0
GeversD_2014__SKBSTL021__bin.6	16808.0	24460.0	19639.0	17792.0	17368.0	18577.0	15422.0	13288.0	18361.0	14404.0	13086.0	18710.0	23199.0	18703.0	13329.0	21178.0	0.0	16075.0	19950.0	15331.0	19190.0	12904.0	20227.0	17146.0	8861.0	18559.0	19220.0	20322.0	21324.0	14569.0	16040.0	19059.0	19121.0
QinN_2014__LD-36__bin.6	14351.0	18472.0	17139.0	14699.0	15897.0	18109.0	15770.0	9195.0	18425.0	12483.0	11764.0	14861.0	20921.0	21628.0	12831.0	17767.0	16075.0	0.0	20643.0	15310.0	17755.0	11012.0	20151.0	18020.0	21566.0	18514.0	16650.0	15212.0	18168.0	11326.0	14070.0	19089.0	18895.0
BackhedF_2015__SID180_12M__bin.10	28344.0	31959.0	31446.0	19554.0	33407.0	27412.0	17004.0	25396.0	26040.0	17731.0	23430.0	28634.0	32992.0	32477.0	26765.0	32484.0	19950.0	20643.0	0.0	28193.0	31717.0	24938.0	33529.0	18503.0	35180.0	22590.0	27807.0	34302.0	33593.0	23782.0	28056.0	28617.0	31135.0
BackhedF_2015__SID195_12M__bin.33	23138.0	25938.0	26133.0	15580.0	26868.0	24469.0	12019.0	22902.0	21616.0	12855.0	21326.0	25042.0	25244.0	26735.0	24488.0	27216.0	15331.0	15310.0	28193.0	0.0	26414.0	23798.0	25308.0	12658.0	27842.0	17362.0	23779.0	27534.0	26889.0	20261.0	23858.0	23457.0	26824.0
QinJ_2012__CON-060__bin.43	25149.0	31602.0	28170.0	18064.0	28121.0	29014.0	16483.0	21615.0	26539.0	15163.0	22526.0	26862.0	29124.0	32217.0	25829.0	29277.0	19190.0	17755.0	31717.0	26414.0	0.0	22884.0	29416.0	15925.0	31688.0	20813.0	27846.0	27914.0	28586.0	20883.0	24167.0	28863.0	30073.0
BackhedF_2015__SID526_12M__bin.22	21017.0	22830.0	22598.0	12272.0	25800.0	21998.0	9914.0	21618.0	19474.0	11055.0	19192.0	22875.0	24915.0	25714.0	22774.0	24417.0	12904.0	11012.0	24938.0	23798.0	22884.0	0.0	23834.0	11272.0	25650.0	15984.0	22099.0	23857.0	23485.0	18837.0	20822.0	21622.0	23203.0
BackhedF_2015__SID256_12M__bin.21	25793.0	29737.0	30322.0	19193.0	29091.0	28078.0	16413.0	23327.0	26891.0	17715.0	21765.0	28919.0	30093.0	33482.0	23935.0	30157.0	20227.0	20151.0	33529.0	25308.0	29416.0	23834.0	0.0	16612.0	31115.0	21461.0	26784.0	31375.0	31475.0	24256.0	26254.0	27527.0	29243.0
CosteaPI_2017__alien-11-600-0__bin.10	13632.0	19924.0	16523.0	16714.0	13323.0	15001.0	15137.0	8202.0	14892.0	13184.0	9830.0	14380.0	23087.0	21694.0	9092.0	19105.0	17146.0	18020.0	18503.0	12658.0	15925.0	11272.0	16612.0	0.0	21023.0	20148.0	15418.0	14823.0	17626.0	11775.0	12855.0	17691.0	15893.0
NielsenHB_2014__V1_UC14_1__bin.34	28322.0	35236.0	32027.0	21566.0	29500.0	29470.0	17475.0	24610.0	26670.0	18435.0	23722.0	29844.0	36147.0	33199.0	25708.0	32638.0	8861.0	21566.0	35180.0	27842.0	31688.0	25650.0	31115.0	21023.0	0.0	27166.0	31064.0	33950.0	34300.0	25129.0	27857.0	28231.0	31843.0
BackhedF_2015__SID275_12M__bin.27	19215.0	25474.0	21464.0	18892.0	21280.0	21179.0	17214.0	14125.0	19226.0	14923.0	6563.0	20142.0	28270.0	31077.0	17406.0	21931.0	18559.0	18514.0	22590.0	17362.0	20813.0	15984.0	21461.0	20148.0	27166.0	0.0	22338.0	20857.0	22439.0	16556.0	17950.0	25031.0	21068.0
VatanenT_2016__G78672__bin.6	24276.0	26145.0	27322.0	17163.0	27136.0	25843.0	14186.0	20593.0	23786.0	15932.0	21848.0	27437.0	2579.0	30990.0	24519.0	27913.0	19220.0	16650.0	27807.0	23779.0	27846.0	22099.0	26784.0	15418.0	31064.0	22338.0	0.0	29338.0	28042.0	21730.0	26028.0	27928.0	27250.0
QinJ_2012__T2D-016__bin.32	23859.0	29700.0	26859.0	15383.0	31733.0	29012.0	14728.0	24739.0	26355.0	14715.0	23573.0	24644.0	28778.0	31782.0	27087.0	26492.0	20322.0	15212.0	34302.0	27534.0	27914.0	23857.0	31375.0	14823.0	33950.0	20857.0	29338.0	0.0	27277.0	22533.0	24672.0	27483.0	31129.0
QinN_2014__LV-10__bin.11	23899.0	31493.0	29854.0	18177.0	29559.0	29750.0	19107.0	21384.0	29225.0	15828.0	23643.0	25652.0	31027.0	33325.0	25858.0	28187.0	21324.0	18168.0	33593.0	26889.0	28586.0	23485.0	31475.0	17626.0	34300.0	22439.0	28042.0	27277.0	0.0	20894.0	24126.0	30719.0	30965.0
QinJ_2012__T2D-101__bin.23	18945.0	22716.0	20504.0	12195.0	22956.0	21978.0	11466.0	17359.0	19997.0	11443.0	18195.0	19695.0	22229.0	25270.0	20877.0	20579.0	14569.0	11326.0	23782.0	20261.0	20883.0	18837.0	24256.0	11775.0	25129.0	16556.0	21730.0	22533.0	20894.0	0.0	19173.0	22030.0	22649.0
Obregon-TitoAJ_2015__NO01__bin.15	22238.0	26098.0	23879.0	14214.0	26980.0	24713.0	13400.0	19489.0	22206.0	13569.0	21222.0	23119.0	25260.0	28646.0	24028.0	23876.0	16040.0	14070.0	28056.0	23858.0	24167.0	20822.0	26254.0	12855.0	27857.0	17950.0	26028.0	24672.0	24126.0	19173.0	0.0	24917.0	26580.0
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.64	26124.0	31341.0	28353.0	19446.0	25622.0	26474.0	16875.0	21313.0	25082.0	17617.0	20779.0	27796.0	32795.0	28466.0	21807.0	30757.0	19059.0	19089.0	28617.0	23457.0	28863.0	21622.0	27527.0	17691.0	28231.0	25031.0	27928.0	27483.0	30719.0	22030.0	24917.0	0.0	27975.0
VatanenT_2016__G69175__bin.1	27041.0	29098.0	29143.0	18954.0	29603.0	27095.0	15823.0	22336.0	25439.0	16075.0	23221.0	28128.0	29139.0	31734.0	26227.0	30248.0	19121.0	18895.0	31135.0	26824.0	30073.0	23203.0	29243.0	15893.0	31843.0	21068.0	27250.0	31129.0	30965.0	22649.0	26580.0	27975.0	0.0
