	QinN_2014__LD-44__bin.36	BackhedF_2015__SID582_12M__bin.30	HeQ_2017__SZAXPI029475-44__bin.13	QinN_2014__LD-91__bin.21	XieH_2016__YSZC12003_36212__bin.18	VatanenT_2016__G80274__bin.12	VogtmannE_2016__MMRS81194191ST-27-0-0__bin.33	LiJ_2017__nHM612709__bin.42	BackhedF_2015__SID504_12M__bin.16	QinN_2014__LD-21__bin.7	LomanNJ_2013__OBK2535b__bin.9	QinN_2014__LD-78__bin.30	VatanenT_2016__G78889__bin.6	VatanenT_2016__G80445__bin.7	VatanenT_2016__G80267__bin.3	QinN_2014__LD-63__bin.9	GeversD_2014__SKBSTL021__bin.6	QinN_2014__LD-36__bin.6	BackhedF_2015__SID180_12M__bin.10	BackhedF_2015__SID195_12M__bin.33	QinJ_2012__CON-060__bin.43	BackhedF_2015__SID526_12M__bin.22	BackhedF_2015__SID256_12M__bin.21	CosteaPI_2017__alien-11-600-0__bin.10	NielsenHB_2014__V1_UC14_1__bin.34	BackhedF_2015__SID275_12M__bin.27	VatanenT_2016__G78672__bin.6	QinJ_2012__T2D-016__bin.32	QinN_2014__LV-10__bin.11	QinJ_2012__T2D-101__bin.23	Obregon-TitoAJ_2015__NO01__bin.15	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.64	VatanenT_2016__G69175__bin.1
LomanNJ_2013__OBK2535b__bin.9	1649282.0	1943583.0	1956934.0	1157647.0	1947666.0	1972989.0	983122.0	1644306.0	1686290.0	1068476.0	2256742.0	1919726.0	1909676.0	1994967.0	1864038.0	1885485.0	1167465.0	1051822.0	2156731.0	1863218.0	1947841.0	1763760.0	1946600.0	931430.0	1994278.0	1481446.0	1995293.0	2080678.0	1911632.0	1519355.0	1991203.0	1814718.0	2125118.0
QinN_2014__LD-78__bin.30	1911463.0	2324112.0	2316671.0	1526775.0	1975978.0	2373104.0	1333288.0	1831668.0	2049457.0	1391303.0	1919726.0	2542085.0	2319207.0	2326465.0	1881870.0	2307562.0	1546115.0	1411900.0	2374349.0	1969766.0	2358616.0	1900750.0	2296574.0	1221888.0	2283677.0	1760747.0	2226011.0	2230330.0	2314580.0	1647935.0	2216017.0	2178560.0	2384160.0
VatanenT_2016__G78889__bin.6	1943576.0	2429663.0	2302178.0	1536878.0	2130051.0	2404308.0	1369948.0	1765341.0	2083506.0	1431641.0	1909676.0	2319207.0	2876381.0	2548827.0	1959930.0	2293225.0	1630866.0	1438296.0	2458082.0	1979697.0	2319644.0	1932896.0	2468362.0	1315593.0	2374260.0	1826515.0	2496413.0	2234633.0	2328177.0	1652372.0	2224595.0	2331723.0	2403470.0
VatanenT_2016__G80445__bin.7	1977824.0	2405768.0	2327331.0	1529279.0	2397540.0	2425518.0	1378510.0	1836948.0	2089559.0	1409119.0	1994967.0	2326465.0	2548827.0	3164916.0	2113808.0	2311163.0	1667502.0	1436337.0	2480314.0	2003179.0	2377661.0	1943693.0	2472551.0	1347962.0	2490944.0	1957586.0	2422982.0	2298014.0	2365464.0	1689218.0	2281668.0	2465441.0	2452480.0
VatanenT_2016__G80267__bin.3	1665542.0	1949308.0	1883928.0	1063184.0	2129391.0	1952981.0	958127.0	1772302.0	1662031.0	1003672.0	1864038.0	1881870.0	1959930.0	2113808.0	2441899.0	1843857.0	1131067.0	960082.0	2164928.0	1972743.0	1919679.0	1877269.0	1980964.0	849349.0	2038461.0	1380167.0	2061726.0	2036865.0	1895095.0	1482765.0	1976611.0	1887038.0	2126385.0
QinN_2014__LD-63__bin.9	1876081.0	2346800.0	2309624.0	1570375.0	1946213.0	2358535.0	1360897.0	1740487.0	2060941.0	1420428.0	1885485.0	2307562.0	2293225.0	2311163.0	1843857.0	2610230.0	1588610.0	1397700.0	2379770.0	1957186.0	2341037.0	1878299.0	2258054.0	1259141.0	2259590.0	1789693.0	2174408.0	2172836.0	2276846.0	1640547.0	2179634.0	2201546.0	2405450.0
GeversD_2014__SKBSTL021__bin.6	1293207.0	1626566.0	1539032.0	1423297.0	1248393.0	1588888.0	1299336.0	995120.0	1512373.0	1242250.0	1167465.0	1546115.0	1630866.0	1667502.0	1131067.0	1588610.0	1853760.0	1259158.0	1623706.0	1208451.0	1578969.0	1108165.0	1610140.0	1261546.0	1757030.0	1401034.0	1524382.0	1455939.0	1566713.0	1094935.0	1408533.0	1669658.0	1588257.0
QinN_2014__LD-36__bin.6	1142297.0	1391139.0	1413239.0	1354457.0	1058969.0	1433445.0	1238755.0	825229.0	1343449.0	1148572.0	1051822.0	1411900.0	1438296.0	1436337.0	960082.0	1397700.0	1259158.0	1679828.0	1462276.0	1065498.0	1425192.0	941939.0	1428305.0	1187320.0	1436723.0	1389740.0	1357258.0	1280819.0	1388886.0	955467.0	1359571.0	1396247.0	1446681.0
BackhedF_2015__SID180_12M__bin.10	2018918.0	2470945.0	2471781.0	1535329.0	2300389.0	2489310.0	1364629.0	1941606.0	2129447.0	1441331.0	2156731.0	2374349.0	2458082.0	2480314.0	2164928.0	2379770.0	1623706.0	1462276.0	3001000.0	2199699.0	2456511.0	2102427.0	2506164.0	1290358.0	2571484.0	1872907.0	2489901.0	2544182.0	2386170.0	1796388.0	2457196.0	2255497.0	2653616.0
BackhedF_2015__SID195_12M__bin.33	1643508.0	2001574.0	1981885.0	1156463.0	1987754.0	2026728.0	973773.0	1795512.0	1710218.0	1078833.0	1863218.0	1969766.0	1979697.0	2003179.0	1972743.0	1957186.0	1208451.0	1065498.0	2199699.0	2345912.0	2010688.0	1943204.0	2002239.0	895215.0	2054210.0	1422599.0	2022165.0	2082374.0	1945432.0	1508310.0	1974865.0	1832529.0	2174270.0
QinJ_2012__CON-060__bin.43	1921101.0	2398492.0	2340882.0	1534182.0	2018739.0	2432134.0	1349610.0	1824675.0	2065675.0	1399129.0	1947841.0	2358616.0	2319644.0	2377661.0	1919679.0	2341037.0	1578969.0	1425192.0	2456511.0	2010688.0	2657276.0	1952479.0	2313478.0	1269651.0	2374374.0	1745726.0	2267764.0	2298823.0	2310272.0	1670210.0	2241533.0	2199837.0	2442572.0
BackhedF_2015__SID526_12M__bin.22	1561458.0	1909769.0	1913724.0	1050546.0	1963200.0	2005140.0	883409.0	1815968.0	1620248.0	988351.0	1763760.0	1900750.0	1932896.0	1943693.0	1877269.0	1878299.0	1108165.0	941939.0	2102427.0	1943204.0	1952479.0	2254869.0	1906658.0	816554.0	1977916.0	1298304.0	1919963.0	1988994.0	1881344.0	1434677.0	1878171.0	1754731.0	2062261.0
BackhedF_2015__SID256_12M__bin.21	1938818.0	2347702.0	2308305.0	1507091.0	2141959.0	2384986.0	1364793.0	1788596.0	2101056.0	1444916.0	1946600.0	2296574.0	2468362.0	2472551.0	1980964.0	2258054.0	1610140.0	1428305.0	2506164.0	2002239.0	2313478.0	1906658.0	2903904.0	1256048.0	2408263.0	1786355.0	2372401.0	2278113.0	2317342.0	1697588.0	2231226.0	2277091.0	2422527.0
CosteaPI_2017__alien-11-600-0__bin.10	1018058.0	1293195.0	1236495.0	1231842.0	940909.0	1274086.0	1214928.0	678116.0	1182981.0	1070979.0	931430.0	1221888.0	1315593.0	1347962.0	849349.0	1259141.0	1261546.0	1187320.0	1290358.0	895215.0	1269651.0	816554.0	1256048.0	1488568.0	1308117.0	1312424.0	1195223.0	1152307.0	1224638.0	870238.0	1131955.0	1299738.0	1268868.0
NielsenHB_2014__V1_UC14_1__bin.34	1943341.0	2388670.0	2305088.0	1513669.0	2163384.0	2375599.0	1336422.0	1843026.0	2063732.0	1425667.0	1994278.0	2283677.0	2374260.0	2490944.0	2038461.0	2259590.0	1757030.0	1436723.0	2571484.0	2054210.0	2374374.0	1977916.0	2408263.0	1308117.0	3015932.0	1838028.0	2374812.0	2400377.0	2285794.0	1719356.0	2307416.0	2288329.0	2493043.0
BackhedF_2015__SID275_12M__bin.27	1405632.0	1843779.0	1786426.0	1474553.0	1490170.0	1827973.0	1334888.0	1192935.0	1594210.0	1282788.0	1481446.0	1760747.0	1826515.0	1957586.0	1380167.0	1789693.0	1401034.0	1389740.0	1872907.0	1422599.0	1745726.0	1298304.0	1786355.0	1312424.0	1838028.0	2162725.0	1731367.0	1684792.0	1723074.0	1254255.0	1705566.0	1829126.0	1837617.0
VatanenT_2016__G78672__bin.6	1919020.0	2283535.0	2224521.0	1443061.0	2184965.0	2313775.0	1295926.0	1750686.0	2008603.0	1367491.0	1995293.0	2226011.0	2496413.0	2422982.0	2061726.0	2174408.0	1524382.0	1357258.0	2489901.0	2022165.0	2267764.0	1919963.0	2372401.0	1195223.0	2374812.0	1731367.0	2751597.0	2336103.0	2256182.0	1669533.0	2286280.0	2208888.0	2446392.0
QinJ_2012__T2D-016__bin.32	1918576.0	2261027.0	2256847.0	1381526.0	2151403.0	2323591.0	1225696.0	1858715.0	1973380.0	1302345.0	2080678.0	2230330.0	2234633.0	2298014.0	2036865.0	2172836.0	1455939.0	1280819.0	2544182.0	2082374.0	2298823.0	1988994.0	2278113.0	1152307.0	2400377.0	1684792.0	2336103.0	2745737.0	2231083.0	1708900.0	2283567.0	2078958.0	2464100.0
QinN_2014__LV-10__bin.11	1973151.0	2304380.0	2291635.0	1513820.0	2029476.0	2324442.0	1427178.0	1774244.0	2062976.0	1412601.0	1911632.0	2314580.0	2328177.0	2365464.0	1895095.0	2276846.0	1566713.0	1388886.0	2386170.0	1945432.0	2310272.0	1881344.0	2317342.0	1224638.0	2285794.0	1723074.0	2256182.0	2231083.0	2637834.0	1653075.0	2192983.0	2230339.0	2358649.0
QinJ_2012__T2D-101__bin.23	1445045.0	1681826.0	1673219.0	1050626.0	1554981.0	1697743.0	935806.0	1341029.0	1506106.0	990331.0	1519355.0	1647935.0	1652372.0	1689218.0	1482765.0	1640547.0	1094935.0	955467.0	1796388.0	1508310.0	1670210.0	1434677.0	1697588.0	870238.0	1719356.0	1254255.0	1669533.0	1708900.0	1653075.0	1882449.0	1636436.0	1580414.0	1749652.0
Obregon-TitoAJ_2015__NO01__bin.15	1859633.0	2246645.0	2231438.0	1414207.0	2056872.0	2260545.0	1233048.0	1743571.0	1923246.0	1333429.0	1991203.0	2216017.0	2224595.0	2281668.0	1976611.0	2179634.0	1408533.0	1359571.0	2457196.0	1974865.0	2241533.0	1878171.0	2231226.0	1131955.0	2307416.0	1705566.0	2286280.0	2283567.0	2192983.0	1636436.0	2559380.0	2070745.0	2432801.0
VogtmannE_2016__MMRS94549160ST-27-0-0__bin.64	1865850.0	2260147.0	2171658.0	1502856.0	1995947.0	2269846.0	1394066.0	1662300.0	2058953.0	1416980.0	1814718.0	2178560.0	2331723.0	2465441.0	1887038.0	2201546.0	1669658.0	1396247.0	2255497.0	1832529.0	2199837.0	1754731.0	2277091.0	1299738.0	2288329.0	1829126.0	2208888.0	2078958.0	2230339.0	1580414.0	2070745.0	2674199.0	2252251.0
VatanenT_2016__G69175__bin.1	2006721.0	2436854.0	2388996.0	1541507.0	2229964.0	2454172.0	1361889.0	1882180.0	2096238.0	1434116.0	2125118.0	2384160.0	2403470.0	2452480.0	2126385.0	2405450.0	1588257.0	1446681.0	2653616.0	2174270.0	2442572.0	2062261.0	2422527.0	1268868.0	2493043.0	1837617.0	2446392.0	2464100.0	2358649.0	1749652.0	2432801.0	2252251.0	2831084.0
