	ZeeviD_2015__PNP_Main_268__bin.39	XieH_2016__YSZC12003_37296R1__bin.33	VatanenT_2016__G80495__bin.7	LiuW_2016__SRR3993004__bin.12	CosteaPI_2017__SID713B032-11-90-0__bin.76	ZeeviD_2015__PNP_Main_381__bin.1	NielsenHB_2014__MH0101__bin.14	LeChatelierE_2013__MH0101__bin.15	QinJ_2012__CON-094__bin.7	QinJ_2012__T2D-083__bin.12	HeQ_2017__SZAXPI029573-88__bin.21	HMP_2012__SRS019601__bin.18	XieH_2016__YSZC12003_36058__bin.40	CosteaPI_2017__SID713A089-11-0-0__bin.48	HeQ_2017__SZAXPI029578-96__bin.47	BritoIL_2016__M1.44.ST__bin.56	ZeeviD_2015__PNP_Main_391__bin.26	HeQ_2017__SZAXPI029557-42__bin.38	ZeeviD_2015__PNP_Main_154__bin.30	ZeeviD_2015__PNP_Main_178__bin.19	KarlssonFH_2013__S248__bin.9	SchirmerM_2016__G89058__bin.16	FengQ_2015__SID31873__bin.66	QinN_2014__LD-74__bin.66	XieH_2016__YSZC12003_37880__bin.50	ZeeviD_2015__PNP_Main_384__bin.41	XieH_2016__YSZC12003_36052__bin.58	ZeeviD_2015__PNP_Main_137__bin.19	BackhedF_2015__SID560_4M__bin.10	VatanenT_2016__G78589__bin.6	LiuW_2016__SRR3993060__bin.98
HeQ_2017__SZAXPI029573-88__bin.21	2500953.0	2478137.0	1419908.0	1208907.0	2184275.0	1978863.0	2315254.0	2325848.0	2502167.0	2239112.0	3713182.0	2323087.0	2033360.0	2382442.0	2621213.0	1314386.0	2583176.0	2449592.0	2294531.0	2416060.0	2415954.0	2368904.0	2275446.0	2345860.0	2524671.0	2384420.0	2428623.0	2596637.0	1346736.0	1683256.0	1282462.0
HMP_2012__SRS019601__bin.18	2347361.0	2244221.0	1405893.0	1205741.0	2076701.0	1880144.0	2208191.0	2209818.0	2279599.0	2102837.0	2323087.0	2899505.0	1899393.0	2290352.0	2350193.0	1301268.0	2326669.0	2306578.0	2175089.0	2229964.0	2338776.0	2306042.0	2218696.0	2234243.0	2357011.0	2315113.0	2323881.0	2354954.0	1322196.0	1605269.0	1287372.0
XieH_2016__YSZC12003_36058__bin.40	1991375.0	1954201.0	1246640.0	1081741.0	1814401.0	1627964.0	1885211.0	1888633.0	1998062.0	1835142.0	2033360.0	1899393.0	2624334.0	1981554.0	2033819.0	1140478.0	2035719.0	1908927.0	1884969.0	1998967.0	1951823.0	1883843.0	1858371.0	1893393.0	2007820.0	1967570.0	1953521.0	2034383.0	1170315.0	1401913.0	1142993.0
CosteaPI_2017__SID713A089-11-0-0__bin.48	2448624.0	2333073.0	1415828.0	1237040.0	2134035.0	1864531.0	2242588.0	2243520.0	2346662.0	2142462.0	2382442.0	2290352.0	1981554.0	2910564.0	2426263.0	1304344.0	2480235.0	2299498.0	2231491.0	2287929.0	2381970.0	2329414.0	2269631.0	2292945.0	2368828.0	2364399.0	2361735.0	2509888.0	1363221.0	1607118.0	1294743.0
HeQ_2017__SZAXPI029578-96__bin.47	2523333.0	2428420.0	1446921.0	1248057.0	2153035.0	1970532.0	2347144.0	2336954.0	2590933.0	2308611.0	2621213.0	2350193.0	2033819.0	2426263.0	2903512.0	1360940.0	2534679.0	2504139.0	2333327.0	2413184.0	2440024.0	2406836.0	2342969.0	2424070.0	2456389.0	2436663.0	2462745.0	2577697.0	1383587.0	1727574.0	1318470.0
BritoIL_2016__M1.44.ST__bin.56	1339066.0	1263100.0	923369.0	772178.0	1258696.0	1012716.0	1349978.0	1352028.0	1327824.0	1273164.0	1314386.0	1301268.0	1140478.0	1304344.0	1360940.0	2086664.0	1288692.0	1294364.0	1285027.0	1247944.0	1311780.0	1262879.0	1253579.0	1298705.0	1287815.0	1297025.0	1302895.0	1355413.0	878912.0	1031256.0	817384.0
ZeeviD_2015__PNP_Main_391__bin.26	2712951.0	2628445.0	1396103.0	1203373.0	2178024.0	2101518.0	2374413.0	2357452.0	2428199.0	2179326.0	2583176.0	2326669.0	2035719.0	2480235.0	2534679.0	1288692.0	4183818.0	2426689.0	2471563.0	2576491.0	2419222.0	2425821.0	2346563.0	2337968.0	2712036.0	2523486.0	2499820.0	2684237.0	1373210.0	1652148.0	1286401.0
HeQ_2017__SZAXPI029557-42__bin.38	2408715.0	2258183.0	1386467.0	1198228.0	2042267.0	1840879.0	2180364.0	2166364.0	2423938.0	2207240.0	2449592.0	2306578.0	1908927.0	2299498.0	2504139.0	1294364.0	2426689.0	2762834.0	2206934.0	2239062.0	2307451.0	2307902.0	2246211.0	2282860.0	2327854.0	2333366.0	2332778.0	2442454.0	1324087.0	1622403.0	1262697.0
ZeeviD_2015__PNP_Main_154__bin.30	2509117.0	2298341.0	1349135.0	1152568.0	2051669.0	1928609.0	2167446.0	2160901.0	2236744.0	2060913.0	2294531.0	2175089.0	1884969.0	2231491.0	2333327.0	1285027.0	2471563.0	2206934.0	3162264.0	2344942.0	2273897.0	2174239.0	2180359.0	2213186.0	2336691.0	2373668.0	2314529.0	2470387.0	1283173.0	1583043.0	1261680.0
ZeeviD_2015__PNP_Main_178__bin.19	2487121.0	2424382.0	1321756.0	1140073.0	2034803.0	2057514.0	2181250.0	2170876.0	2253731.0	2036611.0	2416060.0	2229964.0	1998967.0	2287929.0	2413184.0	1247944.0	2576491.0	2239062.0	2344942.0	2773962.0	2276424.0	2275084.0	2174466.0	2221675.0	2462894.0	2390062.0	2326780.0	2510071.0	1265164.0	1571167.0	1240305.0
KarlssonFH_2013__S248__bin.9	2431268.0	2347002.0	1410863.0	1204001.0	2164862.0	1927208.0	2270674.0	2258296.0	2302014.0	2137440.0	2415954.0	2338776.0	1951823.0	2381970.0	2440024.0	1311780.0	2419222.0	2307451.0	2273897.0	2276424.0	3526411.0	2396860.0	2300705.0	2288190.0	2423627.0	2356932.0	2418266.0	2514060.0	1367231.0	1649659.0	1292091.0
SchirmerM_2016__G89058__bin.16	2491729.0	2334610.0	1346227.0	1181859.0	2026520.0	1941580.0	2199112.0	2196630.0	2278813.0	2138451.0	2368904.0	2306042.0	1883843.0	2329414.0	2406836.0	1262879.0	2425821.0	2307902.0	2174239.0	2275084.0	2396860.0	2849190.0	2216299.0	2246213.0	2499991.0	2376435.0	2359554.0	2547986.0	1289575.0	1581044.0	1242095.0
FengQ_2015__SID31873__bin.66	2360050.0	2279554.0	1354929.0	1161038.0	2094529.0	1832706.0	2186686.0	2189277.0	2264574.0	2027806.0	2275446.0	2218696.0	1858371.0	2269631.0	2342969.0	1253579.0	2346563.0	2246211.0	2180359.0	2174466.0	2300705.0	2216299.0	3054618.0	2255764.0	2322987.0	2243901.0	2318947.0	2415170.0	1275690.0	1585046.0	1245279.0
QinN_2014__LD-74__bin.66	2314411.0	2280522.0	1376854.0	1183104.0	2035760.0	1833671.0	2183990.0	2191228.0	2275653.0	2082418.0	2345860.0	2234243.0	1893393.0	2292945.0	2424070.0	1298705.0	2337968.0	2282860.0	2213186.0	2221675.0	2288190.0	2246213.0	2255764.0	3363100.0	2271658.0	2266384.0	2281225.0	2381038.0	1275899.0	1585110.0	1279401.0
XieH_2016__YSZC12003_37880__bin.50	2663417.0	2601466.0	1383908.0	1204934.0	2145811.0	2154099.0	2333948.0	2314792.0	2378688.0	2158426.0	2524671.0	2357011.0	2007820.0	2368828.0	2456389.0	1287815.0	2712036.0	2327854.0	2336691.0	2462894.0	2423627.0	2499991.0	2322987.0	2271658.0	3580062.0	2414973.0	2489364.0	2605506.0	1337338.0	1656893.0	1279237.0
ZeeviD_2015__PNP_Main_384__bin.41	2560413.0	2364205.0	1395543.0	1195368.0	2095924.0	1973018.0	2200064.0	2194578.0	2365395.0	2169616.0	2384420.0	2315113.0	1967570.0	2364399.0	2436663.0	1297025.0	2523486.0	2333366.0	2373668.0	2390062.0	2356932.0	2376435.0	2243901.0	2266384.0	2414973.0	2828778.0	2369636.0	2506588.0	1334828.0	1611924.0	1280245.0
XieH_2016__YSZC12003_36052__bin.58	2464948.0	2394250.0	1395448.0	1241494.0	2107948.0	1951614.0	2267830.0	2256278.0	2381425.0	2149331.0	2428623.0	2323881.0	1953521.0	2361735.0	2462745.0	1302895.0	2499820.0	2332778.0	2314529.0	2326780.0	2418266.0	2359554.0	2318947.0	2281225.0	2489364.0	2369636.0	3179445.0	2574377.0	1353428.0	1653997.0	1283474.0
ZeeviD_2015__PNP_Main_137__bin.19	2775717.0	2583050.0	1434739.0	1243709.0	2210431.0	1986618.0	2394318.0	2375879.0	2452751.0	2238145.0	2596637.0	2354954.0	2034383.0	2509888.0	2577697.0	1355413.0	2684237.0	2442454.0	2470387.0	2510071.0	2514060.0	2547986.0	2415170.0	2381038.0	2605506.0	2506588.0	2574377.0	3745223.0	1390544.0	1718223.0	1343629.0
BackhedF_2015__SID560_4M__bin.10	1355481.0	1282547.0	1143231.0	824519.0	1277550.0	1053866.0	1445236.0	1452440.0	1382904.0	1300360.0	1346736.0	1322196.0	1170315.0	1363221.0	1383587.0	878912.0	1373210.0	1324087.0	1283173.0	1265164.0	1367231.0	1289575.0	1275690.0	1275899.0	1337338.0	1334828.0	1353428.0	1390544.0	2211304.0	1298657.0	859225.0
VatanenT_2016__G78589__bin.6	1656350.0	1592197.0	1342153.0	967781.0	1563124.0	1335540.0	1785833.0	1804764.0	1674452.0	1564128.0	1683256.0	1605269.0	1401913.0	1607118.0	1727574.0	1031256.0	1652148.0	1622403.0	1583043.0	1571167.0	1649659.0	1581044.0	1585046.0	1585110.0	1656893.0	1611924.0	1653997.0	1718223.0	1298657.0	2376168.0	991189.0
LiuW_2016__SRR3993060__bin.98	1297213.0	1229810.0	892309.0	868661.0	1241470.0	1031189.0	1304520.0	1309372.0	1299556.0	1232667.0	1282462.0	1287372.0	1142993.0	1294743.0	1318470.0	817384.0	1286401.0	1262697.0	1261680.0	1240305.0	1292091.0	1242095.0	1245279.0	1279401.0	1279237.0	1280245.0	1283474.0	1343629.0	859225.0	991189.0	2467307.0
