	CM_madagascar__A75_02_1FE__bin.75	BritoIL_2016__W2.54.ST__bin.11	BritoIL_2016__W2.15.ST__bin.48	CM_madagascar__V40_01_1FE__bin.70	CM_madagascar__A90_04_1FE__bin.99	ZeeviD_2015__PNP_Main_447__bin.51	ZeeviD_2015__PNP_Main_104__bin.52	ZeeviD_2015__PNP_Main_215__bin.39	CosteaPI_2017__SID713B046-11-0-0__bin.46	CosteaPI_2017__SID713A087-11-90-0__bin.49	CM_madagascar__A32_01_1FE__bin.71	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.14	KarlssonFH_2013__S422__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES48__bin.67	BritoIL_2016__M1.24.ST__bin.15	LiuW_2016__SRR3993060__bin.85	BritoIL_2016__M1.22.ST__bin.44	WenC_2017__N277__bin.36	ZeeviD_2015__PNP_Validation_4__bin.6	CM_madagascar__A89_01_1FE__bin.11	BritoIL_2016__M2.46.ST__bin.21	CM_madagascar__A73_01_1FE__bin.6	XieH_2016__YSZC12003_36244__bin.70	CM_madagascar__A94_02_1FE__bin.45	Obregon-TitoAJ_2015__HCO02__bin.18	BritoIL_2016__W1.33.ST__bin.82	CosteaPI_2017__SID713B041-11-0-0__bin.33	BritoIL_2016__W1.53.ST__bin.16	FengQ_2015__SID530315__bin.14	LiJ_2014__MH0399__bin.44	BritoIL_2016__WL.43.ST__bin.84	XieH_2016__YSZC12003_36006__bin.69
CM_madagascar__A32_01_1FE__bin.71	1349392.0	1387127.0	1389974.0	1388232.0	998675.0	1387023.0	1192222.0	1035704.0	1058063.0	1295509.0	2196360.0	779945.0	874081.0	782194.0	1207783.0	1226658.0	1316629.0	1312669.0	884481.0	1342306.0	1004387.0	1070709.0	909608.0	1376978.0	1298843.0	891870.0	1362100.0	1057660.0	1371246.0	1380209.0	1381256.0	1350644.0
Bengtsson-PalmeJ_2015__TRAVELRES40__bin.14	846618.0	926074.0	894187.0	899352.0	635316.0	882496.0	728128.0	650122.0	669044.0	891947.0	779945.0	968693.0	527207.0	883785.0	759456.0	803019.0	872445.0	808634.0	549869.0	863658.0	840601.0	654411.0	526259.0	896217.0	823056.0	576536.0	885875.0	670421.0	883302.0	877919.0	914236.0	863863.0
KarlssonFH_2013__S422__bin.82	925182.0	991395.0	1005913.0	988228.0	735229.0	1035725.0	827399.0	726799.0	792189.0	997990.0	874081.0	527207.0	1083043.0	544205.0	912611.0	889828.0	952893.0	906560.0	1051942.0	935833.0	559729.0	805166.0	698864.0	948944.0	964235.0	672390.0	979772.0	791633.0	995060.0	1010285.0	975199.0	972472.0
Bengtsson-PalmeJ_2015__TRAVELRES48__bin.67	835872.0	888562.0	899089.0	892668.0	625635.0	889876.0	723718.0	648372.0	671490.0	886976.0	782194.0	883785.0	544205.0	965698.0	766021.0	809116.0	863075.0	825501.0	565991.0	848190.0	844182.0	676186.0	520867.0	883646.0	829440.0	569859.0	880248.0	639585.0	876523.0	903789.0	876392.0	858671.0
BritoIL_2016__M1.24.ST__bin.15	1277212.0	1338719.0	1338298.0	1321619.0	964956.0	1344516.0	1149285.0	993787.0	1033377.0	1271376.0	1207783.0	759456.0	912611.0	766021.0	1421455.0	1180097.0	1269940.0	1233396.0	919686.0	1283379.0	919729.0	1029882.0	884191.0	1308584.0	1268430.0	859861.0	1317844.0	1033182.0	1322998.0	1339858.0	1328991.0	1310195.0
LiuW_2016__SRR3993060__bin.85	1306299.0	1369034.0	1372630.0	1359608.0	973247.0	1391637.0	1163469.0	1012656.0	1078880.0	1358382.0	1226658.0	803019.0	889828.0	809116.0	1180097.0	1447421.0	1336817.0	1255381.0	913901.0	1314223.0	950281.0	1043543.0	898498.0	1353040.0	1277833.0	909403.0	1361264.0	1040987.0	1362401.0	1362675.0	1343007.0	1344825.0
BritoIL_2016__M1.22.ST__bin.44	1418641.0	1511277.0	1550257.0	1497181.0	1023296.0	1503451.0	1268142.0	1113185.0	1130730.0	1448731.0	1316629.0	872445.0	952893.0	863075.0	1269940.0	1336817.0	1622989.0	1351396.0	976020.0	1428041.0	1057631.0	1096568.0	948402.0	1470364.0	1402466.0	955534.0	1495014.0	1138554.0	1504279.0	1475680.0	1490461.0	1479339.0
WenC_2017__N277__bin.36	1355299.0	1458505.0	1459696.0	1432778.0	984421.0	1441280.0	1212217.0	1048650.0	1077740.0	1350771.0	1312669.0	808634.0	906560.0	825501.0	1233396.0	1255381.0	1351396.0	1629514.0	934491.0	1358097.0	1031320.0	1082277.0	910505.0	1435648.0	1351727.0	897727.0	1404949.0	1086586.0	1436188.0	1461219.0	1429193.0	1406581.0
ZeeviD_2015__PNP_Validation_4__bin.6	936432.0	1019022.0	1039680.0	1011283.0	731258.0	1086797.0	829316.0	743723.0	801621.0	1026220.0	884481.0	549869.0	1051942.0	565991.0	919686.0	913901.0	976020.0	934491.0	1136598.0	947017.0	574741.0	812806.0	707732.0	978311.0	976506.0	682066.0	1003280.0	799356.0	1016907.0	1042375.0	1000016.0	988945.0
CM_madagascar__A89_01_1FE__bin.11	1459410.0	1527046.0	1546259.0	1511539.0	1064356.0	1486962.0	1275819.0	1106271.0	1140243.0	1426040.0	1342306.0	863658.0	935833.0	848190.0	1283379.0	1314223.0	1428041.0	1358097.0	947017.0	1658128.0	1077785.0	1124273.0	959991.0	1510255.0	1402551.0	957747.0	1484374.0	1153914.0	1487321.0	1467246.0	1518037.0	1466700.0
BritoIL_2016__M2.46.ST__bin.21	1064769.0	1147376.0	1157760.0	1126289.0	725036.0	1150703.0	932320.0	818399.0	798391.0	1029798.0	1004387.0	840601.0	559729.0	844182.0	919729.0	950281.0	1057631.0	1031320.0	574741.0	1077785.0	1318784.0	796861.0	635729.0	1123949.0	1054573.0	641914.0	1108827.0	797699.0	1127294.0	1138127.0	1130306.0	1107973.0
CM_madagascar__A73_01_1FE__bin.6	1128057.0	1148514.0	1172617.0	1162580.0	868372.0	1137909.0	983715.0	872314.0	909602.0	1116895.0	1070709.0	654411.0	805166.0	676186.0	1029882.0	1043543.0	1096568.0	1082277.0	812806.0	1124273.0	796861.0	1340654.0	768950.0	1142388.0	1089284.0	784205.0	1134837.0	872482.0	1144815.0	1163686.0	1143676.0	1129288.0
XieH_2016__YSZC12003_36244__bin.70	965544.0	994994.0	997724.0	991642.0	744606.0	985185.0	849792.0	773309.0	810061.0	956056.0	909608.0	526259.0	698864.0	520867.0	884191.0	898498.0	948402.0	910505.0	707732.0	959991.0	635729.0	768950.0	1066539.0	984095.0	937330.0	668994.0	988702.0	773882.0	1008068.0	977758.0	992786.0	975313.0
CM_madagascar__A94_02_1FE__bin.45	1496969.0	1609378.0	1592163.0	1580377.0	1075993.0	1553889.0	1318414.0	1132734.0	1165439.0	1473851.0	1376978.0	896217.0	948944.0	883646.0	1308584.0	1353040.0	1470364.0	1435648.0	978311.0	1510255.0	1123949.0	1142388.0	984095.0	1748364.0	1450203.0	969221.0	1529574.0	1193610.0	1547870.0	1541550.0	1562224.0	1524552.0
Obregon-TitoAJ_2015__HCO02__bin.18	1405061.0	1489051.0	1502142.0	1471612.0	1022626.0	1480514.0	1242237.0	1089415.0	1114810.0	1414174.0	1298843.0	823056.0	964235.0	829440.0	1268430.0	1277833.0	1402466.0	1351727.0	976506.0	1402551.0	1054573.0	1089284.0	937330.0	1450203.0	1605524.0	929020.0	1459445.0	1130107.0	1481227.0	1473087.0	1469056.0	1444746.0
BritoIL_2016__W1.33.ST__bin.82	954972.0	984082.0	969760.0	972574.0	751102.0	966898.0	854329.0	755114.0	796371.0	966085.0	891870.0	576536.0	672390.0	569859.0	859861.0	909403.0	955534.0	897727.0	682066.0	957747.0	641914.0	784205.0	668994.0	969221.0	929020.0	1005545.0	971846.0	779309.0	965098.0	957381.0	975946.0	953279.0
CosteaPI_2017__SID713B041-11-0-0__bin.33	1478100.0	1570620.0	1576950.0	1559151.0	1060403.0	1557704.0	1301557.0	1147448.0	1171030.0	1500787.0	1362100.0	885875.0	979772.0	880248.0	1317844.0	1361264.0	1495014.0	1404949.0	1003280.0	1484374.0	1108827.0	1134837.0	988702.0	1529574.0	1459445.0	971846.0	1645241.0	1175091.0	1567791.0	1534261.0	1552547.0	1533407.0
BritoIL_2016__W1.53.ST__bin.16	1146315.0	1273239.0	1209906.0	1204111.0	855624.0	1179969.0	1003809.0	885499.0	907914.0	1145064.0	1057660.0	670421.0	791633.0	639585.0	1033182.0	1040987.0	1138554.0	1086586.0	799356.0	1153914.0	797699.0	872482.0	773882.0	1193610.0	1130107.0	779309.0	1175091.0	1328044.0	1190671.0	1172165.0	1206283.0	1171936.0
FengQ_2015__SID530315__bin.14	1482947.0	1611016.0	1616854.0	1586316.0	1060759.0	1587508.0	1325563.0	1180923.0	1166744.0	1517683.0	1371246.0	883302.0	995060.0	876523.0	1322998.0	1362401.0	1504279.0	1436188.0	1016907.0	1487321.0	1127294.0	1144815.0	1008068.0	1547870.0	1481227.0	965098.0	1567791.0	1190671.0	1727677.0	1570682.0	1570205.0	1560154.0
LiJ_2014__MH0399__bin.44	1468836.0	1584897.0	1595727.0	1584349.0	1049594.0	1589861.0	1294348.0	1139695.0	1154723.0	1476958.0	1380209.0	877919.0	1010285.0	903789.0	1339858.0	1362675.0	1475680.0	1461219.0	1042375.0	1467246.0	1138127.0	1163686.0	977758.0	1541550.0	1473087.0	957381.0	1534261.0	1172165.0	1570682.0	1710856.0	1544825.0	1532832.0
BritoIL_2016__WL.43.ST__bin.84	1517134.0	1615206.0	1598955.0	1574000.0	1072096.0	1560006.0	1308978.0	1139564.0	1162506.0	1481783.0	1381256.0	914236.0	975199.0	876392.0	1328991.0	1343007.0	1490461.0	1429193.0	1000016.0	1518037.0	1130306.0	1143676.0	992786.0	1562224.0	1469056.0	975946.0	1552547.0	1206283.0	1570205.0	1544825.0	1748901.0	1546071.0
XieH_2016__YSZC12003_36006__bin.69	1464637.0	1577720.0	1571825.0	1542927.0	1056186.0	1549547.0	1318009.0	1129004.0	1157641.0	1469063.0	1350644.0	863863.0	972472.0	858671.0	1310195.0	1344825.0	1479339.0	1406581.0	988945.0	1466700.0	1107973.0	1129288.0	975313.0	1524552.0	1444746.0	953279.0	1533407.0	1171936.0	1560154.0	1532832.0	1546071.0	1635873.0
