	HMP_2012__SRS015921__bin.10	HMP_2012__SRS019128__bin.2	HMP_2012__SRS019587__bin.5	HMP_2012__SRS013949__bin.33	HMP_2012__SRS019129__bin.24	HMP_2012__SRS050029__bin.11	HMP_2012__SRS018359__bin.7	HMP_2012__SRS013945__bin.13	HMP_2012__SRS014575__bin.2	HMP_2012__SRS013950__bin.11	HMP_2012__SRS023987__bin.4	HMP_2012__SRS013836__bin.49	HMP_2012__SRS015745__bin.7	HMP_2012__SRS056892__bin.5	HMP_2012__SRS023964__bin.28	HMP_2012__SRS017080__bin.6	HMP_2012__SRS014578__bin.17	HMP_2012__SRS019391__bin.2	HMP_2012__SRS019591__bin.17	HMP_2012__SRS015895__bin.3	HMP_2012__SRS019120__bin.3	HMP_2012__SRS015803__bin.6	HMP_2012__SRS015799__bin.3	HMP_2012__SRS013881__bin.10	HMP_2012__SRS052874__bin.12	HMP_2012__SRS024470__bin.4	VogtmannE_2016__MMRS65862658ST-27-0-0__bin.79	HMP_2012__SRS024557__bin.4
HMP_2012__SRS023987__bin.4	1369437.0	1134215.0	664367.0	1402977.0	1013413.0	1043157.0	748512.0	1403637.0	1386858.0	1263312.0	1487731.0	1006654.0	1277847.0	1407175.0	1439465.0	1334079.0	1389116.0	1300790.0	1335125.0	1358477.0	879265.0	1029645.0	1325859.0	1365762.0	1350639.0	1349071.0	921546.0	1389986.0
HMP_2012__SRS013836__bin.49	1371103.0	1096715.0	892764.0	1390146.0	1088690.0	1186993.0	929893.0	1389432.0	1365760.0	1213718.0	1006654.0	1602669.0	1368876.0	1404458.0	1393602.0	1400047.0	1387183.0	1351507.0	1314442.0	1362613.0	911382.0	1167973.0	1397959.0	1426640.0	1358393.0	1494917.0	920540.0	1392945.0
HMP_2012__SRS015745__bin.7	1771766.0	1395669.0	1136816.0	1759900.0	1359410.0	1487638.0	1189538.0	1772617.0	1720154.0	1522928.0	1277847.0	1368876.0	1964283.0	1722905.0	1735961.0	1876103.0	1754028.0	1727107.0	1690523.0	1752978.0	1117883.0	1602599.0	1899351.0	1934615.0	1732390.0	1796398.0	1141532.0	1765774.0
HMP_2012__SRS056892__bin.5	1902956.0	1476632.0	1102363.0	1843559.0	1406802.0	1502710.0	1104684.0	1851077.0	1777320.0	1599326.0	1407175.0	1404458.0	1722905.0	2100455.0	1910659.0	1782611.0	1816338.0	1733846.0	1714722.0	1883780.0	1176552.0	1512107.0	1811196.0	1852814.0	1779592.0	1825172.0	1180950.0	1834234.0
HMP_2012__SRS023964__bin.28	1820178.0	1451141.0	1103788.0	1849615.0	1408405.0	1487705.0	1100408.0	1854455.0	1791525.0	1587051.0	1439465.0	1393602.0	1735961.0	1910659.0	2028379.0	1776977.0	1832426.0	1735872.0	1712979.0	1805491.0	1172313.0	1475181.0	1772751.0	1816092.0	1802450.0	1826074.0	1177721.0	1851197.0
HMP_2012__SRS017080__bin.6	1829280.0	1432871.0	1153108.0	1815192.0	1394297.0	1537576.0	1208092.0	1831634.0	1778577.0	1576236.0	1334079.0	1400047.0	1876103.0	1782611.0	1776977.0	2008765.0	1802768.0	1770743.0	1740377.0	1811226.0	1157403.0	1607266.0	1913656.0	1973816.0	1790819.0	1859079.0	1181187.0	1830629.0
HMP_2012__SRS014578__bin.17	1853063.0	1501141.0	1136723.0	1909717.0	1467879.0	1527472.0	1112164.0	1919254.0	1940613.0	1646603.0	1389116.0	1387183.0	1754028.0	1816338.0	1832426.0	1802768.0	2024570.0	1792786.0	1758642.0	1833982.0	1225456.0	1492052.0	1794146.0	1834495.0	1838800.0	1833141.0	1199262.0	1916556.0
HMP_2012__SRS019391__bin.2	1841901.0	1402326.0	1273988.0	1782355.0	1368932.0	1543045.0	1150166.0	1791608.0	1764123.0	1553618.0	1300790.0	1351507.0	1727107.0	1733846.0	1735872.0	1770743.0	1792786.0	1963332.0	1872891.0	1835561.0	1132652.0	1479183.0	1765818.0	1803992.0	1735188.0	1783241.0	1152732.0	1818431.0
HMP_2012__SRS019591__bin.17	1825073.0	1370684.0	1182375.0	1756591.0	1332814.0	1499501.0	1117495.0	1767571.0	1732287.0	1520709.0	1335125.0	1314442.0	1690523.0	1714722.0	1712979.0	1740377.0	1758642.0	1872891.0	1941528.0	1809159.0	1105305.0	1438559.0	1734265.0	1772378.0	1706634.0	1746578.0	1143736.0	1801553.0
HMP_2012__SRS015895__bin.3	2084933.0	1467190.0	1177399.0	1860470.0	1414055.0	1573246.0	1178769.0	1878969.0	1810519.0	1602927.0	1358477.0	1362613.0	1752978.0	1883780.0	1805491.0	1811226.0	1833982.0	1835561.0	1809159.0	2092703.0	1161578.0	1551275.0	1849751.0	1889169.0	1811667.0	1802359.0	1189567.0	1877885.0
HMP_2012__SRS019120__bin.3	1171045.0	1057596.0	714113.0	1281934.0	1024890.0	964235.0	700419.0	1282911.0	1208987.0	1095330.0	879265.0	911382.0	1117883.0	1176552.0	1172313.0	1157403.0	1225456.0	1132652.0	1105305.0	1161578.0	1389985.0	935053.0	1141524.0	1156188.0	1175719.0	1174765.0	806240.0	1213772.0
HMP_2012__SRS015803__bin.6	1560062.0	1171139.0	1151916.0	1499085.0	1175044.0	1427343.0	1112098.0	1507761.0	1471629.0	1324551.0	1029645.0	1167973.0	1602599.0	1512107.0	1475181.0	1607266.0	1492052.0	1479183.0	1438559.0	1551275.0	935053.0	1837685.0	1723336.0	1734107.0	1465842.0	1559878.0	938575.0	1516090.0
HMP_2012__SRS015799__bin.3	1866490.0	1425321.0	1152438.0	1811502.0	1388391.0	1510736.0	1216774.0	1825211.0	1766335.0	1559590.0	1325859.0	1397959.0	1899351.0	1811196.0	1772751.0	1913656.0	1794146.0	1765818.0	1734265.0	1849751.0	1141524.0	1723336.0	2130040.0	2048798.0	1758506.0	1860272.0	1166390.0	1814494.0
HMP_2012__SRS013881__bin.10	1907548.0	1456960.0	1160495.0	1847541.0	1417023.0	1545311.0	1241548.0	1863168.0	1804224.0	1594078.0	1365762.0	1426640.0	1934615.0	1852814.0	1816092.0	1973816.0	1834495.0	1803992.0	1772378.0	1889169.0	1156188.0	1734107.0	2048798.0	2127398.0	1818624.0	1895075.0	1192707.0	1860428.0
HMP_2012__SRS052874__bin.12	1814286.0	1446524.0	1113254.0	1835148.0	1417981.0	1489954.0	1108480.0	1846151.0	1801064.0	1581730.0	1350639.0	1358393.0	1732390.0	1779592.0	1802450.0	1790819.0	1838800.0	1735188.0	1706634.0	1811667.0	1175719.0	1465842.0	1758506.0	1818624.0	1967941.0	1782469.0	1162307.0	1880497.0
HMP_2012__SRS024470__bin.4	1820684.0	1426733.0	1144028.0	1827326.0	1411170.0	1536832.0	1160027.0	1845393.0	1800344.0	1591584.0	1349071.0	1494917.0	1796398.0	1825172.0	1826074.0	1859079.0	1833141.0	1783241.0	1746578.0	1802359.0	1174765.0	1559878.0	1860272.0	1895075.0	1782469.0	2000110.0	1184215.0	1839518.0
VogtmannE_2016__MMRS65862658ST-27-0-0__bin.79	1193565.0	974154.0	709009.0	1216038.0	942483.0	972109.0	747548.0	1226073.0	1184769.0	1047955.0	921546.0	920540.0	1141532.0	1180950.0	1177721.0	1181187.0	1199262.0	1152732.0	1143736.0	1189567.0	806240.0	938575.0	1166390.0	1192707.0	1162307.0	1184215.0	1293883.0	1199684.0
HMP_2012__SRS024557__bin.4	1895097.0	1501825.0	1149959.0	1906176.0	1463287.0	1527206.0	1129694.0	1925901.0	1880879.0	1630647.0	1389986.0	1392945.0	1765774.0	1834234.0	1851197.0	1830629.0	1916556.0	1818431.0	1801553.0	1877885.0	1213772.0	1516090.0	1814494.0	1860428.0	1880497.0	1839518.0	1199684.0	2087052.0
