	HMP_2012__SRS017304__bin.33	CM_periimplantitis__SP_287SPT_T016__bin.1	HMP_2012__SRS023964__bin.31	HMP_2012__SRS024144__bin.33	HMP_2012__SRS063932__bin.5	HMP_2012__SRS012285__bin.37	HMP_2012__SRS017139__bin.47	HMP_2012__SRS024649__bin.40	HMP_2012__SRS016746__bin.52	HMP_2012__SRS043772__bin.17	HMP_2012__SRS024355__bin.37	HMP_2012__SRS011126__bin.24	HMP_2012__SRS053917__bin.53	HMP_2012__SRS042984__bin.9	HMP_2012__SRS017227__bin.27	CM_periimplantitis__SP_143SPT_T016__bin.9	HMP_2012__SRS023595__bin.3	HMP_2012__SRS023358__bin.3	HMP_2012__SRS024087__bin.21	HMP_2012__SRS047634__bin.34	HMP_2012__SRS013170__bin.22	CM_periimplantitis__SP_283SPI_T016__bin.8	HMP_2012__SRS014690__bin.18	HMP_2012__SRS015278__bin.12	HMP_2012__SRS016575__bin.30	CM_periimplantitis__SP_384SPT_T016__bin.18
HMP_2012__SRS024355__bin.37	38812.0	70242.0	44421.0	70878.0	48000.0	46625.0	6796.0	61254.0	31882.0	19570.0	0.0	57435.0	51015.0	17763.0	36742.0	53669.0	14810.0	38996.0	68052.0	56372.0	47710.0	70657.0	48517.0	18689.0	51457.0	63934.0
HMP_2012__SRS011126__bin.24	32541.0	57124.0	42677.0	57334.0	44582.0	46034.0	55899.0	53697.0	50368.0	58338.0	57435.0	0.0	42690.0	53939.0	33172.0	42516.0	35673.0	45535.0	54327.0	48050.0	43848.0	58969.0	46497.0	57043.0	48314.0	53248.0
HMP_2012__SRS053917__bin.53	23573.0	50711.0	38148.0	48981.0	34523.0	37281.0	49189.0	48329.0	43704.0	50581.0	51015.0	42690.0	0.0	47364.0	28266.0	37946.0	30625.0	38567.0	46633.0	42143.0	35916.0	52973.0	38465.0	51138.0	40743.0	45102.0
HMP_2012__SRS042984__bin.9	36533.0	60992.0	44005.0	62605.0	44433.0	46976.0	16659.0	56533.0	26146.0	18717.0	17763.0	53939.0	47364.0	0.0	34976.0	45475.0	13225.0	34956.0	57690.0	51388.0	45534.0	60611.0	46767.0	18086.0	50781.0	55222.0
HMP_2012__SRS017227__bin.27	20707.0	37023.0	27543.0	36306.0	27710.0	27285.0	36233.0	35226.0	33140.0	36838.0	36742.0	33172.0	28266.0	34976.0	0.0	25938.0	23082.0	27862.0	34839.0	29910.0	26586.0	37820.0	29929.0	36929.0	30134.0	32800.0
CM_periimplantitis__SP_143SPT_T016__bin.9	24153.0	55221.0	37547.0	50582.0	36863.0	37099.0	51629.0	45990.0	43133.0	54120.0	53669.0	42516.0	37946.0	45475.0	25938.0	0.0	30989.0	39209.0	51306.0	42883.0	35468.0	54222.0	38370.0	52559.0	36979.0	48087.0
HMP_2012__SRS023595__bin.3	21065.0	39150.0	32208.0	38018.0	34906.0	33973.0	16087.0	35916.0	18887.0	12108.0	14810.0	35673.0	30625.0	13225.0	23082.0	30989.0	0.0	23235.0	39050.0	33752.0	32075.0	39562.0	34264.0	11905.0	30553.0	35560.0
HMP_2012__SRS023358__bin.3	27754.0	50170.0	34059.0	50531.0	35873.0	36690.0	37370.0	48454.0	31720.0	37322.0	38996.0	45535.0	38567.0	34956.0	27862.0	39209.0	23235.0	0.0	50040.0	42587.0	34791.0	50363.0	37681.0	35826.0	39679.0	47997.0
HMP_2012__SRS024087__bin.21	35163.0	67789.0	45312.0	64559.0	4693.0	48609.0	66533.0	62391.0	55771.0	66458.0	68052.0	54327.0	46633.0	57690.0	34839.0	51306.0	39050.0	50040.0	0.0	55889.0	44790.0	66944.0	49981.0	65521.0	49047.0	62615.0
HMP_2012__SRS047634__bin.34	29954.0	56455.0	42172.0	55429.0	43970.0	42569.0	55595.0	50159.0	49610.0	56479.0	56372.0	48050.0	42143.0	51388.0	29910.0	42883.0	33752.0	42587.0	55889.0	0.0	41956.0	56592.0	42521.0	54247.0	42218.0	51565.0
HMP_2012__SRS013170__bin.22	26645.0	37018.0	8086.0	45896.0	37343.0	36334.0	46265.0	46896.0	42343.0	46814.0	47710.0	43848.0	35916.0	45534.0	26586.0	35468.0	32075.0	34791.0	44790.0	41956.0	0.0	39574.0	37792.0	46360.0	38587.0	43675.0
CM_periimplantitis__SP_283SPI_T016__bin.8	35986.0	33150.0	38454.0	70589.0	46718.0	44834.0	68122.0	63363.0	55915.0	71184.0	70657.0	58969.0	52973.0	60611.0	37820.0	54222.0	39562.0	50363.0	66944.0	56592.0	39574.0	0.0	50719.0	69012.0	51204.0	66537.0
HMP_2012__SRS014690__bin.18	27932.0	51780.0	40157.0	47569.0	40509.0	39108.0	47500.0	46958.0	43996.0	47967.0	48517.0	46497.0	38465.0	46767.0	29929.0	38370.0	34264.0	37681.0	49981.0	42521.0	37792.0	50719.0	0.0	48386.0	41669.0	45986.0
HMP_2012__SRS015278__bin.12	36388.0	68898.0	44398.0	69931.0	45812.0	45491.0	18425.0	59937.0	25605.0	1680.0	18689.0	57043.0	51138.0	18086.0	36929.0	52559.0	11905.0	35826.0	65521.0	54247.0	46360.0	69012.0	48386.0	0.0	51102.0	62135.0
HMP_2012__SRS016575__bin.30	29108.0	50161.0	38803.0	50065.0	38693.0	39353.0	50796.0	49889.0	46367.0	51427.0	51457.0	48314.0	40743.0	50781.0	30134.0	36979.0	30553.0	39679.0	49047.0	42218.0	38587.0	51204.0	41669.0	51102.0	0.0	47997.0
CM_periimplantitis__SP_384SPT_T016__bin.18	33424.0	65627.0	42116.0	62878.0	45130.0	42329.0	60912.0	57126.0	52107.0	63068.0	63934.0	53248.0	45102.0	55222.0	32800.0	48087.0	35560.0	47997.0	62615.0	51565.0	43675.0	66537.0	45986.0	62135.0	47997.0	0.0
