	HMP_2012__SRS017304__bin.33	CM_periimplantitis__SP_287SPT_T016__bin.1	HMP_2012__SRS023964__bin.31	HMP_2012__SRS024144__bin.33	HMP_2012__SRS063932__bin.5	HMP_2012__SRS012285__bin.37	HMP_2012__SRS017139__bin.47	HMP_2012__SRS024649__bin.40	HMP_2012__SRS016746__bin.52	HMP_2012__SRS043772__bin.17	HMP_2012__SRS024355__bin.37	HMP_2012__SRS011126__bin.24	HMP_2012__SRS053917__bin.53	HMP_2012__SRS042984__bin.9	HMP_2012__SRS017227__bin.27	CM_periimplantitis__SP_143SPT_T016__bin.9	HMP_2012__SRS023595__bin.3	HMP_2012__SRS023358__bin.3	HMP_2012__SRS024087__bin.21	HMP_2012__SRS047634__bin.34	HMP_2012__SRS013170__bin.22	CM_periimplantitis__SP_283SPI_T016__bin.8	HMP_2012__SRS014690__bin.18	HMP_2012__SRS015278__bin.12	HMP_2012__SRS016575__bin.30	CM_periimplantitis__SP_384SPT_T016__bin.18
HMP_2012__SRS024355__bin.37	1231913.0	2113590.0	1449809.0	2111627.0	1550587.0	1434678.0	2235852.0	1724413.0	1799555.0	2226798.0	2437605.0	1675381.0	1455678.0	1892987.0	1110659.0	1659803.0	1354181.0	1872281.0	1950242.0	1637696.0	1533910.0	2126780.0	1476303.0	2158331.0	1626551.0	2033272.0
HMP_2012__SRS011126__bin.24	1023395.0	1678256.0	1335166.0	1676363.0	1390333.0	1341552.0	1648124.0	1554158.0	1518987.0	1673948.0	1675381.0	1926508.0	1286788.0	1608996.0	1003773.0	1301747.0	1186097.0	1489642.0	1630366.0	1428150.0	1386860.0	1688447.0	1356354.0	1647403.0	1488296.0	1596337.0
HMP_2012__SRS053917__bin.53	790896.0	1487837.0	1171931.0	1502213.0	1176646.0	1137492.0	1430663.0	1292779.0	1288324.0	1441506.0	1455678.0	1286788.0	1663821.0	1379017.0	911284.0	1182547.0	1019095.0	1289121.0	1429024.0	1229230.0	1192557.0	1490834.0	1178527.0	1457224.0	1272890.0	1396655.0
HMP_2012__SRS042984__bin.9	1078939.0	1798495.0	1384558.0	1795115.0	1442515.0	1380796.0	1846394.0	1595436.0	1655122.0	1894461.0	1892987.0	1608996.0	1379017.0	2048015.0	1076235.0	1386098.0	1282467.0	1617592.0	1726711.0	1486106.0	1464368.0	1815312.0	1425832.0	1862750.0	1546980.0	1719694.0
HMP_2012__SRS017227__bin.27	673354.0	1151906.0	916934.0	1131393.0	933102.0	889511.0	1091228.0	1011598.0	1009794.0	1103880.0	1110659.0	1003773.0	911284.0	1076235.0	1374128.0	888937.0	819262.0	992944.0	1087846.0	970657.0	940429.0	1140510.0	956225.0	1108583.0	987445.0	1086645.0
CM_periimplantitis__SP_143SPT_T016__bin.9	877267.0	1738038.0	1220429.0	1717516.0	1261803.0	1172805.0	1603240.0	1335999.0	1347962.0	1654916.0	1659803.0	1301747.0	1182547.0	1386098.0	888937.0	1963420.0	1062328.0	1450609.0	1586492.0	1326969.0	1221990.0	1710875.0	1204833.0	1629555.0	1276445.0	1642270.0
HMP_2012__SRS023595__bin.3	777592.0	1315850.0	1099999.0	1295358.0	1158432.0	1087777.0	1340421.0	1173091.0	1215293.0	1351965.0	1354181.0	1186097.0	1019095.0	1282467.0	819262.0	1062328.0	1748179.0	1211745.0	1284078.0	1116101.0	1136058.0	1321614.0	1103910.0	1326091.0	1134704.0	1248649.0
HMP_2012__SRS023358__bin.3	1088652.0	1857489.0	1313890.0	1843609.0	1388581.0	1300355.0	1814698.0	1539098.0	1555789.0	1859557.0	1872281.0	1489642.0	1289121.0	1617592.0	992944.0	1450609.0	1211745.0	2036506.0	1717198.0	1456941.0	1374895.0	1862607.0	1333532.0	1813193.0	1471150.0	1773662.0
HMP_2012__SRS024087__bin.21	1171223.0	2036635.0	1468073.0	1992000.0	1781458.0	1441365.0	1917587.0	1701188.0	1659180.0	1926929.0	1950242.0	1630366.0	1429024.0	1726711.0	1087846.0	1586492.0	1284078.0	1717198.0	2441277.0	1628759.0	1516777.0	2029407.0	1554811.0	1897761.0	1599396.0	1928938.0
HMP_2012__SRS047634__bin.34	970547.0	1674473.0	1283127.0	1655816.0	1362489.0	1280028.0	1632390.0	1451569.0	1444792.0	1644362.0	1637696.0	1428150.0	1229230.0	1486106.0	970657.0	1326969.0	1116101.0	1456941.0	1628759.0	1996019.0	1333556.0	1662352.0	1278131.0	1599910.0	1401408.0	1607692.0
HMP_2012__SRS013170__bin.22	949885.0	1626198.0	1359677.0	1547217.0	1320916.0	1245565.0	1510841.0	1402725.0	1392400.0	1516279.0	1533910.0	1386860.0	1192557.0	1464368.0	940429.0	1221990.0	1136058.0	1374895.0	1516777.0	1333556.0	1957751.0	1636890.0	1277659.0	1513352.0	1367440.0	1501604.0
CM_periimplantitis__SP_283SPI_T016__bin.8	1247572.0	2430527.0	1540968.0	2172818.0	1577775.0	1441472.0	2060172.0	1743232.0	1704017.0	2122703.0	2126780.0	1688447.0	1490834.0	1815312.0	1140510.0	1710875.0	1321614.0	1862607.0	2029407.0	1662352.0	1636890.0	2634119.0	1550757.0	2085373.0	1652120.0	2126629.0
HMP_2012__SRS014690__bin.18	917903.0	1566288.0	1251683.0	1508624.0	1330654.0	1262821.0	1459860.0	1344508.0	1346638.0	1452505.0	1476303.0	1356354.0	1178527.0	1425832.0	956225.0	1204833.0	1103910.0	1333532.0	1554811.0	1278131.0	1277659.0	1550757.0	1880152.0	1464014.0	1372677.0	1464352.0
HMP_2012__SRS015278__bin.12	1185412.0	2078894.0	1416801.0	2088909.0	1499997.0	1397499.0	2083895.0	1713159.0	1725589.0	2180916.0	2158331.0	1647403.0	1457224.0	1862750.0	1108583.0	1629555.0	1326091.0	1813193.0	1897761.0	1599910.0	1513352.0	2085373.0	1464014.0	2293444.0	1586415.0	1982667.0
HMP_2012__SRS016575__bin.30	1001366.0	1640805.0	1334070.0	1632239.0	1362113.0	1323241.0	1605432.0	1486963.0	1471594.0	1605397.0	1626551.0	1488296.0	1272890.0	1546980.0	987445.0	1276445.0	1134704.0	1471150.0	1599396.0	1401408.0	1367440.0	1652120.0	1372677.0	1586415.0	1951784.0	1598521.0
CM_periimplantitis__SP_384SPT_T016__bin.18	1192168.0	2109168.0	1426730.0	2066495.0	1540621.0	1392040.0	1968447.0	1659187.0	1627105.0	2007225.0	2033272.0	1596337.0	1396655.0	1719694.0	1086645.0	1642270.0	1248649.0	1773662.0	1928938.0	1607692.0	1501604.0	2126629.0	1464352.0	1982667.0	1598521.0	2361815.0
