	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.47	ZeeviD_2015__PNP_Main_166__bin.6	LiuW_2016__SRR3993020__bin.68	HMP_2012__SRS024435__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.8	LiuW_2016__SRR3992958__bin.38	LiJ_2017__H2M415914__bin.38	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.79	VatanenT_2016__G80433__bin.10	HMP_2012__SRS017103__bin.53	XieH_2016__YSZC12003_37830__bin.113	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.13	WenC_2017__N252__bin.15	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.24	ZeeviD_2015__PNP_Main_520__bin.58	Bengtsson-PalmeJ_2015__TRAVELRES61__bin.16	XieH_2016__YSZC12003_37332__bin.24	CM_madagascar__A89_01_1FE__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.76	LiuW_2016__SRR3992987__bin.62	LiJ_2017__H2M515921__bin.40	YuJ_2015__SZAXPI015264-87__bin.24	XieH_2016__YSZC12003_35387__bin.46	LiuW_2016__SRR3992984__bin.72	LouisS_2016__AS66_18__bin.38	XieH_2016__YSZC12003_36244__bin.54
XieH_2016__YSZC12003_37830__bin.113	2271644.0	1795132.0	2189429.0	2548809.0	2777167.0	3262342.0	1860971.0	3249069.0	1593414.0	2454622.0	3542456.0	2366665.0	3039511.0	3137816.0	2041197.0	1914006.0	3005664.0	3314415.0	3280296.0	3202369.0	3266832.0	3268519.0	3179722.0	2112343.0	1965948.0	2656045.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.13	2195314.0	1711222.0	1817017.0	2467274.0	2753292.0	2932764.0	1530319.0	2946152.0	1536996.0	2336919.0	2366665.0	3297533.0	2745510.0	2927291.0	1764801.0	1887131.0	2607806.0	3036544.0	2977475.0	2874002.0	2923487.0	2963264.0	2838505.0	1757308.0	1769698.0	2388959.0
WenC_2017__N252__bin.15	2668861.0	2110695.0	2522234.0	2879779.0	3265795.0	3787160.0	2154506.0	3854582.0	1800646.0	2777227.0	3039511.0	2745510.0	4165235.0	3737945.0	2347592.0	2250302.0	3373041.0	3911929.0	3940363.0	3731235.0	3861341.0	3896751.0	3704425.0	2445382.0	2224840.0	3097270.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.24	2808603.0	2202001.0	2544055.0	3026500.0	3484433.0	3853372.0	2145983.0	4026259.0	1873230.0	2871713.0	3137816.0	2927291.0	3737945.0	4235226.0	2405759.0	2389480.0	3495676.0	4036296.0	4233935.0	3835228.0	3989102.0	4062691.0	3871553.0	2462207.0	2268146.0	3220832.0
ZeeviD_2015__PNP_Main_520__bin.58	1765220.0	1378676.0	1731738.0	1884866.0	2106052.0	2471515.0	1443905.0	2490667.0	1171278.0	1864918.0	2041197.0	1764801.0	2347592.0	2405759.0	2671403.0	1433279.0	2261853.0	2524132.0	2512641.0	2466558.0	2499123.0	2489873.0	2435386.0	1645667.0	1476652.0	2055455.0
Bengtsson-PalmeJ_2015__TRAVELRES61__bin.16	1780265.0	1454484.0	1447578.0	1928695.0	2180830.0	2269813.0	1264044.0	2373123.0	1242040.0	1836788.0	1914006.0	1887131.0	2250302.0	2389480.0	1433279.0	2561352.0	2082960.0	2395352.0	2441462.0	2259128.0	2372182.0	2434498.0	2261270.0	1407572.0	1381851.0	1963773.0
XieH_2016__YSZC12003_37332__bin.24	2500751.0	1965325.0	2398349.0	2775494.0	3065094.0	3593647.0	2007457.0	3626198.0	1691535.0	2678179.0	3005664.0	2607806.0	3373041.0	3495676.0	2261853.0	2082960.0	4090696.0	3701586.0	3656171.0	3568683.0	3618844.0	3640310.0	3554173.0	2314639.0	2131457.0	2955043.0
CM_madagascar__A89_01_1FE__bin.10	2889309.0	2347657.0	2694586.0	3167356.0	3637355.0	4115212.0	2262390.0	4207693.0	1948835.0	3059928.0	3314415.0	3036544.0	3911929.0	4036296.0	2524132.0	2395352.0	3701586.0	5101660.0	4298877.0	4109494.0	4182233.0	4277837.0	4074417.0	2620806.0	2397551.0	3464172.0
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.76	2873015.0	2311339.0	2673006.0	3105933.0	3573766.0	4057626.0	2264857.0	4240523.0	1936432.0	2963430.0	3280296.0	2977475.0	3940363.0	4233935.0	2512641.0	2441462.0	3656171.0	4298877.0	4562618.0	4043489.0	4189164.0	4322498.0	4075995.0	2598955.0	2365762.0	3428545.0
LiuW_2016__SRR3992987__bin.62	2768746.0	2174492.0	2652257.0	2985406.0	3410096.0	3999499.0	2237181.0	3981701.0	1850512.0	2894344.0	3202369.0	2874002.0	3731235.0	3835228.0	2466558.0	2259128.0	3568683.0	4109494.0	4043489.0	4433405.0	4005014.0	3997728.0	3910214.0	2579566.0	2330594.0	3215828.0
LiJ_2017__H2M515921__bin.40	2834916.0	2210224.0	2710144.0	3056144.0	3471895.0	4040142.0	2302363.0	4100381.0	1881136.0	2932588.0	3266832.0	2923487.0	3861341.0	3989102.0	2499123.0	2372182.0	3618844.0	4182233.0	4189164.0	4005014.0	4362084.0	4152239.0	3961069.0	2630724.0	2372062.0	3300275.0
YuJ_2015__SZAXPI015264-87__bin.24	2868658.0	2305437.0	2655046.0	3111812.0	3545344.0	4033631.0	2259874.0	4179382.0	1932309.0	2952816.0	3268519.0	2963264.0	3896751.0	4062691.0	2489873.0	2434498.0	3640310.0	4277837.0	4322498.0	3997728.0	4152239.0	4614799.0	4017601.0	2600482.0	2358161.0	3421238.0
XieH_2016__YSZC12003_35387__bin.46	2765731.0	2147619.0	2621500.0	3005686.0	3373749.0	3924567.0	2185068.0	3997662.0	1856602.0	2834485.0	3179722.0	2838505.0	3704425.0	3871553.0	2435386.0	2261270.0	3554173.0	4074417.0	4075995.0	3910214.0	3961069.0	4017601.0	4402423.0	2503270.0	2286304.0	3235337.0
LiuW_2016__SRR3992984__bin.72	1770569.0	1336963.0	1999058.0	1890951.0	2092788.0	2590761.0	1671892.0	2571896.0	1172169.0	1859335.0	2112343.0	1757308.0	2445382.0	2462207.0	1645667.0	1407572.0	2314639.0	2620806.0	2598955.0	2579566.0	2630724.0	2600482.0	2503270.0	2749073.0	1533543.0	2052736.0
LouisS_2016__AS66_18__bin.38	1654235.0	1352747.0	1603735.0	1870638.0	2002286.0	2369242.0	1373798.0	2343510.0	1182880.0	1838595.0	1965948.0	1769698.0	2224840.0	2268146.0	1476652.0	1381851.0	2131457.0	2397551.0	2365762.0	2330594.0	2372062.0	2358161.0	2286304.0	1533543.0	2568374.0	1920776.0
XieH_2016__YSZC12003_36244__bin.54	2329978.0	1918537.0	2118714.0	2506140.0	2842466.0	3219910.0	1806334.0	3382734.0	1559041.0	2394460.0	2656045.0	2388959.0	3097270.0	3220832.0	2055455.0	1963773.0	2955043.0	3464172.0	3428545.0	3215828.0	3300275.0	3421238.0	3235337.0	2052736.0	1920776.0	3747974.0
