	WenC_2017__RA050__bin.36	XieH_2016__YSZC12003_37322__bin.23	CosteaPI_2017__alien-11-895-0__bin.9	CosteaPI_2017__alien-11-881-0__bin.18	HeQ_2017__SZAXPI029486-84__bin.10	YuJ_2015__SZAXPI015232-18__bin.18	CosteaPI_2017__daisy-11-389-0__bin.17	CosteaPI_2017__alien-11-918-0__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES52__bin.52	CosteaPI_2017__daisy-11-392-0__bin.21	GeversD_2014__SKBSTL034__bin.76	BackhedF_2015__SID511_4M__bin.19	LeChatelierE_2013__MH0302__bin.44	BackhedF_2015__SID203_B__bin.4	CosteaPI_2017__daisy-11-388-0__bin.53	LeChatelierE_2013__MH0274__bin.42	BackhedF_2015__SID582_12M__bin.15	ZellerG_2014__CCIS33816588ST-4-0__bin.69	LeChatelierE_2013__MH0239__bin.61	HeQ_2017__RSZAXPI003102-140__bin.17	QinN_2014__LD-24__bin.22	HMP_2012__SRS016095__bin.41	XieH_2016__YSZC12003_36057__bin.83	BackhedF_2015__SID179_4M__bin.23	BackhedF_2015__SID511_12M__bin.10	YuJ_2015__SZAXPI017464-37__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.37
GeversD_2014__SKBSTL034__bin.76	97044.0	28585.0	83137.0	81025.0	28832.0	36479.0	26319.0	89346.0	36176.0	28739.0	0.0	29286.0	30049.0	26502.0	29790.0	30784.0	29303.0	27038.0	34098.0	31366.0	30426.0	87047.0	29259.0	29359.0	28126.0	27496.0	25815.0	32056.0
BackhedF_2015__SID511_4M__bin.19	156435.0	52996.0	136917.0	129992.0	35497.0	50131.0	29824.0	147873.0	42772.0	33247.0	29286.0	0.0	4525.0	52643.0	33536.0	50035.0	21327.0	50991.0	39940.0	38460.0	38197.0	135750.0	34860.0	36164.0	4352.0	30502.0	46088.0	20702.0
LeChatelierE_2013__MH0302__bin.44	159658.0	52727.0	136609.0	131989.0	36853.0	50755.0	30343.0	149374.0	43802.0	32331.0	30049.0	4525.0	0.0	52516.0	33019.0	51374.0	21108.0	51434.0	41632.0	40318.0	39904.0	139754.0	36236.0	38327.0	6663.0	31125.0	46207.0	20817.0
BackhedF_2015__SID203_B__bin.4	177545.0	22566.0	148444.0	143687.0	50870.0	67742.0	46704.0	164284.0	58211.0	51324.0	26502.0	52643.0	52516.0	0.0	52948.0	48248.0	51626.0	39376.0	54834.0	53248.0	52516.0	147235.0	51993.0	51952.0	48381.0	44062.0	34920.0	55335.0
CosteaPI_2017__daisy-11-388-0__bin.53	165748.0	50980.0	140159.0	133734.0	41225.0	56531.0	1267.0	152551.0	44714.0	1653.0	29790.0	33536.0	33019.0	52948.0	0.0	53113.0	31122.0	51275.0	44188.0	43412.0	42961.0	141550.0	39547.0	41596.0	29694.0	35316.0	45997.0	32372.0
LeChatelierE_2013__MH0274__bin.42	166387.0	47478.0	140771.0	133984.0	48129.0	64143.0	47511.0	153013.0	55056.0	51119.0	30784.0	50035.0	51374.0	48248.0	53113.0	0.0	52292.0	26276.0	53519.0	51295.0	49896.0	140530.0	50902.0	50412.0	46007.0	44668.0	45111.0	53746.0
BackhedF_2015__SID582_12M__bin.15	158252.0	50389.0	135553.0	129129.0	39029.0	51619.0	28613.0	147404.0	45203.0	30350.0	29303.0	21327.0	21108.0	51626.0	31122.0	52292.0	0.0	49995.0	42402.0	40436.0	39955.0	134632.0	37972.0	40437.0	19820.0	31440.0	45277.0	18035.0
ZellerG_2014__CCIS33816588ST-4-0__bin.69	169990.0	38535.0	141490.0	136971.0	47191.0	60178.0	44641.0	157642.0	53977.0	49428.0	27038.0	50991.0	51434.0	39376.0	51275.0	26276.0	49995.0	0.0	50351.0	48603.0	46406.0	144443.0	48149.0	48517.0	46727.0	41494.0	35620.0	53793.0
LeChatelierE_2013__MH0239__bin.61	160747.0	54691.0	138273.0	133371.0	33830.0	56300.0	39554.0	150852.0	32949.0	43223.0	34098.0	39940.0	41632.0	54834.0	44188.0	53519.0	42402.0	50351.0	0.0	36839.0	36660.0	138054.0	36957.0	39308.0	37565.0	32636.0	48436.0	43408.0
HeQ_2017__RSZAXPI003102-140__bin.17	164290.0	52513.0	138166.0	133786.0	28283.0	56605.0	38438.0	152991.0	38478.0	42131.0	31366.0	38460.0	40318.0	53248.0	43412.0	51295.0	40436.0	48603.0	36839.0	0.0	33941.0	141210.0	39243.0	38517.0	35281.0	32380.0	47787.0	41174.0
QinN_2014__LD-24__bin.22	157008.0	51664.0	136045.0	131092.0	29807.0	54834.0	39269.0	149046.0	40705.0	41752.0	30426.0	38197.0	39904.0	52516.0	42961.0	49896.0	39955.0	46406.0	36660.0	33941.0	0.0	135450.0	35397.0	36529.0	36362.0	32990.0	46583.0	40313.0
HMP_2012__SRS016095__bin.41	171378.0	146243.0	34523.0	36202.0	130554.0	137868.0	129347.0	39888.0	130834.0	136462.0	87047.0	135750.0	139754.0	147235.0	141550.0	140530.0	134632.0	144443.0	138054.0	141210.0	135450.0	0.0	133796.0	141402.0	121701.0	111897.0	135441.0	146542.0
XieH_2016__YSZC12003_36057__bin.83	155331.0	49788.0	133802.0	128482.0	35485.0	51422.0	34779.0	146660.0	39561.0	37858.0	29259.0	34860.0	36236.0	51993.0	39547.0	50902.0	37972.0	48149.0	36957.0	39243.0	35397.0	133796.0	0.0	38178.0	33126.0	32217.0	46069.0	38361.0
BackhedF_2015__SID179_4M__bin.23	164695.0	50982.0	138238.0	133373.0	33952.0	55496.0	37655.0	153334.0	40423.0	40574.0	29359.0	36164.0	38327.0	51952.0	41596.0	50412.0	40437.0	48517.0	39308.0	38517.0	36529.0	141402.0	38178.0	0.0	34699.0	35080.0	44451.0	41852.0
BackhedF_2015__SID511_12M__bin.10	138131.0	47973.0	123687.0	118371.0	33488.0	43720.0	27937.0	131607.0	39553.0	29212.0	28126.0	4352.0	6663.0	48381.0	29694.0	46007.0	19820.0	46727.0	37565.0	35281.0	36362.0	121701.0	33126.0	34699.0	0.0	29000.0	43611.0	19714.0
YuJ_2015__SZAXPI017464-37__bin.10	125151.0	42815.0	115702.0	109570.0	30259.0	45967.0	32886.0	122407.0	36348.0	33866.0	27496.0	30502.0	31125.0	44062.0	35316.0	44668.0	31440.0	41494.0	32636.0	32380.0	32990.0	111897.0	32217.0	35080.0	29000.0	0.0	39616.0	33953.0
Bengtsson-PalmeJ_2015__TRAVELRES54__bin.8	159347.0	32183.0	135185.0	130280.0	44949.0	54882.0	41159.0	147916.0	50432.0	44739.0	25815.0	46088.0	46207.0	34920.0	45997.0	45111.0	45277.0	35620.0	48436.0	47787.0	46583.0	135441.0	46069.0	44451.0	43611.0	39616.0	0.0	48953.0
VogtmannE_2016__MMRS68910755ST-27-0-0__bin.37	163450.0	54160.0	137345.0	133023.0	37820.0	53634.0	30421.0	151339.0	45647.0	31425.0	32056.0	20702.0	20817.0	55335.0	32372.0	53746.0	18035.0	53793.0	43408.0	41174.0	40313.0	146542.0	38361.0	41852.0	19714.0	33953.0	48953.0	0.0
