	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	BritoIL_2016__M1.20.ST__bin.74	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	LiuW_2016__SRR3992961__bin.130	LeChatelierE_2013__MH0447__bin.124	LiSS_2016__FAT_012-22-42-0__bin.38	BritoIL_2016__M1.48.ST__bin.92	LiuW_2016__SRR3993056__bin.8	XieH_2016__YSZC12003_36049__bin.58	LiJ_2014__MH0355__bin.49	ZellerG_2014__CCMD64776337ST-21-0__bin.27	BritoIL_2016__M1.15.ST__bin.19	XieH_2016__YSZC12003_36699__bin.72	BritoIL_2016__W2.39.ST__bin.57	ZellerG_2014__CCIS20795251ST-4-0__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	XieH_2016__YSZC12003_37181R1__bin.110	XieH_2016__YSZC12003_37287__bin.85	KarlssonFH_2013__S552__bin.8	BritoIL_2016__M2.50.ST__bin.13	Obregon-TitoAJ_2015__SM39__bin.24	XieH_2016__YSZC12003_37286__bin.28	BritoIL_2016__M2.44.ST__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	LiuW_2016__SRR3993022__bin.75	YuJ_2015__SZAXPI017591-140__bin.53	ZeeviD_2015__PNP_Main_545__bin.5	LiJ_2014__V1.FI16__bin.39	BritoIL_2016__W1.33.ST__bin.55
ZellerG_2014__CCMD64776337ST-21-0__bin.27	14513.0	15855.0	25079.0	23872.0	11818.0	9623.0	8851.0	9306.0	17702.0	13280.0	0.0	9676.0	10098.0	13795.0	10626.0	14342.0	14696.0	8205.0	7363.0	8749.0	22792.0	8528.0	10500.0	6474.0	5756.0	7607.0	10039.0	12784.0	16676.0
BritoIL_2016__M1.15.ST__bin.19	8887.0	2632.0	14468.0	14409.0	9967.0	7711.0	2086.0	9869.0	9973.0	8902.0	9676.0	0.0	11278.0	8755.0	10781.0	11520.0	11125.0	10089.0	7866.0	9445.0	12671.0	10555.0	10433.0	5997.0	3820.0	6998.0	10887.0	10856.0	9612.0
XieH_2016__YSZC12003_36699__bin.72	16702.0	18077.0	27743.0	26100.0	13253.0	9599.0	9419.0	8816.0	18170.0	14992.0	10098.0	11278.0	0.0	15200.0	11180.0	16623.0	14997.0	8690.0	7806.0	9883.0	24535.0	9121.0	11855.0	6205.0	5636.0	8498.0	9674.0	13900.0	18216.0
BritoIL_2016__W2.39.ST__bin.57	13740.0	12998.0	23523.0	21329.0	14061.0	13691.0	8010.0	15468.0	13985.0	13672.0	13795.0	8755.0	15200.0	0.0	15815.0	15700.0	15186.0	15411.0	11772.0	13403.0	20013.0	15776.0	15549.0	9808.0	6775.0	11042.0	16064.0	14620.0	8588.0
ZellerG_2014__CCIS20795251ST-4-0__bin.66	17126.0	17675.0	31117.0	28754.0	12095.0	10522.0	8778.0	11869.0	20239.0	17067.0	10626.0	10781.0	11180.0	15815.0	0.0	15677.0	17160.0	9793.0	8910.0	7992.0	25449.0	10182.0	9049.0	6337.0	5473.0	7704.0	11856.0	13269.0	19358.0
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	17372.0	19611.0	31479.0	29517.0	14722.0	13130.0	10426.0	15374.0	19854.0	16665.0	14342.0	11520.0	16623.0	15700.0	15677.0	0.0	18476.0	16404.0	12563.0	13327.0	26780.0	16854.0	16622.0	9449.0	5918.0	10919.0	17438.0	16060.0	19132.0
XieH_2016__YSZC12003_37181R1__bin.110	17873.0	19025.0	31345.0	27286.0	15467.0	12711.0	10855.0	14797.0	20057.0	15906.0	14696.0	11125.0	14997.0	15186.0	17160.0	18476.0	0.0	15771.0	12064.0	13330.0	24755.0	16548.0	16933.0	9904.0	7370.0	12514.0	16044.0	16137.0	19046.0
XieH_2016__YSZC12003_37287__bin.85	17481.0	17778.0	31523.0	27448.0	12280.0	8869.0	9340.0	7915.0	21122.0	16420.0	8205.0	10089.0	8690.0	15411.0	9793.0	16404.0	15771.0	0.0	7430.0	8291.0	25784.0	1754.0	9370.0	5519.0	6005.0	7657.0	8048.0	13296.0	18668.0
KarlssonFH_2013__S552__bin.8	11988.0	13558.0	20602.0	18366.0	9927.0	7795.0	6946.0	8916.0	14406.0	11225.0	7363.0	7866.0	7806.0	11772.0	8910.0	12563.0	12064.0	7430.0	0.0	8025.0	16562.0	7855.0	9202.0	5546.0	5104.0	6903.0	8754.0	10793.0	13486.0
BritoIL_2016__M2.50.ST__bin.13	14417.0	14403.0	24397.0	23578.0	10030.0	7862.0	7290.0	10350.0	16719.0	13489.0	8749.0	9445.0	9883.0	13403.0	7992.0	13327.0	13330.0	8291.0	8025.0	0.0	22952.0	8546.0	459.0	5128.0	4646.0	5893.0	10585.0	10729.0	16273.0
Obregon-TitoAJ_2015__SM39__bin.24	10709.0	24288.0	17570.0	16616.0	21541.0	21395.0	16648.0	22257.0	19308.0	19646.0	22792.0	12671.0	24535.0	20013.0	25449.0	26780.0	24755.0	25784.0	16562.0	22952.0	0.0	25176.0	25660.0	15088.0	10120.0	21723.0	24322.0	21400.0	19820.0
XieH_2016__YSZC12003_37286__bin.28	16556.0	17775.0	29926.0	27317.0	12264.0	8787.0	9185.0	8433.0	19712.0	16280.0	8528.0	10555.0	9121.0	15776.0	10182.0	16854.0	16548.0	1754.0	7855.0	8546.0	25176.0	0.0	10151.0	5307.0	6078.0	7798.0	9072.0	13414.0	18665.0
BritoIL_2016__M2.44.ST__bin.101	16300.0	17414.0	28497.0	26336.0	11471.0	9741.0	8392.0	12023.0	18469.0	15385.0	10500.0	10433.0	11855.0	15549.0	9049.0	16622.0	16933.0	9370.0	9202.0	459.0	25660.0	10151.0	0.0	5581.0	5152.0	7137.0	12840.0	12601.0	18448.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	11665.0	9845.0	18781.0	17970.0	7183.0	6329.0	6647.0	6363.0	13086.0	11503.0	6474.0	5997.0	6205.0	9808.0	6337.0	9449.0	9904.0	5519.0	5546.0	5128.0	15088.0	5307.0	5581.0	0.0	4185.0	6024.0	6683.0	6983.0	12450.0
LiuW_2016__SRR3993022__bin.75	7640.0	6654.0	12556.0	12733.0	4795.0	5982.0	4154.0	6443.0	8547.0	7914.0	5756.0	3820.0	5636.0	6775.0	5473.0	5918.0	7370.0	6005.0	5104.0	4646.0	10120.0	6078.0	5152.0	4185.0	0.0	4578.0	5927.0	5726.0	8076.0
YuJ_2015__SZAXPI017591-140__bin.53	12171.0	12114.0	20071.0	17637.0	8231.0	8799.0	7984.0	8660.0	14394.0	12944.0	7607.0	6998.0	8498.0	11042.0	7704.0	10919.0	12514.0	7657.0	6903.0	5893.0	21723.0	7798.0	7137.0	6024.0	4578.0	0.0	8947.0	9665.0	13580.0
ZeeviD_2015__PNP_Main_545__bin.5	16300.0	18597.0	29420.0	27113.0	14596.0	9686.0	9332.0	9248.0	18864.0	15372.0	10039.0	10887.0	9674.0	16064.0	11856.0	17438.0	16044.0	8048.0	8754.0	10585.0	24322.0	9072.0	12840.0	6683.0	5927.0	8947.0	0.0	14503.0	18862.0
LiJ_2014__V1.FI16__bin.39	17687.0	17790.0	31408.0	27884.0	13397.0	10779.0	9269.0	13727.0	20164.0	16346.0	12784.0	10856.0	13900.0	14620.0	13269.0	16060.0	16137.0	13296.0	10793.0	10729.0	21400.0	13414.0	12601.0	6983.0	5726.0	9665.0	14503.0	0.0	17773.0
BritoIL_2016__W1.33.ST__bin.55	15620.0	16581.0	26852.0	24212.0	17993.0	16963.0	9992.0	18033.0	17814.0	16739.0	16676.0	9612.0	18216.0	8588.0	19358.0	19132.0	19046.0	18668.0	13486.0	16273.0	19820.0	18665.0	18448.0	12450.0	8076.0	13580.0	18862.0	17773.0	0.0
