	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.98	BritoIL_2016__M1.20.ST__bin.74	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.42	LiuW_2016__SRR3992961__bin.130	LeChatelierE_2013__MH0447__bin.124	LiSS_2016__FAT_012-22-42-0__bin.38	BritoIL_2016__M1.48.ST__bin.92	LiuW_2016__SRR3993056__bin.8	XieH_2016__YSZC12003_36049__bin.58	LiJ_2014__MH0355__bin.49	ZellerG_2014__CCMD64776337ST-21-0__bin.27	BritoIL_2016__M1.15.ST__bin.19	XieH_2016__YSZC12003_36699__bin.72	BritoIL_2016__W2.39.ST__bin.57	ZellerG_2014__CCIS20795251ST-4-0__bin.66	Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	XieH_2016__YSZC12003_37181R1__bin.110	XieH_2016__YSZC12003_37287__bin.85	KarlssonFH_2013__S552__bin.8	BritoIL_2016__M2.50.ST__bin.13	Obregon-TitoAJ_2015__SM39__bin.24	XieH_2016__YSZC12003_37286__bin.28	BritoIL_2016__M2.44.ST__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	LiuW_2016__SRR3993022__bin.75	YuJ_2015__SZAXPI017591-140__bin.53	ZeeviD_2015__PNP_Main_545__bin.5	LiJ_2014__V1.FI16__bin.39	BritoIL_2016__W1.33.ST__bin.55
ZellerG_2014__CCMD64776337ST-21-0__bin.27	726354.0	1349945.0	1215779.0	1139250.0	1292746.0	1350960.0	935967.0	1356387.0	1222807.0	1146583.0	1664068.0	745791.0	1304788.0	1186643.0	1413626.0	1446550.0	1409933.0	1469784.0	947018.0	1225994.0	805699.0	1410138.0	1373376.0	977992.0	598735.0	1094476.0	1364769.0	1363777.0	1301578.0
BritoIL_2016__M1.15.ST__bin.19	464450.0	952455.0	779822.0	742084.0	834583.0	832243.0	624757.0	851842.0	803006.0	764825.0	745791.0	1051226.0	830508.0	820417.0	852701.0	917995.0	886952.0	853492.0	596004.0	763218.0	532079.0	841974.0	856714.0	625797.0	388070.0	658324.0	835918.0	875570.0	883929.0
XieH_2016__YSZC12003_36699__bin.72	803365.0	1492262.0	1340398.0	1228025.0	1432310.0	1463689.0	984270.0	1472151.0	1336711.0	1226439.0	1304788.0	830508.0	1816456.0	1274423.0	1524063.0	1591887.0	1502189.0	1567833.0	992866.0	1323729.0	879614.0	1514235.0	1493137.0	1034007.0	619946.0	1146208.0	1486861.0	1487028.0	1405899.0
BritoIL_2016__W2.39.ST__bin.57	745066.0	1434128.0	1260991.0	1156007.0	1318419.0	1345034.0	962496.0	1323144.0	1310035.0	1204880.0	1186643.0	820417.0	1274423.0	1630833.0	1388560.0	1430424.0	1424250.0	1413279.0	933296.0	1178430.0	803650.0	1370201.0	1326140.0	960204.0	628358.0	1063863.0	1355328.0	1412365.0	1427600.0
ZellerG_2014__CCIS20795251ST-4-0__bin.66	867349.0	1608736.0	1506959.0	1367430.0	1578850.0	1592032.0	1066858.0	1605441.0	1489640.0	1396635.0	1413626.0	852701.0	1524063.0	1388560.0	1929093.0	1777175.0	1662945.0	1798973.0	1152423.0	1432493.0	937315.0	1718050.0	1604595.0	1100268.0	665628.0	1247117.0	1647729.0	1654370.0	1536581.0
Bengtsson-PalmeJ_2015__TRAVELRES4__bin.77	871433.0	1720329.0	1511424.0	1401457.0	1604530.0	1617143.0	1129689.0	1642081.0	1504097.0	1419164.0	1446550.0	917995.0	1591887.0	1430424.0	1777175.0	2221410.0	1733567.0	1791491.0	1137165.0	1464170.0	972786.0	1737563.0	1674745.0	1127899.0	693404.0	1272387.0	1692748.0	1671842.0	1572769.0
XieH_2016__YSZC12003_37181R1__bin.110	876214.0	1676984.0	1533325.0	1387955.0	1579080.0	1620499.0	1124401.0	1598225.0	1526512.0	1403144.0	1409933.0	886952.0	1502189.0	1424250.0	1662945.0	1733567.0	2248326.0	1736752.0	1081714.0	1376737.0	947777.0	1677520.0	1603145.0	1127562.0	710797.0	1267883.0	1603562.0	1830972.0	1596936.0
XieH_2016__YSZC12003_37287__bin.85	893184.0	1665795.0	1566904.0	1382506.0	1588572.0	1694798.0	1093013.0	1619894.0	1561916.0	1402057.0	1469784.0	853492.0	1567833.0	1413279.0	1798973.0	1791491.0	1736752.0	2120040.0	1169401.0	1443700.0	950376.0	1767052.0	1629521.0	1136294.0	688587.0	1299672.0	1684057.0	1695271.0	1572653.0
KarlssonFH_2013__S552__bin.8	602346.0	1066818.0	1005818.0	928074.0	1045233.0	1067640.0	712442.0	1089884.0	1004623.0	952245.0	947018.0	596004.0	992866.0	933296.0	1152423.0	1137165.0	1081714.0	1169401.0	1284993.0	934656.0	655054.0	1094640.0	1048876.0	763261.0	481991.0	836102.0	1077251.0	1104264.0	1036209.0
BritoIL_2016__M2.50.ST__bin.13	738799.0	1345537.0	1233510.0	1143891.0	1329211.0	1333884.0	930332.0	1360768.0	1221370.0	1137960.0	1225994.0	763218.0	1323729.0	1178430.0	1432493.0	1464170.0	1376737.0	1443700.0	934656.0	1633787.0	820555.0	1392624.0	1401369.0	968862.0	581051.0	1057586.0	1378997.0	1362530.0	1296580.0
Obregon-TitoAJ_2015__SM39__bin.24	554126.0	931841.0	909406.0	857133.0	884959.0	904792.0	650746.0	912265.0	891573.0	833075.0	805699.0	532079.0	879614.0	803650.0	937315.0	972786.0	947777.0	950376.0	655054.0	820555.0	1180306.0	930651.0	911742.0	642350.0	414539.0	752118.0	899157.0	912989.0	894415.0
XieH_2016__YSZC12003_37286__bin.28	824939.0	1582069.0	1458327.0	1317167.0	1551453.0	1562437.0	1046976.0	1565286.0	1445031.0	1382950.0	1410138.0	841974.0	1514235.0	1370201.0	1718050.0	1737563.0	1677520.0	1767052.0	1094640.0	1392624.0	930651.0	1967808.0	1582898.0	1066694.0	690925.0	1249584.0	1630706.0	1615399.0	1514398.0
BritoIL_2016__M2.44.ST__bin.101	824768.0	1583030.0	1406626.0	1275037.0	1503236.0	1502533.0	1038899.0	1525289.0	1393233.0	1299323.0	1373376.0	856714.0	1493137.0	1326140.0	1604595.0	1674745.0	1603145.0	1629521.0	1048876.0	1401369.0	911742.0	1582898.0	1881247.0	1069752.0	658207.0	1201480.0	1554240.0	1576901.0	1471219.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.215	634973.0	1088284.0	1018742.0	917914.0	1126354.0	1144701.0	748548.0	1097790.0	1041692.0	961328.0	977992.0	625797.0	1034007.0	960204.0	1100268.0	1127899.0	1127562.0	1136294.0	763261.0	968862.0	642350.0	1066694.0	1069752.0	1247279.0	532050.0	871250.0	1077547.0	1153668.0	1097161.0
LiuW_2016__SRR3993022__bin.75	382156.0	686289.0	653289.0	649268.0	687077.0	712515.0	432851.0	715183.0	663733.0	615775.0	598735.0	388070.0	619946.0	628358.0	665628.0	693404.0	710797.0	688587.0	481991.0	581051.0	414539.0	690925.0	658207.0	532050.0	778990.0	544135.0	657098.0	730177.0	692675.0
YuJ_2015__SZAXPI017591-140__bin.53	647378.0	1209287.0	1094250.0	1003574.0	1150514.0	1221933.0	863984.0	1186475.0	1099017.0	1062041.0	1094476.0	658324.0	1146208.0	1063863.0	1247117.0	1272387.0	1267883.0	1299672.0	836102.0	1057586.0	752118.0	1249584.0	1201480.0	871250.0	544135.0	1407781.0	1206447.0	1229180.0	1151656.0
ZeeviD_2015__PNP_Main_545__bin.5	820563.0	1533152.0	1418935.0	1285960.0	1526646.0	1542042.0	1026295.0	1546300.0	1415939.0	1312681.0	1364769.0	835918.0	1486861.0	1355328.0	1647729.0	1692748.0	1603562.0	1684057.0	1077251.0	1378997.0	899157.0	1630706.0	1554240.0	1077547.0	657098.0	1206447.0	1846235.0	1574589.0	1488788.0
LiJ_2014__V1.FI16__bin.39	885887.0	1618841.0	1546044.0	1399448.0	1619956.0	1630889.0	1048563.0	1601246.0	1550194.0	1411929.0	1363777.0	875570.0	1487028.0	1412365.0	1654370.0	1671842.0	1830972.0	1695271.0	1104264.0	1362530.0	912989.0	1615399.0	1576901.0	1153668.0	730177.0	1229180.0	1574589.0	2021981.0	1613402.0
BritoIL_2016__W1.33.ST__bin.55	861396.0	1575471.0	1471584.0	1321124.0	1516181.0	1555830.0	1046340.0	1510744.0	1524532.0	1367392.0	1301578.0	883929.0	1405899.0	1427600.0	1536581.0	1572769.0	1596936.0	1572653.0	1036209.0	1296580.0	894415.0	1514398.0	1471219.0	1097161.0	692675.0	1151656.0	1488788.0	1613402.0	1808526.0
