	XieH_2016__YSZC12003_37208R1__bin.34	LiuW_2016__SRR3992981__bin.72	BackhedF_2015__SID238_M__bin.45	VincentC_2016__MM065__bin.17	NielsenHB_2014__O2_UC50_0__bin.60	HMP_2012__SRS019685__bin.8	HMP_2012__SRS014235__bin.74	NielsenHB_2014__O2_UC52_2__bin.45	FengQ_2015__SID532779__bin.35	LiuW_2016__SRR3992969__bin.43	ZeeviD_2015__PNP_Main_72__bin.59	LiuW_2016__SRR3992966__bin.49	LiuW_2016__SRR3993051__bin.40	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.28	LiuW_2016__SRR3992961__bin.10	BackhedF_2015__SID566_M__bin.19	LeChatelierE_2013__MH0189__bin.54	LiuW_2016__SRR3992978__bin.41	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.50	LiuW_2016__SRR3993043__bin.26	SchirmerM_2016__G89164__bin.14	CosteaPI_2017__SID713B051-11-0-0__bin.65	LoombaR_2017__SID5564_meq__bin.19	Obregon-TitoAJ_2015__HCO70__bin.5	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.60	CosteaPI_2017__SID713A076-11-90-0__bin.44	LiuW_2016__SRR3992958__bin.51	LiuW_2016__SRR3993057__bin.12	NielsenHB_2014__O2_UC52_0__bin.36	LiuW_2016__SRR3993013__bin.11	XieH_2016__YSZC12003_37315__bin.44
LiuW_2016__SRR3992966__bin.49	1360684.0	1307586.0	1181596.0	1338076.0	921355.0	823984.0	1341581.0	954241.0	1337508.0	1430668.0	1185789.0	1743036.0	1364850.0	1400213.0	1297207.0	1187824.0	1177039.0	1086094.0	1315216.0	1251433.0	1278294.0	1402053.0	1484453.0	931430.0	1450437.0	1321835.0	1447646.0	991390.0	1241444.0	1342526.0	1380023.0
LiuW_2016__SRR3993051__bin.40	1274188.0	1194368.0	1103059.0	1256636.0	849510.0	767518.0	1259135.0	898108.0	1228327.0	1342309.0	1123306.0	1364850.0	1525890.0	1308483.0	1218871.0	1091722.0	1102518.0	1042433.0	1225184.0	1247792.0	1199879.0	1298529.0	1351277.0	866002.0	1360774.0	1238728.0	1300641.0	937983.0	1160497.0	1265606.0	1293004.0
VogtmannE_2016__MMRS34569532ST-27-0-0__bin.28	1320619.0	1249535.0	1146172.0	1305945.0	869409.0	795551.0	1311271.0	905257.0	1287856.0	1385539.0	1162596.0	1400213.0	1308483.0	1583395.0	1250548.0	1139225.0	1147782.0	1077631.0	1294094.0	1237773.0	1286663.0	1356375.0	1407402.0	904869.0	1431577.0	1306498.0	1337648.0	972681.0	1182440.0	1314368.0	1354615.0
LiuW_2016__SRR3992961__bin.10	1240680.0	1154823.0	1061814.0	1207677.0	797674.0	719995.0	1191525.0	841558.0	1206343.0	1283098.0	1075421.0	1297207.0	1218871.0	1250548.0	1413980.0	1048444.0	1039045.0	1011317.0	1173560.0	1117426.0	1140069.0	1227864.0	1294109.0	831578.0	1269059.0	1208066.0	1239163.0	904509.0	1076266.0	1223296.0	1234961.0
BackhedF_2015__SID566_M__bin.19	1106762.0	1020400.0	1031179.0	1121325.0	765816.0	709444.0	1104216.0	825507.0	1081935.0	1161662.0	983253.0	1187824.0	1091722.0	1139225.0	1048444.0	1312997.0	991444.0	878254.0	1081183.0	986629.0	1053487.0	1113555.0	1180531.0	795332.0	1194094.0	1069885.0	1106362.0	798771.0	1028848.0	1086397.0	1118091.0
LeChatelierE_2013__MH0189__bin.54	1103222.0	1017084.0	987078.0	1067961.0	782339.0	701063.0	1104121.0	844813.0	1073077.0	1153849.0	978545.0	1177039.0	1102518.0	1147782.0	1039045.0	991444.0	1389565.0	870824.0	1062030.0	1024134.0	1050276.0	1131738.0	1189341.0	779326.0	1189247.0	1094066.0	1109232.0	810618.0	1072788.0	1092232.0	1149012.0
LiuW_2016__SRR3992978__bin.41	1033260.0	1008063.0	885587.0	1027862.0	696751.0	620124.0	1013962.0	687623.0	1005326.0	1085759.0	919571.0	1086094.0	1042433.0	1077631.0	1011317.0	878254.0	870824.0	1191984.0	984558.0	970706.0	978360.0	1056309.0	1072065.0	694455.0	1079953.0	1026169.0	1055274.0	775829.0	899551.0	1041409.0	1049764.0
VogtmannE_2016__MMRS93508324ST-27-0-0__bin.50	1228652.0	1187397.0	1118838.0	1200254.0	803400.0	762771.0	1265218.0	856782.0	1213254.0	1289096.0	1077360.0	1315216.0	1225184.0	1294094.0	1173560.0	1081183.0	1062030.0	984558.0	1498815.0	1126326.0	1175140.0	1261741.0	1318874.0	862276.0	1343413.0	1213082.0	1240406.0	903213.0	1106535.0	1205039.0	1259906.0
LiuW_2016__SRR3993043__bin.26	1172735.0	1117962.0	1017023.0	1173679.0	792476.0	715648.0	1157766.0	827533.0	1137097.0	1227477.0	1046786.0	1251433.0	1247792.0	1237773.0	1117426.0	986629.0	1024134.0	970706.0	1126326.0	1472813.0	1111031.0	1206088.0	1260046.0	807708.0	1243885.0	1160189.0	1201609.0	897054.0	1059825.0	1178559.0	1196477.0
SchirmerM_2016__G89164__bin.14	1210209.0	1131193.0	1061657.0	1180572.0	789466.0	731097.0	1200168.0	830620.0	1160286.0	1265957.0	1061714.0	1278294.0	1199879.0	1286663.0	1140069.0	1053487.0	1050276.0	978360.0	1175140.0	1111031.0	1457959.0	1220938.0	1272895.0	836332.0	1302083.0	1170766.0	1203022.0	883228.0	1069182.0	1185745.0	1224092.0
CosteaPI_2017__SID713B051-11-0-0__bin.65	1292889.0	1218438.0	1120143.0	1266867.0	853107.0	776196.0	1281082.0	890513.0	1258473.0	1353240.0	1136869.0	1402053.0	1298529.0	1356375.0	1227864.0	1113555.0	1131738.0	1056309.0	1261741.0	1206088.0	1220938.0	1580254.0	1378571.0	898760.0	1376361.0	1267304.0	1300704.0	944575.0	1153321.0	1284577.0	1336190.0
LoombaR_2017__SID5564_meq__bin.19	1359555.0	1280930.0	1193171.0	1341865.0	895576.0	819801.0	1333415.0	955033.0	1353135.0	1434738.0	1189245.0	1484453.0	1351277.0	1407402.0	1294109.0	1180531.0	1189341.0	1072065.0	1318874.0	1260046.0	1272895.0	1378571.0	1750876.0	952262.0	1468643.0	1344819.0	1382316.0	989177.0	1228298.0	1339485.0	1387158.0
Obregon-TitoAJ_2015__HCO70__bin.5	868480.0	825470.0	796306.0	858308.0	614403.0	566680.0	866280.0	642721.0	854091.0	907841.0	780709.0	931430.0	866002.0	904869.0	831578.0	795332.0	779326.0	694455.0	862276.0	807708.0	836332.0	898760.0	952262.0	1137087.0	945838.0	852794.0	876733.0	639032.0	819028.0	851162.0	910571.0
VogtmannE_2016__MMRS84159866ST-27-0-0__bin.60	1332965.0	1277922.0	1219117.0	1323203.0	858381.0	813360.0	1356968.0	938345.0	1328555.0	1401228.0	1172739.0	1450437.0	1360774.0	1431577.0	1269059.0	1194094.0	1189247.0	1079953.0	1343413.0	1243885.0	1302083.0	1376361.0	1468643.0	945838.0	1749248.0	1317905.0	1358138.0	985752.0	1220853.0	1314901.0	1406899.0
CosteaPI_2017__SID713A076-11-90-0__bin.44	1277306.0	1174977.0	1082154.0	1240872.0	837831.0	744930.0	1231297.0	867671.0	1232005.0	1321659.0	1100079.0	1321835.0	1238728.0	1306498.0	1208066.0	1069885.0	1094066.0	1026169.0	1213082.0	1160189.0	1170766.0	1267304.0	1344819.0	852794.0	1317905.0	1472746.0	1261162.0	925652.0	1125039.0	1250220.0	1280874.0
LiuW_2016__SRR3992958__bin.51	1298546.0	1224365.0	1097629.0	1263880.0	858827.0	770481.0	1274842.0	882620.0	1277991.0	1354628.0	1130853.0	1447646.0	1300641.0	1337648.0	1239163.0	1106362.0	1109232.0	1055274.0	1240406.0	1201609.0	1203022.0	1300704.0	1382316.0	876733.0	1358138.0	1261162.0	1518466.0	967456.0	1149720.0	1287755.0	1308151.0
LiuW_2016__SRR3993057__bin.12	942317.0	887461.0	802856.0	921035.0	617031.0	559004.0	912822.0	666640.0	914940.0	982492.0	821397.0	991390.0	937983.0	972681.0	904509.0	798771.0	810618.0	775829.0	903213.0	897054.0	883228.0	944575.0	989177.0	639032.0	985752.0	925652.0	967456.0	1125820.0	849117.0	943390.0	940190.0
NielsenHB_2014__O2_UC52_0__bin.36	1134103.0	1063703.0	1038631.0	1101722.0	880126.0	754997.0	1135114.0	954630.0	1100032.0	1188191.0	1005677.0	1241444.0	1160497.0	1182440.0	1076266.0	1028848.0	1072788.0	899551.0	1106535.0	1059825.0	1069182.0	1153321.0	1228298.0	819028.0	1220853.0	1125039.0	1149720.0	849117.0	1414170.0	1111215.0	1152812.0
LiuW_2016__SRR3993013__bin.11	1285179.0	1177775.0	1077074.0	1261857.0	842143.0	748263.0	1245767.0	856536.0	1245419.0	1349536.0	1117921.0	1342526.0	1265606.0	1314368.0	1223296.0	1086397.0	1092232.0	1041409.0	1205039.0	1178559.0	1185745.0	1284577.0	1339485.0	851162.0	1314901.0	1250220.0	1287755.0	943390.0	1111215.0	1426420.0	1279477.0
XieH_2016__YSZC12003_37315__bin.44	1295258.0	1210209.0	1116008.0	1278632.0	848514.0	768633.0	1279732.0	896100.0	1303099.0	1355617.0	1161714.0	1380023.0	1293004.0	1354615.0	1234961.0	1118091.0	1149012.0	1049764.0	1259906.0	1196477.0	1224092.0	1336190.0	1387158.0	910571.0	1406899.0	1280874.0	1308151.0	940190.0	1152812.0	1279477.0	1581973.0
