	XieH_2016__YSZC12003_37208R1__bin.34	LiuW_2016__SRR3992981__bin.72	BackhedF_2015__SID238_M__bin.45	VincentC_2016__MM065__bin.17	NielsenHB_2014__O2_UC50_0__bin.60	HMP_2012__SRS019685__bin.8	HMP_2012__SRS014235__bin.74	NielsenHB_2014__O2_UC52_2__bin.45	FengQ_2015__SID532779__bin.35	LiuW_2016__SRR3992969__bin.43	ZeeviD_2015__PNP_Main_72__bin.59	LiuW_2016__SRR3992966__bin.49	LiuW_2016__SRR3993051__bin.40	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.28	LiuW_2016__SRR3992961__bin.10	BackhedF_2015__SID566_M__bin.19	LeChatelierE_2013__MH0189__bin.54	LiuW_2016__SRR3992978__bin.41	VogtmannE_2016__MMRS93508324ST-27-0-0__bin.50	LiuW_2016__SRR3993043__bin.26	SchirmerM_2016__G89164__bin.14	CosteaPI_2017__SID713B051-11-0-0__bin.65	LoombaR_2017__SID5564_meq__bin.19	Obregon-TitoAJ_2015__HCO70__bin.5	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.60	CosteaPI_2017__SID713A076-11-90-0__bin.44	LiuW_2016__SRR3992958__bin.51	LiuW_2016__SRR3993057__bin.12	NielsenHB_2014__O2_UC52_0__bin.36	LiuW_2016__SRR3993013__bin.11	XieH_2016__YSZC12003_37315__bin.44
LeChatelierE_2013__MH0189__bin.54	21497.0	20333.0	22168.0	20758.0	16094.0	13005.0	21837.0	16787.0	23072.0	22409.0	18426.0	26058.0	26900.0	23152.0	19294.0	20860.0	0.0	18276.0	22204.0	22675.0	20358.0	22762.0	23221.0	17936.0	23651.0	23208.0	22374.0	21098.0	21642.0	22134.0	23371.0
LiuW_2016__SRR3992978__bin.41	20392.0	15984.0	20012.0	20488.0	15754.0	12607.0	19722.0	14935.0	20609.0	20047.0	17931.0	14482.0	24309.0	21079.0	17422.0	18980.0	18276.0	0.0	19412.0	20897.0	19623.0	19827.0	20447.0	16557.0	20281.0	20965.0	13910.0	18026.0	18072.0	19774.0	20166.0
VogtmannE_2016__MMRS93508324ST-27-0-0__bin.50	24536.0	22838.0	22865.0	23903.0	17280.0	13794.0	24564.0	17975.0	22784.0	24142.0	20539.0	26004.0	29186.0	25801.0	22010.0	22516.0	22204.0	19412.0	0.0	25359.0	23569.0	24494.0	25990.0	20180.0	25507.0	25958.0	24829.0	23521.0	22070.0	22973.0	24742.0
LiuW_2016__SRR3993043__bin.26	24719.0	22195.0	25998.0	25777.0	18534.0	15161.0	24416.0	18314.0	26279.0	24324.0	22192.0	27428.0	15521.0	27228.0	21642.0	22413.0	22675.0	20897.0	25359.0	0.0	22882.0	25213.0	26415.0	21077.0	26054.0	25359.0	26552.0	24497.0	23080.0	23661.0	25028.0
SchirmerM_2016__G89164__bin.14	23280.0	21196.0	23179.0	21965.0	16395.0	12884.0	21824.0	16687.0	23724.0	23437.0	20288.0	24891.0	27602.0	17933.0	19857.0	21497.0	20358.0	19623.0	23569.0	22882.0	0.0	22730.0	23161.0	19207.0	23834.0	23852.0	22960.0	21894.0	20579.0	22097.0	23298.0
CosteaPI_2017__SID713B051-11-0-0__bin.65	23914.0	21664.0	24295.0	22483.0	17607.0	13796.0	23338.0	17269.0	25664.0	23712.0	20787.0	27882.0	29133.0	25405.0	20961.0	22123.0	22762.0	19827.0	24494.0	25213.0	22730.0	0.0	25658.0	20612.0	25243.0	25106.0	25007.0	23481.0	21815.0	23386.0	25345.0
LoombaR_2017__SID5564_meq__bin.19	25178.0	23182.0	25091.0	24694.0	17900.0	13304.0	23236.0	18065.0	26548.0	25687.0	21909.0	28992.0	29989.0	25768.0	22359.0	22989.0	23221.0	20447.0	25990.0	26415.0	23161.0	25658.0	0.0	21683.0	26533.0	26692.0	27204.0	23894.0	22640.0	24160.0	26451.0
Obregon-TitoAJ_2015__HCO70__bin.5	19600.0	18575.0	20418.0	19479.0	14406.0	11961.0	19521.0	14792.0	20555.0	20223.0	17794.0	22371.0	23221.0	20567.0	18293.0	18336.0	17936.0	16557.0	20180.0	21077.0	19207.0	20612.0	21683.0	0.0	21400.0	20751.0	21602.0	18424.0	18520.0	19099.0	21790.0
VogtmannE_2016__MMRS84159866ST-27-0-0__bin.60	23983.0	23541.0	26305.0	23944.0	17188.0	13666.0	23545.0	18063.0	26376.0	24898.0	21039.0	27152.0	30809.0	26731.0	21846.0	23440.0	23651.0	20281.0	25507.0	26054.0	23834.0	25243.0	26533.0	21400.0	0.0	26478.0	25754.0	23754.0	22687.0	23649.0	26422.0
CosteaPI_2017__SID713A076-11-90-0__bin.44	24119.0	22792.0	25825.0	23895.0	18489.0	14747.0	24889.0	17824.0	27262.0	25249.0	21077.0	27564.0	27973.0	25889.0	21786.0	22292.0	23208.0	20965.0	25958.0	25359.0	23852.0	25106.0	26692.0	20751.0	26478.0	0.0	25855.0	23893.0	22369.0	24302.0	25950.0
LiuW_2016__SRR3992958__bin.51	25275.0	18531.0	23898.0	23760.0	18111.0	14184.0	24671.0	17770.0	27228.0	24699.0	22214.0	8876.0	30306.0	26581.0	21705.0	23357.0	22374.0	13910.0	24829.0	26552.0	22960.0	25007.0	27204.0	21602.0	25754.0	25855.0	0.0	21004.0	22492.0	23924.0	26232.0
LiuW_2016__SRR3993057__bin.12	23724.0	18578.0	22094.0	23537.0	16327.0	13566.0	22235.0	17631.0	23689.0	24151.0	20364.0	21350.0	26992.0	24608.0	21034.0	22061.0	21098.0	18026.0	23521.0	24497.0	21894.0	23481.0	23894.0	18424.0	23754.0	23893.0	21004.0	0.0	21439.0	23450.0	23728.0
NielsenHB_2014__O2_UC52_0__bin.36	21493.0	20280.0	22456.0	20544.0	3733.0	13111.0	20703.0	3955.0	22225.0	21855.0	17894.0	24877.0	26813.0	22529.0	19564.0	19809.0	21642.0	18072.0	22070.0	23080.0	20579.0	21815.0	22640.0	18520.0	22687.0	22369.0	22492.0	21439.0	0.0	20795.0	22460.0
LiuW_2016__SRR3993013__bin.11	24039.0	20638.0	23245.0	22091.0	16974.0	13226.0	23087.0	16641.0	24890.0	1981.0	21254.0	24670.0	28278.0	24566.0	20328.0	21067.0	22134.0	19774.0	22973.0	23661.0	22097.0	23386.0	24160.0	19099.0	23649.0	24302.0	23924.0	23450.0	20795.0	0.0	24246.0
XieH_2016__YSZC12003_37315__bin.44	24390.0	21724.0	23974.0	24283.0	17647.0	13674.0	23728.0	18147.0	25951.0	25460.0	21392.0	27097.0	29356.0	26030.0	22165.0	22585.0	23371.0	20166.0	24742.0	25028.0	23298.0	25345.0	26451.0	21790.0	26422.0	25950.0	26232.0	23728.0	22460.0	24246.0	0.0
