	LiuW_2016__SRR3993044__bin.127	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.49	LiJ_2014__V1.FI06__bin.82	VatanenT_2016__G78855__bin.3	VatanenT_2016__G80489__bin.4	VatanenT_2016__G78692__bin.8	CosteaPI_2017__donald1-11-0-0__bin.15	CosteaPI_2017__donald3-11-7-0__bin.57	LiuW_2016__SRR3993005__bin.29	CosteaPI_2017__donald4-11-0-0__bin.31	LiuW_2016__SRR3993002__bin.44	CosteaPI_2017__SID713B058-11-90-0__bin.68	CosteaPI_2017__donald3-11-30-0__bin.17	CosteaPI_2017__SID713A038-11-90-0__bin.46	LiSS_2016__FAT_008-22-14-0__bin.30	LouisS_2016__AS44_12__bin.19	LiuW_2016__SRR3992982__bin.40	ZeeviD_2015__PNP_Main_613__bin.30	CosteaPI_2017__SID713A014-11-0-0__bin.25	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.59	CosteaPI_2017__donald1-11-7-0__bin.11	VatanenT_2016__G80485__bin.3	ZeeviD_2015__PNP_Main_480__bin.15	VatanenT_2016__G80601__bin.7	LouisS_2016__AS44_6__bin.16	ZeeviD_2015__PNP_Validation_58__bin.38	ZellerG_2014__CCMD72895164ST-21-0__bin.2	ZeeviD_2015__PNP_Main_679__bin.10	ZeeviD_2015__PNP_Main_549__bin.23	NielsenHB_2014__V1_CD29_0__bin.19	CosteaPI_2017__SID713B020-11-90-0__bin.54	BackhedF_2015__SID268_12M__bin.3	LeChatelierE_2013__MH0405__bin.18	LouisS_2016__AS44_0__bin.3	VatanenT_2016__G80366__bin.8	ChengpingW_2017__AS17raw__bin.43	LiuW_2016__SRR3993001__bin.32	LeChatelierE_2013__MH0413__bin.33	LiuW_2016__SRR3992997__bin.26	CosteaPI_2017__donald3-11-0-0__bin.14	ZeeviD_2015__PNP_Main_597__bin.27	ZeeviD_2015__PNP_Main_466__bin.17	LeChatelierE_2013__MH0181__bin.36	BackhedF_2015__SID268_4M__bin.1
CosteaPI_2017__donald1-11-7-0__bin.11	2160162.0	2003559.0	2058494.0	1953876.0	930426.0	2034727.0	2290468.0	1799492.0	2165529.0	1887392.0	1912633.0	1560714.0	2184849.0	2073146.0	1736382.0	2037055.0	2039196.0	799433.0	2142419.0	1183771.0	2348513.0	1639408.0	1527233.0	1045472.0	1072250.0	1196515.0	1128584.0	2117054.0	1619355.0	1529610.0	1669908.0	1778506.0	1650224.0	2053901.0	2026133.0	825286.0	2099283.0	837949.0	2183850.0	2328563.0	1187572.0	2023332.0	1403474.0	1468694.0
VatanenT_2016__G80485__bin.3	1739979.0	1545279.0	1729146.0	1619005.0	846180.0	1640700.0	1784833.0	1444389.0	1755583.0	1549080.0	1555263.0	1226386.0	1693399.0	1702547.0	1439771.0	1627284.0	1641189.0	801146.0	1725101.0	1067467.0	1639408.0	1956025.0	1342873.0	933297.0	968320.0	1056824.0	1032418.0	1724537.0	1392636.0	1319527.0	1554551.0	1451025.0	1375708.0	1677205.0	1676165.0	786274.0	1687120.0	804624.0	1743947.0	1799487.0	1116182.0	1654238.0	1282372.0	1210420.0
ZeeviD_2015__PNP_Main_480__bin.15	1677554.0	1451967.0	1569813.0	1533787.0	816807.0	1574827.0	1681818.0	1327974.0	1664610.0	1469545.0	1533773.0	1200853.0	1619950.0	1651812.0	1400277.0	1538153.0	1549618.0	765436.0	1685093.0	1045734.0	1527233.0	1342873.0	1765714.0	887914.0	935023.0	1004329.0	1019291.0	1649205.0	1293855.0	1236733.0	1364584.0	1375241.0	1280667.0	1605056.0	1594717.0	748815.0	1635599.0	771541.0	1725223.0	1697465.0	1106163.0	1642733.0	1166092.0	1162001.0
VatanenT_2016__G80601__bin.7	1118443.0	998911.0	1066311.0	1119457.0	613354.0	1091616.0	1126365.0	942467.0	1114351.0	990896.0	1022064.0	795975.0	1094448.0	1098810.0	951902.0	1070783.0	1083037.0	532365.0	1113569.0	728544.0	1045472.0	933297.0	887914.0	1190575.0	662126.0	687113.0	689046.0	1113601.0	905885.0	892890.0	947066.0	964404.0	924988.0	1095892.0	1115662.0	528391.0	1094397.0	565716.0	1136502.0	1137246.0	709475.0	1075395.0	828050.0	839762.0
LouisS_2016__AS44_6__bin.16	1150272.0	1000815.0	1097099.0	1090752.0	611541.0	1117302.0	1156044.0	964820.0	1147174.0	1051407.0	1079504.0	877414.0	1126650.0	1126519.0	1006503.0	1116239.0	1112435.0	591296.0	1167987.0	791767.0	1072250.0	968320.0	935023.0	662126.0	1292125.0	725881.0	731414.0	1137621.0	946799.0	925555.0	1005814.0	971589.0	939769.0	1138688.0	1123166.0	568652.0	1140140.0	578573.0	1183012.0	1185590.0	794428.0	1110648.0	886194.0	834608.0
ZeeviD_2015__PNP_Validation_58__bin.38	1278867.0	1121150.0	1207281.0	1176561.0	591925.0	1200340.0	1284246.0	1031163.0	1262308.0	1099599.0	1191468.0	988250.0	1238537.0	1236526.0	1083248.0	1210768.0	1202197.0	598443.0	1251665.0	828860.0	1196515.0	1056824.0	1004329.0	687113.0	725881.0	1329118.0	757766.0	1251059.0	1005231.0	958349.0	1080876.0	1035111.0	971207.0	1230764.0	1216658.0	625968.0	1247242.0	598997.0	1279272.0	1289115.0	847459.0	1216505.0	869371.0	855464.0
ZellerG_2014__CCMD72895164ST-21-0__bin.2	1232594.0	1060912.0	1147836.0	1195563.0	663918.0	1181152.0	1253163.0	1030738.0	1205684.0	1142659.0	1133394.0	876200.0	1221056.0	1208868.0	1078435.0	1136493.0	1151563.0	601340.0	1251026.0	788517.0	1128584.0	1032418.0	1019291.0	689046.0	731414.0	757766.0	1342168.0	1225880.0	976893.0	971523.0	1039486.0	1072443.0	998318.0	1204340.0	1208138.0	582827.0	1194626.0	606327.0	1256059.0	1272486.0	832703.0	1200316.0	931901.0	904794.0
ZeeviD_2015__PNP_Main_679__bin.10	2242316.0	2050682.0	2148315.0	2072974.0	1021763.0	2135769.0	2283690.0	1768858.0	2260115.0	1888997.0	1997848.0	1584130.0	2170532.0	2186741.0	1820634.0	2127366.0	2161378.0	883627.0	2247018.0	1268661.0	2117054.0	1724537.0	1649205.0	1113601.0	1137621.0	1251059.0	1225880.0	2430224.0	1665683.0	1574099.0	1694661.0	1838169.0	1660562.0	2176601.0	2138227.0	891338.0	2196314.0	896428.0	2288447.0	2305741.0	1287753.0	2137714.0	1513098.0	1524901.0
ZeeviD_2015__PNP_Main_549__bin.23	1718828.0	1528845.0	1607724.0	1581068.0	836738.0	1594834.0	1722761.0	1396096.0	1688372.0	1518007.0	1544967.0	1232903.0	1662314.0	1667671.0	1411652.0	1606975.0	1594922.0	747522.0	1684288.0	1056377.0	1619355.0	1392636.0	1293855.0	905885.0	946799.0	1005231.0	976893.0	1665683.0	1857430.0	1293887.0	1467049.0	1427765.0	1355742.0	1630490.0	1645168.0	764728.0	1660410.0	778436.0	1723266.0	1753081.0	1071216.0	1611349.0	1202016.0	1214638.0
NielsenHB_2014__V1_CD29_0__bin.19	1634479.0	1426977.0	1525416.0	1516331.0	768514.0	1565115.0	1652385.0	1348410.0	1624268.0	1463915.0	1479955.0	1136674.0	1594830.0	1598732.0	1381565.0	1511246.0	1513387.0	725149.0	1620774.0	1023509.0	1529610.0	1319527.0	1236733.0	892890.0	925555.0	958349.0	971523.0	1574099.0	1293887.0	1750444.0	1309220.0	1488494.0	1339522.0	1557359.0	1564576.0	737397.0	1586066.0	775603.0	1657635.0	1682614.0	1032039.0	1551764.0	1222125.0	1263103.0
CosteaPI_2017__SID713B020-11-90-0__bin.54	1718523.0	1556241.0	1695364.0	1632726.0	868192.0	1640368.0	1752629.0	1459546.0	1691593.0	1542649.0	1580959.0	1297678.0	1696557.0	1673236.0	1484329.0	1648975.0	1653708.0	808538.0	1698367.0	1111801.0	1669908.0	1554551.0	1364584.0	947066.0	1005814.0	1080876.0	1039486.0	1694661.0	1467049.0	1309220.0	1905202.0	1401831.0	1411246.0	1678221.0	1666007.0	813560.0	1668347.0	819560.0	1734776.0	1784420.0	1137381.0	1655992.0	1237947.0	1194814.0
BackhedF_2015__SID268_12M__bin.3	1905283.0	1670151.0	1768268.0	1752992.0	899180.0	1807358.0	1943624.0	1515609.0	1903583.0	1665937.0	1697013.0	1289718.0	1867420.0	1829614.0	1524149.0	1752753.0	1755619.0	739618.0	1886049.0	1111716.0	1778506.0	1451025.0	1375241.0	964404.0	971589.0	1035111.0	1072443.0	1838169.0	1427765.0	1488494.0	1401831.0	2075887.0	1536877.0	1809545.0	1818330.0	777493.0	1833222.0	844094.0	1946619.0	1978154.0	1099112.0	1767887.0	1349576.0	1590372.0
LeChatelierE_2013__MH0405__bin.18	1709600.0	1524780.0	1625249.0	1594307.0	833406.0	1633027.0	1736019.0	1442396.0	1693931.0	1521191.0	1523577.0	1178739.0	1677160.0	1645969.0	1444237.0	1598946.0	1600262.0	731004.0	1682150.0	1052644.0	1650224.0	1375708.0	1280667.0	924988.0	939769.0	971207.0	998318.0	1660562.0	1355742.0	1339522.0	1411246.0	1536877.0	1850754.0	1612389.0	1643233.0	767356.0	1649113.0	828717.0	1706950.0	1766044.0	1042453.0	1585328.0	1267360.0	1307268.0
LouisS_2016__AS44_0__bin.3	2179404.0	1947281.0	2112600.0	2017069.0	1017667.0	2111413.0	2255901.0	1707956.0	2192489.0	1857110.0	1940621.0	1555602.0	2144977.0	2125908.0	1791401.0	2149160.0	2063900.0	857230.0	2198909.0	1271687.0	2053901.0	1677205.0	1605056.0	1095892.0	1138688.0	1230764.0	1204340.0	2176601.0	1630490.0	1557359.0	1678221.0	1809545.0	1612389.0	2397168.0	2092874.0	894683.0	2173365.0	900448.0	2252420.0	2265462.0	1254705.0	2092740.0	1493851.0	1495299.0
VatanenT_2016__G80366__bin.8	2166895.0	1939058.0	2055593.0	2068099.0	1044774.0	2051954.0	2204847.0	1705749.0	2159207.0	1866820.0	1934297.0	1534688.0	2117592.0	2085586.0	1746579.0	2024214.0	2041055.0	865531.0	2158134.0	1248472.0	2026133.0	1676165.0	1594717.0	1115662.0	1123166.0	1216658.0	1208138.0	2138227.0	1645168.0	1564576.0	1666007.0	1818330.0	1643233.0	2092874.0	2358360.0	883385.0	2097558.0	877730.0	2208562.0	2236579.0	1269048.0	2028561.0	1466512.0	1510372.0
ChengpingW_2017__AS17raw__bin.43	906604.0	764909.0	861757.0	861507.0	505423.0	872166.0	919176.0	753997.0	886475.0	828996.0	854236.0	696624.0	889880.0	889998.0	809875.0	870416.0	865964.0	489294.0	905937.0	639590.0	825286.0	786274.0	748815.0	528391.0	568652.0	625968.0	582827.0	891338.0	764728.0	737397.0	813560.0	777493.0	767356.0	894683.0	883385.0	949402.0	894694.0	480748.0	914431.0	925472.0	639832.0	881079.0	690430.0	668439.0
LiuW_2016__SRR3993001__bin.32	2310694.0	2000801.0	2141672.0	2026977.0	986191.0	2128827.0	2269298.0	1736291.0	2336846.0	1859509.0	2058613.0	1579872.0	2141030.0	2226478.0	1796492.0	2124222.0	2118512.0	852430.0	2293895.0	1245877.0	2099283.0	1687120.0	1635599.0	1094397.0	1140140.0	1247242.0	1194626.0	2196314.0	1660410.0	1586066.0	1668347.0	1833222.0	1649113.0	2173365.0	2097558.0	894694.0	2447482.0	887545.0	2368088.0	2283430.0	1270222.0	2143110.0	1477965.0	1533527.0
LeChatelierE_2013__MH0413__bin.33	904486.0	772216.0	853609.0	866392.0	531858.0	905889.0	923965.0	793430.0	888018.0	839571.0	852013.0	637108.0	898515.0	899013.0	814515.0	884178.0	873533.0	466341.0	916923.0	633583.0	837949.0	804624.0	771541.0	565716.0	578573.0	598997.0	606327.0	896428.0	778436.0	775603.0	819560.0	844094.0	828717.0	900448.0	877730.0	480748.0	887545.0	983024.0	925526.0	936157.0	640462.0	887097.0	763519.0	765584.0
LiuW_2016__SRR3992997__bin.26	2412813.0	2088567.0	2213751.0	2129764.0	1053060.0	2223005.0	2367401.0	1796958.0	2464624.0	1962006.0	2092596.0	1624198.0	2251891.0	2291844.0	1892669.0	2165027.0	2197779.0	894837.0	2382611.0	1326579.0	2183850.0	1743947.0	1725223.0	1136502.0	1183012.0	1279272.0	1256059.0	2288447.0	1723266.0	1657635.0	1734776.0	1946619.0	1706950.0	2252420.0	2208562.0	914431.0	2368088.0	925526.0	2568007.0	2395749.0	1331017.0	2238184.0	1531819.0	1621248.0
CosteaPI_2017__donald3-11-0-0__bin.14	2352971.0	2082839.0	2212128.0	2160511.0	1057604.0	2231852.0	2552951.0	1908028.0	2346148.0	2094479.0	2080657.0	1661812.0	2425183.0	2257263.0	1893266.0	2185734.0	2188065.0	900824.0	2337798.0	1308454.0	2328563.0	1799487.0	1697465.0	1137246.0	1185590.0	1289115.0	1272486.0	2305741.0	1753081.0	1682614.0	1784420.0	1978154.0	1766044.0	2265462.0	2236579.0	925472.0	2283430.0	936157.0	2395749.0	2607062.0	1334490.0	2211235.0	1559361.0	1618501.0
ZeeviD_2015__PNP_Main_597__bin.27	1350111.0	1136405.0	1227220.0	1233249.0	666790.0	1244191.0	1308317.0	1064793.0	1289235.0	1179672.0	1267568.0	985829.0	1275003.0	1292007.0	1147220.0	1214158.0	1223297.0	665651.0	1321325.0	885080.0	1187572.0	1116182.0	1106163.0	709475.0	794428.0	847459.0	832703.0	1287753.0	1071216.0	1032039.0	1137381.0	1099112.0	1042453.0	1254705.0	1269048.0	639832.0	1270222.0	640462.0	1331017.0	1334490.0	1430806.0	1284194.0	947694.0	906754.0
ZeeviD_2015__PNP_Main_466__bin.17	2183736.0	1919647.0	2043165.0	1963733.0	980958.0	2043957.0	2188212.0	1680398.0	2183453.0	1837936.0	1957940.0	1520618.0	2085270.0	2146366.0	1768693.0	2006003.0	2017442.0	867315.0	2201639.0	1239195.0	2023332.0	1654238.0	1642733.0	1075395.0	1110648.0	1216505.0	1200316.0	2137714.0	1611349.0	1551764.0	1655992.0	1767887.0	1585328.0	2092740.0	2028561.0	881079.0	2143110.0	887097.0	2238184.0	2211235.0	1284194.0	2323115.0	1448246.0	1471465.0
LeChatelierE_2013__MH0181__bin.36	1487126.0	1312976.0	1461901.0	1437197.0	774958.0	1464311.0	1541886.0	1254339.0	1492632.0	1375194.0	1354430.0	1019538.0	1487024.0	1472748.0	1289169.0	1453243.0	1437493.0	694320.0	1504986.0	961545.0	1403474.0	1282372.0	1166092.0	828050.0	886194.0	869371.0	931901.0	1513098.0	1202016.0	1222125.0	1237947.0	1349576.0	1267360.0	1493851.0	1466512.0	690430.0	1477965.0	763519.0	1531819.0	1559361.0	947694.0	1448246.0	1654953.0	1195815.0
