	BritoIL_2016__W2.5.ST__bin.78	CosteaPI_2017__SID713B046-11-90-0__bin.66	BritoIL_2016__WL.37.ST__bin.29	XieH_2016__YSZC12003_36696__bin.110	RampelliS_2015__H14__bin.28	BritoIL_2016__W1.9.ST__bin.81	LeChatelierE_2013__MH0426__bin.42	NielsenHB_2014__MH0094__bin.25	KarlssonFH_2013__S577__bin.22	RampelliS_2015__H4__bin.4	LeChatelierE_2013__MH0267__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.35	ZeeviD_2015__PNP_Validation_68__bin.20	BritoIL_2016__W2.7.ST__bin.26	LiJ_2014__MH0346__bin.53	BritoIL_2016__M1.15.ST__bin.37	RampelliS_2015__H3__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.14	LeChatelierE_2013__MH0094__bin.24	LiJ_2014__MH0402__bin.29	CM_madagascar__A79_02_1FE__bin.22	XieH_2016__YSZC12003_37406__bin.2	ZellerG_2014__CCIS07648107ST-4-0__bin.16	XieH_2016__YSZC12003_35723__bin.27	ZeeviD_2015__PNP_Main_729__bin.23	ZeeviD_2015__PNP_Main_443__bin.2	BritoIL_2016__W1.2.ST__bin.8	WenC_2017__RA025__bin.37	ZellerG_2014__CCIS05314658ST-4-0__bin.73	ZeeviD_2015__PNP_Main_502__bin.13	BritoIL_2016__W2.11.ST__bin.19	CM_madagascar__A08_01_1FE__bin.48	LeChatelierE_2013__MH0250__bin.57
LeChatelierE_2013__MH0267__bin.49	915942.0	1173611.0	696472.0	1398868.0	1179711.0	1299999.0	1375451.0	1355982.0	1004148.0	1298845.0	1540200.0	1378909.0	1428974.0	1364102.0	1384480.0	1357127.0	1268915.0	1372429.0	1281647.0	1376058.0	990916.0	1346815.0	1449147.0	1357911.0	1414561.0	1421769.0	1424233.0	1380540.0	1395207.0	1380630.0	1189041.0	1321940.0	1398107.0
CosteaPI_2017__SID713B046-11-0-0__bin.35	933057.0	1324517.0	693107.0	1426336.0	1195656.0	1309359.0	1420366.0	1360844.0	985508.0	1303718.0	1378909.0	1761884.0	1442899.0	1384023.0	1401773.0	1382706.0	1290624.0	1390438.0	1265357.0	1407749.0	1007724.0	1332376.0	1413956.0	1364115.0	1424589.0	1426549.0	1436065.0	1388032.0	1409372.0	1415186.0	1191455.0	1356442.0	1401264.0
ZeeviD_2015__PNP_Validation_68__bin.20	921967.0	1207481.0	682454.0	1442738.0	1223202.0	1338537.0	1423744.0	1406526.0	1001007.0	1342617.0	1428974.0	1442899.0	1681443.0	1399555.0	1408229.0	1414247.0	1314537.0	1423485.0	1302883.0	1394698.0	1022435.0	1365855.0	1480887.0	1390124.0	1447841.0	1472611.0	1458350.0	1419881.0	1436413.0	1429849.0	1217125.0	1374197.0	1443012.0
BritoIL_2016__W2.7.ST__bin.26	922152.0	1200455.0	677315.0	1402650.0	1214078.0	1377876.0	1380634.0	1362674.0	993486.0	1313103.0	1364102.0	1384023.0	1399555.0	1519426.0	1385673.0	1354022.0	1286392.0	1374389.0	1272805.0	1367754.0	999870.0	1318950.0	1402809.0	1352100.0	1404930.0	1419625.0	1509403.0	1362680.0	1396553.0	1387556.0	1270075.0	1330542.0	1366483.0
LiJ_2014__MH0346__bin.53	886921.0	1217028.0	652380.0	1415867.0	1198203.0	1300488.0	1393269.0	1353859.0	997735.0	1299681.0	1384480.0	1401773.0	1408229.0	1385673.0	1574317.0	1356030.0	1288203.0	1357679.0	1259635.0	1380568.0	982758.0	1341161.0	1431760.0	1346446.0	1410970.0	1408148.0	1410982.0	1372566.0	1400187.0	1398128.0	1191592.0	1317295.0	1386006.0
BritoIL_2016__M1.15.ST__bin.37	922948.0	1169140.0	684779.0	1386829.0	1178792.0	1283741.0	1369111.0	1369629.0	964582.0	1284432.0	1357127.0	1382706.0	1414247.0	1354022.0	1356030.0	1595400.0	1271335.0	1374153.0	1271920.0	1354684.0	987263.0	1316645.0	1396711.0	1341193.0	1392714.0	1457066.0	1408286.0	1372670.0	1385347.0	1377005.0	1183149.0	1333218.0	1369832.0
RampelliS_2015__H3__bin.16	823926.0	1117062.0	596608.0	1299560.0	1209391.0	1236742.0	1286950.0	1290723.0	927413.0	1294422.0	1268915.0	1290624.0	1314537.0	1286392.0	1288203.0	1271335.0	1413500.0	1331922.0	1209625.0	1287374.0	994420.0	1240269.0	1301518.0	1277747.0	1313033.0	1318565.0	1318883.0	1283811.0	1301562.0	1291193.0	1118701.0	1304346.0	1296953.0
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.14	904404.0	1177925.0	671092.0	1395746.0	1246504.0	1318511.0	1389718.0	1363353.0	982757.0	1362725.0	1372429.0	1390438.0	1423485.0	1374389.0	1357679.0	1374153.0	1331922.0	1669560.0	1281205.0	1367989.0	1038645.0	1328618.0	1409238.0	1362683.0	1402830.0	1428122.0	1437511.0	1391129.0	1405420.0	1384996.0	1201293.0	1398591.0	1391986.0
LeChatelierE_2013__MH0094__bin.24	847934.0	1101504.0	615165.0	1276757.0	1136095.0	1218569.0	1262422.0	1384210.0	933758.0	1222244.0	1281647.0	1265357.0	1302883.0	1272805.0	1259635.0	1271920.0	1209625.0	1281205.0	1379500.0	1269243.0	952956.0	1232568.0	1284462.0	1285248.0	1285464.0	1307100.0	1303335.0	1288963.0	1275446.0	1277386.0	1115104.0	1256784.0	1289184.0
LiJ_2014__MH0402__bin.29	927857.0	1204972.0	692040.0	1409164.0	1191539.0	1294173.0	1398298.0	1341638.0	978842.0	1300663.0	1376058.0	1407749.0	1394698.0	1367754.0	1380568.0	1354684.0	1287374.0	1367989.0	1269243.0	1502420.0	993313.0	1314601.0	1395072.0	1351038.0	1410706.0	1414177.0	1418490.0	1359155.0	1382611.0	1394753.0	1192546.0	1327779.0	1373074.0
CM_madagascar__A79_02_1FE__bin.22	647349.0	900479.0	462240.0	1014789.0	953658.0	968698.0	999556.0	1006363.0	736761.0	1005852.0	990916.0	1007724.0	1022435.0	999870.0	982758.0	987263.0	994420.0	1038645.0	952956.0	993313.0	1112851.0	985365.0	1019576.0	991499.0	1023668.0	1023056.0	1025046.0	1012861.0	1007022.0	1007716.0	881746.0	1054219.0	1010866.0
XieH_2016__YSZC12003_37406__bin.2	871768.0	1152492.0	644637.0	1340379.0	1176409.0	1245371.0	1313209.0	1304046.0	978864.0	1253974.0	1346815.0	1332376.0	1365855.0	1318950.0	1341161.0	1316645.0	1240269.0	1328618.0	1232568.0	1314601.0	985365.0	1473011.0	1380836.0	1296810.0	1355759.0	1357471.0	1363914.0	1342088.0	1332152.0	1326320.0	1158064.0	1285429.0	1357068.0
ZellerG_2014__CCIS07648107ST-4-0__bin.16	943409.0	1203310.0	702454.0	1439477.0	1210910.0	1333360.0	1411728.0	1379999.0	1016546.0	1343612.0	1449147.0	1413956.0	1480887.0	1402809.0	1431760.0	1396711.0	1301518.0	1409238.0	1284462.0	1395072.0	1019576.0	1380836.0	1615403.0	1386523.0	1438781.0	1464086.0	1467617.0	1417747.0	1438771.0	1418961.0	1217911.0	1361069.0	1433952.0
XieH_2016__YSZC12003_35723__bin.27	901553.0	1172925.0	662785.0	1360760.0	1190194.0	1302216.0	1352561.0	1362005.0	973385.0	1304304.0	1357911.0	1364115.0	1390124.0	1352100.0	1346446.0	1341193.0	1277747.0	1362683.0	1285248.0	1351038.0	991499.0	1296810.0	1386523.0	1506753.0	1380692.0	1395319.0	1414252.0	1365039.0	1382246.0	1352893.0	1191156.0	1338003.0	1369406.0
ZeeviD_2015__PNP_Main_729__bin.23	916468.0	1209011.0	680027.0	1429452.0	1226858.0	1322248.0	1422699.0	1383711.0	996342.0	1341340.0	1414561.0	1424589.0	1447841.0	1404930.0	1410970.0	1392714.0	1313033.0	1402830.0	1285464.0	1410706.0	1023668.0	1355759.0	1438781.0	1380692.0	1588585.0	1449751.0	1457853.0	1403117.0	1426935.0	1415449.0	1217605.0	1371240.0	1412451.0
ZeeviD_2015__PNP_Main_443__bin.2	937264.0	1211484.0	698508.0	1453174.0	1220905.0	1345667.0	1433836.0	1403283.0	997528.0	1342564.0	1421769.0	1426549.0	1472611.0	1419625.0	1408148.0	1457066.0	1318565.0	1428122.0	1307100.0	1414177.0	1023056.0	1357471.0	1464086.0	1395319.0	1449751.0	1593959.0	1483694.0	1410556.0	1436735.0	1430081.0	1236140.0	1373149.0	1416645.0
BritoIL_2016__W1.2.ST__bin.8	977185.0	1220472.0	731594.0	1453715.0	1229240.0	1415082.0	1424399.0	1399285.0	1013096.0	1351568.0	1424233.0	1436065.0	1458350.0	1509403.0	1410982.0	1408286.0	1318883.0	1437511.0	1303335.0	1418490.0	1025046.0	1363914.0	1467617.0	1414252.0	1457853.0	1483694.0	1593660.0	1409214.0	1444365.0	1434145.0	1298859.0	1375930.0	1420060.0
WenC_2017__RA025__bin.37	898395.0	1187900.0	670240.0	1375301.0	1199014.0	1294792.0	1376351.0	1387590.0	992589.0	1307190.0	1380540.0	1388032.0	1419881.0	1362680.0	1372566.0	1372670.0	1283811.0	1391129.0	1288963.0	1359155.0	1012861.0	1342088.0	1417747.0	1365039.0	1403117.0	1410556.0	1409214.0	1613120.0	1387439.0	1368475.0	1181455.0	1377518.0	1413333.0
ZellerG_2014__CCIS05314658ST-4-0__bin.73	911810.0	1212516.0	671796.0	1417741.0	1223286.0	1332430.0	1391467.0	1367883.0	984754.0	1340112.0	1395207.0	1409372.0	1436413.0	1396553.0	1400187.0	1385347.0	1301562.0	1405420.0	1275446.0	1382611.0	1007022.0	1332152.0	1438771.0	1382246.0	1426935.0	1436735.0	1444365.0	1387439.0	1594347.0	1399699.0	1212200.0	1357731.0	1399329.0
ZeeviD_2015__PNP_Main_502__bin.13	898790.0	1205939.0	660955.0	1434210.0	1200685.0	1303505.0	1432798.0	1367053.0	981309.0	1311161.0	1380630.0	1415186.0	1429849.0	1387556.0	1398128.0	1377005.0	1291193.0	1384996.0	1277386.0	1394753.0	1007716.0	1326320.0	1418961.0	1352893.0	1415449.0	1430081.0	1434145.0	1368475.0	1399699.0	1580009.0	1203153.0	1345977.0	1374810.0
BritoIL_2016__W2.11.ST__bin.19	765573.0	1046752.0	565784.0	1218178.0	1060826.0	1209343.0	1185960.0	1179326.0	876772.0	1146855.0	1189041.0	1191455.0	1217125.0	1270075.0	1191592.0	1183149.0	1118701.0	1201293.0	1115104.0	1192546.0	881746.0	1158064.0	1217911.0	1191156.0	1217605.0	1236140.0	1298859.0	1181455.0	1212200.0	1203153.0	1307749.0	1154175.0	1189642.0
CM_madagascar__A08_01_1FE__bin.48	882798.0	1155894.0	653890.0	1346372.0	1221485.0	1273930.0	1336564.0	1338366.0	945997.0	1338454.0	1321940.0	1356442.0	1374197.0	1330542.0	1317295.0	1333218.0	1304346.0	1398591.0	1256784.0	1327779.0	1054219.0	1285429.0	1361069.0	1338003.0	1371240.0	1373149.0	1375930.0	1377518.0	1357731.0	1345977.0	1154175.0	1536734.0	1345595.0
LeChatelierE_2013__MH0250__bin.57	896867.0	1193834.0	658786.0	1389267.0	1212137.0	1313295.0	1389429.0	1378845.0	1001489.0	1314944.0	1398107.0	1401264.0	1443012.0	1366483.0	1386006.0	1369832.0	1296953.0	1391986.0	1289184.0	1373074.0	1010866.0	1357068.0	1433952.0	1369406.0	1412451.0	1416645.0	1420060.0	1413333.0	1399329.0	1374810.0	1189642.0	1345595.0	1617179.0
