	BritoIL_2016__W2.5.ST__bin.78	CosteaPI_2017__SID713B046-11-90-0__bin.66	BritoIL_2016__WL.37.ST__bin.29	XieH_2016__YSZC12003_36696__bin.110	RampelliS_2015__H14__bin.28	BritoIL_2016__W1.9.ST__bin.81	LeChatelierE_2013__MH0426__bin.42	NielsenHB_2014__MH0094__bin.25	KarlssonFH_2013__S577__bin.22	RampelliS_2015__H4__bin.4	LeChatelierE_2013__MH0267__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.35	ZeeviD_2015__PNP_Validation_68__bin.20	BritoIL_2016__W2.7.ST__bin.26	LiJ_2014__MH0346__bin.53	BritoIL_2016__M1.15.ST__bin.37	RampelliS_2015__H3__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.14	LeChatelierE_2013__MH0094__bin.24	LiJ_2014__MH0402__bin.29	CM_madagascar__A79_02_1FE__bin.22	XieH_2016__YSZC12003_37406__bin.2	ZellerG_2014__CCIS07648107ST-4-0__bin.16	XieH_2016__YSZC12003_35723__bin.27	ZeeviD_2015__PNP_Main_729__bin.23	ZeeviD_2015__PNP_Main_443__bin.2	BritoIL_2016__W1.2.ST__bin.8	WenC_2017__RA025__bin.37	ZellerG_2014__CCIS05314658ST-4-0__bin.73	ZeeviD_2015__PNP_Main_502__bin.13	BritoIL_2016__W2.11.ST__bin.19	CM_madagascar__A08_01_1FE__bin.48	LeChatelierE_2013__MH0250__bin.57
LeChatelierE_2013__MH0267__bin.49	19185.0	22046.0	15021.0	25425.0	52365.0	24806.0	28119.0	29857.0	19907.0	58953.0	0.0	26385.0	26858.0	26850.0	25594.0	26407.0	56523.0	63271.0	27273.0	25663.0	42953.0	24011.0	26463.0	30224.0	28522.0	25519.0	28472.0	33543.0	26382.0	27700.0	23177.0	59782.0	26315.0
CosteaPI_2017__SID713B046-11-0-0__bin.35	18038.0	768.0	14016.0	27130.0	53484.0	25175.0	29341.0	29272.0	18869.0	58685.0	26385.0	0.0	28093.0	26841.0	26817.0	26792.0	57529.0	64419.0	26884.0	25936.0	44370.0	25496.0	26632.0	30213.0	27819.0	26531.0	28244.0	34168.0	26654.0	27706.0	22634.0	61690.0	27043.0
ZeeviD_2015__PNP_Validation_68__bin.20	18136.0	22097.0	13939.0	26689.0	54067.0	25614.0	29220.0	30450.0	19323.0	60006.0	26858.0	28093.0	0.0	26713.0	26879.0	26761.0	58211.0	65381.0	27776.0	26109.0	44482.0	24583.0	23742.0	29874.0	28632.0	26443.0	28655.0	34386.0	25576.0	27606.0	23418.0	62164.0	27430.0
BritoIL_2016__W2.7.ST__bin.26	155.0	22586.0	115.0	26792.0	54440.0	1004.0	27908.0	29314.0	17931.0	59154.0	26850.0	26841.0	26713.0	0.0	27000.0	27481.0	56919.0	62542.0	27000.0	26589.0	43160.0	26008.0	27290.0	28314.0	28804.0	27631.0	75.0	31251.0	26705.0	27347.0	262.0	59580.0	26792.0
LiJ_2014__MH0346__bin.53	16949.0	22779.0	12800.0	26264.0	52971.0	25128.0	26913.0	29029.0	19755.0	58344.0	25594.0	26817.0	26879.0	27000.0	0.0	26395.0	57085.0	61473.0	26384.0	25615.0	42624.0	23825.0	26492.0	29130.0	27662.0	25816.0	27666.0	32042.0	25732.0	27465.0	23172.0	59140.0	24641.0
BritoIL_2016__M1.15.ST__bin.37	18955.0	21643.0	14506.0	26298.0	53476.0	25575.0	28841.0	30818.0	19519.0	58341.0	26407.0	26792.0	26761.0	27481.0	26395.0	0.0	57691.0	64774.0	27665.0	26646.0	43888.0	24896.0	25070.0	30608.0	28381.0	14864.0	29362.0	33691.0	25150.0	28082.0	23952.0	61411.0	26595.0
RampelliS_2015__H3__bin.16	37817.0	48634.0	28320.0	57421.0	31134.0	54762.0	56406.0	56707.0	41821.0	31943.0	56523.0	57529.0	58211.0	56919.0	57085.0	57691.0	0.0	38654.0	53475.0	56597.0	26729.0	54942.0	57353.0	56396.0	57451.0	58091.0	58688.0	58198.0	57277.0	56329.0	48682.0	35109.0	57785.0
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.14	43216.0	52973.0	33215.0	64180.0	35209.0	59591.0	63139.0	61982.0	45952.0	38219.0	63271.0	64419.0	65381.0	62542.0	61473.0	64774.0	38654.0	0.0	58267.0	62670.0	29627.0	60211.0	64443.0	62874.0	63682.0	66213.0	66318.0	65987.0	63808.0	63206.0	53805.0	40785.0	64349.0
LeChatelierE_2013__MH0094__bin.24	17921.0	22673.0	13209.0	26897.0	49885.0	25734.0	28481.0	416.0	19551.0	54524.0	27273.0	26884.0	27776.0	27000.0	26384.0	27665.0	53475.0	58267.0	0.0	26589.0	41032.0	25534.0	26753.0	19159.0	27803.0	28218.0	28161.0	24344.0	26583.0	28320.0	23642.0	56066.0	27699.0
LiJ_2014__MH0402__bin.29	18314.0	21128.0	14314.0	26741.0	53559.0	24497.0	27833.0	28758.0	19237.0	58986.0	25663.0	25936.0	26109.0	26589.0	25615.0	26646.0	56597.0	62670.0	26589.0	0.0	43944.0	25437.0	26059.0	29405.0	27268.0	26731.0	28138.0	32741.0	25631.0	27454.0	23354.0	60817.0	26815.0
CM_madagascar__A79_02_1FE__bin.22	28699.0	39204.0	21133.0	43913.0	23802.0	41547.0	43336.0	43491.0	32799.0	25961.0	42953.0	44370.0	44482.0	43160.0	42624.0	43888.0	26729.0	29627.0	41032.0	43944.0	0.0	43433.0	44343.0	43980.0	44536.0	44561.0	44676.0	45728.0	43194.0	43645.0	37842.0	13242.0	43983.0
XieH_2016__YSZC12003_37406__bin.2	17455.0	21070.0	13219.0	24668.0	51912.0	24367.0	26393.0	27393.0	19133.0	56638.0	24011.0	25496.0	24583.0	26008.0	23825.0	24896.0	54942.0	60211.0	25534.0	25437.0	43433.0	0.0	24618.0	27487.0	27010.0	24865.0	27640.0	31262.0	23948.0	26067.0	22516.0	57905.0	25684.0
ZellerG_2014__CCIS07648107ST-4-0__bin.16	18798.0	21796.0	14342.0	26173.0	53247.0	25382.0	28087.0	29151.0	19475.0	59701.0	26463.0	26632.0	23742.0	27290.0	26492.0	25070.0	57353.0	64443.0	26753.0	26059.0	44343.0	24618.0	0.0	30338.0	27662.0	26174.0	29164.0	33548.0	25170.0	27269.0	23388.0	60971.0	26224.0
XieH_2016__YSZC12003_35723__bin.27	19155.0	24771.0	14639.0	29180.0	53023.0	27109.0	30582.0	20591.0	20616.0	59056.0	30224.0	30213.0	29874.0	28314.0	29130.0	30608.0	56396.0	62874.0	19159.0	29405.0	43980.0	27487.0	30338.0	0.0	30309.0	30831.0	30424.0	26757.0	29239.0	30862.0	24997.0	60764.0	30502.0
ZeeviD_2015__PNP_Main_729__bin.23	18928.0	22595.0	14249.0	28743.0	53816.0	26713.0	29701.0	30538.0	20165.0	59629.0	28522.0	27819.0	28632.0	28804.0	27662.0	28381.0	57451.0	63682.0	27803.0	27268.0	44536.0	27010.0	27662.0	30309.0	0.0	28055.0	30540.0	34168.0	26896.0	28435.0	24798.0	61435.0	28403.0
ZeeviD_2015__PNP_Main_443__bin.2	19525.0	21457.0	14958.0	27418.0	54474.0	25943.0	29397.0	30419.0	19698.0	60223.0	25519.0	26531.0	26443.0	27631.0	25816.0	14864.0	58091.0	66213.0	28218.0	26731.0	44561.0	24865.0	26174.0	30831.0	28055.0	0.0	29690.0	33918.0	26042.0	27909.0	24173.0	61849.0	26854.0
BritoIL_2016__W1.2.ST__bin.8	99.0	23093.0	88.0	28842.0	55370.0	981.0	29415.0	30701.0	18517.0	60888.0	28472.0	28244.0	28655.0	75.0	27666.0	29362.0	58688.0	66318.0	28161.0	28138.0	44676.0	27640.0	29164.0	30424.0	30540.0	29690.0	0.0	33061.0	28334.0	28951.0	340.0	61709.0	28364.0
WenC_2017__RA025__bin.37	21324.0	27658.0	16617.0	32352.0	54404.0	29619.0	34653.0	27190.0	22093.0	60187.0	33543.0	34168.0	34386.0	31251.0	32042.0	33691.0	58198.0	65987.0	24344.0	32741.0	45728.0	31262.0	33548.0	26757.0	34168.0	33918.0	33061.0	0.0	31815.0	32826.0	26564.0	64049.0	34505.0
ZellerG_2014__CCIS05314658ST-4-0__bin.73	18100.0	22217.0	13396.0	25439.0	53972.0	25155.0	26616.0	28948.0	19146.0	59582.0	26382.0	26654.0	25576.0	26705.0	25732.0	25150.0	57277.0	63808.0	26583.0	25631.0	43194.0	23948.0	25170.0	29239.0	26896.0	26042.0	28334.0	31815.0	0.0	26234.0	23293.0	60512.0	24939.0
ZeeviD_2015__PNP_Main_502__bin.13	18493.0	22117.0	14286.0	27168.0	52907.0	25620.0	30031.0	30964.0	20020.0	58514.0	27700.0	27706.0	27606.0	27347.0	27465.0	28082.0	56329.0	63206.0	28320.0	27454.0	43645.0	26067.0	27269.0	30862.0	28435.0	27909.0	28951.0	32826.0	26234.0	0.0	23462.0	60401.0	27198.0
BritoIL_2016__W2.11.ST__bin.19	326.0	19351.0	400.0	23190.0	46468.0	1085.0	23599.0	25039.0	15848.0	50686.0	23177.0	22634.0	23418.0	262.0	23172.0	23952.0	48682.0	53805.0	23642.0	23354.0	37842.0	22516.0	23388.0	24997.0	24798.0	24173.0	340.0	26564.0	23293.0	23462.0	0.0	50501.0	23037.0
CM_madagascar__A08_01_1FE__bin.48	40698.0	51311.0	30956.0	60631.0	31105.0	56194.0	59773.0	59773.0	43233.0	34965.0	59782.0	61690.0	62164.0	59580.0	59140.0	61411.0	35109.0	40785.0	56066.0	60817.0	13242.0	57905.0	60971.0	60764.0	61435.0	61849.0	61709.0	64049.0	60512.0	60401.0	50501.0	0.0	60704.0
LeChatelierE_2013__MH0250__bin.57	18570.0	21733.0	13639.0	25514.0	53761.0	25249.0	28371.0	30118.0	20068.0	59280.0	26315.0	27043.0	27430.0	26792.0	24641.0	26595.0	57785.0	64349.0	27699.0	26815.0	43983.0	25684.0	26224.0	30502.0	28403.0	26854.0	28364.0	34505.0	24939.0	27198.0	23037.0	60704.0	0.0
