	BackhedF_2015__SID1_4M__bin.2	BackhedF_2015__SID238_4M__bin.5	VatanenT_2016__G78865__bin.3	VatanenT_2016__G80320__bin.2	VatanenT_2016__G69181__bin.2	BackhedF_2015__SID172_4M__bin.16	LiJ_2014__V1.CD7-0-PN__bin.1	VatanenT_2016__G80583__bin.1	VatanenT_2016__G80606__bin.6	FengQ_2015__SID31750__bin.46	BackhedF_2015__SID133_4M__bin.16	BackhedF_2015__SID626_4M__bin.19	KarlssonFH_2013__S457__bin.44	VatanenT_2016__G78867__bin.2	VatanenT_2016__G80328__bin.12	VatanenT_2016__G78658__bin.1	BackhedF_2015__SID184_4M__bin.10	VatanenT_2016__G78780__bin.7	VatanenT_2016__G78546__bin.4	BackhedF_2015__SID567_12M__bin.10	VatanenT_2016__G69158__bin.1	VatanenT_2016__G80589__bin.10	XieH_2016__YSZC12003_37134__bin.34	GeversD_2014__SKBSTL023__bin.20	BackhedF_2015__SID39_4M__bin.6	BackhedF_2015__SID26_4M__bin.10	BackhedF_2015__SID42_4M__bin.4	BackhedF_2015__SID608_4M__bin.1
BackhedF_2015__SID133_4M__bin.16	3482.0	26828.0	12558.0	20490.0	29591.0	29023.0	12757.0	29654.0	28792.0	29655.0	0.0	31789.0	21896.0	19916.0	18753.0	27659.0	30868.0	5806.0	29417.0	29396.0	30106.0	12752.0	31622.0	16599.0	17576.0	26938.0	30100.0	24069.0
BackhedF_2015__SID626_4M__bin.19	34854.0	36200.0	31864.0	33578.0	34267.0	32481.0	15576.0	1889.0	32647.0	33852.0	31789.0	0.0	25018.0	34736.0	31648.0	32428.0	34885.0	33394.0	17652.0	33364.0	17671.0	23267.0	36347.0	28838.0	20147.0	21251.0	6875.0	5823.0
KarlssonFH_2013__S457__bin.44	23035.0	23916.0	21206.0	23796.0	23323.0	23531.0	10854.0	24233.0	20579.0	822.0	21896.0	25018.0	0.0	23451.0	22474.0	470.0	22720.0	22459.0	22474.0	21536.0	22727.0	17099.0	433.0	20453.0	10942.0	22698.0	23960.0	17833.0
VatanenT_2016__G78867__bin.2	20505.0	14939.0	17631.0	3510.0	31674.0	30061.0	13430.0	32590.0	29390.0	32580.0	19916.0	34736.0	23451.0	0.0	3036.0	31589.0	32537.0	15866.0	31089.0	30553.0	31423.0	16149.0	36418.0	2921.0	20069.0	24940.0	32141.0	27827.0
VatanenT_2016__G80328__bin.12	18903.0	12545.0	17196.0	703.0	30733.0	28973.0	12753.0	30989.0	28077.0	30615.0	18753.0	31648.0	22474.0	3036.0	0.0	29558.0	31725.0	14321.0	29994.0	30058.0	30444.0	16351.0	33759.0	1660.0	19066.0	24286.0	30959.0	25625.0
VatanenT_2016__G78658__bin.1	30230.0	32006.0	27117.0	31712.0	29656.0	30448.0	13757.0	31540.0	27739.0	1298.0	27659.0	32428.0	470.0	31589.0	29558.0	0.0	31170.0	29259.0	28856.0	28212.0	29098.0	21541.0	801.0	25751.0	17178.0	31005.0	31456.0	25503.0
BackhedF_2015__SID184_4M__bin.10	34149.0	34330.0	30380.0	33186.0	32855.0	33277.0	15808.0	33804.0	30805.0	32781.0	30868.0	34885.0	22720.0	32537.0	31725.0	31170.0	0.0	31505.0	32286.0	32513.0	32537.0	23494.0	34813.0	27835.0	20324.0	32748.0	33292.0	27260.0
VatanenT_2016__G78780__bin.7	3460.0	24904.0	9568.0	16043.0	31677.0	30726.0	13327.0	32276.0	29391.0	31609.0	5806.0	33394.0	22459.0	15866.0	14321.0	29259.0	31505.0	0.0	31652.0	30393.0	31882.0	11164.0	33846.0	13942.0	19687.0	26277.0	31850.0	26105.0
VatanenT_2016__G78546__bin.4	32542.0	33556.0	30130.0	31668.0	33429.0	31454.0	15546.0	17226.0	30253.0	30913.0	29417.0	17652.0	22474.0	31089.0	29994.0	28856.0	32286.0	31652.0	0.0	32698.0	231.0	22313.0	33099.0	27533.0	20029.0	14331.0	17968.0	14699.0
BackhedF_2015__SID567_12M__bin.10	31651.0	31798.0	27009.0	32435.0	32579.0	30677.0	15303.0	33374.0	27839.0	30334.0	29396.0	33364.0	21536.0	30553.0	30058.0	28212.0	32513.0	30393.0	32698.0	0.0	32995.0	22790.0	33111.0	27260.0	9529.0	32002.0	31913.0	26061.0
VatanenT_2016__G69158__bin.1	32965.0	33715.0	30280.0	32164.0	33390.0	31434.0	15801.0	17070.0	30553.0	31206.0	30106.0	17671.0	22727.0	31423.0	30444.0	29098.0	32537.0	31882.0	231.0	32995.0	0.0	22923.0	33350.0	27568.0	19725.0	14539.0	17890.0	14709.0
VatanenT_2016__G80589__bin.10	13427.0	23369.0	11116.0	17249.0	22932.0	23463.0	11407.0	22775.0	21444.0	23391.0	12752.0	23267.0	17099.0	16149.0	16351.0	21541.0	23494.0	11164.0	22313.0	22790.0	22923.0	0.0	24063.0	14422.0	13498.0	21307.0	22679.0	17815.0
XieH_2016__YSZC12003_37134__bin.34	34665.0	36446.0	31115.0	36147.0	33997.0	34799.0	15319.0	35570.0	31705.0	1328.0	31622.0	36347.0	433.0	36418.0	33759.0	801.0	34813.0	33846.0	33099.0	33111.0	33350.0	24063.0	0.0	29684.0	19465.0	34883.0	35099.0	28272.0
GeversD_2014__SKBSTL023__bin.20	16951.0	11039.0	15784.0	2177.0	27750.0	26043.0	11767.0	28013.0	25273.0	27289.0	16599.0	28838.0	20453.0	2921.0	1660.0	25751.0	27835.0	13942.0	27533.0	27260.0	27568.0	14422.0	29684.0	0.0	15864.0	23348.0	27162.0	21374.0
BackhedF_2015__SID39_4M__bin.6	20522.0	19981.0	17746.0	20250.0	19784.0	18885.0	9434.0	19739.0	18241.0	17994.0	17576.0	20147.0	10942.0	20069.0	19066.0	17178.0	20324.0	19687.0	20029.0	9529.0	19725.0	13498.0	19465.0	15864.0	0.0	19969.0	19093.0	19882.0
BackhedF_2015__SID26_4M__bin.10	28542.0	27767.0	25883.0	26505.0	32902.0	29754.0	15007.0	20312.0	31109.0	32495.0	26938.0	21251.0	22698.0	24940.0	24286.0	31005.0	32748.0	26277.0	14331.0	32002.0	14539.0	21307.0	34883.0	23348.0	19969.0	0.0	20772.0	18238.0
BackhedF_2015__SID42_4M__bin.4	32533.0	33246.0	30772.0	33081.0	32284.0	31821.0	15467.0	6972.0	30049.0	32016.0	30100.0	6875.0	23960.0	32141.0	30959.0	31456.0	33292.0	31850.0	17968.0	31913.0	17890.0	22679.0	35099.0	27162.0	19093.0	20772.0	0.0	638.0
BackhedF_2015__SID608_4M__bin.1	27378.0	28124.0	25453.0	26776.0	25807.0	25173.0	13162.0	5451.0	25242.0	26808.0	24069.0	5823.0	17833.0	27827.0	25625.0	25503.0	27260.0	26105.0	14699.0	26061.0	14709.0	17815.0	28272.0	21374.0	19882.0	18238.0	638.0	0.0
