	BackhedF_2015__SID1_4M__bin.2	BackhedF_2015__SID238_4M__bin.5	VatanenT_2016__G78865__bin.3	VatanenT_2016__G80320__bin.2	VatanenT_2016__G69181__bin.2	BackhedF_2015__SID172_4M__bin.16	LiJ_2014__V1.CD7-0-PN__bin.1	VatanenT_2016__G80583__bin.1	VatanenT_2016__G80606__bin.6	FengQ_2015__SID31750__bin.46	BackhedF_2015__SID133_4M__bin.16	BackhedF_2015__SID626_4M__bin.19	KarlssonFH_2013__S457__bin.44	VatanenT_2016__G78867__bin.2	VatanenT_2016__G80328__bin.12	VatanenT_2016__G78658__bin.1	BackhedF_2015__SID184_4M__bin.10	VatanenT_2016__G78780__bin.7	VatanenT_2016__G78546__bin.4	BackhedF_2015__SID567_12M__bin.10	VatanenT_2016__G69158__bin.1	VatanenT_2016__G80589__bin.10	XieH_2016__YSZC12003_37134__bin.34	GeversD_2014__SKBSTL023__bin.20	BackhedF_2015__SID39_4M__bin.6	BackhedF_2015__SID26_4M__bin.10	BackhedF_2015__SID42_4M__bin.4	BackhedF_2015__SID608_4M__bin.1
BackhedF_2015__SID133_4M__bin.16	2489954.0	2262747.0	2298104.0	2263111.0	2196015.0	2221752.0	1131116.0	2191110.0	2158407.0	2071820.0	2565680.0	2249780.0	1550840.0	2261301.0	2190878.0	1960509.0	2169213.0	2360680.0	2178770.0	2226243.0	2223401.0	1696293.0	2248895.0	1978061.0	1384701.0	2268627.0	2160550.0	1749452.0
BackhedF_2015__SID626_4M__bin.19	2584102.0	2535556.0	2460451.0	2451423.0	2534815.0	2512863.0	1258473.0	2837583.0	2473783.0	2354453.0	2249780.0	2944944.0	1706489.0	2487001.0	2372893.0	2246142.0	2464018.0	2511008.0	2572353.0	2495243.0	2610207.0	1837210.0	2546356.0	2134647.0	1674872.0	2638576.0	2579327.0	2129713.0
KarlssonFH_2013__S457__bin.44	1733072.0	1712857.0	1651802.0	1714885.0	1705315.0	1751335.0	880225.0	1695620.0	1623165.0	1736655.0	1550840.0	1706489.0	1918843.0	1701690.0	1655656.0	1654975.0	1645430.0	1693925.0	1647489.0	1711969.0	1679552.0	1294758.0	1903411.0	1508411.0	956928.0	1689690.0	1652284.0	1269253.0
VatanenT_2016__G78867__bin.2	2600396.0	2600986.0	2429723.0	2606613.0	2445610.0	2481475.0	1238672.0	2445274.0	2403349.0	2297144.0	2261301.0	2487001.0	1701690.0	2793117.0	2510106.0	2176356.0	2404403.0	2534838.0	2383120.0	2463255.0	2424655.0	1799999.0	2528158.0	2211805.0	1626417.0	2518807.0	2355982.0	2013751.0
VatanenT_2016__G80328__bin.12	2496176.0	2555502.0	2352965.0	2607152.0	2398036.0	2442545.0	1196616.0	2385118.0	2330503.0	2242426.0	2190878.0	2372893.0	1655656.0	2510106.0	2746283.0	2127017.0	2373484.0	2422830.0	2337574.0	2426632.0	2381091.0	1773629.0	2460385.0	2192067.0	1569032.0	2429716.0	2296659.0	1937887.0
VatanenT_2016__G78658__bin.1	2233503.0	2236513.0	2146462.0	2208715.0	2208804.0	2226219.0	1133128.0	2224266.0	2127306.0	2274531.0	1960509.0	2246142.0	1654975.0	2176356.0	2127017.0	2523271.0	2178236.0	2167805.0	2157065.0	2192581.0	2192846.0	1639757.0	2476964.0	1906653.0	1443151.0	2227820.0	2165837.0	1777612.0
BackhedF_2015__SID184_4M__bin.10	2473919.0	2489607.0	2361606.0	2433025.0	2410663.0	2482808.0	1232548.0	2428680.0	2364405.0	2293175.0	2169213.0	2464018.0	1645430.0	2404403.0	2373484.0	2178236.0	2770018.0	2390834.0	2386557.0	2412202.0	2421108.0	1787639.0	2467006.0	2114722.0	1588217.0	2450674.0	2363164.0	1975110.0
VatanenT_2016__G78780__bin.7	2715546.0	2488423.0	2563631.0	2519954.0	2459444.0	2472629.0	1242262.0	2467656.0	2392412.0	2295793.0	2360680.0	2511008.0	1693925.0	2534838.0	2422830.0	2167805.0	2390834.0	2788702.0	2436652.0	2489448.0	2479332.0	1842457.0	2512573.0	2176167.0	1635257.0	2520689.0	2389216.0	1993628.0
VatanenT_2016__G78546__bin.4	2503300.0	2484854.0	2416550.0	2408976.0	2457631.0	2478873.0	1230278.0	2574073.0	2395467.0	2285569.0	2178770.0	2572353.0	1647489.0	2383120.0	2337574.0	2157065.0	2386557.0	2436652.0	2714133.0	2483750.0	2674772.0	1806754.0	2466786.0	2089951.0	1662661.0	2618266.0	2499897.0	2043071.0
BackhedF_2015__SID567_12M__bin.10	2560161.0	2528531.0	2466369.0	2503267.0	2543938.0	2553849.0	1241963.0	2498716.0	2406077.0	2323926.0	2226243.0	2495243.0	1711969.0	2463255.0	2426632.0	2192581.0	2412202.0	2489448.0	2483750.0	2848278.0	2526344.0	1822189.0	2543619.0	2174450.0	1708950.0	2519273.0	2432510.0	2056291.0
VatanenT_2016__G69158__bin.1	2545842.0	2521745.0	2456368.0	2452451.0	2489988.0	2505256.0	1256295.0	2605001.0	2437693.0	2323772.0	2223401.0	2610207.0	1679552.0	2424655.0	2381091.0	2192846.0	2421108.0	2479332.0	2674772.0	2526344.0	2744708.0	1846987.0	2500003.0	2125838.0	1665975.0	2654872.0	2532678.0	2076436.0
VatanenT_2016__G80589__bin.10	1893638.0	1813982.0	1844432.0	1832069.0	1815361.0	1842474.0	978199.0	1837181.0	1757217.0	1735556.0	1696293.0	1837210.0	1294758.0	1799999.0	1773629.0	1639757.0	1787639.0	1842457.0	1806754.0	1822189.0	1846987.0	2095234.0	1835219.0	1609267.0	1114662.0	1841415.0	1796937.0	1424306.0
XieH_2016__YSZC12003_37134__bin.34	2578151.0	2554076.0	2446333.0	2537007.0	2532210.0	2576356.0	1267416.0	2521941.0	2437996.0	2533365.0	2248895.0	2546356.0	1903411.0	2528158.0	2460385.0	2476964.0	2467006.0	2512573.0	2466786.0	2543619.0	2500003.0	1835219.0	2875040.0	2191541.0	1644989.0	2530664.0	2442925.0	2037975.0
GeversD_2014__SKBSTL023__bin.20	2236182.0	2241752.0	2127375.0	2260540.0	2139563.0	2177516.0	1085878.0	2134673.0	2078946.0	2006566.0	1978061.0	2134647.0	1508411.0	2211805.0	2192067.0	1906653.0	2114722.0	2176167.0	2089951.0	2174450.0	2125838.0	1609267.0	2191541.0	2435596.0	1310000.0	2158106.0	2055171.0	1648260.0
BackhedF_2015__SID39_4M__bin.6	1673769.0	1657192.0	1593377.0	1616411.0	1642425.0	1647311.0	842111.0	1639800.0	1608023.0	1532847.0	1384701.0	1674872.0	956928.0	1626417.0	1569032.0	1443151.0	1588217.0	1635257.0	1662661.0	1708950.0	1665975.0	1114662.0	1644989.0	1310000.0	1750958.0	1677418.0	1596316.0	1665428.0
BackhedF_2015__SID26_4M__bin.10	2608258.0	2578707.0	2496910.0	2512976.0	2487081.0	2515114.0	1251277.0	2589146.0	2449186.0	2361291.0	2268627.0	2638576.0	1689690.0	2518807.0	2429716.0	2227820.0	2450674.0	2520689.0	2618266.0	2519273.0	2654872.0	1841415.0	2530664.0	2158106.0	1677418.0	2855377.0	2543743.0	2115974.0
BackhedF_2015__SID42_4M__bin.4	2459168.0	2429600.0	2381019.0	2374042.0	2413210.0	2445572.0	1225502.0	2549943.0	2339494.0	2268922.0	2160550.0	2579327.0	1652284.0	2355982.0	2296659.0	2165837.0	2363164.0	2389216.0	2499897.0	2432510.0	2532678.0	1796937.0	2442925.0	2055171.0	1596316.0	2543743.0	2759582.0	2085190.0
BackhedF_2015__SID608_4M__bin.1	2061591.0	2027247.0	1963181.0	1978945.0	1994053.0	2018702.0	1056539.0	2102346.0	1977574.0	1884941.0	1749452.0	2129713.0	1269253.0	2013751.0	1937887.0	1777612.0	1975110.0	1993628.0	2043071.0	2056291.0	2076436.0	1424306.0	2037975.0	1648260.0	1665428.0	2115974.0	2085190.0	2204637.0
